회사명,거래소코드,회계년도,자본(IFRS연결),자산(IFRS연결),자본(IFRS개별),자산(IFRS개별)
(주)STX,11810,Dec-19,56291000,560107000,50616000,462734000
(주)TCC스틸,2710,Dec-11,225441968,454329510,205616971,407743559
(주)TCC스틸,2710,Dec-12,225998781,547013976,209755733,438642951
(주)TCC스틸,2710,Dec-13,205738102,543708595,210086242,444204925
(주)TCC스틸,2710,Dec-14,189038004,551000563,210093654,461297588
(주)TCC스틸,2710,Dec-15,86012476,376394571,76555951,330651742
(주)TCC스틸,2710,Dec-16,103337634,282914735,92623510,250878191
(주)TCC스틸,2710,Dec-17,100915803,278692540,89627045,248896237
(주)TCC스틸,2710,Dec-18,112246210,304781579,98351707,268135677
(주)TCC스틸,2710,Dec-19,116843135,314210087,97501452,270265082
(주)가비아,79940,Dec-11,48665742,64954440,24298687,37295822
(주)가비아,79940,Dec-12,58945247,85244515,31165211,51795749
(주)가비아,79940,Dec-13,68600227,91231294,34822978,52151784
(주)가비아,79940,Dec-14,75509702,98544072,38147677,55984243
(주)가비아,79940,Dec-15,84096148,105081568,42470259,57657418
(주)가비아,79940,Dec-16,95951841,125796754,45413712,61160981
(주)가비아,79940,Dec-17,99896520,133382584,47662984,64986436
(주)가비아,79940,Dec-18,114187490,151440505,49832912,69315988
(주)가비아,79940,Dec-19,134959139,199916131,54084066,82964911
(주)강스템바이오텍,217730,Dec-15,,,21237036,24982626
(주)강스템바이오텍,217730,Dec-16,,,22976911,47441769
(주)강스템바이오텍,217730,Dec-17,24482163,47198979,24668128,44508729
(주)강스템바이오텍,217730,Dec-18,47581374,73194018,47944961,66184838
(주)강스템바이오텍,217730,Dec-19,68719236,113643697,70845209,98625925
(주)강원랜드,35250,Dec-11,2257362696,2711401782,2278202202,2730283806
(주)강원랜드,35250,Dec-12,2372026990,2906655321,2383160603,2915385756
(주)강원랜드,35250,Dec-13,2517696496,3102036846,2523962938,3105430200
(주)강원랜드,35250,Dec-14,2705357485,3375127289,2716175018,3380461682
(주)강원랜드,35250,Dec-15,2997755205,3690791830,2997442337,3688060027
(주)강원랜드,35250,Dec-16,3252727459,3978987574,3252738063,3975979890
(주)강원랜드,35250,Dec-17,3501235933,4185657487,3500789656,4182527382
(주)강원랜드,35250,Dec-18,3586777089,4231241354,3586452533,4229630541
(주)강원랜드,35250,Dec-19,3717759076,4438119306,3718433001,4436461953
(주)강원에너지,114190,Nov-11,,,24502434,53719067
(주)강원에너지,114190,Dec-12,,,36107930,89258208
(주)강원에너지,114190,Dec-13,,,45877155,72441333
(주)강원에너지,114190,Dec-14,,,50445491,67037639
(주)강원에너지,114190,Dec-15,56583901,85457457,54880924,80939019
(주)강원에너지,114190,Dec-16,55088690,77186606,53746356,70850137
(주)강원에너지,114190,Dec-17,48303010,93179394,47117020,87781416
(주)강원에너지,114190,Dec-18,50203707,93845576,49286354,89619750
(주)강원에너지,114190,Dec-19,21124556,56602063,22904034,55106032
(주)갤럭시아에스엠,11420,Dec-11,25274017,45110356,24539613,40711969
(주)갤럭시아에스엠,11420,Dec-12,25907252,43979072,25153401,40169876
(주)갤럭시아에스엠,11420,Dec-13,21493102,37636664,22472626,34158874
(주)갤럭시아에스엠,11420,Dec-14,23205508,45274078,23402468,40528250
(주)갤럭시아에스엠,11420,Dec-15,49739042,68686992,50665218,67196553
(주)갤럭시아에스엠,11420,Dec-16,44846832,58444606,44846832,55825556
(주)갤럭시아에스엠,11420,Dec-17,40494336,49831109,40494336,48958128
(주)갤럭시아에스엠,11420,Dec-18,26472162,33253331,26797332,33337692
(주)갤럭시아에스엠,11420,Dec-19,21798750,28241598,21798750,28241598
(주)경농,2100,Dec-11,142986220,173774102,146016982,176741869
(주)경농,2100,Dec-12,151738994,269412832,151500247,203467698
(주)경농,2100,Dec-13,163157512,255984725,162696463,214988593
(주)경농,2100,Dec-14,168915900,284623063,168998955,230870852
(주)경농,2100,Dec-15,174667648,316341853,173056378,265109291
(주)경농,2100,Dec-16,183969132,320915151,176722752,266622289
(주)경농,2100,Dec-17,192152986,335873898,182959158,268967010
(주)경농,2100,Dec-18,201453891,357260541,187066687,285031873
(주)경농,2100,Dec-19,201885272,370874091,190892614,297197088
(주)경동나비엔,9450,Dec-11,168114574,263211016,143268094,224373470
(주)경동나비엔,9450,Dec-12,175875394,299729837,152201349,254627468
(주)경동나비엔,9450,Dec-13,187280988,354779867,161494784,301475800
(주)경동나비엔,9450,Dec-14,190021880,401658957,167984480,331089242
(주)경동나비엔,9450,Dec-15,206076609,402084368,185208256,324848990
(주)경동나비엔,9450,Dec-16,238762190,429754702,210193123,347643876
(주)경동나비엔,9450,Dec-17,256506497,503697210,222028494,391400492
(주)경동나비엔,9450,Dec-18,280103616,583595818,240355951,440513661
