회사명,거래소코드,회계년도,유동부채(IFRS연결),부채(IFRS연결),유동부채(IFRS개별),부채(IFRS개별)
(주)TCC스틸,2710,Dec-12,191715329,321015196,115747321,228887219
(주)TCC스틸,2710,Dec-13,155751890,337970494,98538725,234118683
(주)TCC스틸,2710,Dec-14,283660429,361962559,189566139,251203934
(주)TCC스틸,2710,Dec-15,153614700,290382095,121276743,254095791
(주)TCC스틸,2710,Dec-16,94244692,179577101,77521428,158254682
(주)TCC스틸,2710,Dec-17,160048884,177776736,148607324,159269192
(주)TCC스틸,2710,Dec-18,93172096,192535369,82038987,169783970
(주)TCC스틸,2710,Dec-19,165995910,197366953,152915323,172763630
(주)가비아,79940,Dec-11,13905604,16288697,11953563,12997135
(주)가비아,79940,Dec-12,14858349,26299269,10723878,20630538
(주)가비아,79940,Dec-13,14999568,22631067,11588806,17328806
(주)가비아,79940,Dec-14,16229926,23034370,13161566,17836566
(주)가비아,79940,Dec-15,13210992,20985420,9687159,15187159
(주)가비아,79940,Dec-16,20386590,29844914,10247269,15747269
(주)가비아,79940,Dec-17,29400833,33486064,17323452,17323452
(주)가비아,79940,Dec-18,29792809,37253015,18089528,19483076
(주)가비아,79940,Dec-19,43098923,64956993,20260391,28880845
(주)강스템바이오텍,217730,Dec-15,,,2965591,3745591
(주)강스템바이오텍,217730,Dec-16,,,3231048,24464858
(주)강스템바이오텍,217730,Dec-17,6368374,22716816,4000962,19840601
(주)강스템바이오텍,217730,Dec-18,20056267,25612644,13802351,18239878
(주)강스템바이오텍,217730,Dec-19,20598774,44924460,15296868,27780716
(주)강원랜드,35250,Dec-11,440884890,454039086,439575361,452081605
(주)강원랜드,35250,Dec-12,518388305,534628331,516757053,532225153
(주)강원랜드,35250,Dec-13,570217325,584340350,568327002,581467261
(주)강원랜드,35250,Dec-14,624516570,669769805,619817290,664286664
(주)강원랜드,35250,Dec-15,664599978,693036625,662837030,690617690
(주)강원랜드,35250,Dec-16,718893173,726260115,717426075,723241827
(주)강원랜드,35250,Dec-17,681337932,684421554,680591144,681737727
(주)강원랜드,35250,Dec-18,636028473,644464265,635168405,643178007
(주)강원랜드,35250,Dec-19,651342607,720360229,650507914,718028952
(주)강원에너지,114190,Nov-11,,,29049482,29216633
(주)강원에너지,114190,Dec-12,,,52980413,53150277
(주)강원에너지,114190,Dec-13,,,26561224,26564178
(주)강원에너지,114190,Dec-14,,,16587078,16592147
(주)강원에너지,114190,Dec-15,18860326,28873556,26044865,26058095
(주)강원에너지,114190,Dec-16,12090212,22097916,17100077,17103781
(주)강원에너지,114190,Dec-17,33693980,44876384,36681993,40664397
(주)강원에너지,114190,Dec-18,43608244,43641869,40299772,40333396
(주)강원에너지,114190,Dec-19,30840573,35477506,27565065,32201998
(주)갤럭시아에스엠,11420,Dec-11,15665609,19836339,12001627,16172356
(주)갤럭시아에스엠,11420,Dec-12,13440442,18071820,12435097,15016475
(주)갤럭시아에스엠,11420,Dec-13,13503615,16143563,9491278,11686248
