회사명,거래소코드,회계년도,유형자산(*)(IFRS연결)(천원),유형자산(*)(IFRS)(천원),건설중인자산(IFRS연결)(천원),건설중인자산(IFRS)(천원),합계_기말인원(명),기계장치(IFRS연결)(천원),기계장치(IFRS)(천원),자산(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),인건비(IFRS연결)(백만원),인건비(IFRS)(백만원),부가가치(IFRS연결)(백만원),부가가치(IFRS)(백만원),매출액(수익)(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원)
일진머티리얼즈(주),020150,2014/12,267048694,145664218,21641671,15200994,453,236510376,143388211,596095084,488528537,50725.52,23634.24,100263.83,88575.33,414835436,236475259
일진머티리얼즈(주),020150,2015/12,178718262,137947506,22152698,17073700,437,246459768,152797629,436708093,317306369,51900.7,22973.79,43415.75,-9150.1,458174483,257669825
일진머티리얼즈(주),020150,2016/12,176233742,138039782,16929242,16929242,452,171020246,167094627,390766753,315787282,37716.01,25578.34,80364.51,61348.78,398956975,250635729
일진머티리얼즈(주),020150,2017/12,175751744,130905263,22007376,17058479,481,181588451,176843082,650284189,560688339,42713.39,29366.17,106666.03,91328.74,454035476,294946417
일진머티리얼즈(주),020150,2018/12,271469214,132591218,115958919,23483030,538,196114721,191408389,692206039,597174440,48362.24,33160.53,125203.94,106708.46,502007548,318903336
일진머티리얼즈(주),020150,2019/12,374563608,130010176,94239821,18601644,513,288714524,201157597,1036928098,647030493,47525.54,32114.9,136862.45,103325.96,550214159,294788671
일진전기(주),103590,2011/12,452817538,452780185,28076637,28076637,1015,39082412,39082412,768646689,768652510,50124.43,49962.47,53816.75,55149.92,1017844664,1017338992
일진전기(주),103590,2012/12,487364821,487336950,65250922,65250922,1114,47264997,47264997,828363428,829158105,61266.19,61127.25,68923.43,69408.42,986827711,987275598
일진전기(주),103590,2013/12,500786022,500765280,36889242,36889242,1065,69528522,69528522,835753216,836109334,57291.61,57149.27,87596.52,87173.21,877783917,876754871
일진전기(주),103590,2014/12,390968155,390953548,1411980,1411980,1000,64817637,64817637,794512026,787649515,55694.36,55557.28,103380.28,107821.25,770717559,785552632
일진전기(주),103590,2015/12,378634935,378603535,5587273,5587273,958,165420383,165420383,735434079,730218942,57015.41,56732.36,87586.97,81970.37,714649869,685138071
일진전기(주),103590,2016/12,371957093,371955006,3116238,3116238,908,170747402,170747402,728757945,723845430,58471.42,58007.92,84901.39,82344.48,678079933,659500229
일진전기(주),103590,2017/12,376606491,376603197,8590182,8590182,833,177905149,177905149,756774591,751797306,54747.78,54488.88,72237.53,71468.68,761984401,762209871
일진전기(주),103590,2018/12,381669910,381667735,8345233,8345233,844,185205269,185205269,778631601,772343690,51020.08,50762.61,60347.99,60065.79,731430724,734144402
일진전기(주),103590,2019/12,375400878,375373213,7216602,7216602,823,192967355,192967355,780849822,776346702,51709.83,51422.56,80854.63,79785.75,668304097,658912975
일진홀딩스(주),015860,2011/12,517205749,0,28975000,0,18,206801000,0,1036430305,307187105,71358,0,123200.73,1298.68,1125968169,5264995
일진홀딩스(주),015860,2012/12,565361316,0,65589000,0,14,229613000,0,1108754299,309127411,84350,1839,128124.69,-613.26,1108975647,4788606
일진홀딩스(주),015860,2013/12,574213109,0,37088000,0,10,262038000,0,1116481234,305146609,86340,1369,167456.56,7848.94,1014480749,4155997
일진홀딩스(주),015860,2014/12,458970350,0,1553000,0,11,259875000,0,1118410670,312326440,95125,1235,177733.39,5076.36,931663137,5516471
일진홀딩스(주),015860,2015/12,444498558,0,6160000,0,12,264264000,0,1075919203,314433478,89340,1629,176330.16,7645.27,890895409,5062455
