회사명,거래소코드,회계년도,유동자산(IFRS연결),재고자산(IFRS연결),자산(IFRS연결),유동자산(IFRS개별),재고자산(IFRS개별),자산(IFRS개별)
(주)SNT홀딩스,36530,Dec-12,998857779,280540811,2074903906,40740917,0,388964716
(주)SNT홀딩스,36530,Dec-13,1070812404,311174402,2149176237,49212139,0,397336142
(주)SNT홀딩스,36530,Dec-14,994978341,283952471,2039388864,47079948,0,399244416
(주)SNT홀딩스,36530,Dec-15,1140793639,268780766,2169311305,100040105,0,430584006
(주)SNT홀딩스,36530,Dec-16,1205349271,236908975,2210178425,97449826,0,427001710
(주)SNT홀딩스,36530,Dec-17,1187727595,215870141,2146174938,98229088,0,425435423
(주)SNT홀딩스,36530,Dec-18,1168023374,220256725,2113834573,89557460,0,422804813
(주)SNT홀딩스,36530,Dec-19,1266526398,229809615,2236679025,31735933,0,417172874
(주)STX,11810,Dec-11,1430457000,315306000,5234175000,993206000,240418000,3302248000
(주)STX,11810,Dec-12,1484305000,182590000,5067029000,856988000,108537000,3226878000
(주)STX,11810,Dec-13,793607000,94076000,1342520000,640293000,47749000,1086567000
(주)STX,11810,Dec-14,893610000,207648000,1255002000,728283000,148535000,1070433000
(주)STX,11810,Dec-15,902119000,316312000,1267224000,663016000,143454000,1057543000
(주)STX,11810,Dec-16,486347000,226131000,707709000,441306000,139765000,627686000
(주)STX,11810,Dec-17,475786000,181620000,627542000,349891000,103343000,520393000
(주)STX,11810,Dec-18,422861000,129417000,554061000,297842000,89120000,446758000
(주)STX,11810,Dec-19,386401000,118778000,560107000,292473000,89664000,462734000
(주)TCC스틸,2710,Dec-11,183481284,79633257,454329510,163515113,76580688,407743559
(주)TCC스틸,2710,Dec-12,218440703,100648536,547013976,168674581,75866000,438642951
(주)TCC스틸,2710,Dec-13,220034732,117184576,543708595,150092488,62722660,444204925
(주)TCC스틸,2710,Dec-14,233224033,124343812,551000563,141191905,59114758,461297588
(주)TCC스틸,2710,Dec-15,240184174,48965898,376394571,202116240,45683627,330651742
(주)TCC스틸,2710,Dec-16,120777516,51850499,282914735,97007914,44890754,250878191
(주)TCC스틸,2710,Dec-17,120243911,52771855,278692540,101914014,48077587,248896237
(주)TCC스틸,2710,Dec-18,152165969,69197191,304781579,128625665,62280830,268135677
(주)TCC스틸,2710,Dec-19,148991647,72619098,314210087,121879909,67392895,270265082
(주)가비아,79940,Dec-11,28837190,14450,64954440,9245779,14450,37295822
(주)가비아,79940,Dec-12,31997486,248459,85244515,9613034,92459,51795749
(주)가비아,79940,Dec-13,37411881,93612,91231294,10360239,81039,52151784
(주)가비아,79940,Dec-14,41920706,0,98544072,14916105,0,55984243
(주)가비아,79940,Dec-15,52239105,0,105081568,17436488,0,57657418
(주)가비아,79940,Dec-16,60241586,1363738,125796754,12237594,0,61160981
(주)가비아,79940,Dec-17,66113388,1675464,133382584,15116578,0,64986436
(주)가비아,79940,Dec-18,78058272,1982294,151440505,18388749,0,69315988
(주)가비아,79940,Dec-19,86880807,2643604,199916131,13602872,0,82964911
(주)강스템바이오텍,217730,Dec-15,,,,18896590,334913,24982626
(주)강스템바이오텍,217730,Dec-16,,,,37966496,582808,47441769
(주)강스템바이오텍,217730,Dec-17,25246012,1725225,47198979,24316617,1725225,44508729
(주)강스템바이오텍,217730,Dec-18,48992790,1918575,73194018,44071609,501972,66184838
(주)강스템바이오텍,217730,Dec-19,55408095,266393,113643697,50136013,34319,98625925
(주)강원랜드,35250,Dec-11,1163791156,2245975,2711401782,1116717650,2245975,2730283806
(주)강원랜드,35250,Dec-12,1165450728,1200611,2906655321,1117338850,1200611,2915385756
(주)강원랜드,35250,Dec-13,1080401909,1493306,3102036846,1032979185,1493306,3105430200
(주)강원랜드,35250,Dec-14,1371825587,1204918,3375127289,1349601870,1204918,3380461682
(주)강원랜드,35250,Dec-15,1750420316,1621646,3690791830,1736167993,1621646,3688060027
(주)강원랜드,35250,Dec-16,1809513458,1309513,3978987574,1799026863,1309513,3975979890
(주)강원랜드,35250,Dec-17,2164296051,1299617,4185657487,2155754572,1299617,4182527382
(주)강원랜드,35250,Dec-18,1759033105,1148805,4231241354,1749493012,1143581,4229630541
(주)강원랜드,35250,Dec-19,1878191161,3636529,4438119306,1868365557,3631307,4436461953
(주)강원에너지,114190,Nov-11,,,,47950975,3989692,53719067
(주)강원에너지,114190,Dec-12,,,,80491240,3808870,89258208
(주)강원에너지,114190,Dec-13,,,,61556228,2086978,72441333
(주)강원에너지,114190,Dec-14,,,,48800730,1736909,67037639
(주)강원에너지,114190,Dec-15,62927388,1233999,85457457,58744703,1233999,80939019
(주)강원에너지,114190,Dec-16,53716336,335220,77186606,49882033,335220,70850137
(주)강원에너지,114190,Dec-17,68068421,361382,93179394,66557788,361382,87781416
(주)강원에너지,114190,Dec-18,70556730,543737,93845576,70097814,543737,89619750
(주)강원에너지,114190,Dec-19,30544232,118784,56602063,30346449,118784,55106032
(주)갤럭시아에스엠,11420,Dec-11,24658098,20209,45110356,17322791,0,40711969
(주)갤럭시아에스엠,11420,Dec-12,24752609,37487,43979072,21665386,0,40169876
