회사명,거래소코드,회계년도,매출액(IFRS연결),유동자산(IFRS연결),매출액(IFRS개별),유동자산(IFRS개별)
(주)TCC스틸,2710,Dec-11,514424043,183481284,456928069,163515113
(주)TCC스틸,2710,Dec-12,501337475,218440703,440568155,168674581
(주)TCC스틸,2710,Dec-13,500832754,220034732,419483813,150092488
(주)TCC스틸,2710,Dec-14,518995240,233224033,401323585,141191905
(주)TCC스틸,2710,Dec-15,495795871,240184174,350074629,202116240
(주)TCC스틸,2710,Dec-16,444453635,120777516,317235565,97007914
(주)TCC스틸,2710,Dec-17,391370092,120243911,333762378,101914014
(주)TCC스틸,2710,Dec-18,413176279,152165969,351301866,128625665
(주)TCC스틸,2710,Dec-19,437173902,148991647,339334364,121879909
(주)가비아,79940,Dec-11,52838864,28837190,33792831,9245779
(주)가비아,79940,Dec-12,69058144,31997486,38482449,9613034
(주)가비아,79940,Dec-13,70675565,37411881,40507693,10360239
(주)가비아,79940,Dec-14,80432047,41920706,43906243,14916105
(주)가비아,79940,Dec-15,91648622,52239105,48446932,17436488
(주)가비아,79940,Dec-16,102178978,60241586,49430564,12237594
(주)가비아,79940,Dec-17,116217941,66113388,52365659,15116578
(주)가비아,79940,Dec-18,128728438,78058272,55197652,18388749
(주)가비아,79940,Dec-19,148306878,86880807,58254105,13602872
(주)강스템바이오텍,217730,Dec-15,,,1484593,18896590
(주)강스템바이오텍,217730,Dec-16,,,842805,37966496
(주)강스템바이오텍,217730,Dec-17,9132939,25246012,5394323,24316617
(주)강스템바이오텍,217730,Dec-18,9165454,48992790,1001039,44071609
(주)강스템바이오텍,217730,Dec-19,6004584,55408095,282069,50136013
(주)강원랜드,35250,Dec-11,1265686425,1163791156,1263651213,1116717650
(주)강원랜드,35250,Dec-12,1296191223,1165450728,1292896121,1117338850
(주)강원랜드,35250,Dec-13,1361286598,1080401909,1356906162,1032979185
(주)강원랜드,35250,Dec-14,1496541441,1371825587,1492291312,1349601870
(주)강원랜드,35250,Dec-15,1633716839,1750420316,1630976696,1736167993
(주)강원랜드,35250,Dec-16,1696532511,1809513458,1694575212,1799026863
(주)강원랜드,35250,Dec-17,1604470055,2164296051,1602901764,2155754572
(주)강원랜드,35250,Dec-18,1438059299,1759033105,1436042435,1749493012
(주)강원랜드,35250,Dec-19,1520080449,1878191161,1517612252,1868365557
(주)강원에너지,114190,Nov-11,,,50222892,47950975
(주)강원에너지,114190,Dec-12,,,106471214,80491240
(주)강원에너지,114190,Dec-13,,,50660659,61556228
(주)강원에너지,114190,Dec-14,,,51481321,48800730
(주)강원에너지,114190,Dec-15,46188664,62927388,48852892,58744703
(주)강원에너지,114190,Dec-16,42287473,53716336,44448760,49882033
(주)강원에너지,114190,Dec-17,82034829,68068421,83113029,66557788
(주)강원에너지,114190,Dec-18,85905365,70556730,85905365,70097814
(주)강원에너지,114190,Dec-19,42549622,30544232,42549622,30346449
(주)갤럭시아에스엠,11420,Dec-11,47331427,24658098,31931418,17322791
(주)갤럭시아에스엠,11420,Dec-12,55049732,24752609,37398255,21665386
(주)갤럭시아에스엠,11420,Dec-13,46437304,19899780,30903637,15680160
(주)갤럭시아에스엠,11420,Dec-14,43885894,26742964,33027933,21910144
(주)갤럭시아에스엠,11420,Dec-15,62472754,44426010,53784932,40480215
(주)갤럭시아에스엠,11420,Dec-16,52626331,37929417,45665676,33508731
(주)갤럭시아에스엠,11420,Dec-17,37281280,28750883,36917656,25522603
(주)갤럭시아에스엠,11420,Dec-18,22060413,14251248,22030258,14317048
(주)갤럭시아에스엠,11420,Dec-19,28732679,13644588,28732679,13644588
(주)경농,2100,Dec-11,121253605,94363834,120728258,85897543
(주)경농,2100,Dec-12,136970449,142516976,131021366,88973571
(주)경농,2100,Dec-13,196358952,129526582,139237273,90491612
(주)경농,2100,Dec-14,188483147,139646908,134806677,92163573
(주)경농,2100,Dec-15,196418710,161184139,137609256,110823037
(주)경농,2100,Dec-16,203984939,156061222,143209666,113338004
(주)경농,2100,Dec-17,206534382,163437464,143175105,114661596
(주)경농,2100,Dec-18,212654617,169982099,146216658,124295854
(주)경농,2100,Dec-19,227510941,185020093,151342037,138697201
(주)경동나비엔,9450,Dec-11,341246917,129512842,318269213,109967953
(주)경동나비엔,9450,Dec-12,379014259,145371681,341339118,123218302
(주)경동나비엔,9450,Dec-13,414177562,134043087,371601179,104914630
(주)경동나비엔,9450,Dec-14,428985365,159947056,382392117,134136648
(주)경동나비엔,9450,Dec-15,512031120,158254944,448302084,129837058
(주)경동나비엔,9450,Dec-16,583252904,175420277,506082201,145915928
(주)경동나비엔,9450,Dec-17,684660958,230894567,569819524,175839342
(주)경동나비엔,9450,Dec-18,726741615,287001959,618058456,209454208
(주)경동나비엔,9450,Dec-19,774290704,274279157,655419303,214093729
(주)경동도시가스,267290,Dec-17,871548284,376858740,870828897,374489353
(주)경동도시가스,267290,Dec-18,1606531867,444232799,1605687067,441723742
(주)경동도시가스,267290,Dec-19,1422707835,395154174,1421866212,392458231
(주)경동인베스트,12320,Dec-11,1847666903,610411619,1806174764,563584969
(주)경동인베스트,12320,Dec-12,2502642394,814034002,2403814656,753036515
(주)경동인베스트,12320,Dec-13,2788264380,778164231,2664100017,724069045
(주)경동인베스트,12320,Dec-14,2603059058,766552554,2399450987,631297926
(주)경동인베스트,12320,Dec-15,1604168482,571798491,1352478311,459634757
(주)경동인베스트,12320,Dec-16,1181902637,508994824,1021002691,394847821
(주)경동인베스트,12320,Dec-17,195069859,238339688,612436,110951332
(주)경동인베스트,12320,Dec-18,228644016,188460289,7460898,44742051
(주)경동인베스트,12320,Dec-19,271765025,236475693,8641051,44653640
(주)경방,50,Dec-11,348136369,138673371,275746943,123787600
(주)경방,50,Dec-12,333620804,123685731,265409209,101710997
(주)경방,50,Dec-13,347189559,103410904,264782077,79482802
(주)경방,50,Dec-14,329036023,101229398,256979444,83665762
(주)경방,50,Dec-15,357628146,108093423,307744480,83760073
(주)경방,50,Dec-16,377445013,106002223,313876822,80538917
(주)경방,50,Dec-17,360788750,90254697,288103985,71472590
(주)경방,50,Dec-18,351438926,120711492,279085217,88159568
(주)경방,50,Dec-19,343892085,264861016,253552382,223798878
(주)경보제약,214390,Dec-15,,,178032632,105108130
(주)경보제약,214390,Dec-16,,,186726170,102226920
(주)경보제약,214390,Dec-17,,,191661374,110638039
(주)경보제약,214390,Dec-18,,,201343596,128936315
(주)경보제약,214390,Dec-19,,,191706189,124176490
(주)경인양행,12610,Dec-11,233095049,166259207,128707611,99039937
(주)경인양행,12610,Dec-12,218604655,146242797,141304459,94723927
(주)경인양행,12610,Dec-13,260808400,175887375,183106757,123143650
(주)경인양행,12610,Dec-14,277181095,164606526,190395047,107227115
(주)경인양행,12610,Dec-15,263163677,176664098,175006703,113173448
(주)경인양행,12610,Dec-16,274873817,191409058,179267850,126364739
(주)경인양행,12610,Dec-17,299987729,193184742,193975818,125062666
