회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),판관비(IFRS연결),당기자본(IFRS연결),전기자본(IFRS연결),매출액(IFRS개별),매출원가(IFRS연결),판관비(IFRS개별),당기자본(IFRS개별),전기자본(IFRS개별)
(주)SH에너지화학,2360,Dec-17,188114822,161824273,12108613,107693472,107693472,184672638,161711689,9771675,105717970,105717970
(주)SH에너지화학,2360,Dec-18,183598766,171330094,10168002,105390892,105390892,180753289,169058462,8883270,104065473,104065473
(주)SH에너지화학,2360,Dec-19,140852575,134184400,9799303,98999976,98999976,138161816,131861388,8663622,97386214,97386214
(주)SIMPAC,9160,Dec-11,215365697,170409718,16067582,168941269,168941269,213867522,169699426,15256714,155833324,155833324
(주)SIMPAC,9160,Dec-12,225353321,182861979,17300065,187860952,,223854758,182101881,16442981,177830482,177830482
(주)SIMPAC,9160,Dec-13,205751154,164405183,17746622,208831047,208831047,204527751,163875499,16910891,197900866,197900866
(주)SIMPAC,9160,Dec-14,263152264,220084616,25725748,219125252,219125252,227491803,188349315,20405682,203904919,203904919
(주)SIMPAC,9160,Dec-15,269528038,221412942,26874065,232007841,232007841,213152303,171341851,18179952,220087525,220087525
(주)SIMPAC,9160,Dec-16,267074156,217713888,25794076,240416530,240416530,215839356,175971604,18461676,228959172,228959172
(주)SIMPAC,9160,Dec-17,230634812,193009825,25927072,240826100,240826100,203150228,168484356,20694784,223781988,223781988
(주)SIMPAC,9160,Dec-18,306150809,271995017,23965220,435032869,435032869,268863854,243575353,18072612,411119510,411119510
(주)SIMPAC,9160,Dec-19,430085162,385305111,33638732,441195485,441195485,391970769,357126998,26405466,419215968,419215968
(주)SNT에너지,100840,Dec-11,,,,,,195318747,181219511,20812087,160595865,160595865
(주)SNT에너지,100840,Dec-12,,,,,,230707564,191839172,23735608,183306309,183306309
(주)SNT에너지,100840,Dec-13,,,,,,200750984,161808099,22138474,198164671,198164671
(주)SNT에너지,100840,Dec-14,,,,,,242746888,203611420,25357817,207712504,207712504
(주)SNT에너지,100840,Dec-15,,,,,,260094045,202305297,23870714,231399939,231399939
(주)SNT에너지,100840,Dec-16,,,,,,254089906,204980319,47914443,229799567,229799567
(주)SNT에너지,100840,Dec-17,,,,,,184091945,146050315,18839719,233817326,233817326
(주)SNT에너지,100840,Dec-18,,,,,231276490,139516396,118750224,22658363,231276490,231193081
(주)SNT에너지,100840,Dec-19,213326726,177635077,18218102,244954910,244954910,202822913,170291934,17851276,245545053,245545053
(주)SNT홀딩스,36530,Dec-11,1663846065,1449348821,123824178,1311007481,1311007481,2257851,0,1611687,387839074,387839074
