회사명,거래소코드,회계년도,재고자산(IFRS연결),유동자산(IFRS연결),재고자산(IFRS개별),유동자산(IFRS개별)
(주)TCC스틸,2710,Dec-13,117184576,220034732,62722660,150092488
(주)TCC스틸,2710,Dec-14,124343812,233224033,59114758,141191905
(주)TCC스틸,2710,Dec-15,48965898,240184174,45683627,202116240
(주)TCC스틸,2710,Dec-16,51850499,120777516,44890754,97007914
(주)TCC스틸,2710,Dec-17,52771855,120243911,48077587,101914014
(주)TCC스틸,2710,Dec-18,69197191,152165969,62280830,128625665
(주)TCC스틸,2710,Dec-19,72619098,148991647,67392895,121879909
(주)가비아,79940,Dec-11,14450,28837190,14450,9245779
(주)가비아,79940,Dec-12,248459,31997486,92459,9613034
(주)가비아,79940,Dec-13,93612,37411881,81039,10360239
(주)가비아,79940,Dec-14,0,41920706,0,14916105
(주)가비아,79940,Dec-15,0,52239105,0,17436488
(주)가비아,79940,Dec-16,1363738,60241586,0,12237594
(주)가비아,79940,Dec-17,1675464,66113388,0,15116578
(주)가비아,79940,Dec-18,1982294,78058272,0,18388749
(주)가비아,79940,Dec-19,2643604,86880807,0,13602872
(주)강스템바이오텍,217730,Dec-15,,,334913,18896590
(주)강스템바이오텍,217730,Dec-16,,,582808,37966496
(주)강스템바이오텍,217730,Dec-17,1725225,25246012,1725225,24316617
(주)강스템바이오텍,217730,Dec-18,1918575,48992790,501972,44071609
(주)강스템바이오텍,217730,Dec-19,266393,55408095,34319,50136013
(주)강원랜드,35250,Dec-11,2245975,1163791156,2245975,1116717650
(주)강원랜드,35250,Dec-12,1200611,1165450728,1200611,1117338850
(주)강원랜드,35250,Dec-13,1493306,1080401909,1493306,1032979185
(주)강원랜드,35250,Dec-14,1204918,1371825587,1204918,1349601870
(주)강원랜드,35250,Dec-15,1621646,1750420316,1621646,1736167993
(주)강원랜드,35250,Dec-16,1309513,1809513458,1309513,1799026863
(주)강원랜드,35250,Dec-17,1299617,2164296051,1299617,2155754572
(주)강원랜드,35250,Dec-18,1148805,1759033105,1143581,1749493012
(주)강원랜드,35250,Dec-19,3636529,1878191161,3631307,1868365557
(주)강원에너지,114190,Nov-11,,,3989692,47950975
(주)강원에너지,114190,Dec-12,,,3808870,80491240
(주)강원에너지,114190,Dec-13,,,2086978,61556228
(주)강원에너지,114190,Dec-14,,,1736909,48800730
(주)강원에너지,114190,Dec-15,1233999,62927388,1233999,58744703
(주)강원에너지,114190,Dec-16,335220,53716336,335220,49882033
(주)강원에너지,114190,Dec-17,361382,68068421,361382,66557788
(주)강원에너지,114190,Dec-18,543737,70556730,543737,70097814
(주)강원에너지,114190,Dec-19,118784,30544232,118784,30346449
(주)갤럭시아에스엠,11420,Dec-11,20209,24658098,0,17322791
(주)갤럭시아에스엠,11420,Dec-12,37487,24752609,0,21665386
(주)갤럭시아에스엠,11420,Dec-13,126351,19899780,0,15680160
(주)갤럭시아에스엠,11420,Dec-14,508736,26742964,404356,21910144
(주)갤럭시아에스엠,11420,Dec-15,11280,44426010,0,40480215
(주)갤럭시아에스엠,11420,Dec-16,0,37929417,0,33508731
(주)갤럭시아에스엠,11420,Dec-17,0,28750883,0,25522603
(주)갤럭시아에스엠,11420,Dec-18,0,14251248,0,14317048
(주)갤럭시아에스엠,11420,Dec-19,0,13644588,0,13644588
(주)경농,2100,Dec-11,70194121,94363834,70007203,85897543
(주)경농,2100,Dec-12,102583675,142516976,69708618,88973571
(주)경농,2100,Dec-13,98860077,129526582,70268926,90491612
(주)경농,2100,Dec-14,98308244,139646908,69968941,92163573
(주)경농,2100,Dec-15,115444315,161184139,84302523,110823037
(주)경농,2100,Dec-16,115876266,156061222,89356248,113338004
(주)경농,2100,Dec-17,119704437,163437464,91796107,114661596
(주)경농,2100,Dec-18,120967753,169982099,91526504,124295854
(주)경농,2100,Dec-19,133714688,185020093,101542875,138697201
(주)경동나비엔,9450,Dec-11,60788326,129512842,41637076,109967953
(주)경동나비엔,9450,Dec-12,59527947,145371681,33893618,123218302
(주)경동나비엔,9450,Dec-13,71724409,134043087,37417214,104914630
(주)경동나비엔,9450,Dec-14,83525372,159947056,40963230,134136648
(주)경동나비엔,9450,Dec-15,87185691,158254944,39239496,129837058
(주)경동나비엔,9450,Dec-16,89997026,175420277,41128987,145915928
(주)경동나비엔,9450,Dec-17,110374505,230894567,57016736,175839342
(주)경동나비엔,9450,Dec-18,150049770,287001959,74930222,209454208
(주)경동나비엔,9450,Dec-19,138114361,274279157,66299991,214093729
(주)경동도시가스,267290,Dec-17,1111165,376858740,1111165,374489353
(주)경동도시가스,267290,Dec-18,1299646,444232799,1299646,441723742
(주)경동도시가스,267290,Dec-19,1333402,395154174,1333402,392458231
(주)경동인베스트,12320,Dec-11,6238419,610411619,837931,563584969
(주)경동인베스트,12320,Dec-12,20579836,814034002,1073025,753036515
(주)경동인베스트,12320,Dec-13,13656418,778164231,759346,724069045
(주)경동인베스트,12320,Dec-14,18386682,766552554,1014437,631297926
(주)경동인베스트,12320,Dec-15,8347076,571798491,958537,459634757
(주)경동인베스트,12320,Dec-16,10949433,508994824,1016660,394847821
(주)경동인베스트,12320,Dec-17,14232992,238339688,0,110951332
(주)경동인베스트,12320,Dec-18,30703229,188460289,87903,44742051
(주)경동인베스트,12320,Dec-19,30814751,236475693,176596,44653640
(주)경방,50,Dec-11,72996830,138673371,71422892,123787600
(주)경방,50,Dec-12,52907652,123685731,50300747,101710997
(주)경방,50,Dec-13,40216862,103410904,35601409,79482802
(주)경방,50,Dec-14,37758471,101229398,34615710,83665762
(주)경방,50,Dec-15,52862910,108093423,37595998,83760073
(주)경방,50,Dec-16,45810493,106002223,33656952,80538917
(주)경방,50,Dec-17,31921285,90254697,22476156,71472590
(주)경방,50,Dec-18,59792825,120711492,35574579,88159568
(주)경방,50,Dec-19,31308041,264861016,13959690,223798878
(주)경보제약,214390,Dec-15,,,49522277,105108130
(주)경보제약,214390,Dec-16,,,47568951,102226920
(주)경보제약,214390,Dec-17,,,47964422,110638039
(주)경보제약,214390,Dec-18,,,53494316,128936315
(주)경보제약,214390,Dec-19,,,62312499,124176490
(주)경인양행,12610,Dec-11,95390048,166259207,51423188,99039937
(주)경인양행,12610,Dec-12,70357744,146242797,38724208,94723927
(주)경인양행,12610,Dec-13,90667397,175887375,60685132,123143650
(주)경인양행,12610,Dec-14,89741323,164606526,57418066,107227115
(주)경인양행,12610,Dec-15,95494779,176664098,62450588,113173448
(주)경인양행,12610,Dec-16,99419770,191409058,66161603,126364739
(주)경인양행,12610,Dec-17,97118533,193184742,63955013,125062666
(주)경인양행,12610,Dec-18,123873222,234817064,86129207,165167110
(주)경인양행,12610,Dec-19,141253404,251884675,101010142,172620331
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,3329941,38542950
(주)고려시멘트,198440,Dec-18,,,4242987,49955334
(주)고려시멘트,198440,Dec-19,,,6942200,46591282
(주)고영테크놀러지,98460,Dec-11,14264259,63304178,13001882,61560094
