회사명,거래소코드,회계년도,당기재고자산(IFRS연결),전기재고자산(IFRS연결),당기재고자산(IFRS개별),전기재고자산(IFRS개별)
(주)TCC스틸,2710,Dec-14,124343812,124343812,59114758,59114758
(주)TCC스틸,2710,Dec-15,48965898,48965898,45683627,45683627
(주)TCC스틸,2710,Dec-16,51850499,51850499,44890754,44890754
(주)TCC스틸,2710,Dec-17,52771855,52771855,48077587,48077587
(주)TCC스틸,2710,Dec-18,69197191,69197191,62280830,62280830
(주)TCC스틸,2710,Dec-19,72619098,72619098,67392895,67392895
(주)가비아,79940,Dec-11,14450,14450,14450,14450
(주)가비아,79940,Dec-12,248459,248459,92459,92459
(주)가비아,79940,Dec-13,93612,93612,81039,81039
(주)가비아,79940,Dec-14,0,0,0,0
(주)가비아,79940,Dec-15,0,0,0,0
(주)가비아,79940,Dec-16,1363738,1363738,0,0
(주)가비아,79940,Dec-17,1675464,1675464,0,0
(주)가비아,79940,Dec-18,1982294,1982294,0,0
(주)가비아,79940,Dec-19,2643604,2643604,0,0
(주)강스템바이오텍,217730,Dec-15,,,334913,334913
(주)강스템바이오텍,217730,Dec-16,,582808,582808,582808
(주)강스템바이오텍,217730,Dec-17,1725225,1725225,1725225,1725225
(주)강스템바이오텍,217730,Dec-18,1918575,1918575,501972,501972
(주)강스템바이오텍,217730,Dec-19,266393,266393,34319,34319
(주)강원랜드,35250,Dec-11,2245975,2245975,2245975,2245975
(주)강원랜드,35250,Dec-12,1200611,1200611,1200611,1200611
(주)강원랜드,35250,Dec-13,1493306,1493306,1493306,1493306
(주)강원랜드,35250,Dec-14,1204918,1204918,1204918,1204918
(주)강원랜드,35250,Dec-15,1621646,1621646,1621646,1621646
(주)강원랜드,35250,Dec-16,1309513,1309513,1309513,1309513
(주)강원랜드,35250,Dec-17,1299617,1299617,1299617,1299617
(주)강원랜드,35250,Dec-18,1148805,1148805,1143581,1143581
(주)강원랜드,35250,Dec-19,3636529,3636529,3631307,3631307
(주)강원에너지,114190,Nov-11,,,3989692,3989692
(주)강원에너지,114190,Dec-12,,,3808870,3808870
(주)강원에너지,114190,Dec-13,,,2086978,2086978
(주)강원에너지,114190,Dec-14,,1736909,1736909,1736909
(주)강원에너지,114190,Dec-15,1233999,1233999,1233999,1233999
(주)강원에너지,114190,Dec-16,335220,335220,335220,335220
(주)강원에너지,114190,Dec-17,361382,361382,361382,361382
(주)강원에너지,114190,Dec-18,543737,543737,543737,543737
(주)강원에너지,114190,Dec-19,118784,118784,118784,118784
(주)갤럭시아에스엠,11420,Dec-11,20209,20209,0,0
(주)갤럭시아에스엠,11420,Dec-12,37487,37487,0,0
(주)갤럭시아에스엠,11420,Dec-13,126351,126351,0,0
(주)갤럭시아에스엠,11420,Dec-14,508736,508736,404356,404356
