회사명,거래소코드,회계년도,재고자산(IFRS연결),유동자산(IFRS연결),유동부채(IFRS연결),재고자산(IFRS개별),유동자산(IFRS개별),유동부채(IFRS개별)
(주)SNT홀딩스,36530,Dec-16,236908975,1205349271,487107956,0,97449826,0
(주)SNT홀딩스,36530,Dec-17,215870141,1187727595,448821933,0,98229088,0
(주)SNT홀딩스,36530,Dec-18,220256725,1168023374,381612594,0,89557460,0
(주)SNT홀딩스,36530,Dec-19,229809615,1266526398,405603647,0,31735933,0
(주)STX,11810,Dec-11,315306000,1430457000,2041868000,240418000,993206000,0
(주)STX,11810,Dec-12,182590000,1484305000,2363189000,108537000,856988000,0
(주)STX,11810,Dec-13,94076000,793607000,1278680000,47749000,640293000,0
(주)STX,11810,Dec-14,207648000,893610000,788697000,148535000,728283000,0
(주)STX,11810,Dec-15,316312000,902119000,866685000,143454000,663016000,0
(주)STX,11810,Dec-16,226131000,486347000,974743000,139765000,441306000,0
(주)STX,11810,Dec-17,181620000,475786000,553981000,103343000,349891000,0
(주)STX,11810,Dec-18,129417000,422861000,463598000,89120000,297842000,0
(주)STX,11810,Dec-19,118778000,386401000,439806000,89664000,292473000,0
(주)TCC스틸,2710,Dec-11,79633257,183481284,165589918,76580688,163515113,0
(주)TCC스틸,2710,Dec-12,100648536,218440703,191715329,75866000,168674581,0
(주)TCC스틸,2710,Dec-13,117184576,220034732,155751890,62722660,150092488,0
(주)TCC스틸,2710,Dec-14,124343812,233224033,283660429,59114758,141191905,0
(주)TCC스틸,2710,Dec-15,48965898,240184174,153614700,45683627,202116240,0
(주)TCC스틸,2710,Dec-16,51850499,120777516,94244692,44890754,97007914,0
(주)TCC스틸,2710,Dec-17,52771855,120243911,160048884,48077587,101914014,0
(주)TCC스틸,2710,Dec-18,69197191,152165969,93172096,62280830,128625665,0
(주)TCC스틸,2710,Dec-19,72619098,148991647,165995910,67392895,121879909,0
(주)가비아,79940,Dec-11,14450,28837190,13905604,14450,9245779,0
(주)가비아,79940,Dec-12,248459,31997486,14858349,92459,9613034,0
(주)가비아,79940,Dec-13,93612,37411881,14999568,81039,10360239,0
(주)가비아,79940,Dec-14,0,41920706,16229926,0,14916105,0
(주)가비아,79940,Dec-15,0,52239105,13210992,0,17436488,0
(주)가비아,79940,Dec-16,1363738,60241586,20386590,0,12237594,0
(주)가비아,79940,Dec-17,1675464,66113388,29400833,0,15116578,0
(주)가비아,79940,Dec-18,1982294,78058272,29792809,0,18388749,0
(주)가비아,79940,Dec-19,2643604,86880807,43098923,0,13602872,0
(주)강스템바이오텍,217730,Dec-15,,,,334913,18896590,0
(주)강스템바이오텍,217730,Dec-16,,,,582808,37966496,0
(주)강스템바이오텍,217730,Dec-17,1725225,25246012,6368374,1725225,24316617,0
(주)강스템바이오텍,217730,Dec-18,1918575,48992790,20056267,501972,44071609,0
(주)강스템바이오텍,217730,Dec-19,266393,55408095,20598774,34319,50136013,0
(주)강원랜드,35250,Dec-11,2245975,1163791156,440884890,2245975,1116717650,0
(주)강원랜드,35250,Dec-12,1200611,1165450728,518388305,1200611,1117338850,0
(주)강원랜드,35250,Dec-13,1493306,1080401909,570217325,1493306,1032979185,0
(주)강원랜드,35250,Dec-14,1204918,1371825587,624516570,1204918,1349601870,0
(주)강원랜드,35250,Dec-15,1621646,1750420316,664599978,1621646,1736167993,0
(주)강원랜드,35250,Dec-16,1309513,1809513458,718893173,1309513,1799026863,0
(주)강원랜드,35250,Dec-17,1299617,2164296051,681337932,1299617,2155754572,0
(주)강원랜드,35250,Dec-18,1148805,1759033105,636028473,1143581,1749493012,0
(주)강원랜드,35250,Dec-19,3636529,1878191161,651342607,3631307,1868365557,0
(주)강원에너지,114190,Nov-11,,,,3989692,47950975,0
(주)강원에너지,114190,Dec-12,,,,3808870,80491240,0
(주)강원에너지,114190,Dec-13,,,,2086978,61556228,0
(주)강원에너지,114190,Dec-14,,,,1736909,48800730,0
(주)강원에너지,114190,Dec-15,1233999,62927388,18860326,1233999,58744703,0
(주)강원에너지,114190,Dec-16,335220,53716336,12090212,335220,49882033,0
(주)강원에너지,114190,Dec-17,361382,68068421,33693980,361382,66557788,0
(주)강원에너지,114190,Dec-18,543737,70556730,43608244,543737,70097814,0
