회사명,거래소코드,회계년도,매출액(IFRS연결),부채(IFRS연결),매출액(IFRS개별),부채(IFRS개별)
(주)TCC스틸,2710,Dec-11,514424043,228887542,456928069,202126588
(주)TCC스틸,2710,Dec-12,501337475,321015196,440568155,228887219
(주)TCC스틸,2710,Dec-13,500832754,337970494,419483813,234118683
(주)TCC스틸,2710,Dec-14,518995240,361962559,401323585,251203934
(주)TCC스틸,2710,Dec-15,495795871,290382095,350074629,254095791
(주)TCC스틸,2710,Dec-16,444453635,179577101,317235565,158254682
(주)TCC스틸,2710,Dec-17,391370092,177776736,333762378,159269192
(주)TCC스틸,2710,Dec-18,413176279,192535369,351301866,169783970
(주)TCC스틸,2710,Dec-19,437173902,197366953,339334364,172763630
(주)가비아,79940,Dec-11,52838864,16288697,33792831,12997135
(주)가비아,79940,Dec-12,69058144,26299269,38482449,20630538
(주)가비아,79940,Dec-13,70675565,22631067,40507693,17328806
(주)가비아,79940,Dec-14,80432047,23034370,43906243,17836566
(주)가비아,79940,Dec-15,91648622,20985420,48446932,15187159
(주)가비아,79940,Dec-16,102178978,29844914,49430564,15747269
(주)가비아,79940,Dec-17,116217941,33486064,52365659,17323452
(주)가비아,79940,Dec-18,128728438,37253015,55197652,19483076
(주)가비아,79940,Dec-19,148306878,64956993,58254105,28880845
(주)강스템바이오텍,217730,Dec-15,,,1484593,3745591
(주)강스템바이오텍,217730,Dec-16,,,842805,24464858
(주)강스템바이오텍,217730,Dec-17,9132939,22716816,5394323,19840601
(주)강스템바이오텍,217730,Dec-18,9165454,25612644,1001039,18239878
(주)강스템바이오텍,217730,Dec-19,6004584,44924460,282069,27780716
(주)강원랜드,35250,Dec-11,1265686425,454039086,1263651213,452081605
(주)강원랜드,35250,Dec-12,1296191223,534628331,1292896121,532225153
(주)강원랜드,35250,Dec-13,1361286598,584340350,1356906162,581467261
(주)강원랜드,35250,Dec-14,1496541441,669769805,1492291312,664286664
(주)강원랜드,35250,Dec-15,1633716839,693036625,1630976696,690617690
(주)강원랜드,35250,Dec-16,1696532511,726260115,1694575212,723241827
(주)강원랜드,35250,Dec-17,1604470055,684421554,1602901764,681737727
(주)강원랜드,35250,Dec-18,1438059299,644464265,1436042435,643178007
(주)강원랜드,35250,Dec-19,1520080449,720360229,1517612252,718028952
(주)강원에너지,114190,Nov-11,,,50222892,29216633
(주)강원에너지,114190,Dec-12,,,106471214,53150277
(주)강원에너지,114190,Dec-13,,,50660659,26564178
(주)강원에너지,114190,Dec-14,,,51481321,16592147
(주)강원에너지,114190,Dec-15,46188664,28873556,48852892,26058095
(주)강원에너지,114190,Dec-16,42287473,22097916,44448760,17103781
(주)강원에너지,114190,Dec-17,82034829,44876384,83113029,40664397
(주)강원에너지,114190,Dec-18,85905365,43641869,85905365,40333396
(주)강원에너지,114190,Dec-19,42549622,35477506,42549622,32201998
(주)갤럭시아에스엠,11420,Dec-11,47331427,19836339,31931418,16172356
(주)갤럭시아에스엠,11420,Dec-12,55049732,18071820,37398255,15016475
(주)갤럭시아에스엠,11420,Dec-13,46437304,16143563,30903637,11686248
(주)갤럭시아에스엠,11420,Dec-14,43885894,22068570,33027933,17125782
(주)갤럭시아에스엠,11420,Dec-15,62472754,18947950,53784932,16531335
(주)갤럭시아에스엠,11420,Dec-16,52626331,13597774,45665676,10978725
(주)갤럭시아에스엠,11420,Dec-17,37281280,9336773,36917656,8463792
(주)갤럭시아에스엠,11420,Dec-18,22060413,6781168,22030258,6540360
(주)갤럭시아에스엠,11420,Dec-19,28732679,6442848,28732679,6442848
(주)경농,2100,Dec-11,121253605,30787882,120728258,30724888
(주)경농,2100,Dec-12,136970449,117673838,131021366,51967451
(주)경농,2100,Dec-13,196358952,92827213,139237273,52292130
(주)경농,2100,Dec-14,188483147,115707163,134806677,61871897
(주)경농,2100,Dec-15,196418710,141674205,137609256,92052914
(주)경농,2100,Dec-16,203984939,136946019,143209666,89899537
(주)경농,2100,Dec-17,206534382,143720912,143175105,86007852
(주)경농,2100,Dec-18,212654617,155806650,146216658,97965187
(주)경농,2100,Dec-19,227510941,168988819,151342037,106304474
(주)경동나비엔,9450,Dec-11,341246917,95096442,318269213,81105376
(주)경동나비엔,9450,Dec-12,379014259,123854443,341339118,102426119
(주)경동나비엔,9450,Dec-13,414177562,167498879,371601179,139981016
(주)경동나비엔,9450,Dec-14,428985365,211637077,382392117,163104762
(주)경동나비엔,9450,Dec-15,512031120,196007760,448302084,139640734
(주)경동나비엔,9450,Dec-16,583252904,190992511,506082201,137450753
(주)경동나비엔,9450,Dec-17,684660958,247190712,569819524,169371998
(주)경동나비엔,9450,Dec-18,726741615,303492202,618058456,200157710
(주)경동나비엔,9450,Dec-19,774290704,308765719,655419303,207047496
(주)경동도시가스,267290,Dec-17,871548284,415948312,870828897,415288491
(주)경동도시가스,267290,Dec-18,1606531867,457779539,1605687067,457120376
(주)경동도시가스,267290,Dec-19,1422707835,410387431,1421866212,409752242
(주)경동인베스트,12320,Dec-11,1847666903,593628327,1806174764,528263966
(주)경동인베스트,12320,Dec-12,2502642394,763415214,2403814656,699478024
(주)경동인베스트,12320,Dec-13,2788264380,706267792,2664100017,644593509
(주)경동인베스트,12320,Dec-14,2603059058,713337643,2399450987,540269309
(주)경동인베스트,12320,Dec-15,1604168482,591340081,1352478311,377864242
(주)경동인베스트,12320,Dec-16,1181902637,538198062,1021002691,347571082
(주)경동인베스트,12320,Dec-17,195069859,198873241,612436,8242347
(주)경동인베스트,12320,Dec-18,228644016,194135226,7460898,8354115
(주)경동인베스트,12320,Dec-19,271765025,190933746,8641051,8263326
(주)경방,50,Dec-11,348136369,722619941,275746943,655306746
(주)경방,50,Dec-12,333620804,714335725,265409209,631984460
(주)경방,50,Dec-13,347189559,660550587,264782077,575688238
(주)경방,50,Dec-14,329036023,654172565,256979444,623437994
(주)경방,50,Dec-15,357628146,655690395,307744480,587741479
(주)경방,50,Dec-16,377445013,622067560,313876822,546778844
(주)경방,50,Dec-17,360788750,574908164,288103985,488098740
(주)경방,50,Dec-18,351438926,593023494,279085217,497359673
(주)경방,50,Dec-19,343892085,629189292,253552382,555533558
(주)경보제약,214390,Dec-15,,,178032632,72671307
(주)경보제약,214390,Dec-16,,,186726170,74333640
(주)경보제약,214390,Dec-17,,,191661374,63359803
(주)경보제약,214390,Dec-18,,,201343596,72610828
(주)경보제약,214390,Dec-19,,,191706189,88653237
(주)경인양행,12610,Dec-11,233095049,143304448,128707611,86943667
(주)경인양행,12610,Dec-12,218604655,112463993,141304459,78932783
(주)경인양행,12610,Dec-13,260808400,127200482,183106757,96496450
(주)경인양행,12610,Dec-14,277181095,114800458,190395047,80897578
(주)경인양행,12610,Dec-15,263163677,125562133,175006703,87875136
(주)경인양행,12610,Dec-16,274873817,136005319,179267850,99013669
(주)경인양행,12610,Dec-17,299987729,147016537,193975818,106064982
(주)경인양행,12610,Dec-18,331102011,189237207,222659442,146670857
(주)경인양행,12610,Dec-19,358802386,234647863,245244968,179977211
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,87660276,38487512
(주)고려시멘트,198440,Dec-18,,,85775723,41025871
(주)고려시멘트,198440,Dec-19,,,70921781,38590195
(주)고영테크놀러지,98460,Dec-11,86130810,17383474,80200892,16635495
(주)고영테크놀러지,98460,Dec-12,107841666,19950870,100791139,18928736
(주)고영테크놀러지,98460,Dec-13,111902729,22632008,103933681,21277632
(주)고영테크놀러지,98460,Dec-14,142840131,25885224,135531589,23524948
(주)고영테크놀러지,98460,Dec-15,145904431,27381980,138554625,26600137
(주)고영테크놀러지,98460,Dec-16,171793841,37853661,153254768,36760049
(주)고영테크놀러지,98460,Dec-17,203368626,43890214,188934907,40860118
(주)고영테크놀러지,98460,Dec-18,238208865,53192797,219818022,50714272
(주)고영테크놀러지,98460,Dec-19,222057035,61812656,209480760,55999383
(주)골드앤에스,35290,Dec-11,47522791,24240316,47522791,23709321
(주)골드앤에스,35290,Dec-12,43889087,26432789,43889087,24809934
(주)골드앤에스,35290,Dec-13,39548810,38315150,36607591,24695648
(주)골드앤에스,35290,Dec-14,31287203,34445853,29428881,19800028
(주)골드앤에스,35290,Dec-15,22197935,8941840,22197935,8605906
(주)골드앤에스,35290,Dec-16,15893494,4403117,15893494,4193998
(주)골드앤에스,35290,Dec-17,12802035,3827858,12802035,3890051
(주)골드앤에스,35290,Dec-18,8680452,28693062,8680452,28605618
(주)골드앤에스,35290,Dec-19,7642733,21187743,7642733,21097263
(주)골드퍼시픽,38530,Dec-11,,,11236925,5643796
