회사명,거래소코드,회계년도,부가가치(IFRS연결),자산(IFRS연결),부가가치(IFRS개별),자산(IFRS개별)
(주)STX,11810,Dec-17,416114,627542000,366717,520393000
(주)STX,11810,Dec-18,83521,554061000,28236,446758000
(주)STX,11810,Dec-19,51064,560107000,-15090,462734000
(주)TCC스틸,2710,Dec-11,50799.6,454329510,47387.55,407743559
(주)TCC스틸,2710,Dec-12,49856.28,547013976,44247.81,438642951
(주)TCC스틸,2710,Dec-13,40058.31,543708595,37086.29,444204925
(주)TCC스틸,2710,Dec-14,66638.24,551000563,38278.43,461297588
(주)TCC스틸,2710,Dec-15,46811.29,376394571,-113808.25,330651742
(주)TCC스틸,2710,Dec-16,81464.7,282914735,53606.1,250878191
(주)TCC스틸,2710,Dec-17,61493.36,278692540,30346.26,248896237
(주)TCC스틸,2710,Dec-18,75995.51,304781579,44068.24,268135677
(주)TCC스틸,2710,Dec-19,74428.93,314210087,42215.18,270265082
(주)가비아,79940,Dec-11,25788.11,64954440,15017.54,37295822
(주)가비아,79940,Dec-12,31058.09,85244515,17319.4,51795749
(주)가비아,79940,Dec-13,32828.8,91231294,16859.32,52151784
(주)가비아,79940,Dec-14,34179.94,98544072,19430.85,55984243
(주)가비아,79940,Dec-15,41698.24,105081568,22440.14,57657418
(주)가비아,79940,Dec-16,45412.89,125796754,23132.9,61160981
(주)가비아,79940,Dec-17,48683,133382584,22812.97,64986436
(주)가비아,79940,Dec-18,62241.08,151440505,24805.77,69315988
(주)가비아,79940,Dec-19,133089.93,199916131,29591.96,82964911
(주)강스템바이오텍,217730,Dec-15,,,-2880.72,24982626
(주)강스템바이오텍,217730,Dec-16,,,-5090.69,47441769
(주)강스템바이오텍,217730,Dec-17,-646.49,47198979,-2123.85,44508729
(주)강스템바이오텍,217730,Dec-18,-3330.3,73194018,-5971.99,66184838
(주)강스템바이오텍,217730,Dec-19,-13446.01,113643697,-16534.36,98625925
(주)강원랜드,35250,Dec-11,778291.81,2711401782,783195.28,2730283806
(주)강원랜드,35250,Dec-12,712817.68,2906655321,693820.93,2915385756
(주)강원랜드,35250,Dec-13,837925.02,3102036846,824512.27,3105430200
(주)강원랜드,35250,Dec-14,904075.49,3375127289,899930.11,3380461682
(주)강원랜드,35250,Dec-15,1021274.04,3690791830,1001297.65,3688060027
(주)강원랜드,35250,Dec-16,1043222,3978987574,1037898.56,3975979890
(주)강원랜드,35250,Dec-17,1000137.64,4185657487,1011578.3,4182527382
(주)강원랜드,35250,Dec-18,833429.97,4231241354,846353.62,4229630541
(주)강원랜드,35250,Dec-19,908009,4438119306,906619.21,4436461953
(주)강원에너지,114190,Nov-11,,,12844.61,52878151
(주)강원에너지,114190,Dec-12,,,18760.61,89258208
(주)강원에너지,114190,Dec-13,,,12256.79,72441333
(주)강원에너지,114190,Dec-14,,,8510.74,67037639
(주)강원에너지,114190,Dec-15,7820.6,85457457,9171.31,80939019
(주)강원에너지,114190,Dec-16,8145.29,77186606,8913.55,70850137
(주)강원에너지,114190,Dec-17,687.17,93179394,713.82,87781416
(주)강원에너지,114190,Dec-18,11600.03,93845576,11569.08,89619750
(주)강원에너지,114190,Dec-19,-24497.97,56602063,-22522.15,55106032
(주)갤럭시아에스엠,11420,Dec-11,16289.29,45110356,14937.6,40711969
(주)갤럭시아에스엠,11420,Dec-12,11304.39,43979072,9721.11,40169876
(주)갤럭시아에스엠,11420,Dec-13,4540.45,37636664,3928.36,34158874
(주)갤럭시아에스엠,11420,Dec-14,5477.95,45274078,3400.02,40528250
(주)갤럭시아에스엠,11420,Dec-15,10705.78,68686992,10216.63,67196553
(주)갤럭시아에스엠,11420,Dec-16,5657.39,58444606,5013.27,55825556
(주)갤럭시아에스엠,11420,Dec-17,-161.81,49831109,-275.92,48958128
(주)갤럭시아에스엠,11420,Dec-18,-9771.55,33253331,-9601.87,33337692
(주)갤럭시아에스엠,11420,Dec-19,3529.68,28241598,3287.96,28241598
(주)경농,2100,Dec-11,26483.85,173774102,28809.42,176741869
(주)경농,2100,Dec-12,39063.56,269412832,32641.59,203467698
(주)경농,2100,Dec-13,53114.35,255984725,42493.74,214988593
(주)경농,2100,Dec-14,47327.34,284623063,38526.79,230870852
(주)경농,2100,Dec-15,46908.64,316341853,36680.28,265109291
(주)경농,2100,Dec-16,48243.41,320915151,37693.81,266622289
(주)경농,2100,Dec-17,55717.38,335873898,45275,268967010
(주)경농,2100,Dec-18,57945.41,357260541,47204.81,285031873
(주)경농,2100,Dec-19,55965.47,370874091,43823.04,297197088
(주)경동나비엔,9450,Dec-11,60669.23,263211016,50196.09,224373470
(주)경동나비엔,9450,Dec-12,68423.43,299729837,54692.56,254627468
(주)경동나비엔,9450,Dec-13,79237.85,354779867,55874.59,301475800
(주)경동나비엔,9450,Dec-14,80978.36,401658957,56282.59,331089242
(주)경동나비엔,9450,Dec-15,107704.21,402084368,76567.87,324848990
(주)경동나비엔,9450,Dec-16,141866.08,429754702,91445.07,347643876
(주)경동나비엔,9450,Dec-17,148016.16,503697210,88344.03,391400492
(주)경동나비엔,9450,Dec-18,164621.76,583595818,103466.23,440513661
(주)경동나비엔,9450,Dec-19,195347,609808343,119653.32,461607017
(주)경동도시가스,267290,Dec-17,,710280194,,707917077
(주)경동도시가스,267290,Dec-18,105468.98,778269612,97564.13,775880913
(주)경동도시가스,267290,Dec-19,95819.67,749999474,86578.45,747453908
(주)경동인베스트,12320,Dec-11,92451.05,1001490869,95768.55,941176098
(주)경동인베스트,12320,Dec-12,135007.2,1209924561,107979.21,1168400020
(주)경동인베스트,12320,Dec-13,140991.69,1205008353,93436.7,1161427092
(주)경동인베스트,12320,Dec-14,81588.6,1320789066,93996.69,1101071366
(주)경동인베스트,12320,Dec-15,-30690.54,1167819522,34539.58,926392697
(주)경동인베스트,12320,Dec-16,26071.34,1126122628,72056.94,903818865
(주)경동인베스트,12320,Dec-17,58509.5,599276331,-608.84,318031347
(주)경동인베스트,12320,Dec-18,128174.79,592002536,2304.64,318776653
(주)경동인베스트,12320,Dec-19,129681.42,605467383,78.98,316572482
(주)경방,50,Dec-11,85127.47,1352324332,79256.78,1331930968
(주)경방,50,Dec-12,80728.78,1335039930,75544.51,1301719900
(주)경방,50,Dec-13,109135.73,1296989142,99612.08,1261257414
(주)경방,50,Dec-14,105032.79,1301841379,97566.02,1275008413
(주)경방,50,Dec-15,117114.75,1318643312,107949.86,1259512344
(주)경방,50,Dec-16,125709.78,1301910960,109992.25,1237024388
(주)경방,50,Dec-17,125830.72,1274042237,109353.53,1199063663
(주)경방,50,Dec-18,98012.24,1301792841,88599.95,1226545382
(주)경방,50,Dec-19,127253.44,1370742491,80679.67,1296265431
(주)경보제약,214390,Dec-15,,,64338.21,195488457
(주)경보제약,214390,Dec-16,,,62027.13,203735980
(주)경보제약,214390,Dec-17,,,70313.62,204869399
(주)경보제약,214390,Dec-18,,,68893.82,221622993
(주)경보제약,214390,Dec-19,,,63450.36,237816742
(주)경인양행,12610,Dec-11,55925.52,319596954,25633.29,245825940
(주)경인양행,12610,Dec-12,50537.66,287452678,29938.88,241045608
(주)경인양행,12610,Dec-13,60639.47,316944796,48021.56,274570963
(주)경인양행,12610,Dec-14,73075.28,313039125,47119.14,267331084
(주)경인양행,12610,Dec-15,67632.25,326687437,35639.84,273778266
(주)경인양행,12610,Dec-16,75607,344298515,40282.61,290035389
(주)경인양행,12610,Dec-17,77094.24,357951470,39415.23,296909084
(주)경인양행,12610,Dec-18,98776.24,412996589,56886.72,344908257
(주)경인양행,12610,Dec-19,111001.57,472081003,58827.05,381063538
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,14885.67,115881620
(주)고려시멘트,198440,Dec-18,,,19051.09,127536833
(주)고려시멘트,198440,Dec-19,,,16208.11,127035573
(주)고영테크놀러지,98460,Dec-11,28970.09,87006201,27718.99,87017886
(주)고영테크놀러지,98460,Dec-12,32628.63,103351965,28550.06,103019642
(주)고영테크놀러지,98460,Dec-13,31220.69,120951617,28707.49,121329325
(주)고영테크놀러지,98460,Dec-14,46699.29,141720465,42596.7,141873467
(주)고영테크놀러지,98460,Dec-15,46544.16,158857627,43429.68,160170850
(주)고영테크놀러지,98460,Dec-16,62157.4,195121241,52985.52,194332855
(주)고영테크놀러지,98460,Dec-17,65695.26,205207385,58409.3,205696350
(주)고영테크놀러지,98460,Dec-18,86343.44,279059436,75984.96,279985447
(주)고영테크놀러지,98460,Dec-19,80742.92,305481184,73465.3,308020011
(주)골드앤에스,35290,Dec-11,15570.49,46677146,14658.86,46347129
(주)골드앤에스,35290,Dec-12,7635.89,51950606,7893.95,51062616
(주)골드앤에스,35290,Dec-13,1375.8,51442505,-1958.86,34508798
(주)골드앤에스,35290,Dec-14,4010.26,46528474,1806.61,28884288
(주)골드앤에스,35290,Dec-15,1377.12,24102094,-3739.74,23597566
(주)골드앤에스,35290,Dec-16,4764.12,18671644,4792.12,18296141
(주)골드앤에스,35290,Dec-17,-4291.99,17173934,-4235.05,16994788
(주)골드앤에스,35290,Dec-18,-311.92,42472631,11.61,42472631
(주)골드앤에스,35290,Dec-19,-15967.57,16096170,-16227.48,16096170
(주)골드퍼시픽,38530,Dec-11,,,4434.65,27473520
(주)골드퍼시픽,38530,Dec-12,,,4958.14,29861540
(주)골드퍼시픽,38530,Dec-13,-4290.42,33687572,-3602.2,30517744
(주)골드퍼시픽,38530,Dec-14,1554.55,41948832,-2264.04,31936409
(주)골드퍼시픽,38530,Dec-15,-2786.97,28573328,-7836.3,27495738
(주)골드퍼시픽,38530,Dec-16,,,-19661.53,11122066
(주)골드퍼시픽,38530,Dec-17,,,1313.87,26567967
(주)골드퍼시픽,38530,Dec-18,-1488.34,37825442,-1459.51,37288362
(주)골드퍼시픽,38530,Dec-19,,,-25252.68,72945743
(주)골프존,215000,Dec-15,,178132253,,171629353
(주)골프존,215000,Dec-16,82752.48,187914226,69940.02,177635830
(주)골프존,215000,Dec-17,86594.02,253672419,71718.52,239011847
(주)골프존,215000,Dec-18,63252.87,254057808,60657.91,254578679
(주)골프존,215000,Dec-19,99662.42,312587283,87478.96,304860836
(주)골프존뉴딘홀딩스,121440,Dec-11,68848.89,378054302,65510.64,373246120
(주)골프존뉴딘홀딩스,121440,Dec-12,121408.57,540922890,108386.02,512614848
(주)골프존뉴딘홀딩스,121440,Dec-13,104828.51,637840057,89965.12,589946855
(주)골프존뉴딘홀딩스,121440,Dec-14,165410.32,762037240,110458.29,586599347
(주)골프존뉴딘홀딩스,121440,Dec-15,25820.5,767325175,3300.63,585663015
(주)골프존뉴딘홀딩스,121440,Dec-16,50468.4,760772930,-9300.74,561892958
(주)골프존뉴딘홀딩스,121440,Dec-17,23288.31,756500949,-6328.61,536244772
(주)골프존뉴딘홀딩스,121440,Dec-18,60807.94,774743339,19639.69,563387103
(주)골프존뉴딘홀딩스,121440,Dec-19,30323.24,776384700,-17313.43,537526345
(주)광림,14200,Dec-11,,,15697.65,86353051
(주)광림,14200,Dec-12,,,10280.56,89766075
(주)광림,14200,Dec-13,,,11826.55,101592603
(주)광림,14200,Dec-14,34136.72,244886480,12621.85,120284256
(주)광림,14200,Dec-15,,,46963.35,146338755
(주)광림,14200,Dec-16,9774.59,229596737,12766.74,152080347
(주)광림,14200,Dec-17,9886.97,208058303,121763.98,369582323
(주)광림,14200,Dec-18,-58751.81,187812629,-63701.87,236379465
(주)광림,14200,Dec-19,22505.39,252468254,-65585.59,193568854
(주)광명전기,17040,Dec-11,12700.72,123886511,8524.07,99992644
(주)광명전기,17040,Dec-12,13422.2,131064345,7812.51,104218586
(주)광명전기,17040,Dec-13,22856.32,120910764,16789.22,105483729
(주)광명전기,17040,Dec-14,24682.31,138580023,20049.23,119791644
(주)광명전기,17040,Dec-15,23499.45,131457603,14620.46,107719518
