회사명,거래소코드,회계년도,당기유형자산(IFRS연결),전기유형자산(IFRS연결),당기유형자산(IFRS개별),전기유형자산(IFRS개별)
(주)TCC스틸,2710,Dec-12,143845835,143845835,71554979,71554979
(주)TCC스틸,2710,Dec-13,156557380,156557380,71255687,71255687
(주)TCC스틸,2710,Dec-14,151621286,151621286,68743151,68743151
(주)TCC스틸,2710,Dec-15,71859909,71859909,50635593,50635593
(주)TCC스틸,2710,Dec-16,64693517,64693517,43730610,43730610
(주)TCC스틸,2710,Dec-17,58943990,58943990,45541678,45541678
(주)TCC스틸,2710,Dec-18,55878504,55878504,43204124,43204124
(주)TCC스틸,2710,Dec-19,59322335,59322335,47129444,47129444
(주)가비아,79940,Dec-11,22149161,22149161,7163470,7163470
(주)가비아,79940,Dec-12,37833915,37833915,23749485,23749485
(주)가비아,79940,Dec-13,37047584,37047584,22732962,22732962
(주)가비아,79940,Dec-14,37099200,37099200,22313113,22313113
(주)가비아,79940,Dec-15,36916970,36916970,22210592,22210592
(주)가비아,79940,Dec-16,43221838,43221838,22429866,22429866
(주)가비아,79940,Dec-17,45452326,45452326,22362004,22362004
(주)가비아,79940,Dec-18,49107084,49107084,24425180,24425180
(주)가비아,79940,Dec-19,85359914,85359914,39724951,39724951
(주)강스템바이오텍,217730,Dec-15,,,2980005,2980005
(주)강스템바이오텍,217730,Dec-16,,4039297,4039297,4039297
(주)강스템바이오텍,217730,Dec-17,13229478,13605815,12480829,12857166
(주)강스템바이오텍,217730,Dec-18,15140205,15140205,14220013,14220013
(주)강스템바이오텍,217730,Dec-19,31219524,31219524,22738650,22738650
(주)강원랜드,35250,Dec-11,1312308962,1312308962,1302068954,1302068954
(주)강원랜드,35250,Dec-12,1357670542,1357670542,1334113267,1334113267
(주)강원랜드,35250,Dec-13,1385719165,1385719165,1327018456,1327018456
(주)강원랜드,35250,Dec-14,1387584592,1387584592,1284798892,1284798892
(주)강원랜드,35250,Dec-15,1353560925,1353560925,1253601276,1253601276
(주)강원랜드,35250,Dec-16,1315715882,1315715882,1254129261,1254129261
(주)강원랜드,35250,Dec-17,1297980610,1297980610,1253403658,1253403658
(주)강원랜드,35250,Dec-18,1314038393,1314038393,1299058388,1299058388
(주)강원랜드,35250,Dec-19,1370568026,1370568026,1353732478,1353732478
(주)강원에너지,114190,Nov-11,,,3912294,3912294
(주)강원에너지,114190,Dec-12,,,4416402,4416402
(주)강원에너지,114190,Dec-13,,,4787448,4787448
(주)강원에너지,114190,Dec-14,,10004091,10004091,10004091
(주)강원에너지,114190,Dec-15,12847843,12847843,9712091,9712091
(주)강원에너지,114190,Dec-16,14792058,14792058,9490734,9490734
(주)강원에너지,114190,Dec-17,15392067,15392067,9242859,9242859
(주)강원에너지,114190,Dec-18,14771745,14771745,8853092,8853092
(주)강원에너지,114190,Dec-19,10387938,10387938,9089689,9089689
(주)갤럭시아에스엠,11420,Dec-11,746008,746008,263856,263856
(주)갤럭시아에스엠,11420,Dec-12,3386965,3386965,244196,244196
(주)갤럭시아에스엠,11420,Dec-13,3092608,3092608,258052,258052
(주)갤럭시아에스엠,11420,Dec-14,3055021,3055021,170073,170073
(주)갤럭시아에스엠,11420,Dec-15,2905233,2905233,428742,428742
(주)갤럭시아에스엠,11420,Dec-16,2588337,2588337,468225,468225
