회사명,거래소코드,회계년도,당기순이익(IFRS연결),자산(IFRS연결),당기순이익(IFRS개별),자산(IFRS개별)
(주)STX,11810,Dec-19,-33218000,560107000,-37142000,462734000
(주)TCC스틸,2710,Dec-11,4557868,454329510,6828699,407743559
(주)TCC스틸,2710,Dec-12,124581,547013976,4206491,438642951
(주)TCC스틸,2710,Dec-13,-19955830,543708595,391783,444204925
(주)TCC스틸,2710,Dec-14,-15813610,551000563,1022624,461297588
(주)TCC스틸,2710,Dec-15,-110218983,376394571,-140083396,330651742
(주)TCC스틸,2710,Dec-16,16948843,282914735,15468493,250878191
(주)TCC스틸,2710,Dec-17,1503708,278692540,-2328706,248896237
(주)TCC스틸,2710,Dec-18,9755131,304781579,7565000,268135677
(주)TCC스틸,2710,Dec-19,5037267,314210087,1996130,270265082
(주)가비아,79940,Dec-11,7014899,64954440,3262397,37295822
(주)가비아,79940,Dec-12,9419144,85244515,5737877,51795749
(주)가비아,79940,Dec-13,9505713,91231294,3786937,52151784
(주)가비아,79940,Dec-14,6752737,98544072,3076978,55984243
(주)가비아,79940,Dec-15,8530281,105081568,4288423,57657418
(주)가비아,79940,Dec-16,10177685,125796754,3544032,61160981
(주)가비아,79940,Dec-17,9669613,133382584,2493743,64986436
(주)가비아,79940,Dec-18,15340647,151440505,2762732,69315988
(주)가비아,79940,Dec-19,21102390,199916131,4654769,82964911
(주)강스템바이오텍,217730,Dec-15,,,-5754141,24982626
(주)강스템바이오텍,217730,Dec-16,,,-8300375,47441769
(주)강스템바이오텍,217730,Dec-17,-11531949,47198979,-10855842,44508729
(주)강스템바이오텍,217730,Dec-18,-14294032,73194018,-13500909,66184838
(주)강스템바이오텍,217730,Dec-19,-26394472,113643697,-25001590,98625925
(주)강원랜드,35250,Dec-11,381175313,2711401782,393401121,2730283806
(주)강원랜드,35250,Dec-12,306228988,2906655321,296503993,2915385756
(주)강원랜드,35250,Dec-13,297596347,3102036846,293129468,3105430200
(주)강원랜드,35250,Dec-14,359348568,3375127289,363815729,3380461682
(주)강원랜드,35250,Dec-15,441629101,3690791830,430459518,3688060027
(주)강원랜드,35250,Dec-16,454533659,3978987574,454998593,3975979890
(주)강원랜드,35250,Dec-17,437540507,4185657487,437096330,4182527382
(주)강원랜드,35250,Dec-18,297236881,4231241354,297320114,4229630541
(주)강원랜드,35250,Dec-19,334653892,4438119306,335609508,4436461953
(주)강원에너지,114190,Nov-11,,,5754715,53719067
(주)강원에너지,114190,Dec-12,,,8974549,89258208
(주)강원에너지,114190,Dec-13,,,3922208,72441333
(주)강원에너지,114190,Dec-14,,,1123194,67037639
(주)강원에너지,114190,Dec-15,102482,85457457,885783,80939019
(주)강원에너지,114190,Dec-16,-1125371,77186606,-762058,70850137
(주)강원에너지,114190,Dec-17,-6451819,93179394,-6291307,87781416
(주)강원에너지,114190,Dec-18,1708887,93845576,1977524,89619750
(주)강원에너지,114190,Dec-19,-35647438,56602063,-33460765,55106032
