회사명,거래소코드,회계년도,현금및현금성자산(IFRS연결),유동부채(IFRS연결),현금및현금성자산(IFRS개별),유동부채(IFRS개별)
(주)TCC스틸,2710,Dec-12,15783640,191715329,4197045,115747321
(주)TCC스틸,2710,Dec-13,13813767,155751890,2180002,98538725
(주)TCC스틸,2710,Dec-14,5864762,283660429,722769,189566139
(주)TCC스틸,2710,Dec-15,10425620,153614700,1974872,121276743
(주)TCC스틸,2710,Dec-16,8916043,94244692,2613057,77521428
(주)TCC스틸,2710,Dec-17,8669938,160048884,1131926,148607324
(주)TCC스틸,2710,Dec-18,23250080,93172096,7997147,82038987
(주)TCC스틸,2710,Dec-19,14972034,165995910,7102053,152915323
(주)가비아,79940,Dec-11,12010183,13905604,2780000,11953563
(주)가비아,79940,Dec-12,12997549,14858349,2796114,10723878
(주)가비아,79940,Dec-13,12326982,14999568,5301724,11588806
(주)가비아,79940,Dec-14,15906033,16229926,5358746,13161566
(주)가비아,79940,Dec-15,23217895,13210992,10289329,9687159
(주)가비아,79940,Dec-16,25443558,20386590,8482169,10247269
(주)가비아,79940,Dec-17,29957017,29400833,9988273,17323452
(주)가비아,79940,Dec-18,30287387,29792809,11624405,18089528
(주)가비아,79940,Dec-19,28753330,43098923,9410304,20260391
(주)강스템바이오텍,217730,Dec-15,,,6276859,2965591
(주)강스템바이오텍,217730,Dec-16,,,1928057,3231048
(주)강스템바이오텍,217730,Dec-17,3913815,6368374,3285357,4000962
(주)강스템바이오텍,217730,Dec-18,3221946,20056267,2330967,13802351
(주)강스템바이오텍,217730,Dec-19,7680863,20598774,4958531,15296868
(주)강원랜드,35250,Dec-11,53543055,440884890,47911170,439575361
(주)강원랜드,35250,Dec-12,88641431,518388305,79762299,516757053
(주)강원랜드,35250,Dec-13,166942949,570217325,129278198,568327002
(주)강원랜드,35250,Dec-14,101994727,624516570,93386077,619817290
(주)강원랜드,35250,Dec-15,105718151,664599978,103417087,662837030
(주)강원랜드,35250,Dec-16,92998434,718893173,91359339,717426075
(주)강원랜드,35250,Dec-17,105573030,681337932,103274379,680591144
(주)강원랜드,35250,Dec-18,48854127,636028473,47367942,635168405
(주)강원랜드,35250,Dec-19,60665205,651342607,59132599,650507914
(주)강원에너지,114190,Nov-11,,,15338009,29049482
(주)강원에너지,114190,Dec-12,,,5641573,52980413
(주)강원에너지,114190,Dec-13,,,29503809,26561224
(주)강원에너지,114190,Dec-14,,,11986633,16587078
(주)강원에너지,114190,Dec-15,31935364,18860326,28833575,26044865
(주)강원에너지,114190,Dec-16,15897705,12090212,13076248,17100077
(주)강원에너지,114190,Dec-17,14071336,33693980,13574774,36681993
(주)강원에너지,114190,Dec-18,19740265,43608244,19284502,40299772
(주)강원에너지,114190,Dec-19,3637753,30840573,3441069,27565065
(주)갤럭시아에스엠,11420,Dec-11,8833473,15665609,3728735,12001627
(주)갤럭시아에스엠,11420,Dec-12,7940525,13440442,5183088,12435097
(주)갤럭시아에스엠,11420,Dec-13,3244954,13503615,1739388,9491278
(주)갤럭시아에스엠,11420,Dec-14,2618862,17868979,1443990,14705118
(주)갤럭시아에스엠,11420,Dec-15,22026045,16873228,20544665,14961439
(주)갤럭시아에스엠,11420,Dec-16,19322377,12464561,17828659,9845511
(주)갤럭시아에스엠,11420,Dec-17,9869416,8744690,9433344,7871709
(주)갤럭시아에스엠,11420,Dec-18,8090099,6670268,7777946,6429460
(주)갤럭시아에스엠,11420,Dec-19,7595995,6311576,7595995,6311576
(주)경농,2100,Dec-11,11710551,24871768,7498227,24782041
(주)경농,2100,Dec-12,20177232,102878086,7345176,45244293
(주)경농,2100,Dec-13,10238398,72472377,9443216,40577371
(주)경농,2100,Dec-14,15918535,90426180,8965191,46610936
(주)경농,2100,Dec-15,14992457,114383542,6738899,75250424
(주)경농,2100,Dec-16,9556001,112348070,6182209,75688103
(주)경농,2100,Dec-17,13028475,121066567,6603091,78430974
(주)경농,2100,Dec-18,12294658,128301300,7489715,86896477
(주)경농,2100,Dec-19,11857938,122608005,8845351,80682497
(주)경동나비엔,9450,Dec-11,34225733,81664623,22321163,74711381
(주)경동나비엔,9450,Dec-12,41678552,100189444,30625150,87833093
(주)경동나비엔,9450,Dec-13,17195882,149468556,6600334,132677192
(주)경동나비엔,9450,Dec-14,19589424,186324883,5222837,156677220
(주)경동나비엔,9450,Dec-15,18074253,177125715,3930413,136609355
(주)경동나비엔,9450,Dec-16,22305248,177489101,11715848,135099803
(주)경동나비엔,9450,Dec-17,28758981,219839746,13181758,159637322
(주)경동나비엔,9450,Dec-18,26239934,275122471,7295634,191253920
(주)경동나비엔,9450,Dec-19,21216649,270253541,4031294,183748685
(주)경동도시가스,267290,Dec-17,60142913,334894003,58793029,334399752
(주)경동도시가스,267290,Dec-18,117457088,375912237,116124453,375445868
(주)경동도시가스,267290,Dec-19,98703307,321180745,97409412,320773519
(주)경동인베스트,12320,Dec-11,121850327,488755455,111824403,450578763
(주)경동인베스트,12320,Dec-12,203107568,649801248,195791209,612902677
(주)경동인베스트,12320,Dec-13,229518761,596199441,225577824,555649865
(주)경동인베스트,12320,Dec-14,216953359,550250914,206412753,449400573
(주)경동인베스트,12320,Dec-15,85839244,392919112,69895701,294859087
(주)경동인베스트,12320,Dec-16,81528317,337654347,64104545,259946634
(주)경동인베스트,12320,Dec-17,19740409,77526863,3014849,615156
(주)경동인베스트,12320,Dec-18,21929355,78414333,6558029,424952
(주)경동인베스트,12320,Dec-19,24131027,84662496,844317,7787239
(주)경방,50,Dec-11,12782820,406687562,5174403,362096037
(주)경방,50,Dec-12,11322343,164949423,3001666,121339742
(주)경방,50,Dec-13,10961535,135215333,3336528,88576434
(주)경방,50,Dec-14,8233336,409405729,4614857,388656785
(주)경방,50,Dec-15,6812712,185946014,3994381,143915877
(주)경방,50,Dec-16,7526164,155435755,3140578,120641481
(주)경방,50,Dec-17,9482362,319476563,4690160,249334914
(주)경방,50,Dec-18,6216234,163151849,3106555,102888605
(주)경방,50,Dec-19,13004343,192380293,3943861,150525799
(주)경보제약,214390,Dec-15,,,4404474,64542191
(주)경보제약,214390,Dec-16,,,4580309,72716830
(주)경보제약,214390,Dec-17,,,6403652,60379395
(주)경보제약,214390,Dec-18,,,4985877,69317865
(주)경보제약,214390,Dec-19,,,6768829,83814952
(주)경인양행,12610,Dec-11,7340151,107188765,1889398,64682274
(주)경인양행,12610,Dec-12,11181450,94090486,5366237,70551008
(주)경인양행,12610,Dec-13,10444006,108289018,4827047,88530619
(주)경인양행,12610,Dec-14,14231503,86323503,6209702,64009841
(주)경인양행,12610,Dec-15,15517379,109310448,6009956,81834318
(주)경인양행,12610,Dec-16,20050927,119502456,9578456,93552900
(주)경인양행,12610,Dec-17,20701609,124353660,9874709,93894860
(주)경인양행,12610,Dec-18,22190138,156924274,13933875,127936086
(주)경인양행,12610,Dec-19,25196562,192593606,14528394,154357193
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,674614,23125664
(주)고려시멘트,198440,Dec-18,,,957079,29601570
(주)고려시멘트,198440,Dec-19,,,4440035,27999091
(주)고영테크놀러지,98460,Dec-11,6380037,14902695,3495683,14154716
(주)고영테크놀러지,98460,Dec-12,7690194,15604806,4462533,14596799
(주)고영테크놀러지,98460,Dec-13,14728919,17831243,10708286,16476867
(주)고영테크놀러지,98460,Dec-14,19839993,20476391,13663044,18713887
(주)고영테크놀러지,98460,Dec-15,26590403,21007557,19238959,20345674
(주)고영테크놀러지,98460,Dec-16,46315100,27477608,27423899,26393379
(주)고영테크놀러지,98460,Dec-17,46011955,32283948,18027153,29687984
(주)고영테크놀러지,98460,Dec-18,23211456,40471875,17974338,38506988
(주)고영테크놀러지,98460,Dec-19,27196310,38413935,21194543,34506180
(주)골드앤에스,35290,Dec-11,146739,21734828,89979,21203833
(주)골드앤에스,35290,Dec-12,3115314,20697748,3077328,19364629
(주)골드앤에스,35290,Dec-13,179423,29802347,78920,22293201
(주)골드앤에스,35290,Dec-14,344315,25047175,124563,14232991
(주)골드앤에스,35290,Dec-15,528314,7942854,518920,7606920
(주)골드앤에스,35290,Dec-16,484456,3670098,480061,3460979
(주)골드앤에스,35290,Dec-17,2145751,3198537,2141862,3260731
(주)골드앤에스,35290,Dec-18,15251655,28003279,15251655,27915835
(주)골드앤에스,35290,Dec-19,758085,21055498,758085,20965017
(주)골드퍼시픽,38530,Dec-11,,,16434,2479288
(주)골드퍼시픽,38530,Dec-12,,,60768,3581856
(주)골드퍼시픽,38530,Dec-13,88951,10776770,61527,8833269
(주)골드퍼시픽,38530,Dec-14,111840,17941676,68836,8600544
(주)골드퍼시픽,38530,Dec-15,2952368,4089090,2952368,4089090
(주)골드퍼시픽,38530,Dec-16,,,2569857,6684024
(주)골드퍼시픽,38530,Dec-17,,,5318902,20748043
(주)골드퍼시픽,38530,Dec-18,12573791,12191199,11284708,11654119
(주)골드퍼시픽,38530,Dec-19,,,6350030,50456375
(주)골프존,215000,Dec-15,54542672,50803120,46502433,48712106
(주)골프존,215000,Dec-16,31360784,56451253,20815699,51807444
(주)골프존,215000,Dec-17,110551312,51918381,98346752,45867329
(주)골프존,215000,Dec-18,59128242,54339957,51114206,52508860
(주)골프존,215000,Dec-19,15998293,61066134,6842583,54396575
(주)골프존뉴딘홀딩스,121440,Dec-11,53605879,27175102,29363732,23959622
(주)골프존뉴딘홀딩스,121440,Dec-12,68545458,127906398,54425984,100380679
(주)골프존뉴딘홀딩스,121440,Dec-13,67806524,210617017,55936414,158799918
(주)골프존뉴딘홀딩스,121440,Dec-14,56762183,192439743,36422247,109937606
(주)골프존뉴딘홀딩스,121440,Dec-15,48461937,103565383,16122855,8367004
(주)골프존뉴딘홀딩스,121440,Dec-16,33048169,144628383,9134301,13600183
(주)골프존뉴딘홀딩스,121440,Dec-17,48015516,120725767,26578242,37343445
(주)골프존뉴딘홀딩스,121440,Dec-18,15853938,209277715,4854163,53590836
(주)골프존뉴딘홀딩스,121440,Dec-19,33530564,85327312,9703734,13311280
(주)광림,14200,Dec-11,,,4082746,23686842
(주)광림,14200,Dec-12,,,13004906,20807441
(주)광림,14200,Dec-13,,,19535985,28060377
(주)광림,14200,Dec-14,20288178,85772868,14590770,42077415
(주)광림,14200,Dec-15,,,18085910,54386273
(주)광림,14200,Dec-16,29041469,105795434,17268775,55787503
(주)광림,14200,Dec-17,31653363,73471288,8861213,162860814
(주)광림,14200,Dec-18,16397338,89327971,6830996,100481370
(주)광림,14200,Dec-19,17865642,148515736,14218915,126333888
(주)광명전기,17040,Dec-11,25218034,52472085,20492661,39343749
(주)광명전기,17040,Dec-12,30454595,59112462,23369413,44663856
(주)광명전기,17040,Dec-13,23723180,45597121,20117323,40492046
(주)광명전기,17040,Dec-14,26565473,53299701,22228384,47016155
(주)광명전기,17040,Dec-15,45899740,37684895,37378660,31780232
(주)광명전기,17040,Dec-16,39076080,43304256,31030103,32825028
(주)광명전기,17040,Dec-17,39903413,41093650,31893991,37309556
(주)광명전기,17040,Dec-18,35886794,36256155,27801048,30574801
(주)광명전기,17040,Dec-19,34288412,45133574,29030520,40976226
(주)광무,29480,Dec-11,6140429,33725662,6033301,32194731
(주)광무,29480,Dec-12,627277,20318859,623839,18995980
(주)광무,29480,Dec-13,530704,21611943,322924,14232527
(주)광무,29480,Dec-14,,,1716363,14741069
(주)광무,29480,Dec-15,,,1154089,6483577
(주)광무,29480,Dec-16,,,5376790,13291212
(주)광무,29480,Dec-17,,,971317,13555844
(주)광무,29480,Dec-18,2221412,14986294,392376,13577977
(주)광무,29480,Dec-19,17184794,36140360,14010999,32525952
(주)광주신세계,37710,Dec-11,,,32895700,66163614
(주)광주신세계,37710,Dec-12,,,43563398,65950254
(주)광주신세계,37710,Dec-13,,,4029567,145034010
(주)광주신세계,37710,Dec-14,,,2379769,100591603
(주)광주신세계,37710,Dec-15,,,11073538,167220829
(주)광주신세계,37710,Dec-16,,,923275,120554131
(주)광주신세계,37710,Dec-17,,,1330314,74984335
(주)광주신세계,37710,Dec-18,,,46940171,74818605
(주)광주신세계,37710,Dec-19,,,59444738,75664224
(주)구영테크,53270,Dec-11,1861222,104279859,683715,60331304
(주)구영테크,53270,Dec-12,5204007,115585365,1087527,72155820
(주)구영테크,53270,Dec-13,4116936,89109382,1686760,57510219
(주)구영테크,53270,Dec-14,3836784,79347724,1258805,48915659
(주)구영테크,53270,Dec-15,8693067,68834054,5730667,39444816
(주)구영테크,53270,Dec-16,8429682,67161561,5812352,37678727
(주)구영테크,53270,Dec-17,12868009,81848867,10845242,56414032
(주)구영테크,53270,Dec-18,4563937,75014258,3008028,43472159
(주)구영테크,53270,Dec-19,6189218,89345198,3697737,46819127
(주)국동,5320,Dec-11,3322590,55840092,954536,39383056
(주)국동,5320,Dec-12,2906481,49512946,13023,32784070
(주)국동,5320,Dec-13,1971553,51305589,265279,33963447
(주)국동,5320,Dec-14,7711945,43845038,5562946,30973623
(주)국동,5320,Dec-15,10502885,44926359,819445,36237475
(주)국동,5320,Dec-16,12322601,47910562,8603053,30079724
(주)국동,5320,Dec-17,3794622,48234584,2611600,32582779
(주)국동,5320,Dec-18,2166123,63170690,700614,38965464
(주)국동,5320,Dec-19,6285361,42862482,3765060,25921567
(주)국보,1140,Dec-11,679464,54216640,471532,53436541
(주)국보,1140,Dec-12,1214169,53242160,455417,51610685
(주)국보,1140,Dec-13,582680,55559279,299706,54445568
(주)국보,1140,Dec-14,635179,55303602,362650,54035255
(주)국보,1140,Dec-15,434501,52453525,204562,51329699
(주)국보,1140,Dec-16,325360,54893083,134391,53668775
(주)국보,1140,Dec-17,989475,45812874,915034,44683851
(주)국보,1140,Dec-18,374556,28126737,260748,27888972
(주)국보,1140,Dec-19,5572861,75280895,2500594,36694538
(주)국보디자인,66620,Dec-11,5281816,31069394,3634350,29769233
(주)국보디자인,66620,Dec-12,13259781,34306810,13095380,33598419
(주)국보디자인,66620,Dec-13,10572561,59554141,7331807,54303853
(주)국보디자인,66620,Dec-14,8152883,54113739,7856488,51738972
(주)국보디자인,66620,Dec-15,10481462,54622328,7927974,50472332
(주)국보디자인,66620,Dec-16,12617207,66972237,11219991,66004387
(주)국보디자인,66620,Dec-17,26550428,61606792,25665626,60446916
(주)국보디자인,66620,Dec-18,16160182,62027834,14638346,53791955
(주)국보디자인,66620,Dec-19,15351377,94320054,8534734,80917421
(주)국순당,43650,Dec-11,48340287,16472336,45220429,15617190
(주)국순당,43650,Dec-12,51514086,13830374,48720964,12855993
(주)국순당,43650,Dec-13,53321435,13705357,46576427,11998667
(주)국순당,43650,Dec-14,37463095,14219171,28362456,13596481
(주)국순당,43650,Dec-15,37751657,10740663,27506931,11430600
(주)국순당,43650,Dec-16,24730729,10786059,18267448,9512046
(주)국순당,43650,Dec-17,36104178,12226432,30565158,10643502
(주)국순당,43650,Dec-18,24841713,11783237,20647625,10033456
(주)국순당,43650,Dec-19,36376370,33853250,27595557,6655759
(주)국영지앤엠,6050,Dec-11,,,928719,16858375
(주)국영지앤엠,6050,Dec-12,,,7221728,6229917
(주)국영지앤엠,6050,Dec-13,,,12652292,12262531
(주)국영지앤엠,6050,Dec-14,,,11314239,7438655
(주)국영지앤엠,6050,Dec-15,,,12467190,12570854
(주)국영지앤엠,6050,Dec-16,,,10198910,11692874
(주)국영지앤엠,6050,Dec-17,,,7287033,11239458
(주)국영지앤엠,6050,Dec-18,,,9595253,8586831
(주)국영지앤엠,6050,Dec-19,,,9462857,12276270
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,54613232,340898793,10371937,114323068
(주)그래디언트,35080,Dec-12,42853941,269391513,2967892,28699017
(주)그래디언트,35080,Dec-13,101729470,720884668,499132,45004312
(주)그래디언트,35080,Dec-14,196754526,878695192,311591,21743894
(주)그래디언트,35080,Dec-15,121906079,1068144809,1967,29615650
(주)그래디언트,35080,Dec-16,139604598,1146717741,601,10522707
(주)그래디언트,35080,Dec-17,133905382,976373594,6026,10030244
(주)그래디언트,35080,Dec-18,168076807,1016015610,920087,9355864
(주)그래디언트,35080,Dec-19,143135378,980078258,15603,12382091
(주)그리티,204020,Dec-18,259218,17801728,180218,9013548
(주)그리티,204020,Dec-19,1068615,17294799,387547,11324485
(주)그린플러스,186230,Dec-19,4837160,17448583,5627371,13388362
(주)글로벌스탠다드테크놀로지,83450,Dec-11,3863326,22182733,3124807,21127458
(주)글로벌스탠다드테크놀로지,83450,Dec-12,8776984,15995521,6645462,14333160
(주)글로벌스탠다드테크놀로지,83450,Dec-13,9300747,17024585,8040600,16711997
(주)글로벌스탠다드테크놀로지,83450,Dec-14,18149434,16020729,15419539,16105582
(주)글로벌스탠다드테크놀로지,83450,Dec-15,15546834,10452602,13548895,9913536
(주)글로벌스탠다드테크놀로지,83450,Dec-16,12768576,25498390,10453631,23514395
(주)글로벌스탠다드테크놀로지,83450,Dec-17,19097277,21709365,14444834,19442714
(주)글로벌스탠다드테크놀로지,83450,Dec-18,11785443,17071170,8106940,12624416
(주)글로벌스탠다드테크놀로지,83450,Dec-19,25567080,31060762,17494536,29260908
(주)금비,8870,Sep-11,6607928,38411265,5053664,25124929
(주)금비,8870,Sep-12,11591764,37472924,153881,22141852
(주)금비,8870,Sep-13,10212513,42128218,810380,27380025
(주)금비,8870,Sep-14,15984136,44141036,1050648,28640135
(주)금비,8870,Sep-15,20864750,59508146,2804214,44793831
(주)금비,8870,Sep-16,27863357,60713233,1661367,43734172
(주)금비,8870,Sep-17,28981089,47059198,1726995,29695933
(주)금비,8870,Sep-18,32076574,48212198,836547,30791918
(주)금비,8870,Sep-19,34007097,56464526,4093309,39318493
(주)금양,1570,Dec-11,13002717,73872403,10098518,70798828
(주)금양,1570,Dec-12,17534641,63820848,12319655,64574150
(주)금양,1570,Dec-13,11080984,83935212,6454730,80447090
(주)금양,1570,Dec-14,29099311,74016116,10161698,76183554
(주)금양,1570,Dec-15,25117840,96536475,7012599,103101393
(주)금양,1570,Dec-16,17328617,133837229,7297926,142130744
(주)금양,1570,Dec-17,14688418,128670679,7079020,129674554
(주)금양,1570,Dec-18,22511539,114567408,9560117,103571108
(주)금양,1570,Dec-19,29324015,140191066,19127845,125859242
(주)금호에이치티,214330,Dec-15,742412,38988266,163457,24870413
(주)금호에이치티,214330,Dec-16,4648006,49574660,3023868,38336002
(주)금호에이치티,214330,Dec-17,7211370,46752476,315187,36201695
(주)금호에이치티,214330,Dec-18,43575223,86743745,39590284,72419369
(주)금호에이치티,214330,Dec-19,64426161,132504381,61407213,117617127
(주)금화피에스시,36190,Dec-11,,,2309796,15024390
(주)금화피에스시,36190,Dec-12,,,3454384,10205746
(주)금화피에스시,36190,Dec-13,2694803,21706304,2199364,19336152
(주)금화피에스시,36190,Dec-14,8385311,20654148,6071381,16975082
(주)금화피에스시,36190,Dec-15,16992167,34447722,12944851,30915038
(주)금화피에스시,36190,Dec-16,21004167,40632631,18014435,36289085
(주)금화피에스시,36190,Dec-17,23281103,41410742,20535992,38567258
(주)금화피에스시,36190,Dec-18,24232563,36350520,20743841,29577129
(주)금화피에스시,36190,Dec-19,32113492,38745095,23669371,24897188
(주)기가레인,49080,Dec-13,22445030,38143028,21989482,38765136
(주)기가레인,49080,Dec-14,10892437,33237888,10480897,33505335
(주)기가레인,49080,Dec-15,16930986,56716336,14701071,54266141
(주)기가레인,49080,Dec-16,9619384,71210116,7952587,68624696
(주)기가레인,49080,Dec-17,7394924,77579452,6264828,75490417
(주)기가레인,49080,Dec-18,6526724,80323500,4328154,79426309
(주)기가레인,49080,Dec-19,5853130,62344306,4703325,62074744
(주)기산텔레콤,35460,Dec-11,4783873,42276066,3764073,23188759
(주)기산텔레콤,35460,Dec-12,14067531,36476208,9666459,10369400
(주)기산텔레콤,35460,Dec-13,13512852,35626324,9017924,19491363
(주)기산텔레콤,35460,Dec-14,14133337,33854674,12118517,15059287
(주)기산텔레콤,35460,Dec-15,22741404,25981076,20701295,12698167
(주)기산텔레콤,35460,Dec-16,16070259,30567279,10748143,8843745
(주)기산텔레콤,35460,Dec-17,15802190,25198661,12520760,6983519
(주)기산텔레콤,35460,Dec-18,7759395,20046567,5986416,4028228
(주)기산텔레콤,35460,Dec-19,14470449,22745330,13458087,6669939
(주)까뮤이앤씨,13700,Dec-11,,,15988304,183133830
(주)까뮤이앤씨,13700,Dec-12,,,3224597,127125606
(주)까뮤이앤씨,13700,Dec-13,,,2827517,117022705
(주)까뮤이앤씨,13700,Dec-14,,,4373134,82444941
(주)까뮤이앤씨,13700,Dec-15,,,3225750,62671855
(주)까뮤이앤씨,13700,Dec-16,,,132117,80617080
(주)까뮤이앤씨,13700,Dec-17,,,5482239,69694223
(주)까뮤이앤씨,13700,Dec-18,,,3501559,62380687
(주)까뮤이앤씨,13700,Dec-19,,,18379991,52784080
(주)까스텔바작,308100,Dec-19,15122601,9931371,15070073,9702477
(주)나노,187790,Dec-14,,,,
(주)나노,187790,Dec-15,3214353,39042763,2392642,22953100
(주)나노,187790,Dec-16,3411306,39150040,1666029,24091883
(주)나노,187790,Dec-17,4796891,37817466,3530412,17801339
(주)나노,187790,Dec-18,7605065,42133296,3240912,19430902
(주)나노,187790,Dec-19,8927634,43147371,6895910,23888319
(주)나노브릭,286750,Dec-19,906003,8726057,906003,8726057
(주)나노신소재,121600,Dec-11,7990206,9523516,7710287,9521318
