회사명,거래소코드,회계년도,부가가치(IFRS연결),인건비(IFRS연결),부가가치(IFRS개별),인건비(IFRS개별)
(주)STX,11810,Dec-16,-345167,64933,-408612,9722
(주)STX,11810,Dec-17,416114,52472,366717,9265
(주)STX,11810,Dec-18,83521,54450,28236,9581
(주)STX,11810,Dec-19,51064,61618,-15090,9440
(주)TCC스틸,2710,Dec-11,50799.6,31741.46,47387.55,27343.36
(주)TCC스틸,2710,Dec-12,49856.28,31364.2,44247.81,25858.96
(주)TCC스틸,2710,Dec-13,40058.31,40300.68,37086.29,23854.36
(주)TCC스틸,2710,Dec-14,66638.24,56610.96,38278.43,24331.48
(주)TCC스틸,2710,Dec-15,46811.29,48734.92,-113808.25,24885.12
(주)TCC스틸,2710,Dec-16,81464.7,46664.61,53606.1,23013.72
(주)TCC스틸,2710,Dec-17,61493.36,47434.45,30346.26,22418.37
(주)TCC스틸,2710,Dec-18,75995.51,52444.71,44068.24,26194.12
(주)TCC스틸,2710,Dec-19,74428.93,53640.45,42215.18,26954.44
(주)가비아,79940,Dec-11,25788.11,12357.14,15017.54,8193.77
(주)가비아,79940,Dec-12,31058.09,15463.28,17319.4,10109.25
(주)가비아,79940,Dec-13,32828.8,16961.99,16859.32,10194.8
(주)가비아,79940,Dec-14,34179.94,18747.79,19430.85,11782.45
(주)가비아,79940,Dec-15,41698.24,21669.17,22440.14,13261.22
(주)가비아,79940,Dec-16,45412.89,26464.1,23132.9,14983.16
(주)가비아,79940,Dec-17,48683,29193.46,22812.97,15767.48
(주)가비아,79940,Dec-18,62241.08,35863.18,24805.77,17248.32
(주)가비아,79940,Dec-19,133089.93,72513.48,29591.96,18009.81
(주)강스템바이오텍,217730,Dec-15,,,-2880.72,1361.92
(주)강스템바이오텍,217730,Dec-16,,,-5090.69,4771.56
(주)강스템바이오텍,217730,Dec-17,-646.49,7236.68,-2123.85,5524.3
(주)강스템바이오텍,217730,Dec-18,-3330.3,8742.06,-5971.99,5756.61
(주)강스템바이오텍,217730,Dec-19,-13446.01,11035.17,-16534.36,7363.79
(주)강원랜드,35250,Dec-11,778291.81,252924.88,783195.28,244732.64
(주)강원랜드,35250,Dec-12,712817.68,282200.01,693820.93,272959.13
(주)강원랜드,35250,Dec-13,837925.02,333458.27,824512.27,325240.56
(주)강원랜드,35250,Dec-14,904075.49,292097.04,899930.11,285504.39
(주)강원랜드,35250,Dec-15,1021274.04,299998.77,1001297.65,295698.15
(주)강원랜드,35250,Dec-16,1043222,312176.01,1037898.56,309232.74
(주)강원랜드,35250,Dec-17,1000137.64,321795.37,1011578.3,319111.75
(주)강원랜드,35250,Dec-18,833429.97,331551.26,846353.62,329927.71
(주)강원랜드,35250,Dec-19,908009,291704.76,906619.21,290071.4
(주)강원에너지,114190,Nov-11,,,12844.61,5553.48
(주)강원에너지,114190,Dec-12,,,18760.61,7369.58
(주)강원에너지,114190,Dec-13,,,12256.79,7056.33
(주)강원에너지,114190,Dec-14,,,8510.74,7196.82
(주)강원에너지,114190,Dec-15,7820.6,6820.9,9171.31,7367.08
(주)강원에너지,114190,Dec-16,8145.29,6822.35,8913.55,7193.81
(주)강원에너지,114190,Dec-17,687.17,7126.53,713.82,7113.68
(주)강원에너지,114190,Dec-18,11600.03,6943.74,11569.08,6811.18
(주)강원에너지,114190,Dec-19,-24497.97,7565.83,-22522.15,7564.87
(주)갤럭시아에스엠,11420,Dec-11,16289.29,4434.87,14937.6,3111.78
(주)갤럭시아에스엠,11420,Dec-12,11304.39,4497.23,9721.11,3242.29
(주)갤럭시아에스엠,11420,Dec-13,4540.45,3773.46,3928.36,3186.5
(주)갤럭시아에스엠,11420,Dec-14,5477.95,4725.99,3400.02,3576.65
(주)갤럭시아에스엠,11420,Dec-15,10705.78,6515.03,10216.63,5470.6
