회사명,거래소코드,회계년도,매출액(IFRS연결),매출채권(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),매출채권(IFRS개별),재고자산(IFRS개별)
(주)SNT홀딩스,36530,Dec-13,1576368464,364300144,311174402,8826810,624553,0
(주)SNT홀딩스,36530,Dec-14,1552374806,318803347,283952471,7701882,608494,0
(주)SNT홀딩스,36530,Dec-15,1612746929,317287946,268780766,8475099,647243,0
(주)SNT홀딩스,36530,Dec-16,1537700275,331347025,236908975,9818190,647920,0
(주)SNT홀딩스,36530,Dec-17,1508152132,317573551,215870141,7417869,558857,0
(주)SNT홀딩스,36530,Dec-18,1401307482,282698019,220256725,7292112,595784,0
(주)SNT홀딩스,36530,Dec-19,1512114565,323871429,229809615,11015928,570175,0
(주)STX,11810,Dec-11,5967701000,549558000,315306000,4173397000,433389000,240418000
(주)STX,11810,Dec-12,6159850000,585650000,182590000,4116767000,407542000,108537000
(주)STX,11810,Dec-13,2449401000,318920000,94076000,1895063000,264240000,47749000
(주)STX,11810,Dec-14,1634606000,231173000,207648000,1291351000,240745000,148535000
(주)STX,11810,Dec-15,1630827000,196846000,316312000,1362127000,192082000,143454000
(주)STX,11810,Dec-16,1720153000,151385000,226131000,1465561000,225461000,139765000
(주)STX,11810,Dec-17,1803878000,150002000,181620000,1595494000,148268000,103343000
(주)STX,11810,Dec-18,1502985000,168448000,129417000,1329890000,124416000,89120000
(주)STX,11810,Dec-19,1471164000,184444000,118778000,1237876000,149459000,89664000
(주)TCC스틸,2710,Dec-11,514424043,80665225,79633257,456928069,67618018,76580688
(주)TCC스틸,2710,Dec-12,501337475,71112902,100648536,440568155,65092634,75866000
(주)TCC스틸,2710,Dec-13,500832754,68316114,117184576,419483813,56753518,62722660
(주)TCC스틸,2710,Dec-14,518995240,86970515,124343812,401323585,60593854,59114758
(주)TCC스틸,2710,Dec-15,495795871,67719623,48965898,350074629,42872200,45683627
(주)TCC스틸,2710,Dec-16,444453635,57654611,51850499,317235565,48126701,44890754
(주)TCC스틸,2710,Dec-17,391370092,48408783,52771855,333762378,43217757,48077587
(주)TCC스틸,2710,Dec-18,413176279,42246665,69197191,351301866,41140973,62280830
(주)TCC스틸,2710,Dec-19,437173902,45242999,72619098,339334364,33268239,67392895
(주)가비아,79940,Dec-11,52838864,4866865,14450,33792831,1964346,14450
(주)가비아,79940,Dec-12,69058144,6524566,248459,38482449,2041083,92459
(주)가비아,79940,Dec-13,70675565,6448247,93612,40507693,1986939,81039
(주)가비아,79940,Dec-14,80432047,0,0,43906243,2648057,0
(주)가비아,79940,Dec-15,91648622,8120801,0,48446932,2327391,0
(주)가비아,79940,Dec-16,102178978,14103577,1363738,49430564,2458491,0
(주)가비아,79940,Dec-17,116217941,19164658,1675464,52365659,2897556,0
(주)가비아,79940,Dec-18,128728438,20324111,1982294,55197652,2873894,0
(주)가비아,79940,Dec-19,148306878,25159207,2643604,58254105,3227148,0
(주)강스템바이오텍,217730,Dec-15,,,,1484593,298840,334913
(주)강스템바이오텍,217730,Dec-16,,,,842805,170110,582808
(주)강스템바이오텍,217730,Dec-17,9132939,440984,1725225,5394323,173608,1725225
(주)강스템바이오텍,217730,Dec-18,9165454,2038576,1918575,1001039,1024620,501972
(주)강스템바이오텍,217730,Dec-19,6004584,1209654,266393,282069,1024806,34319
(주)강원랜드,35250,Dec-11,1265686425,6134126,2245975,1263651213,6107094,2245975
(주)강원랜드,35250,Dec-12,1296191223,7667585,1200611,1292896121,6916800,1200611
(주)강원랜드,35250,Dec-13,1361286598,7394704,1493306,1356906162,7277032,1493306
(주)강원랜드,35250,Dec-14,1496541441,6582920,1204918,1492291312,6379925,1204918
(주)강원랜드,35250,Dec-15,1633716839,5436891,1621646,1630976696,5366515,1621646
(주)강원랜드,35250,Dec-16,1696532511,5089200,1309513,1694575212,5028255,1309513
(주)강원랜드,35250,Dec-17,1604470055,5442780,1299617,1602901764,5425603,1299617
