회사명,거래소코드,회계년도,당기유동자산(IFRS연결),전기유동자산(IFRS연결),당기유동자산(IFRS개별),전기유동자산(IFRS개별)
(주)TCC스틸,2710,Dec-11,183481284,183481284,163515113,163515113
(주)TCC스틸,2710,Dec-12,218440703,218440703,168674581,168674581
(주)TCC스틸,2710,Dec-13,220034732,220034732,150092488,150092488
(주)TCC스틸,2710,Dec-14,233224033,233224033,141191905,141191905
(주)TCC스틸,2710,Dec-15,240184174,240184174,202116240,202116240
(주)TCC스틸,2710,Dec-16,120777516,120777516,97007914,97007914
(주)TCC스틸,2710,Dec-17,120243911,120243911,101914014,101914014
(주)TCC스틸,2710,Dec-18,152165969,152165969,128625665,128625665
(주)TCC스틸,2710,Dec-19,148991647,148991647,121879909,121879909
(주)가비아,79940,Dec-11,28837190,28837190,9245779,9245779
(주)가비아,79940,Dec-12,31997486,31997486,9613034,9613034
(주)가비아,79940,Dec-13,37411881,37411881,10360239,10360239
(주)가비아,79940,Dec-14,41920706,41920708,14916105,14916105
(주)가비아,79940,Dec-15,52239105,52239105,17436488,17436488
(주)가비아,79940,Dec-16,60241586,60241586,12237594,12237594
(주)가비아,79940,Dec-17,66113388,66113388,15116578,15116578
(주)가비아,79940,Dec-18,78058272,78058272,18388749,18388749
(주)가비아,79940,Dec-19,86880807,86880807,13602872,13602872
(주)강스템바이오텍,217730,Dec-15,,,18896590,18896590
(주)강스템바이오텍,217730,Dec-16,,37966496,37966496,37966496
(주)강스템바이오텍,217730,Dec-17,25246012,25246012,24316617,24316617
(주)강스템바이오텍,217730,Dec-18,48992790,48992790,44071609,44071609
(주)강스템바이오텍,217730,Dec-19,55408095,55408095,50136013,50136013
(주)강원랜드,35250,Dec-11,1163791156,1163791156,1116717650,1116717650
(주)강원랜드,35250,Dec-12,1165450728,1165450728,1117338850,1117338850
(주)강원랜드,35250,Dec-13,1080401909,1080401909,1032979185,1032979185
(주)강원랜드,35250,Dec-14,1371825587,1371825587,1349601870,1349601870
(주)강원랜드,35250,Dec-15,1750420316,1750420316,1736167993,1736167993
(주)강원랜드,35250,Dec-16,1809513458,1809513458,1799026863,1799026863
(주)강원랜드,35250,Dec-17,2164296051,2164296051,2155754572,2155754572
(주)강원랜드,35250,Dec-18,1759033105,1759033105,1749493012,1749493012
(주)강원랜드,35250,Dec-19,1878191161,1878191161,1868365557,1868365557
(주)강원에너지,114190,Nov-11,,,47950975,47950975
(주)강원에너지,114190,Dec-12,,,80491240,80491240
(주)강원에너지,114190,Dec-13,,,61556228,61556228
(주)강원에너지,114190,Dec-14,,48800730,48800730,48800730
(주)강원에너지,114190,Dec-15,62927388,62927388,58744703,58744703
(주)강원에너지,114190,Dec-16,53716336,53716336,49882033,49882033
(주)강원에너지,114190,Dec-17,68068421,68068421,66557788,66557788
(주)강원에너지,114190,Dec-18,70556730,70556730,70097814,70097814
(주)강원에너지,114190,Dec-19,30544232,30544232,30346449,30346449
(주)갤럭시아에스엠,11420,Dec-11,24658098,24658098,17322791,17322791
(주)갤럭시아에스엠,11420,Dec-12,24752609,24752609,21665386,21665386
(주)갤럭시아에스엠,11420,Dec-13,19899780,19899780,15680160,15680160
(주)갤럭시아에스엠,11420,Dec-14,26742964,25155935,21910144,19973020
(주)갤럭시아에스엠,11420,Dec-15,44426010,44426010,40480215,40480215
(주)갤럭시아에스엠,11420,Dec-16,37929417,37929417,33508731,33508731
(주)갤럭시아에스엠,11420,Dec-17,28750883,28750883,25522603,25522603
(주)갤럭시아에스엠,11420,Dec-18,14251248,14251248,14317048,14317048
(주)갤럭시아에스엠,11420,Dec-19,13644588,,13644588,13644588
(주)경농,2100,Dec-11,94363834,94363834,85897543,85897543
(주)경농,2100,Dec-12,142516976,,88973571,88973571
(주)경농,2100,Dec-13,129526582,129526582,90491612,90491612
(주)경농,2100,Dec-14,139646908,139646908,92163573,92163573
(주)경농,2100,Dec-15,161184139,161184139,110823037,110823037
(주)경농,2100,Dec-16,156061222,156061222,113338004,113338004
(주)경농,2100,Dec-17,163437464,163437464,114661596,114661596
(주)경농,2100,Dec-18,169982099,169982099,124295854,124295854
(주)경농,2100,Dec-19,185020093,185020093,138697201,138697201
(주)경동나비엔,9450,Dec-11,129512842,129512842,109967953,109967953
(주)경동나비엔,9450,Dec-12,145371681,,123218302,123218302
(주)경동나비엔,9450,Dec-13,134043087,134043087,104914630,104914630
(주)경동나비엔,9450,Dec-14,159947056,159947056,134136648,134136648
(주)경동나비엔,9450,Dec-15,158254944,158254944,129837058,129837058
(주)경동나비엔,9450,Dec-16,175420277,175420277,145915928,145915928
(주)경동나비엔,9450,Dec-17,230894567,230894567,175839342,175839342
(주)경동나비엔,9450,Dec-18,287001959,287001959,209454208,209454208
(주)경동나비엔,9450,Dec-19,274279157,274279157,214093729,214093729
(주)경동도시가스,267290,Dec-17,376858740,376858740,374489353,374489353
(주)경동도시가스,267290,Dec-18,444232799,444232799,441723742,441723742
(주)경동도시가스,267290,Dec-19,395154174,395154174,392458231,392458231
(주)경동인베스트,12320,Dec-11,610411619,610411619,563584969,563584969
(주)경동인베스트,12320,Dec-12,814034002,814034002,753036515,753036515
(주)경동인베스트,12320,Dec-13,778164231,778164231,724069045,724069045
(주)경동인베스트,12320,Dec-14,766552554,766552554,631297926,631297926
(주)경동인베스트,12320,Dec-15,571798491,571798491,459634757,459634757
(주)경동인베스트,12320,Dec-16,508994824,508994824,394847821,394847821
(주)경동인베스트,12320,Dec-17,238339688,238339688,110951332,110951332
(주)경동인베스트,12320,Dec-18,188460289,188460289,44742051,44742051
(주)경동인베스트,12320,Dec-19,236475693,236475693,44653640,44653640
(주)경방,50,Dec-11,138673371,137246473,123787600,122350807
(주)경방,50,Dec-12,123685731,123685731,101710997,101710997
(주)경방,50,Dec-13,103410904,103410904,79482802,79482802
(주)경방,50,Dec-14,101229398,101229398,83665762,83665762
(주)경방,50,Dec-15,108093423,108093423,83760073,83760073
(주)경방,50,Dec-16,106002223,106002223,80538917,80538917
(주)경방,50,Dec-17,90254697,90254697,71472590,71472590
(주)경방,50,Dec-18,120711492,120711492,88159568,88159568
(주)경방,50,Dec-19,264861016,264861016,223798878,223798878
(주)경보제약,214390,Dec-15,,,105108130,105108130
(주)경보제약,214390,Dec-16,,,102226920,102226920
(주)경보제약,214390,Dec-17,,,110638039,110638039
(주)경보제약,214390,Dec-18,,,128936315,128936315
(주)경보제약,214390,Dec-19,,,124176490,124176490
(주)경인양행,12610,Dec-11,166259207,173436585,99039937,99039937
(주)경인양행,12610,Dec-12,146242797,146242797,94723927,94723927
(주)경인양행,12610,Dec-13,175887375,175887375,123143650,123143650
(주)경인양행,12610,Dec-14,164606526,164606526,107227115,107227115
(주)경인양행,12610,Dec-15,176664098,176664098,113173448,113173448
(주)경인양행,12610,Dec-16,191409058,191409058,126364739,126364739
(주)경인양행,12610,Dec-17,193184742,193184742,125062666,125062666
(주)경인양행,12610,Dec-18,234817064,234817064,165167110,165167110
(주)경인양행,12610,Dec-19,251884675,251884675,172620331,172620331
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,38542950,38542950
(주)고려시멘트,198440,Dec-18,,,49955334,49955334
(주)고려시멘트,198440,Dec-19,,,46591282,46591282
(주)고영테크놀러지,98460,Dec-11,63304178,63304178,61560094,61560094
(주)고영테크놀러지,98460,Dec-12,77857574,77857574,75787332,75787332
(주)고영테크놀러지,98460,Dec-13,94895999,94895999,93556579,93556579
(주)고영테크놀러지,98460,Dec-14,108649874,108649874,107119140,107119140
(주)고영테크놀러지,98460,Dec-15,121834639,121834639,124933566,124933566
(주)고영테크놀러지,98460,Dec-16,154891864,154891864,156029191,156029191
(주)고영테크놀러지,98460,Dec-17,161356541,161356541,159374622,159374622
(주)고영테크놀러지,98460,Dec-18,227563739,227563739,231667150,231667150
(주)고영테크놀러지,98460,Dec-19,225797248,225797248,229213476,229213476
(주)골드앤에스,35290,Dec-11,23477041,23477041,23165184,23165184
(주)골드앤에스,35290,Dec-12,26661256,26661256,27310447,27310447
(주)골드앤에스,35290,Dec-13,15792977,15792977,17985887,17985887
(주)골드앤에스,35290,Dec-14,15072221,15072221,15782408,15782408
(주)골드앤에스,35290,Dec-15,15364121,15364121,15122533,15122533
(주)골드앤에스,35290,Dec-16,8660668,7854568,8552277,7746177
(주)골드앤에스,35290,Dec-17,10831000,10831000,10974294,10974294
(주)골드앤에스,35290,Dec-18,21031370,21097360,21031370,21097360
(주)골드앤에스,35290,Dec-19,3910189,3910189,3910189,3910189
(주)골드퍼시픽,38530,Dec-11,,,15105931,15105931
(주)골드퍼시픽,38530,Dec-12,,19029706,19029706,19029706
(주)골드퍼시픽,38530,Dec-13,16708814,16708814,15961156,15961156
(주)골드퍼시픽,38530,Dec-14,23894969,23894969,15761409,15761409
(주)골드퍼시픽,38530,Dec-15,14304863,,14304863,14304863
(주)골드퍼시픽,38530,Dec-16,,,5438550,5438550
(주)골드퍼시픽,38530,Dec-17,,17215160,17215160,17215160
(주)골드퍼시픽,38530,Dec-18,23990386,,22006122,23990386
(주)골드퍼시픽,38530,Dec-19,,,28455147,28455147
(주)골프존,215000,Dec-15,81295773,81295773,71290784,71290784
(주)골프존,215000,Dec-16,89781733,89781733,75788492,75788492
(주)골프존,215000,Dec-17,160591890,160591890,142686039,142686039
(주)골프존,215000,Dec-18,145265354,145265354,134088763,134088763
(주)골프존,215000,Dec-19,81730468,81730468,70491340,70491340
(주)골프존뉴딘홀딩스,121440,Dec-11,276277197,276277197,249046740,249046740
(주)골프존뉴딘홀딩스,121440,Dec-12,267312187,267312187,267719852,267719852
(주)골프존뉴딘홀딩스,121440,Dec-13,280228001,280228001,315880696,315880696
