회사명,거래소코드,회계년도,매출액(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),재고자산(IFRS개별)
(주)TCC스틸,2710,Dec-12,501337475,100648536,440568155,75866000
(주)TCC스틸,2710,Dec-13,500832754,117184576,419483813,62722660
(주)TCC스틸,2710,Dec-14,518995240,124343812,401323585,59114758
(주)TCC스틸,2710,Dec-15,495795871,48965898,350074629,45683627
(주)TCC스틸,2710,Dec-16,444453635,51850499,317235565,44890754
(주)TCC스틸,2710,Dec-17,391370092,52771855,333762378,48077587
(주)TCC스틸,2710,Dec-18,413176279,69197191,351301866,62280830
(주)TCC스틸,2710,Dec-19,437173902,72619098,339334364,67392895
(주)가비아,79940,Dec-11,52838864,14450,33792831,14450
(주)가비아,79940,Dec-12,69058144,248459,38482449,92459
(주)가비아,79940,Dec-13,70675565,93612,40507693,81039
(주)가비아,79940,Dec-14,80432047,0,43906243,0
(주)가비아,79940,Dec-15,91648622,0,48446932,0
(주)가비아,79940,Dec-16,102178978,1363738,49430564,0
(주)가비아,79940,Dec-17,116217941,1675464,52365659,0
(주)가비아,79940,Dec-18,128728438,1982294,55197652,0
(주)가비아,79940,Dec-19,148306878,2643604,58254105,0
(주)강스템바이오텍,217730,Dec-15,,,1484593,334913
(주)강스템바이오텍,217730,Dec-16,,,842805,582808
(주)강스템바이오텍,217730,Dec-17,9132939,1725225,5394323,1725225
(주)강스템바이오텍,217730,Dec-18,9165454,1918575,1001039,501972
(주)강스템바이오텍,217730,Dec-19,6004584,266393,282069,34319
(주)강원랜드,35250,Dec-11,1265686425,2245975,1263651213,2245975
(주)강원랜드,35250,Dec-12,1296191223,1200611,1292896121,1200611
(주)강원랜드,35250,Dec-13,1361286598,1493306,1356906162,1493306
(주)강원랜드,35250,Dec-14,1496541441,1204918,1492291312,1204918
(주)강원랜드,35250,Dec-15,1633716839,1621646,1630976696,1621646
(주)강원랜드,35250,Dec-16,1696532511,1309513,1694575212,1309513
(주)강원랜드,35250,Dec-17,1604470055,1299617,1602901764,1299617
(주)강원랜드,35250,Dec-18,1438059299,1148805,1436042435,1143581
(주)강원랜드,35250,Dec-19,1520080449,3636529,1517612252,3631307
(주)강원에너지,114190,Nov-11,,,50222892,3989692
(주)강원에너지,114190,Dec-12,,,106471214,3808870
(주)강원에너지,114190,Dec-13,,,50660659,2086978
(주)강원에너지,114190,Dec-14,,,51481321,1736909
(주)강원에너지,114190,Dec-15,46188664,1233999,48852892,1233999
(주)강원에너지,114190,Dec-16,42287473,335220,44448760,335220
(주)강원에너지,114190,Dec-17,82034829,361382,83113029,361382
(주)강원에너지,114190,Dec-18,85905365,543737,85905365,543737
(주)강원에너지,114190,Dec-19,42549622,118784,42549622,118784
(주)갤럭시아에스엠,11420,Dec-11,47331427,20209,31931418,0
(주)갤럭시아에스엠,11420,Dec-12,55049732,37487,37398255,0
(주)갤럭시아에스엠,11420,Dec-13,46437304,126351,30903637,0
(주)갤럭시아에스엠,11420,Dec-14,43885894,508736,33027933,404356
(주)갤럭시아에스엠,11420,Dec-15,62472754,11280,53784932,0
(주)갤럭시아에스엠,11420,Dec-16,52626331,0,45665676,0
(주)갤럭시아에스엠,11420,Dec-17,37281280,0,36917656,0
(주)갤럭시아에스엠,11420,Dec-18,22060413,0,22030258,0
(주)갤럭시아에스엠,11420,Dec-19,28732679,0,28732679,0
(주)경농,2100,Dec-11,121253605,70194121,120728258,70007203
(주)경농,2100,Dec-12,136970449,102583675,131021366,69708618
(주)경농,2100,Dec-13,196358952,98860077,139237273,70268926
(주)경농,2100,Dec-14,188483147,98308244,134806677,69968941
(주)경농,2100,Dec-15,196418710,115444315,137609256,84302523
(주)경농,2100,Dec-16,203984939,115876266,143209666,89356248
(주)경농,2100,Dec-17,206534382,119704437,143175105,91796107
