회사명,거래소코드,회계년도,당기순이익(IFRS연결),매출액(IFRS연결),당기순이익(IFRS개별),매출액(IFRS개별)
(주)STX,11810,Dec-19,-33218000,1471164000,-37142000,1237876000
(주)TCC스틸,2710,Dec-11,4557868,514424043,6828699,456928069
(주)TCC스틸,2710,Dec-12,124581,501337475,4206491,440568155
(주)TCC스틸,2710,Dec-13,-19955830,500832754,391783,419483813
(주)TCC스틸,2710,Dec-14,-15813610,518995240,1022624,401323585
(주)TCC스틸,2710,Dec-15,-110218983,495795871,-140083396,350074629
(주)TCC스틸,2710,Dec-16,16948843,444453635,15468493,317235565
(주)TCC스틸,2710,Dec-17,1503708,391370092,-2328706,333762378
(주)TCC스틸,2710,Dec-18,9755131,413176279,7565000,351301866
(주)TCC스틸,2710,Dec-19,5037267,437173902,1996130,339334364
(주)가비아,79940,Dec-11,7014899,52838864,3262397,33792831
(주)가비아,79940,Dec-12,9419144,69058144,5737877,38482449
(주)가비아,79940,Dec-13,9505713,70675565,3786937,40507693
(주)가비아,79940,Dec-14,6752737,80432047,3076978,43906243
(주)가비아,79940,Dec-15,8530281,91648622,4288423,48446932
(주)가비아,79940,Dec-16,10177685,102178978,3544032,49430564
(주)가비아,79940,Dec-17,9669613,116217941,2493743,52365659
(주)가비아,79940,Dec-18,15340647,128728438,2762732,55197652
(주)가비아,79940,Dec-19,21102390,148306878,4654769,58254105
(주)강스템바이오텍,217730,Dec-15,,,-5754141,1484593
(주)강스템바이오텍,217730,Dec-16,,,-8300375,842805
(주)강스템바이오텍,217730,Dec-17,-11531949,9132939,-10855842,5394323
(주)강스템바이오텍,217730,Dec-18,-14294032,9165454,-13500909,1001039
(주)강스템바이오텍,217730,Dec-19,-26394472,6004584,-25001590,282069
(주)강원랜드,35250,Dec-11,381175313,1265686425,393401121,1263651213
(주)강원랜드,35250,Dec-12,306228988,1296191223,296503993,1292896121
(주)강원랜드,35250,Dec-13,297596347,1361286598,293129468,1356906162
(주)강원랜드,35250,Dec-14,359348568,1496541441,363815729,1492291312
(주)강원랜드,35250,Dec-15,441629101,1633716839,430459518,1630976696
(주)강원랜드,35250,Dec-16,454533659,1696532511,454998593,1694575212
(주)강원랜드,35250,Dec-17,437540507,1604470055,437096330,1602901764
(주)강원랜드,35250,Dec-18,297236881,1438059299,297320114,1436042435
(주)강원랜드,35250,Dec-19,334653892,1520080449,335609508,1517612252
(주)강원에너지,114190,Nov-11,,,5754715,50222892
(주)강원에너지,114190,Dec-12,,,8974549,106471214
(주)강원에너지,114190,Dec-13,,,3922208,50660659
(주)강원에너지,114190,Dec-14,,,1123194,51481321
(주)강원에너지,114190,Dec-15,102482,46188664,885783,48852892
(주)강원에너지,114190,Dec-16,-1125371,42287473,-762058,44448760
(주)강원에너지,114190,Dec-17,-6451819,82034829,-6291307,83113029
(주)강원에너지,114190,Dec-18,1708887,85905365,1977524,85905365
(주)강원에너지,114190,Dec-19,-35647438,42549622,-33460765,42549622
(주)갤럭시아에스엠,11420,Dec-11,2909464,47331427,3000743,31931418
(주)갤럭시아에스엠,11420,Dec-12,389023,55049732,223810,37398255
(주)갤럭시아에스엠,11420,Dec-13,-1736750,46437304,-1420345,30903637
(주)갤럭시아에스엠,11420,Dec-14,-255270,43885894,-931106,33027933
(주)갤럭시아에스엠,11420,Dec-15,1863773,62472754,2575902,53784932
(주)갤럭시아에스엠,11420,Dec-16,-1562620,52626331,-1562620,45665676
(주)갤럭시아에스엠,11420,Dec-17,-5899738,37281280,-5899738,36917656
(주)갤럭시아에스엠,11420,Dec-18,-16003255,22060413,-15678085,22030258
(주)갤럭시아에스엠,11420,Dec-19,-1375316,28732679,-1375316,28732679
(주)경농,2100,Dec-11,509664,121253605,3154155,120728258
(주)경농,2100,Dec-12,10310339,136970449,6590012,131021366
(주)경농,2100,Dec-13,13950249,196358952,13751960,139237273
(주)경농,2100,Dec-14,7099305,188483147,9271741,134806677
(주)경농,2100,Dec-15,6980392,196418710,6488880,137609256
(주)경농,2100,Dec-16,6365805,203984939,5770891,143209666
(주)경농,2100,Dec-17,10079442,206534382,11539079,143175105
(주)경농,2100,Dec-18,4878426,212654617,9613575,146216658
(주)경농,2100,Dec-19,4014664,227510941,7061857,151342037
(주)경동나비엔,9450,Dec-11,9467023,341246917,9445090,318269213
(주)경동나비엔,9450,Dec-12,9169965,379014259,9214927,341339118
(주)경동나비엔,9450,Dec-13,11129597,414177562,9251575,371601179
(주)경동나비엔,9450,Dec-14,9380054,428985365,9082312,382392117
(주)경동나비엔,9450,Dec-15,16752000,512031120,19320742,448302084
(주)경동나비엔,9450,Dec-16,37469924,583252904,28636194,506082201
(주)경동나비엔,9450,Dec-17,27019124,684660958,16291264,569819524
(주)경동나비엔,9450,Dec-18,24748538,726741615,22818064,618058456
(주)경동나비엔,9450,Dec-19,27852090,774290704,20474157,655419303
(주)경동도시가스,267290,Dec-17,17798556,871548284,17678888,870828897
(주)경동도시가스,267290,Dec-18,34164798,1606531867,33981432,1605687067
(주)경동도시가스,267290,Dec-19,24638348,1422707835,24355132,1421866212
(주)경동인베스트,12320,Dec-11,30327559,1847666903,50053289,1806174764
(주)경동인베스트,12320,Dec-12,42879202,2502642394,56917580,2403814656
(주)경동인베스트,12320,Dec-13,49841905,2788264380,46253877,2664100017
(주)경동인베스트,12320,Dec-14,75930406,2603059058,44839494,2399450987
(주)경동인베스트,12320,Dec-15,-21251390,1604168482,-6095609,1352478311
(주)경동인베스트,12320,Dec-16,19132415,1181902637,16356641,1021002691
(주)경동인베스트,12320,Dec-17,51930860,195069859,7248447,612436
(주)경동인베스트,12320,Dec-18,29827973,228644016,1574966,7460898
(주)경동인베스트,12320,Dec-19,8856009,271765025,-917643,8641051
(주)경방,50,Dec-11,-1131177,348136369,-1822388,275746943
(주)경방,50,Dec-12,-7910168,333620804,-7074187,265409209
(주)경방,50,Dec-13,14574395,347189559,15103835,264782077
(주)경방,50,Dec-14,11488471,329036023,14235818,256979444
(주)경방,50,Dec-15,16692163,357628146,21604723,307744480
(주)경방,50,Dec-16,29474988,377445013,30977743,313876822
(주)경방,50,Dec-17,25315361,360788750,25679379,288103985
(주)경방,50,Dec-18,20189241,351438926,29198252,279085217
(주)경방,50,Dec-19,43621631,343892085,22223943,253552382
(주)경보제약,214390,Dec-15,,,26109623,178032632
(주)경보제약,214390,Dec-16,,,12705930,186726170
(주)경보제약,214390,Dec-17,,,17963310,191661374
(주)경보제약,214390,Dec-18,,,13116049,201343596
(주)경보제약,214390,Dec-19,,,5285239,191706189
(주)경인양행,12610,Dec-11,2886360,233095049,2788642,128707611
(주)경인양행,12610,Dec-12,2093491,218604655,4475441,141304459
(주)경인양행,12610,Dec-13,10215710,260808400,12327177,183106757
(주)경인양행,12610,Dec-14,10148247,277181095,9090269,190395047
(주)경인양행,12610,Dec-15,3670895,263163677,107330,175006703
(주)경인양행,12610,Dec-16,6837522,274873817,3724987,179267850
(주)경인양행,12610,Dec-17,4779249,299987729,531273,193975818
(주)경인양행,12610,Dec-18,13801882,331102011,7419717,222659442
(주)경인양행,12610,Dec-19,16372880,358802386,4797711,245244968
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,1003761,87660276
(주)고려시멘트,198440,Dec-18,,,4645869,85775723
(주)고려시멘트,198440,Dec-19,,,3396444,70921781
(주)고영테크놀러지,98460,Dec-11,15634438,86130810,16580579,80200892
(주)고영테크놀러지,98460,Dec-12,15221925,107841666,14836215,100791139
(주)고영테크놀러지,98460,Dec-13,13933294,111902729,14816762,103933681
(주)고영테크놀러지,98460,Dec-14,22111066,142840131,22775832,135531589
(주)고영테크놀러지,98460,Dec-15,23530903,145904431,23271756,138554625
(주)고영테크놀러지,98460,Dec-16,29723733,171793841,28063238,153254768
(주)고영테크놀러지,98460,Dec-17,26734105,203368626,28907302,188934907
(주)고영테크놀러지,98460,Dec-18,42309672,238208865,42430216,219818022
(주)고영테크놀러지,98460,Dec-19,29559680,222057035,34702997,209480760
(주)골드앤에스,35290,Dec-11,1002287,47522791,1101095,47522791
(주)골드앤에스,35290,Dec-12,-6467495,43889087,-6036290,43889087
(주)골드앤에스,35290,Dec-13,-16837473,39548810,-16378087,36607591
(주)골드앤에스,35290,Dec-14,-9319175,31287203,-8058617,29428881
(주)골드앤에스,35290,Dec-15,-9502547,22197935,-9396462,22197935
(주)골드앤에스,35290,Dec-16,390367,15893494,388207,15893494
(주)골드앤에스,35290,Dec-17,-7975875,12802035,-8062623,12802035
(주)골드앤에스,35290,Dec-18,-4380399,8680452,-4045846,8680452
(주)골드앤에스,35290,Dec-19,-24883278,7642733,-24883215,7642733
(주)골드퍼시픽,38530,Dec-11,,,990336,11236925
(주)골드퍼시픽,38530,Dec-12,,,254546,10491048
(주)골드퍼시픽,38530,Dec-13,-9381353,7167832,-8455942,6488691
(주)골드퍼시픽,38530,Dec-14,-7390326,16486257,-7306525,4855121
(주)골드퍼시픽,38530,Dec-15,-10215946,18635305,-12525668,6121489
(주)골드퍼시픽,38530,Dec-16,,,-23433498,9588100
(주)골드퍼시픽,38530,Dec-17,,,-965087,5031439
(주)골드퍼시픽,38530,Dec-18,-4471963,5708281,-4380343,5580994
(주)골드퍼시픽,38530,Dec-19,,,-31603970,11323125
(주)골프존,215000,Dec-15,36533155,201560389,33262807,184085342
(주)골프존,215000,Dec-16,36536248,216964342,35913366,196864993
(주)골프존,215000,Dec-17,79392004,200105321,75544308,171859065
(주)골프존,215000,Dec-18,20419449,198705194,21663391,191571105
(주)골프존,215000,Dec-19,16213888,247018099,19704546,239051647
(주)골프존뉴딘홀딩스,121440,Dec-11,46487063,215793737,47591974,209788389
(주)골프존뉴딘홀딩스,121440,Dec-12,73354594,289629366,72099265,276341690
(주)골프존뉴딘홀딩스,121440,Dec-13,2803470,365126358,4493226,340005073
(주)골프존뉴딘홀딩스,121440,Dec-14,79234486,429589619,63571492,387066126
(주)골프존뉴딘홀딩스,121440,Dec-15,871101274,164536448,890006593,29389093
(주)골프존뉴딘홀딩스,121440,Dec-16,2876449,243275475,-20255655,27652102
(주)골프존뉴딘홀딩스,121440,Dec-17,-21585123,213756902,-21778628,23499543
(주)골프존뉴딘홀딩스,121440,Dec-18,-7527390,223036801,-7653686,16100354
(주)골프존뉴딘홀딩스,121440,Dec-19,-34848135,228935651,-30341791,26897482
(주)광림,14200,Dec-11,,,2583332,106495363
(주)광림,14200,Dec-12,,,586385,85322569
(주)광림,14200,Dec-13,,,1630750,103442134
(주)광림,14200,Dec-14,-237860,231446314,1137559,92553612
(주)광림,14200,Dec-15,,,9223597,237222890
(주)광림,14200,Dec-16,-1896521,87302967,437352,87302967
(주)광림,14200,Dec-17,-23602051,135191558,86196134,99421336
(주)광림,14200,Dec-18,-28445678,136595300,-58294056,75493055
(주)광림,14200,Dec-19,-14006972,145864184,-68290742,93241157
(주)광명전기,17040,Dec-11,-1825104,92382628,-75153,57967857
(주)광명전기,17040,Dec-12,407617,117216514,-1564026,79318302
(주)광명전기,17040,Dec-13,6473480,117852824,5301060,90344376
(주)광명전기,17040,Dec-14,9107331,134778387,6978508,115801471
(주)광명전기,17040,Dec-15,8891002,116316957,3442541,93000177
(주)광명전기,17040,Dec-16,11593891,96942911,15612709,96931493
(주)광명전기,17040,Dec-17,-2043260,101561159,-1349854,105083042
(주)광명전기,17040,Dec-18,2718092,114110654,3182514,96949804
(주)광명전기,17040,Dec-19,7118200,131864294,6470387,125009206
(주)광무,29480,Dec-11,-50127229,51755052,-51537196,50359203
(주)광무,29480,Dec-12,-10689029,41178683,-15113066,40406860
(주)광무,29480,Dec-13,-28721377,20534276,-33154332,10105219
(주)광무,29480,Dec-14,,,-859721,38409667
(주)광무,29480,Dec-15,,,-2727754,17648493
(주)광무,29480,Dec-16,,,95615,26429957
(주)광무,29480,Dec-17,,,-3352682,21540953
(주)광무,29480,Dec-18,-5120760,23074941,-4875184,20707286
(주)광무,29480,Dec-19,-6421201,36483979,-6275093,25244176
(주)광주신세계,37710,Dec-11,,,52281979,219613514
(주)광주신세계,37710,Dec-12,,,53769536,213803173
