회사명,거래소코드,회계년도,부가가치(IFRS연결),기계장치(IFRS연결),부가가치(IFRS개별),기계장치(IFRS개별)
(주)TCC스틸,2710,Dec-11,50799.6,62501678,47387.55,51927686
(주)TCC스틸,2710,Dec-12,49856.28,82266123,44247.81,54333787
(주)TCC스틸,2710,Dec-13,40058.31,101223221,37086.29,59805178
(주)TCC스틸,2710,Dec-14,66638.24,106593093,38278.43,62490884
(주)TCC스틸,2710,Dec-15,46811.29,77061586,-113808.25,64663749
(주)TCC스틸,2710,Dec-16,81464.7,72966967,53606.1,60524036
(주)TCC스틸,2710,Dec-17,61493.36,78686241,30346.26,66209010
(주)TCC스틸,2710,Dec-18,75995.51,75812276,44068.24,63748365
(주)TCC스틸,2710,Dec-19,74428.93,81021563,42215.18,68773022
(주)가비아,79940,Dec-11,25788.11,1398205,15017.54,0
(주)가비아,79940,Dec-12,31058.09,0,17319.4,0
(주)가비아,79940,Dec-13,32828.8,0,16859.32,0
(주)가비아,79940,Dec-14,34179.94,0,19430.85,0
(주)가비아,79940,Dec-15,41698.24,0,22440.14,0
(주)가비아,79940,Dec-16,45412.89,0,23132.9,0
(주)가비아,79940,Dec-17,48683,0,22812.97,0
(주)가비아,79940,Dec-18,62241.08,0,24805.77,0
(주)가비아,79940,Dec-19,133089.93,0,29591.96,0
(주)강스템바이오텍,217730,Dec-15,,,-2880.72,0
(주)강스템바이오텍,217730,Dec-16,,,-5090.69,0
(주)강스템바이오텍,217730,Dec-17,-646.49,0,-2123.85,0
(주)강스템바이오텍,217730,Dec-18,-3330.3,0,-5971.99,0
(주)강스템바이오텍,217730,Dec-19,-13446.01,0,-16534.36,0
(주)강원랜드,35250,Dec-11,778291.81,392104627,783195.28,390705277
(주)강원랜드,35250,Dec-12,712817.68,453309474,693820.93,451841848
(주)강원랜드,35250,Dec-13,837925.02,476102882,824512.27,474572756
(주)강원랜드,35250,Dec-14,904075.49,481401114,899930.11,475738420
(주)강원랜드,35250,Dec-15,1021274.04,493032951,1001297.65,487744949
(주)강원랜드,35250,Dec-16,1043222,496003933,1037898.56,490715931
(주)강원랜드,35250,Dec-17,1000137.64,505944287,1011578.3,500656285
(주)강원랜드,35250,Dec-18,833429.97,197980873,846353.62,197540429
(주)강원랜드,35250,Dec-19,908009,569705642,906619.21,564417639
(주)강원에너지,114190,Nov-11,,,12844.61,2654796
(주)강원에너지,114190,Dec-12,,,18760.61,2928596
(주)강원에너지,114190,Dec-13,,,12256.79,2938096
(주)강원에너지,114190,Dec-14,,,8510.74,3214210
(주)강원에너지,114190,Dec-15,7820.6,3189863,9171.31,3189863
(주)강원에너지,114190,Dec-16,8145.29,2753100,8913.55,2753100
(주)강원에너지,114190,Dec-17,687.17,2785907,713.82,2785907
(주)강원에너지,114190,Dec-18,11600.03,2775452,11569.08,2775452
(주)강원에너지,114190,Dec-19,-24497.97,4148008,-22522.15,4148008
(주)갤럭시아에스엠,11420,Dec-11,16289.29,327870,14937.6,0
(주)갤럭시아에스엠,11420,Dec-12,11304.39,2968018,9721.11,0
(주)갤럭시아에스엠,11420,Dec-13,4540.45,2688615,3928.36,0
(주)갤럭시아에스엠,11420,Dec-14,5477.95,3945186,3400.02,0
(주)갤럭시아에스엠,11420,Dec-15,10705.78,3968308,10216.63,0
(주)갤럭시아에스엠,11420,Dec-16,5657.39,4037582,5013.27,0
(주)갤럭시아에스엠,11420,Dec-17,-161.81,0,-275.92,0
(주)갤럭시아에스엠,11420,Dec-18,-9771.55,0,-9601.87,0
(주)갤럭시아에스엠,11420,Dec-19,3529.68,0,3287.96,0
(주)경농,2100,Dec-11,26483.85,39295580,28809.42,38907853
(주)경농,2100,Dec-12,39063.56,54120673,32641.59,39704718
(주)경농,2100,Dec-13,53114.35,54986116,42493.74,39938460
(주)경농,2100,Dec-14,47327.34,55656543,38526.79,40262627
(주)경농,2100,Dec-15,46908.64,3595133,36680.28,40970395
(주)경농,2100,Dec-16,48243.41,55250644,37693.81,42294345
(주)경농,2100,Dec-17,55717.38,65016527,45275,43129019
(주)경농,2100,Dec-18,57945.41,61973976,47204.81,44384320
(주)경농,2100,Dec-19,55965.47,62738813,43823.04,44837195
(주)경동나비엔,9450,Dec-11,60669.23,30161622,50196.09,16809973
(주)경동나비엔,9450,Dec-12,68423.43,30992578,54692.56,17558925
(주)경동나비엔,9450,Dec-13,79237.85,32023532,55874.59,17733468
(주)경동나비엔,9450,Dec-14,80978.36,50026310,56282.59,30248630
(주)경동나비엔,9450,Dec-15,107704.21,56774759,76567.87,36469813
(주)경동나비엔,9450,Dec-16,141866.08,66681622,91445.07,40598014
(주)경동나비엔,9450,Dec-17,148016.16,71352733,88344.03,41689066
(주)경동나비엔,9450,Dec-18,164621.76,83467059,103466.23,47188057
(주)경동나비엔,9450,Dec-19,195347,99773692,119653.32,48914617
(주)경동도시가스,267290,Dec-17,,0,,0
(주)경동도시가스,267290,Dec-18,105468.98,0,97564.13,0
(주)경동도시가스,267290,Dec-19,95819.67,0,86578.45,0
(주)경동인베스트,12320,Dec-11,92451.05,0,95768.55,0
(주)경동인베스트,12320,Dec-12,135007.2,0,107979.21,0
(주)경동인베스트,12320,Dec-13,140991.69,0,93436.7,0
(주)경동인베스트,12320,Dec-14,81588.6,0,93996.69,0
(주)경동인베스트,12320,Dec-15,-30690.54,0,34539.58,0
(주)경동인베스트,12320,Dec-16,26071.34,0,72056.94,0
(주)경동인베스트,12320,Dec-17,58509.5,0,-608.84,0
(주)경동인베스트,12320,Dec-18,128174.79,0,2304.64,0
(주)경동인베스트,12320,Dec-19,129681.42,0,78.98,0
(주)경방,50,Dec-11,85127.47,92700116,79256.78,92574549
(주)경방,50,Dec-12,80728.78,106744814,75544.51,95699700
(주)경방,50,Dec-13,109135.73,109078984,99612.08,93720477
(주)경방,50,Dec-14,105032.79,110917893,97566.02,94243557
(주)경방,50,Dec-15,117114.75,143171748,107949.86,95135486
(주)경방,50,Dec-16,125709.78,143969302,109992.25,94580791
(주)경방,50,Dec-17,125830.72,136219559,109353.53,92317874
(주)경방,50,Dec-18,98012.24,139665159,88599.95,65861136
(주)경방,50,Dec-19,127253.44,135612059,80679.67,8914332
(주)경보제약,214390,Dec-15,,,64338.21,58569360
(주)경보제약,214390,Dec-16,,,62027.13,69389415
(주)경보제약,214390,Dec-17,,,70313.62,73063927
(주)경보제약,214390,Dec-18,,,68893.82,77841661
(주)경보제약,214390,Dec-19,,,63450.36,83101809
(주)경인양행,12610,Dec-11,55925.52,88239582,25633.29,48004655
(주)경인양행,12610,Dec-12,50537.66,85704545,29938.88,49032355
(주)경인양행,12610,Dec-13,60639.47,93022172,48021.56,53660408
(주)경인양행,12610,Dec-14,73075.28,101194068,47119.14,57918598
(주)경인양행,12610,Dec-15,67632.25,108358322,35639.84,59400729
(주)경인양행,12610,Dec-16,75607,113307279,40282.61,61830122
(주)경인양행,12610,Dec-17,77094.24,132573912,39415.23,69754089
(주)경인양행,12610,Dec-18,98776.24,139396613,56886.72,73819470
(주)경인양행,12610,Dec-19,111001.57,158731820,58827.05,81620191
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,14885.67,15053519
(주)고려시멘트,198440,Dec-18,,,19051.09,15266113
(주)고려시멘트,198440,Dec-19,,,16208.11,16701149
