회사명,거래소코드,회계년도,유형자산(IFRS연결),건설중인자산(IFRS연결),유형자산(IFRS개별),건설중인자산(IFRS개별),합계_기말인원
(주)TCC스틸,2710,Dec-16,0,101346,43730610,101346,277
(주)TCC스틸,2710,Dec-17,0,19800,45541678,19800,283
(주)TCC스틸,2710,Dec-18,0,306250,43204124,306250,277
(주)TCC스틸,2710,Dec-19,0,2512043,47129444,2512043,275
(주)가비아,79940,Dec-11,0,0,7163470,0,191
(주)가비아,79940,Dec-12,1448018,0,23749485,0,211
(주)가비아,79940,Dec-13,0,0,22732962,0,228
(주)가비아,79940,Dec-14,2512377,0,22313113,0,247
(주)가비아,79940,Dec-15,0,0,22210592,0,262
(주)가비아,79940,Dec-16,0,0,22429866,0,268
(주)가비아,79940,Dec-17,0,579154,22362004,435654,275
(주)가비아,79940,Dec-18,0,3862712,24425180,1738220,280
(주)가비아,79940,Dec-19,0,21744142,39724951,9795289,277
(주)강스템바이오텍,217730,Dec-15,,,2980005,0,62
(주)강스템바이오텍,217730,Dec-16,,,4039297,1068262,79
(주)강스템바이오텍,217730,Dec-17,0,7327062,12480829,7327062,75
(주)강스템바이오텍,217730,Dec-18,0,9547126,14220013,9547126,89
(주)강스템바이오텍,217730,Dec-19,0,25963956,22738650,18450622,102
(주)강원랜드,35250,Dec-11,0,111936204,1302068954,110537110,3145
(주)강원랜드,35250,Dec-12,0,34660762,1334113267,22045367,3184
(주)강원랜드,35250,Dec-13,0,70878212,1327018456,25757113,3657
(주)강원랜드,35250,Dec-14,0,72921157,1284798892,41557550,3591
(주)강원랜드,35250,Dec-15,0,63789006,1253601276,32826352,3620
(주)강원랜드,35250,Dec-16,0,52323443,1254129261,52323443,3629
(주)강원랜드,35250,Dec-17,0,93200856,1253403658,93200856,3693
(주)강원랜드,35250,Dec-18,0,29571131,1299058388,29571131,5194
(주)강원랜드,35250,Dec-19,0,37071729,1353732478,36221457,5147
(주)강원에너지,114190,Nov-11,,,3912294,0,94
(주)강원에너지,114190,Dec-12,,,4416402,203000,101
(주)강원에너지,114190,Dec-13,,,4787448,585000,112
(주)강원에너지,114190,Dec-14,,,10004091,261301,147
(주)강원에너지,114190,Dec-15,0,2774080,9712091,6048,133
(주)강원에너지,114190,Dec-16,0,4973974,9490734,47700,126
(주)강원에너지,114190,Dec-17,0,6052413,9242859,47700,137
(주)강원에너지,114190,Dec-18,0,6052413,8853092,47700,119
(주)강원에너지,114190,Dec-19,0,7635782,9089689,628097,107
(주)갤럭시아에스엠,11420,Dec-11,0,0,263856,0,37
(주)갤럭시아에스엠,11420,Dec-12,0,0,244196,0,40
(주)갤럭시아에스엠,11420,Dec-13,0,0,258052,0,50
(주)갤럭시아에스엠,11420,Dec-14,0,0,170073,0,63
(주)갤럭시아에스엠,11420,Dec-15,0,0,428742,0,93
(주)갤럭시아에스엠,11420,Dec-16,0,0,468225,0,107
(주)갤럭시아에스엠,11420,Dec-17,0,0,348574,0,126
(주)갤럭시아에스엠,11420,Dec-18,0,0,251603,0,111
(주)갤럭시아에스엠,11420,Dec-19,0,0,511985,0,121
(주)경농,2100,Dec-11,0,0,47135730,0,308
(주)경농,2100,Dec-12,0,383245,51459712,83245,306
(주)경농,2100,Dec-13,0,8137067,55088070,6326560,311
(주)경농,2100,Dec-14,0,9686293,60743502,5476824,340
(주)경농,2100,Dec-15,0,3166422,60862714,2761189,346
(주)경농,2100,Dec-16,0,11266818,60986166,1112074,335
(주)경농,2100,Dec-17,0,4576770,61075339,3321824,338
(주)경농,2100,Dec-18,0,213523,67819776,0,350
(주)경농,2100,Dec-19,0,461623,64128521,458026,362
(주)경동나비엔,9450,Dec-11,0,8018545,71463183,7244177,699
(주)경동나비엔,9450,Dec-12,0,18288529,86003940,18174812,784
(주)경동나비엔,9450,Dec-13,0,72091473,148703601,70075011,722
(주)경동나비엔,9450,Dec-14,4513206,7605975,133081097,2466353,763
(주)경동나비엔,9450,Dec-15,0,4694373,134166342,36250,797
(주)경동나비엔,9450,Dec-16,0,8583811,138398427,1584336,911
(주)경동나비엔,9450,Dec-17,0,15007431,143721378,1229289,975
(주)경동나비엔,9450,Dec-18,0,26585282,157575992,2659580,1073
(주)경동나비엔,9450,Dec-19,0,9108279,165763623,5426129,1167
(주)경동도시가스,267290,Dec-17,0,4158117,316263778,4158117,270
(주)경동도시가스,267290,Dec-18,0,3393277,320275132,3393277,277
(주)경동도시가스,267290,Dec-19,0,8157820,325567581,8157820,278
(주)경동인베스트,12320,Dec-11,0,1877929,265516704,1877929,277
(주)경동인베스트,12320,Dec-12,0,3185849,279769365,566219,284
(주)경동인베스트,12320,Dec-13,0,4888482,293643578,1641063,289
(주)경동인베스트,12320,Dec-14,0,34044603,299563689,1062458,282
(주)경동인베스트,12320,Dec-15,0,65029399,317414775,1586269,287
(주)경동인베스트,12320,Dec-16,0,988138,320740081,988138,286
(주)경동인베스트,12320,Dec-17,0,0,9664453,0,11
(주)경동인베스트,12320,Dec-18,0,0,12131746,0,13
(주)경동인베스트,12320,Dec-19,0,0,2798610,0,12
(주)경방,50,Dec-11,0,1268081,307701501,992682,593
(주)경방,50,Dec-12,0,11609300,301773723,795823,579
(주)경방,50,Dec-13,0,491110,280675994,35500,676
(주)경방,50,Dec-14,0,14367607,269480797,0,679
(주)경방,50,Dec-15,0,0,258275719,0,615
(주)경방,50,Dec-16,0,4119815,248710695,0,574
(주)경방,50,Dec-17,0,31288305,229435458,0,503
(주)경방,50,Dec-18,0,8604420,214332809,0,462
(주)경방,50,Dec-19,164146930,10999934,64860661,4981471,259
(주)경보제약,214390,Dec-15,,,74892236,2382400,398
(주)경보제약,214390,Dec-16,,,83949070,253350,416
(주)경보제약,214390,Dec-17,,,78497115,110810,410
(주)경보제약,214390,Dec-18,,,76497132,687000,450
(주)경보제약,214390,Dec-19,,,88116421,3088918,494
(주)경인양행,12610,Dec-11,0,856441,69431560,8000,378
(주)경인양행,12610,Dec-12,0,33200,67259638,33200,367
(주)경인양행,12610,Dec-13,0,709553,72282759,517400,431
(주)경인양행,12610,Dec-14,0,10961,77811393,10960,440
(주)경인양행,12610,Dec-15,0,715567,76154669,715566,469
(주)경인양행,12610,Dec-16,0,6705222,77953872,4952266,486
(주)경인양행,12610,Dec-17,0,1820834,86525558,1652336,517
(주)경인양행,12610,Dec-18,0,5415837,90678289,2860150,619
(주)경인양행,12610,Dec-19,0,28559797,119519529,28509395,617
(주)고려시멘트,198440,Dec-14,,,,,
(주)고려시멘트,198440,Dec-15,,,,,
(주)고려시멘트,198440,Dec-16,,,,,
(주)고려시멘트,198440,Dec-17,,,47901220,1051906,110
(주)고려시멘트,198440,Dec-18,,,48776544,606140,112
(주)고려시멘트,198440,Dec-19,,,51139394,1102999,97
(주)고영테크놀러지,98460,Dec-11,0,1005353,14869610,1005353,162
(주)고영테크놀러지,98460,Dec-12,0,0,15336664,864368,202
(주)고영테크놀러지,98460,Dec-13,0,686155,14690294,686155,224
(주)고영테크놀러지,98460,Dec-14,2344631,0,19812580,0,284
(주)고영테크놀러지,98460,Dec-15,0,0,19340953,0,307
(주)고영테크놀러지,98460,Dec-16,0,0,23462507,0,315
