회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(IFRS연결),부채(IFRS연결),영업활동으로 인한 현금흐름(IFRS개별),부채(IFRS개별)
(주)TCC스틸,2710,Dec-11,-10245999,228887542,-8210627,202126588
(주)TCC스틸,2710,Dec-12,-4610373,321015196,10878979,228887219
(주)TCC스틸,2710,Dec-13,-29220038,337970494,21218485,234118683
(주)TCC스틸,2710,Dec-14,-21440429,361962559,13870764,251203934
(주)TCC스틸,2710,Dec-15,30047778,290382095,36353152,254095791
(주)TCC스틸,2710,Dec-16,-35273178,179577101,-34206656,158254682
(주)TCC스틸,2710,Dec-17,-1168958,177776736,-7248002,159269192
(주)TCC스틸,2710,Dec-18,21492009,192535369,13968719,169783970
(주)TCC스틸,2710,Dec-19,-6746810,197366953,-251282,172763630
(주)가비아,79940,Dec-11,9650833,16288697,6750777,12997135
(주)가비아,79940,Dec-12,13224986,26299269,9005290,20630538
(주)가비아,79940,Dec-13,12813443,22631067,6245989,17328806
(주)가비아,79940,Dec-14,16223625,23034370,8696486,17836566
(주)가비아,79940,Dec-15,19257887,20985420,10152135,15187159
(주)가비아,79940,Dec-16,17871404,29844914,9339489,15747269
(주)가비아,79940,Dec-17,20444884,33486064,8670614,17323452
(주)가비아,79940,Dec-18,21870330,37253015,9241321,19483076
(주)가비아,79940,Dec-19,36950567,64956993,13243609,28880845
(주)강스템바이오텍,217730,Dec-15,,,-3800024,3745591
(주)강스템바이오텍,217730,Dec-16,,,-7796613,24464858
(주)강스템바이오텍,217730,Dec-17,-10646869,22716816,-10267751,19840601
(주)강스템바이오텍,217730,Dec-18,-11476851,25612644,-11298071,18239878
(주)강스템바이오텍,217730,Dec-19,-13321543,44924460,-11097344,27780716
(주)강원랜드,35250,Dec-11,417827759,454039086,428912416,452081605
(주)강원랜드,35250,Dec-12,446539739,534628331,458412852,532225153
(주)강원랜드,35250,Dec-13,424407127,584340350,432139763,581467261
(주)강원랜드,35250,Dec-14,510413141,669769805,516728788,664286664
(주)강원랜드,35250,Dec-15,574981576,693036625,581804341,690617690
(주)강원랜드,35250,Dec-16,596486851,726260115,600686651,723241827
(주)강원랜드,35250,Dec-17,463050000,684421554,465968987,681737727
(주)강원랜드,35250,Dec-18,363918692,644464265,366067885,643178007
(주)강원랜드,35250,Dec-19,407868874,720360229,408994810,718028952
(주)강원에너지,114190,Nov-11,,,15102830,29216633
(주)강원에너지,114190,Dec-12,,,-3145103,53150277
(주)강원에너지,114190,Dec-13,,,16975955,26564178
(주)강원에너지,114190,Dec-14,,,-14600421,16592147
(주)강원에너지,114190,Dec-15,9499050,28873556,18555072,26058095
(주)강원에너지,114190,Dec-16,-15783876,22097916,-18630100,17103781
(주)강원에너지,114190,Dec-17,-3706818,44876384,-4605588,40664397
(주)강원에너지,114190,Dec-18,-10173085,43641869,-10047711,40333396
(주)강원에너지,114190,Dec-19,6960049,35477506,7013798,32201998
(주)갤럭시아에스엠,11420,Dec-11,5951394,19836339,3957763,16172356
(주)갤럭시아에스엠,11420,Dec-12,2801469,18071820,2596523,15016475
(주)갤럭시아에스엠,11420,Dec-13,4527179,16143563,-780292,11686248
(주)갤럭시아에스엠,11420,Dec-14,-70410,22068570,-1937620,17125782
(주)갤럭시아에스엠,11420,Dec-15,2451666,18947950,3007845,16531335
(주)갤럭시아에스엠,11420,Dec-16,-1195544,13597774,-1876676,10978725
(주)갤럭시아에스엠,11420,Dec-17,-7389242,9336773,-7384193,8463792
(주)갤럭시아에스엠,11420,Dec-18,-2809869,6781168,-2638766,6540360
(주)갤럭시아에스엠,11420,Dec-19,903569,6442848,825072,6442848
(주)경농,2100,Dec-11,14162963,30787882,14271710,30724888
(주)경농,2100,Dec-12,8796940,117673838,12031973,51967451
(주)경농,2100,Dec-13,18563319,92827213,16373126,52292130
(주)경농,2100,Dec-14,14706590,115707163,14226137,61871897
(주)경농,2100,Dec-15,-9854199,141674205,-9444978,92052914
(주)경농,2100,Dec-16,15996174,136946019,8683420,89899537
(주)경농,2100,Dec-17,15815332,143720912,14393946,86007852
(주)경농,2100,Dec-18,10607249,155806650,4624400,97965187
(주)경농,2100,Dec-19,-1020171,168988819,4392117,106304474
(주)경동나비엔,9450,Dec-11,15493744,95096442,12393396,81105376
(주)경동나비엔,9450,Dec-12,27648702,123854443,22554949,102426119
(주)경동나비엔,9450,Dec-13,20912632,167498879,20201422,139981016
(주)경동나비엔,9450,Dec-14,-13266158,211637077,-24009203,163104762
(주)경동나비엔,9450,Dec-15,43719574,196007760,36531813,139640734
(주)경동나비엔,9450,Dec-16,61333200,190992511,54602640,137450753
(주)경동나비엔,9450,Dec-17,20111583,247190712,13453817,169371998
(주)경동나비엔,9450,Dec-18,-14286091,303492202,-9553832,200157710
(주)경동나비엔,9450,Dec-19,78554868,308765719,38146715,207047496
(주)경동도시가스,267290,Dec-17,19371687,415948312,18774744,415288491
(주)경동도시가스,267290,Dec-18,120705226,457779539,120320145,457120376
(주)경동도시가스,267290,Dec-19,33973376,410387431,33602896,409752242
(주)경동인베스트,12320,Dec-11,88589199,593628327,90136711,528263966
(주)경동인베스트,12320,Dec-12,150571070,763415214,154970428,699478024
(주)경동인베스트,12320,Dec-13,69233629,706267792,54868445,644593509
(주)경동인베스트,12320,Dec-14,20818461,713337643,16430931,540269309
(주)경동인베스트,12320,Dec-15,-50279018,591340081,-32486622,377864242
(주)경동인베스트,12320,Dec-16,26876328,538198062,32578235,347571082
(주)경동인베스트,12320,Dec-17,60158090,198873241,49566809,8242347
(주)경동인베스트,12320,Dec-18,12513851,194135226,1728544,8354115
(주)경동인베스트,12320,Dec-19,32390710,190933746,1024556,8263326
(주)경방,50,Dec-11,-14647398,722619941,-11592653,655306746
(주)경방,50,Dec-12,17789061,714335725,27341666,631984460
(주)경방,50,Dec-13,51153970,660550587,50395794,575688238
(주)경방,50,Dec-14,23819336,654172565,29566345,623437994
(주)경방,50,Dec-15,39920580,655690395,44076364,587741479
(주)경방,50,Dec-16,67981079,622067560,61707854,546778844
(주)경방,50,Dec-17,57866501,574908164,51272565,488098740
(주)경방,50,Dec-18,12093896,593023494,29443002,497359673
(주)경방,50,Dec-19,66875285,629189292,65270564,555533558
(주)경보제약,214390,Dec-15,,,4240142,72671307
(주)경보제약,214390,Dec-16,,,25328803,74333640
(주)경보제약,214390,Dec-17,,,25805146,63359803
(주)경보제약,214390,Dec-18,,,-1138159,72610828
(주)경보제약,214390,Dec-19,,,23668111,88653237
(주)경인양행,12610,Dec-11,9839673,143304448,10022891,86943667
(주)경인양행,12610,Dec-12,20801833,112463993,14914670,78932783
(주)경인양행,12610,Dec-13,1046809,127200482,-1601346,96496450
(주)경인양행,12610,Dec-14,18368986,114800458,15097174,80897578
(주)경인양행,12610,Dec-15,5444861,125562133,-1240907,87875136
(주)경인양행,12610,Dec-16,19013689,136005319,8421999,99013669
(주)경인양행,12610,Dec-17,5323456,147016537,652491,106064982
(주)경인양행,12610,Dec-18,1873412,189237207,911833,146670857
