회사명,거래소코드,회계년도,자산(IFRS연결),자산(IFRS개별),합계_기말인원
(주)강스템바이오텍,217730,16-Dec,,47441769,79
(주)강스템바이오텍,217730,17-Dec,47198979,44508729,75
(주)강스템바이오텍,217730,18-Dec,73194018,66184838,89
(주)강스템바이오텍,217730,19-Dec,113643697,98625925,102
(주)강원랜드,35250,11-Dec,2711401782,2730283806,3145
(주)강원랜드,35250,12-Dec,2906655321,2915385756,3184
(주)강원랜드,35250,13-Dec,3102036846,3105430200,3657
(주)강원랜드,35250,14-Dec,3375127289,3380461682,3591
(주)강원랜드,35250,15-Dec,3690791830,3688060027,3620
(주)강원랜드,35250,16-Dec,3978987574,3975979890,3629
(주)강원랜드,35250,17-Dec,4185657487,4182527382,3693
(주)강원랜드,35250,18-Dec,4231241354,4229630541,5194
(주)강원랜드,35250,19-Dec,4438119306,4436461953,5147
(주)강원에너지,114190,11-Nov,,53719067,94
(주)강원에너지,114190,12-Dec,,89258208,101
(주)강원에너지,114190,13-Dec,,72441333,112
(주)강원에너지,114190,14-Dec,,67037639,147
(주)강원에너지,114190,15-Dec,85457457,80939019,133
(주)강원에너지,114190,16-Dec,77186606,70850137,126
(주)강원에너지,114190,17-Dec,93179394,87781416,137
(주)강원에너지,114190,18-Dec,93845576,89619750,119
(주)강원에너지,114190,19-Dec,56602063,55106032,107
(주)갤럭시아에스엠,11420,11-Dec,45110356,40711969,37
(주)갤럭시아에스엠,11420,12-Dec,43979072,40169876,40
(주)갤럭시아에스엠,11420,13-Dec,37636664,34158874,50
(주)갤럭시아에스엠,11420,14-Dec,45274078,40528250,63
(주)갤럭시아에스엠,11420,15-Dec,68686992,67196553,93
(주)갤럭시아에스엠,11420,16-Dec,58444606,55825556,107
(주)갤럭시아에스엠,11420,17-Dec,49831109,48958128,126
(주)갤럭시아에스엠,11420,18-Dec,33253331,33337692,111
(주)갤럭시아에스엠,11420,19-Dec,28241598,28241598,121
(주)경농,2100,11-Dec,173774102,176741869,308
(주)경농,2100,12-Dec,269412832,203467698,306
(주)경농,2100,13-Dec,255984725,214988593,311
(주)경농,2100,14-Dec,284623063,230870852,340
(주)경농,2100,15-Dec,316341853,265109291,346
(주)경농,2100,16-Dec,320915151,266622289,335
(주)경농,2100,17-Dec,335873898,268967010,338
(주)경농,2100,18-Dec,357260541,285031873,350
(주)경농,2100,19-Dec,370874091,297197088,362
(주)경동나비엔,9450,11-Dec,263211016,224373470,699
(주)경동나비엔,9450,12-Dec,299729837,254627468,784
(주)경동나비엔,9450,13-Dec,354779867,301475800,722
(주)경동나비엔,9450,14-Dec,401658957,331089242,763
(주)경동나비엔,9450,15-Dec,402084368,324848990,797
(주)경동나비엔,9450,16-Dec,429754702,347643876,911
(주)경동나비엔,9450,17-Dec,503697210,391400492,975
(주)경동나비엔,9450,18-Dec,583595818,440513661,1073
(주)경동나비엔,9450,19-Dec,609808343,461607017,1167
(주)경동도시가스,267290,17-Dec,710280194,707917077,270
(주)경동도시가스,267290,18-Dec,778269612,775880913,277
(주)경동도시가스,267290,19-Dec,749999474,747453908,278
(주)경동인베스트,12320,11-Dec,1001490869,941176098,277
