회사명,거래소코드,회계년도,부채(IFRS연결),자본(IFRS연결),부채(IFRS개별),자본(IFRS개별)
(주)TCC스틸,2710,Dec-11,228887542,225441968,202126588,205616971
(주)TCC스틸,2710,Dec-12,321015196,225998781,228887219,209755733
(주)TCC스틸,2710,Dec-13,337970494,205738102,234118683,210086242
(주)TCC스틸,2710,Dec-14,361962559,189038004,251203934,210093654
(주)TCC스틸,2710,Dec-15,290382095,86012476,254095791,76555951
(주)TCC스틸,2710,Dec-16,179577101,103337634,158254682,92623510
(주)TCC스틸,2710,Dec-17,177776736,100915803,159269192,89627045
(주)TCC스틸,2710,Dec-18,192535369,112246210,169783970,98351707
(주)TCC스틸,2710,Dec-19,197366953,116843135,172763630,97501452
(주)가비아,79940,Dec-11,16288697,48665742,12997135,24298687
(주)가비아,79940,Dec-12,26299269,58945247,20630538,31165211
(주)가비아,79940,Dec-13,22631067,68600227,17328806,34822978
(주)가비아,79940,Dec-14,23034370,75509702,17836566,38147677
(주)가비아,79940,Dec-15,20985420,84096148,15187159,42470259
(주)가비아,79940,Dec-16,29844914,95951841,15747269,45413712
(주)가비아,79940,Dec-17,33486064,99896520,17323452,47662984
(주)가비아,79940,Dec-18,37253015,114187490,19483076,49832912
(주)가비아,79940,Dec-19,64956993,134959139,28880845,54084066
(주)강스템바이오텍,217730,Dec-15,,,3745591,21237036
(주)강스템바이오텍,217730,Dec-16,,,24464858,22976911
(주)강스템바이오텍,217730,Dec-17,22716816,24482163,19840601,24668128
(주)강스템바이오텍,217730,Dec-18,25612644,47581374,18239878,47944961
(주)강스템바이오텍,217730,Dec-19,44924460,68719236,27780716,70845209
(주)강원랜드,35250,Dec-11,454039086,2257362696,452081605,2278202202
(주)강원랜드,35250,Dec-12,534628331,2372026990,532225153,2383160603
(주)강원랜드,35250,Dec-13,584340350,2517696496,581467261,2523962938
(주)강원랜드,35250,Dec-14,669769805,2705357485,664286664,2716175018
(주)강원랜드,35250,Dec-15,693036625,2997755205,690617690,2997442337
(주)강원랜드,35250,Dec-16,726260115,3252727459,723241827,3252738063
(주)강원랜드,35250,Dec-17,684421554,3501235933,681737727,3500789656
(주)강원랜드,35250,Dec-18,644464265,3586777089,643178007,3586452533
(주)강원랜드,35250,Dec-19,720360229,3717759076,718028952,3718433001
(주)강원에너지,114190,Nov-11,,,29216633,24502434
(주)강원에너지,114190,Dec-12,,,53150277,36107930
(주)강원에너지,114190,Dec-13,,,26564178,45877155
(주)강원에너지,114190,Dec-14,,,16592147,50445491
(주)강원에너지,114190,Dec-15,28873556,56583901,26058095,54880924
(주)강원에너지,114190,Dec-16,22097916,55088690,17103781,53746356
(주)강원에너지,114190,Dec-17,44876384,48303010,40664397,47117020
