회사명,거래소코드,회계년도,유동자산(IFRS연결),재고자산(IFRS연결),유동부채(IFRS연결),유동자산(IFRS개별),재고자산(IFRS개별),유동부채(IFRS개별)
(주)SNT홀딩스,36530,Dec-12,998857779,280540811,540250663,40740917,0,165833
(주)SNT홀딩스,36530,Dec-13,1070812404,311174402,569273848,49212139,0,306090
(주)SNT홀딩스,36530,Dec-14,994978341,283952471,477795324,47079948,0,245998
(주)SNT홀딩스,36530,Dec-15,1140793639,268780766,433769566,100040105,0,8658519
(주)SNT홀딩스,36530,Dec-16,1205349271,236908975,487107956,97449826,0,318763
(주)SNT홀딩스,36530,Dec-17,1187727595,215870141,448821933,98229088,0,299279
(주)SNT홀딩스,36530,Dec-18,1168023374,220256725,381612594,89557460,0,231691
(주)SNT홀딩스,36530,Dec-19,1266526398,229809615,405603647,31735933,0,233270
(주)STX,11810,Dec-11,1430457000,315306000,2041868000,993206000,240418000,1568777000
(주)STX,11810,Dec-12,1484305000,182590000,2363189000,856988000,108537000,1821548000
(주)STX,11810,Dec-13,793607000,94076000,1278680000,640293000,47749000,1071743000
(주)STX,11810,Dec-14,893610000,207648000,788697000,728283000,148535000,671976000
(주)STX,11810,Dec-15,902119000,316312000,866685000,663016000,143454000,677923000
(주)STX,11810,Dec-16,486347000,226131000,974743000,441306000,139765000,914419000
(주)STX,11810,Dec-17,475786000,181620000,553981000,349891000,103343000,453983000
(주)STX,11810,Dec-18,422861000,129417000,463598000,297842000,89120000,361935000
(주)STX,11810,Dec-19,386401000,118778000,439806000,292473000,89664000,377150000
(주)TCC스틸,2710,Dec-11,183481284,79633257,165589918,163515113,76580688,143961450
(주)TCC스틸,2710,Dec-12,218440703,100648536,191715329,168674581,75866000,115747321
(주)TCC스틸,2710,Dec-13,220034732,117184576,155751890,150092488,62722660,98538725
(주)TCC스틸,2710,Dec-14,233224033,124343812,283660429,141191905,59114758,189566139
(주)TCC스틸,2710,Dec-15,240184174,48965898,153614700,202116240,45683627,121276743
(주)TCC스틸,2710,Dec-16,120777516,51850499,94244692,97007914,44890754,77521428
(주)TCC스틸,2710,Dec-17,120243911,52771855,160048884,101914014,48077587,148607324
(주)TCC스틸,2710,Dec-18,152165969,69197191,93172096,128625665,62280830,82038987
(주)TCC스틸,2710,Dec-19,148991647,72619098,165995910,121879909,67392895,152915323
(주)가비아,79940,Dec-11,28837190,14450,13905604,9245779,14450,11953563
