회사명,거래소코드,회계년도,유동자산(IFRS연결),유동부채(IFRS연결),자산(IFRS연결),유동자산(IFRS개별),유동부채(IFRS개별),자산(IFRS개별)
(주)SNT홀딩스,36530,Dec-11,1041841182,597785981,2124828265,64671576,199700,388123974
(주)SNT홀딩스,36530,Dec-12,998857779,540250663,2074903906,40740917,165833,388964716
(주)SNT홀딩스,36530,Dec-13,1070812404,569273848,2149176237,49212139,306090,397336142
(주)SNT홀딩스,36530,Dec-14,994978341,477795324,2039388864,47079948,245998,399244416
(주)SNT홀딩스,36530,Dec-15,1140793639,433769566,2169311305,100040105,8658519,430584006
(주)SNT홀딩스,36530,Dec-16,1205349271,487107956,2210178425,97449826,318763,427001710
(주)SNT홀딩스,36530,Dec-17,1187727595,448821933,2146174938,98229088,299279,425435423
(주)SNT홀딩스,36530,Dec-18,1168023374,381612594,2113834573,89557460,231691,422804813
(주)SNT홀딩스,36530,Dec-19,1266526398,405603647,2236679025,31735933,233270,417172874
(주)STX,11810,Dec-11,1430457000,2041868000,5234175000,993206000,1568777000,3302248000
(주)STX,11810,Dec-12,1484305000,2363189000,5067029000,856988000,1821548000,3226878000
(주)STX,11810,Dec-13,793607000,1278680000,1342520000,640293000,1071743000,1086567000
(주)STX,11810,Dec-14,893610000,788697000,1255002000,728283000,671976000,1070433000
(주)STX,11810,Dec-15,902119000,866685000,1267224000,663016000,677923000,1057543000
(주)STX,11810,Dec-16,486347000,974743000,707709000,441306000,914419000,627686000
(주)STX,11810,Dec-17,475786000,553981000,627542000,349891000,453983000,520393000
(주)STX,11810,Dec-18,422861000,463598000,554061000,297842000,361935000,446758000
(주)STX,11810,Dec-19,386401000,439806000,560107000,292473000,377150000,462734000
(주)TCC스틸,2710,Dec-11,183481284,165589918,454329510,163515113,143961450,407743559
(주)TCC스틸,2710,Dec-12,218440703,191715329,547013976,168674581,115747321,438642951
(주)TCC스틸,2710,Dec-13,220034732,155751890,543708595,150092488,98538725,444204925
(주)TCC스틸,2710,Dec-14,233224033,283660429,551000563,141191905,189566139,461297588
(주)TCC스틸,2710,Dec-15,240184174,153614700,376394571,202116240,121276743,330651742
(주)TCC스틸,2710,Dec-16,120777516,94244692,282914735,97007914,77521428,250878191
(주)TCC스틸,2710,Dec-17,120243911,160048884,278692540,101914014,148607324,248896237
(주)TCC스틸,2710,Dec-18,152165969,93172096,304781579,128625665,82038987,268135677
(주)TCC스틸,2710,Dec-19,148991647,165995910,314210087,121879909,152915323,270265082
(주)가비아,79940,Dec-11,28837190,13905604,64954440,9245779,11953563,37295822
(주)가비아,79940,Dec-12,31997486,14858349,85244515,9613034,10723878,51795749
(주)가비아,79940,Dec-13,37411881,14999568,91231294,10360239,11588806,52151784
(주)가비아,79940,Dec-14,41920706,16229926,98544072,14916105,13161566,55984243
(주)가비아,79940,Dec-15,52239105,13210992,105081568,17436488,9687159,57657418
(주)가비아,79940,Dec-16,60241586,20386590,125796754,12237594,10247269,61160981
(주)가비아,79940,Dec-17,66113388,29400833,133382584,15116578,17323452,64986436
(주)가비아,79940,Dec-18,78058272,29792809,151440505,18388749,18089528,69315988
(주)가비아,79940,Dec-19,86880807,43098923,199916131,13602872,20260391,82964911
(주)강스템바이오텍,217730,Dec-15,,,,18896590,2965591,24982626
(주)강스템바이오텍,217730,Dec-16,,,,37966496,3231048,47441769
(주)강스템바이오텍,217730,Dec-17,25246012,6368374,47198979,24316617,4000962,44508729
(주)강스템바이오텍,217730,Dec-18,48992790,20056267,73194018,44071609,13802351,66184838
(주)강스템바이오텍,217730,Dec-19,55408095,20598774,113643697,50136013,15296868,98625925
(주)강원랜드,35250,Dec-11,1163791156,440884890,2711401782,1116717650,439575361,2730283806
(주)강원랜드,35250,Dec-12,1165450728,518388305,2906655321,1117338850,516757053,2915385756
(주)강원랜드,35250,Dec-13,1080401909,570217325,3102036846,1032979185,568327002,3105430200
(주)강원랜드,35250,Dec-14,1371825587,624516570,3375127289,1349601870,619817290,3380461682
(주)강원랜드,35250,Dec-15,1750420316,664599978,3690791830,1736167993,662837030,3688060027
(주)강원랜드,35250,Dec-16,1809513458,718893173,3978987574,1799026863,717426075,3975979890
(주)강원랜드,35250,Dec-17,2164296051,681337932,4185657487,2155754572,680591144,4182527382
(주)강원랜드,35250,Dec-18,1759033105,636028473,4231241354,1749493012,635168405,4229630541
(주)강원랜드,35250,Dec-19,1878191161,651342607,4438119306,1868365557,650507914,4436461953
(주)강원에너지,114190,Nov-11,,,,47950975,29049482,53719067
(주)강원에너지,114190,Dec-12,,,,80491240,52980413,89258208
(주)강원에너지,114190,Dec-13,,,,61556228,26561224,72441333
(주)강원에너지,114190,Dec-14,,,,48800730,16587078,67037639
(주)강원에너지,114190,Dec-15,62927388,18860326,85457457,58744703,26044865,80939019
(주)강원에너지,114190,Dec-16,53716336,12090212,77186606,49882033,17100077,70850137
(주)강원에너지,114190,Dec-17,68068421,33693980,93179394,66557788,36681993,87781416
(주)강원에너지,114190,Dec-18,70556730,43608244,93845576,70097814,40299772,89619750
(주)강원에너지,114190,Dec-19,30544232,30840573,56602063,30346449,27565065,55106032
(주)갤럭시아에스엠,11420,Dec-11,24658098,15665609,45110356,17322791,12001627,40711969
(주)갤럭시아에스엠,11420,Dec-12,24752609,13440442,43979072,21665386,12435097,40169876
(주)갤럭시아에스엠,11420,Dec-13,19899780,13503615,37636664,15680160,9491278,34158874
(주)갤럭시아에스엠,11420,Dec-14,26742964,17868979,45274078,21910144,14705118,40528250
(주)갤럭시아에스엠,11420,Dec-15,44426010,16873228,68686992,40480215,14961439,67196553
(주)갤럭시아에스엠,11420,Dec-16,37929417,12464561,58444606,33508731,9845511,55825556
(주)갤럭시아에스엠,11420,Dec-17,28750883,8744690,49831109,25522603,7871709,48958128
(주)갤럭시아에스엠,11420,Dec-18,14251248,6670268,33253331,14317048,6429460,33337692
(주)갤럭시아에스엠,11420,Dec-19,13644588,6311576,28241598,13644588,6311576,28241598
(주)경농,2100,Dec-11,94363834,24871768,173774102,85897543,24782041,176741869
(주)경농,2100,Dec-12,142516976,102878086,269412832,88973571,45244293,203467698
(주)경농,2100,Dec-13,129526582,72472377,255984725,90491612,40577371,214988593
(주)경농,2100,Dec-14,139646908,90426180,284623063,92163573,46610936,230870852
(주)경농,2100,Dec-15,161184139,114383542,316341853,110823037,75250424,265109291
(주)경농,2100,Dec-16,156061222,112348070,320915151,113338004,75688103,266622289
(주)경농,2100,Dec-17,163437464,121066567,335873898,114661596,78430974,268967010
(주)경농,2100,Dec-18,169982099,128301300,357260541,124295854,86896477,285031873
(주)경농,2100,Dec-19,185020093,122608005,370874091,138697201,80682497,297197088
(주)경동나비엔,9450,Dec-11,129512842,81664623,263211016,109967953,74711381,224373470
(주)경동나비엔,9450,Dec-12,145371681,100189444,299729837,123218302,87833093,254627468
(주)경동나비엔,9450,Dec-13,134043087,149468556,354779867,104914630,132677192,301475800
(주)경동나비엔,9450,Dec-14,159947056,186324883,401658957,134136648,156677220,331089242
(주)경동나비엔,9450,Dec-15,158254944,177125715,402084368,129837058,136609355,324848990
(주)경동나비엔,9450,Dec-16,175420277,177489101,429754702,145915928,135099803,347643876
(주)경동나비엔,9450,Dec-17,230894567,219839746,503697210,175839342,159637322,391400492
(주)경동나비엔,9450,Dec-18,287001959,275122471,583595818,209454208,191253920,440513661
(주)경동나비엔,9450,Dec-19,274279157,270253541,609808343,214093729,183748685,461607017
(주)경동도시가스,267290,Dec-17,376858740,334894003,710280194,374489353,334399752,707917077
(주)경동도시가스,267290,Dec-18,444232799,375912237,778269612,441723742,375445868,775880913
(주)경동도시가스,267290,Dec-19,395154174,321180745,749999474,392458231,320773519,747453908
(주)경동인베스트,12320,Dec-11,610411619,488755455,1001490869,563584969,450578763,941176098
(주)경동인베스트,12320,Dec-12,814034002,649801248,1209924561,753036515,612902677,1168400020
(주)경동인베스트,12320,Dec-13,778164231,596199441,1205008353,724069045,555649865,1161427092
(주)경동인베스트,12320,Dec-14,766552554,550250914,1320789066,631297926,449400573,1101071366
(주)경동인베스트,12320,Dec-15,571798491,392919112,1167819522,459634757,294859087,926392697
(주)경동인베스트,12320,Dec-16,508994824,337654347,1126122628,394847821,259946634,903818865
(주)경동인베스트,12320,Dec-17,238339688,77526863,599276331,110951332,615156,318031347
(주)경동인베스트,12320,Dec-18,188460289,78414333,592002536,44742051,424952,318776653
(주)경동인베스트,12320,Dec-19,236475693,84662496,605467383,44653640,7787239,316572482
(주)경방,50,Dec-11,138673371,406687562,1352324332,123787600,362096037,1331930968
(주)경방,50,Dec-12,123685731,164949423,1335039930,101710997,121339742,1301719900
(주)경방,50,Dec-13,103410904,135215333,1296989142,79482802,88576434,1261257414
(주)경방,50,Dec-14,101229398,409405729,1301841379,83665762,388656785,1275008413
