회사명,거래소코드,회계년도,유동자산(IFRS연결),자산(IFRS연결),유동자산(IFRS개별),자산(IFRS개별)
(주)STX,11810,Dec-19,386401000,560107000,292473000,462734000
(주)TCC스틸,2710,Dec-11,183481284,454329510,163515113,407743559
(주)TCC스틸,2710,Dec-12,218440703,547013976,168674581,438642951
(주)TCC스틸,2710,Dec-13,220034732,543708595,150092488,444204925
(주)TCC스틸,2710,Dec-14,233224033,551000563,141191905,461297588
(주)TCC스틸,2710,Dec-15,240184174,376394571,202116240,330651742
(주)TCC스틸,2710,Dec-16,120777516,282914735,97007914,250878191
(주)TCC스틸,2710,Dec-17,120243911,278692540,101914014,248896237
(주)TCC스틸,2710,Dec-18,152165969,304781579,128625665,268135677
(주)TCC스틸,2710,Dec-19,148991647,314210087,121879909,270265082
(주)가비아,79940,Dec-11,28837190,64954440,9245779,37295822
(주)가비아,79940,Dec-12,31997486,85244515,9613034,51795749
(주)가비아,79940,Dec-13,37411881,91231294,10360239,52151784
(주)가비아,79940,Dec-14,41920706,98544072,14916105,55984243
(주)가비아,79940,Dec-15,52239105,105081568,17436488,57657418
(주)가비아,79940,Dec-16,60241586,125796754,12237594,61160981
(주)가비아,79940,Dec-17,66113388,133382584,15116578,64986436
(주)가비아,79940,Dec-18,78058272,151440505,18388749,69315988
(주)가비아,79940,Dec-19,86880807,199916131,13602872,82964911
(주)강스템바이오텍,217730,Dec-15,,,18896590,24982626
(주)강스템바이오텍,217730,Dec-16,,,37966496,47441769
(주)강스템바이오텍,217730,Dec-17,25246012,47198979,24316617,44508729
(주)강스템바이오텍,217730,Dec-18,48992790,73194018,44071609,66184838
(주)강스템바이오텍,217730,Dec-19,55408095,113643697,50136013,98625925
(주)강원랜드,35250,Dec-11,1163791156,2711401782,1116717650,2730283806
(주)강원랜드,35250,Dec-12,1165450728,2906655321,1117338850,2915385756
(주)강원랜드,35250,Dec-13,1080401909,3102036846,1032979185,3105430200
(주)강원랜드,35250,Dec-14,1371825587,3375127289,1349601870,3380461682
(주)강원랜드,35250,Dec-15,1750420316,3690791830,1736167993,3688060027
(주)강원랜드,35250,Dec-16,1809513458,3978987574,1799026863,3975979890
(주)강원랜드,35250,Dec-17,2164296051,4185657487,2155754572,4182527382
(주)강원랜드,35250,Dec-18,1759033105,4231241354,1749493012,4229630541
(주)강원랜드,35250,Dec-19,1878191161,4438119306,1868365557,4436461953
(주)강원에너지,114190,Nov-11,,,47950975,53719067
(주)강원에너지,114190,Dec-12,,,80491240,89258208
(주)강원에너지,114190,Dec-13,,,61556228,72441333
(주)강원에너지,114190,Dec-14,,,48800730,67037639
(주)강원에너지,114190,Dec-15,62927388,85457457,58744703,80939019
(주)강원에너지,114190,Dec-16,53716336,77186606,49882033,70850137
(주)강원에너지,114190,Dec-17,68068421,93179394,66557788,87781416
(주)강원에너지,114190,Dec-18,70556730,93845576,70097814,89619750
(주)강원에너지,114190,Dec-19,30544232,56602063,30346449,55106032
(주)갤럭시아에스엠,11420,Dec-11,24658098,45110356,17322791,40711969
(주)갤럭시아에스엠,11420,Dec-12,24752609,43979072,21665386,40169876
(주)갤럭시아에스엠,11420,Dec-13,19899780,37636664,15680160,34158874
(주)갤럭시아에스엠,11420,Dec-14,26742964,45274078,21910144,40528250
(주)갤럭시아에스엠,11420,Dec-15,44426010,68686992,40480215,67196553
(주)갤럭시아에스엠,11420,Dec-16,37929417,58444606,33508731,55825556
(주)갤럭시아에스엠,11420,Dec-17,28750883,49831109,25522603,48958128
(주)갤럭시아에스엠,11420,Dec-18,14251248,33253331,14317048,33337692
(주)갤럭시아에스엠,11420,Dec-19,13644588,28241598,13644588,28241598
(주)경농,2100,Dec-11,94363834,173774102,85897543,176741869
(주)경농,2100,Dec-12,142516976,269412832,88973571,203467698
(주)경농,2100,Dec-13,129526582,255984725,90491612,214988593
(주)경농,2100,Dec-14,139646908,284623063,92163573,230870852
(주)경농,2100,Dec-15,161184139,316341853,110823037,265109291
(주)경농,2100,Dec-16,156061222,320915151,113338004,266622289
(주)경농,2100,Dec-17,163437464,335873898,114661596,268967010
(주)경농,2100,Dec-18,169982099,357260541,124295854,285031873
(주)경농,2100,Dec-19,185020093,370874091,138697201,297197088
(주)경동나비엔,9450,Dec-11,129512842,263211016,109967953,224373470
(주)경동나비엔,9450,Dec-12,145371681,299729837,123218302,254627468
(주)경동나비엔,9450,Dec-13,134043087,354779867,104914630,301475800
(주)경동나비엔,9450,Dec-14,159947056,401658957,134136648,331089242
(주)경동나비엔,9450,Dec-15,158254944,402084368,129837058,324848990
(주)경동나비엔,9450,Dec-16,175420277,429754702,145915928,347643876
(주)경동나비엔,9450,Dec-17,230894567,503697210,175839342,391400492
(주)경동나비엔,9450,Dec-18,287001959,583595818,209454208,440513661
(주)경동나비엔,9450,Dec-19,274279157,609808343,214093729,461607017
(주)경동도시가스,267290,Dec-17,376858740,710280194,374489353,707917077
(주)경동도시가스,267290,Dec-18,444232799,778269612,441723742,775880913
(주)경동도시가스,267290,Dec-19,395154174,749999474,392458231,747453908
(주)경동인베스트,12320,Dec-11,610411619,1001490869,563584969,941176098
(주)경동인베스트,12320,Dec-12,814034002,1209924561,753036515,1168400020
(주)경동인베스트,12320,Dec-13,778164231,1205008353,724069045,1161427092
(주)경동인베스트,12320,Dec-14,766552554,1320789066,631297926,1101071366
(주)경동인베스트,12320,Dec-15,571798491,1167819522,459634757,926392697
(주)경동인베스트,12320,Dec-16,508994824,1126122628,394847821,903818865
