회사명,거래소코드,회계년도,매출액(IFRS연결),매입채무(IFRS연결),매출액(IFRS개별),매입채무(IFRS개별)
(주)TCC스틸,2710,Dec-13,500832754,38783690,419483813,26136889
(주)TCC스틸,2710,Dec-14,518995240,37920178,401323585,25941466
(주)TCC스틸,2710,Dec-15,495795871,38223007,350074629,19400602
(주)TCC스틸,2710,Dec-16,444453635,25582561,317235565,22801657
(주)TCC스틸,2710,Dec-17,391370092,20150484,333762378,19063388
(주)TCC스틸,2710,Dec-18,413176279,33048342,351301866,28341813
(주)TCC스틸,2710,Dec-19,437173902,29636313,339334364,21237292
(주)가비아,79940,Dec-11,52838864,434923,33792831,393317
(주)가비아,79940,Dec-12,69058144,2521761,38482449,2569817
(주)가비아,79940,Dec-13,70675565,1861578,40507693,1268027
(주)가비아,79940,Dec-14,80432047,2865111,43906243,2370341
(주)가비아,79940,Dec-15,91648622,2028679,48446932,1496985
(주)가비아,79940,Dec-16,102178978,5050880,49430564,1575303
(주)가비아,79940,Dec-17,116217941,7351096,52365659,2413820
(주)가비아,79940,Dec-18,128728438,3929911,55197652,1771040
(주)가비아,79940,Dec-19,148306878,4480341,58254105,2058371
(주)강스템바이오텍,217730,Dec-15,,,1484593,125108
(주)강스템바이오텍,217730,Dec-16,,,842805,276004
(주)강스템바이오텍,217730,Dec-17,9132939,1239629,5394323,1239629
(주)강스템바이오텍,217730,Dec-18,9165454,1787264,1001039,230000
(주)강스템바이오텍,217730,Dec-19,6004584,616805,282069,270948
(주)강원랜드,35250,Dec-11,1265686425,1884989,1263651213,1884989
(주)강원랜드,35250,Dec-12,1296191223,2232677,1292896121,2232677
(주)강원랜드,35250,Dec-13,1361286598,2218517,1356906162,2218517
(주)강원랜드,35250,Dec-14,1496541441,3263417,1492291312,3263417
(주)강원랜드,35250,Dec-15,1633716839,3607101,1630976696,3607101
(주)강원랜드,35250,Dec-16,1696532511,3084179,1694575212,3084179
(주)강원랜드,35250,Dec-17,1604470055,3361320,1602901764,3361320
(주)강원랜드,35250,Dec-18,1438059299,3561607,1436042435,3561607
(주)강원랜드,35250,Dec-19,1520080449,3857898,1517612252,3857898
(주)강원에너지,114190,Nov-11,,,50222892,13966076
(주)강원에너지,114190,Dec-12,,,106471214,17580576
(주)강원에너지,114190,Dec-13,,,50660659,6911587
(주)강원에너지,114190,Dec-14,,,51481321,8949784
(주)강원에너지,114190,Dec-15,46188664,8958699,48852892,8958699
(주)강원에너지,114190,Dec-16,42287473,5273337,44448760,5273337
(주)강원에너지,114190,Dec-17,82034829,15372002,83113029,15372002
(주)강원에너지,114190,Dec-18,85905365,11107883,85905365,11107883
(주)강원에너지,114190,Dec-19,42549622,7904034,42549622,7904034
(주)갤럭시아에스엠,11420,Dec-11,47331427,1441017,31931418,1078148
(주)갤럭시아에스엠,11420,Dec-12,55049732,1958766,37398255,1557553
(주)갤럭시아에스엠,11420,Dec-13,46437304,1576120,30903637,1162739
(주)갤럭시아에스엠,11420,Dec-14,43885894,2389683,33027933,1548854
(주)갤럭시아에스엠,11420,Dec-15,62472754,2901363,53784932,2140769
(주)갤럭시아에스엠,11420,Dec-16,52626331,4302476,45665676,3486270
(주)갤럭시아에스엠,11420,Dec-17,37281280,2973757,36917656,2970352
(주)갤럭시아에스엠,11420,Dec-18,22060413,1700468,22030258,1695454
(주)갤럭시아에스엠,11420,Dec-19,28732679,1350936,28732679,1350936
(주)경농,2100,Dec-11,121253605,16144137,120728258,16127481
(주)경농,2100,Dec-12,136970449,19656950,131021366,19491642
(주)경농,2100,Dec-13,196358952,17503694,139237273,17851709
(주)경농,2100,Dec-14,188483147,22336952,134806677,20530569
(주)경농,2100,Dec-15,196418710,23122407,137609256,21943145
(주)경농,2100,Dec-16,203984939,28340442,143209666,25261354
(주)경농,2100,Dec-17,206534382,29526311,143175105,25446317
(주)경농,2100,Dec-18,212654617,24114639,146216658,20300908
(주)경농,2100,Dec-19,227510941,27979140,151342037,23604107
(주)경동나비엔,9450,Dec-11,341246917,41324370,318269213,42204733
(주)경동나비엔,9450,Dec-12,379014259,56130651,341339118,54234882
(주)경동나비엔,9450,Dec-13,414177562,50650491,371601179,51433487
(주)경동나비엔,9450,Dec-14,428985365,54242303,382392117,46764099
(주)경동나비엔,9450,Dec-15,512031120,65252087,448302084,54566199
(주)경동나비엔,9450,Dec-16,583252904,83657318,506082201,76535655
(주)경동나비엔,9450,Dec-17,684660958,92109771,569819524,86703690
(주)경동나비엔,9450,Dec-18,726741615,77239026,618058456,69560024
(주)경동나비엔,9450,Dec-19,774290704,92666117,655419303,80630620
(주)경동도시가스,267290,Dec-17,871548284,295055522,870828897,295055522
(주)경동도시가스,267290,Dec-18,1606531867,328641465,1605687067,328641465
(주)경동도시가스,267290,Dec-19,1422707835,273615670,1421866212,273615670
(주)경동인베스트,12320,Dec-11,1847666903,422528843,1806174764,411238914
(주)경동인베스트,12320,Dec-12,2502642394,590272557,2403814656,574143486
(주)경동인베스트,12320,Dec-13,2788264380,534969558,2664100017,520836292
(주)경동인베스트,12320,Dec-14,2603059058,420962238,2399450987,410419461
(주)경동인베스트,12320,Dec-15,1604168482,252287992,1352478311,245967803
(주)경동인베스트,12320,Dec-16,1181902637,229971708,1021002691,227515846
(주)경동인베스트,12320,Dec-17,195069859,2330818,612436,0
(주)경동인베스트,12320,Dec-18,228644016,6953228,7460898,0
(주)경동인베스트,12320,Dec-19,271765025,6446931,8641051,0
(주)경방,50,Dec-11,348136369,19598113,275746943,1642636
(주)경방,50,Dec-12,333620804,20758100,265409209,3879239
(주)경방,50,Dec-13,347189559,20361220,264782077,3610545
(주)경방,50,Dec-14,329036023,18551019,256979444,18354028
(주)경방,50,Dec-15,357628146,17651694,307744480,16820107
(주)경방,50,Dec-16,377445013,19400284,313876822,16642486
(주)경방,50,Dec-17,360788750,18728926,288103985,15212310
(주)경방,50,Dec-18,351438926,18980495,279085217,16114137
