회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(소분류),종업원수증가율,R & D 투자효율,무형자산처리무형자산개발비(천원),경상개발비(천원)
(주)SNT홀딩스,036530,2013/12,  회사 본부 및 경영 컨설팅 서비스업,-11.11,0,,0
(주)SNT홀딩스,036530,2014/12,  회사 본부 및 경영 컨설팅 서비스업,0,0,,0
(주)SNT홀딩스,036530,2015/12,  회사 본부 및 경영 컨설팅 서비스업,0,0,,0
(주)SNT홀딩스,036530,2016/12,  회사 본부 및 경영 컨설팅 서비스업,0,0,,0
(주)SNT홀딩스,036530,2017/12,  회사 본부 및 경영 컨설팅 서비스업,-12.5,0,,0
(주)SNT홀딩스,036530,2018/12,  회사 본부 및 경영 컨설팅 서비스업,42.86,0,,0
(주)SNT홀딩스,036530,2019/12,  회사 본부 및 경영 컨설팅 서비스업,0,0,,0
(주)STX,011810,2011/12,  상품 종합 도매업,-39.04,0,,0
(주)STX,011810,2012/12,  상품 종합 도매업,-4.34,0,,0
(주)STX,011810,2013/12,  상품 종합 도매업,-52.8,0,,0
(주)STX,011810,2014/12,  상품 종합 도매업,-29.94,0,,0
(주)STX,011810,2015/12,  상품 종합 도매업,2.42,0,,0
(주)STX,011810,2016/12,  상품 종합 도매업,-5.51,0,,0
(주)STX,011810,2017/12,  상품 종합 도매업,-0.83,0,,0
(주)STX,011810,2018/12,  상품 종합 도매업,-7.56,0,,0
(주)STX,011810,2019/12,  상품 종합 도매업,5.45,0,,0
(주)TCC스틸,002710,2011/12,  1차 철강 제조업,-2.78,0,0,0
(주)TCC스틸,002710,2012/12,  1차 철강 제조업,1.27,0,,0
(주)TCC스틸,002710,2013/12,  1차 철강 제조업,-2.51,0,0,0
(주)TCC스틸,002710,2014/12,  1차 철강 제조업,-1.61,0,0,0
(주)TCC스틸,002710,2015/12,  1차 철강 제조업,-8.17,0,0,0
(주)TCC스틸,002710,2016/12,  1차 철강 제조업,-1.42,0,0,0
(주)TCC스틸,002710,2017/12,  1차 철강 제조업,2.17,0,0,0
(주)TCC스틸,002710,2018/12,  1차 철강 제조업,-2.12,0,0,0
(주)TCC스틸,002710,2019/12,  1차 철강 제조업,-0.72,0,0,0
(주)가비아,079940,2011/12,  소프트웨어 개발 및 공급업,23.23,0.91,0,306874
(주)가비아,079940,2012/12,  소프트웨어 개발 및 공급업,10.47,1.25,0,479876
(주)가비아,079940,2013/12,  소프트웨어 개발 및 공급업,8.06,2,0,809715
(주)가비아,079940,2014/12,  소프트웨어 개발 및 공급업,8.33,0.37,0,160297
(주)가비아,079940,2015/12,  소프트웨어 개발 및 공급업,6.07,0.21,0,101126
(주)가비아,079940,2016/12,  소프트웨어 개발 및 공급업,2.29,0.23,0,113382
(주)가비아,079940,2017/12,  소프트웨어 개발 및 공급업,2.61,1.48,0,776111
(주)가비아,079940,2018/12,  소프트웨어 개발 및 공급업,1.82,0.81,0,446294
(주)가비아,079940,2019/12,  소프트웨어 개발 및 공급업,-1.07,0,0,0
(주)강스템바이오텍,217730,2015/12,  기초 의약물질 및 생물학적 제제 제조업,0,255.88,0,3798708
(주)강스템바이오텍,217730,2016/12,  기초 의약물질 및 생물학적 제제 제조업,27.42,656.04,0,5529149
(주)강스템바이오텍,217730,2017/12,  기초 의약물질 및 생물학적 제제 제조업,-5.06,123.43,0,6658015
(주)강스템바이오텍,217730,2018/12,  기초 의약물질 및 생물학적 제제 제조업,18.67,687.27,1661242,6879882
(주)강스템바이오텍,217730,2019/12,  기초 의약물질 및 생물학적 제제 제조업,14.61,4440.03,1334488,12523954
(주)강원랜드,035250,2011/12,  유원지 및 기타 오락관련 서비스업,2.14,0.01,,71679
(주)강원랜드,035250,2012/12,  유원지 및 기타 오락관련 서비스업,1.24,0.01,,144553
(주)강원랜드,035250,2013/12,  유원지 및 기타 오락관련 서비스업,14.86,0,0,64208
(주)강원랜드,035250,2014/12,  유원지 및 기타 오락관련 서비스업,-1.8,0,0,48445
(주)강원랜드,035250,2015/12,  유원지 및 기타 오락관련 서비스업,0.81,0.01,0,108201
(주)강원랜드,035250,2016/12,  유원지 및 기타 오락관련 서비스업,0.25,0.01,0,114514
(주)강원랜드,035250,2017/12,  유원지 및 기타 오락관련 서비스업,1.76,0,0,64234
(주)강원랜드,035250,2018/12,  유원지 및 기타 오락관련 서비스업,40.64,0,0,49171
(주)강원랜드,035250,2019/12,  유원지 및 기타 오락관련 서비스업,-0.9,0,0,60061
(주)강원에너지,114190,2011/11,"  구조용 금속제품, 탱크 및 증기발생기 제조업",14.63,2.76,0,1388076
(주)강원에너지,114190,2012/12,"  구조용 금속제품, 탱크 및 증기발생기 제조업",0,1.86,0,1983774
(주)강원에너지,114190,2013/12,"  구조용 금속제품, 탱크 및 증기발생기 제조업",10.89,3.64,0,1844262
(주)강원에너지,114190,2014/12,"  구조용 금속제품, 탱크 및 증기발생기 제조업",31.25,3.71,0,1907669
(주)강원에너지,114190,2015/12,"  구조용 금속제품, 탱크 및 증기발생기 제조업",-9.52,3.58,0,1748860
(주)강원에너지,114190,2016/12,"  구조용 금속제품, 탱크 및 증기발생기 제조업",-5.26,4.56,0,2026155
(주)강원에너지,114190,2017/12,"  구조용 금속제품, 탱크 및 증기발생기 제조업",8.73,0,0,0
(주)강원에너지,114190,2018/12,"  구조용 금속제품, 탱크 및 증기발생기 제조업",-13.14,0,0,0
(주)강원에너지,114190,2019/12,"  구조용 금속제품, 탱크 및 증기발생기 제조업",-10.08,0,0,0
(주)갤럭시아에스엠,011420,2011/12,  스포츠 서비스업,12.12,0,,0
(주)갤럭시아에스엠,011420,2012/12,  스포츠 서비스업,8.11,0,,0
(주)갤럭시아에스엠,011420,2013/12,  스포츠 서비스업,25,0,,0
(주)갤럭시아에스엠,011420,2014/12,  스포츠 서비스업,26,0,,0
(주)갤럭시아에스엠,011420,2015/12,  스포츠 서비스업,47.62,0,,0
(주)갤럭시아에스엠,011420,2016/12,  스포츠 서비스업,15.05,0,,0
(주)갤럭시아에스엠,011420,2017/12,  스포츠 서비스업,17.76,0,,0
(주)갤럭시아에스엠,011420,2018/12,  스포츠 서비스업,-11.9,0,,0
(주)갤럭시아에스엠,011420,2019/12,  스포츠 서비스업,9.01,0,,0
(주)경농,002100,2011/12,"  비료, 농약 및 살균, 살충제 제조업",-4.94,3.08,0,3718009
(주)경농,002100,2012/12,"  비료, 농약 및 살균, 살충제 제조업",-0.65,3.1,0,4059418
(주)경농,002100,2013/12,"  비료, 농약 및 살균, 살충제 제조업",1.63,2.81,0,3915658
(주)경농,002100,2014/12,"  비료, 농약 및 살균, 살충제 제조업",9.32,4.82,0,6497886
(주)경농,002100,2015/12,"  비료, 농약 및 살균, 살충제 제조업",1.76,5.56,0,7653105
(주)경농,002100,2016/12,"  비료, 농약 및 살균, 살충제 제조업",-3.18,8.12,0,11635162
(주)경농,002100,2017/12,"  비료, 농약 및 살균, 살충제 제조업",0.9,5.83,0,8345382
(주)경농,002100,2018/12,"  비료, 농약 및 살균, 살충제 제조업",3.55,4.77,0,6973495
(주)경농,002100,2019/12,"  비료, 농약 및 살균, 살충제 제조업",3.43,4.42,0,6692978
(주)경동나비엔,009450,2011/12,  가정용 기기 제조업,6.88,1.24,0,3955054
