,회사명,거래소코드,회계년도,직원감소율여부
162,(주)경동인베스트,12320,2012,0
163,(주)경동인베스트,12320,2013,0
164,(주)경동인베스트,12320,2014,0
165,(주)경동인베스트,12320,2015,0
166,(주)경동인베스트,12320,2016,0
167,(주)경동인베스트,12320,2017,0
168,(주)경동인베스트,12320,2018,0
169,(주)경동인베스트,12320,2019,0
170,(주)경방,50,2011,0
171,(주)경방,50,2012,0
172,(주)경방,50,2013,0
173,(주)경방,50,2014,0
174,(주)경방,50,2015,0
175,(주)경방,50,2016,0
176,(주)경방,50,2017,0
177,(주)경방,50,2018,0
178,(주)경방,50,2019,0
179,(주)경보제약,214390,2015,0
180,(주)경보제약,214390,2016,0
181,(주)경보제약,214390,2017,0
182,(주)경보제약,214390,2018,0
183,(주)경보제약,214390,2019,0
184,(주)경인양행,12610,2011,0
185,(주)경인양행,12610,2012,0
186,(주)경인양행,12610,2013,0
187,(주)경인양행,12610,2014,0
188,(주)경인양행,12610,2015,0
189,(주)경인양행,12610,2016,0
190,(주)경인양행,12610,2017,0
191,(주)경인양행,12610,2018,0
192,(주)경인양행,12610,2019,0
193,(주)고려시멘트,198440,2014,0
194,(주)고려시멘트,198440,2015,0
195,(주)고려시멘트,198440,2016,0
196,(주)고려시멘트,198440,2017,0
197,(주)고려시멘트,198440,2018,0
198,(주)고려시멘트,198440,2019,0
199,(주)고영테크놀러지,98460,2011,0
200,(주)고영테크놀러지,98460,2012,0
201,(주)고영테크놀러지,98460,2013,0
202,(주)고영테크놀러지,98460,2014,1
203,(주)고영테크놀러지,98460,2015,0
204,(주)고영테크놀러지,98460,2016,0
205,(주)고영테크놀러지,98460,2017,0
206,(주)고영테크놀러지,98460,2018,0
207,(주)고영테크놀러지,98460,2019,0
208,(주)골드앤에스,35290,2011,0
209,(주)골드앤에스,35290,2012,0
210,(주)골드앤에스,35290,2013,0
211,(주)골드앤에스,35290,2014,0
212,(주)골드앤에스,35290,2015,0
213,(주)골드앤에스,35290,2016,0
214,(주)골드앤에스,35290,2017,0
215,(주)골드앤에스,35290,2018,1
216,(주)골드앤에스,35290,2019,0
217,(주)골드퍼시픽,38530,2011,0
218,(주)골드퍼시픽,38530,2012,0
219,(주)골드퍼시픽,38530,2013,0
220,(주)골드퍼시픽,38530,2014,0
221,(주)골드퍼시픽,38530,2015,1
222,(주)골드퍼시픽,38530,2016,1
223,(주)골드퍼시픽,38530,2017,0
224,(주)골드퍼시픽,38530,2018,0
225,(주)골드퍼시픽,38530,2019,0
226,(주)골프존,215000,2015,0
227,(주)골프존,215000,2016,0
228,(주)골프존,215000,2017,0
229,(주)골프존,215000,2018,1
230,(주)골프존,215000,2019,0
231,(주)골프존뉴딘홀딩스,121440,2011,0
232,(주)골프존뉴딘홀딩스,121440,2012,1
