구분,코드,산업명,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
(주)국영지앤엠,006050,  비금속 광물제품 제조업,100.74 ,98.87 ,95.05 ,94.16 ,98.77 ,96.38 ,94.97 ,98.30 ,95.49 
(주)국전약품,307750,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!
(주)그래디언트,035080,  전문 서비스업,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)그리티,204020,"  의복, 의복 액세서리 및 모피제품 제조업",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,39.68 ,44.99 
(주)그린플러스,186230,  1차 금속 제조업,0.00 ,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,81.09 
(주)글로벌스탠다드테크놀로지,083450,  기타 기계 및 장비 제조업,67.78 ,66.82 ,71.48 ,72.40 ,68.45 ,66.91 ,69.12 ,69.11 ,62.29 
(주)금비,008870,  비금속 광물제품 제조업,76.38 ,78.89 ,80.27 ,83.29 ,75.63 ,77.07 ,73.48 ,74.20 ,75.31 
(주)금양,001570,  화학물질 및 화학제품 제조업; 의약품 제외,86.37 ,86.58 ,89.86 ,88.55 ,87.49 ,87.24 ,88.18 ,86.52 ,85.68 
(주)금호에이치티,214330,  자동차 및 트레일러 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,83.49 ,87.64 ,88.89 ,91.98 ,94.62 
(주)금화피에스시,036190,  전문직별 공사업,75.32 ,76.00 ,79.30 ,82.22 ,82.92 ,82.31 ,77.43 ,76.72 ,79.03 
(주)기가레인,049080,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",#DIV/0!,#DIV/0!,79.97 ,80.95 ,118.69 ,102.99 ,83.62 ,84.88 ,120.24 
(주)기산텔레콤,035460,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",88.08 ,76.27 ,78.58 ,77.25 ,81.65 ,78.65 ,79.34 ,84.57 ,74.69 
(주)까뮤이앤씨,013700,  종합 건설업,120.22 ,92.88 ,95.78 ,93.38 ,91.81 ,92.00 ,89.05 ,89.86 ,90.03 
(주)까스텔바작,308100,  소매업; 자동차 제외,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,38.49 
(주)나노,187790,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,117.93 ,117.25 ,82.14 ,85.27 ,86.94 
(주)나노브릭,286750,  화학물질 및 화학제품 제조업; 의약품 제외,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,75.56 
(주)나노신소재,121600,  화학물질 및 화학제품 제조업; 의약품 제외,56.13 ,69.42 ,63.97 ,55.71 ,54.08 ,56.59 ,54.58 ,56.85 ,60.49 
(주)나노엔텍,039860,"  의료, 정밀, 광학기기 및 시계 제조업",94.92 ,91.56 ,74.24 ,73.28 ,81.05 ,85.80 ,57.38 ,59.75 ,55.89 
(주)나무가,190510,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,88.69 ,94.74 ,97.68 ,94.52 ,93.57 
(주)나스미디어,089600,  전문 서비스업,#DIV/0!,#DIV/0!,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)나이벡,138610,  의료용 물질 및 의약품 제조업,87.60 ,73.71 ,113.09 ,80.86 ,77.66 ,83.35 ,68.97 ,91.13 ,57.17 
(주)나이스디앤비,130580,  사업지원 서비스업,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)나이스홀딩스,034310,  사업지원 서비스업,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)나인테크,267320,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!
(주)남선알미늄,008350,  1차 금속 제조업,91.31 ,92.16 ,88.41 ,88.61 ,87.45 ,88.26 ,88.95 ,89.97 ,89.26 
(주)남성,004270,  도매 및 상품 중개업,86.15 ,84.87 ,86.37 ,87.50 ,87.04 ,87.19 ,86.26 ,87.72 ,87.54 
(주)내츄럴엔도텍,168330,  연구개발업,#DIV/0!,#DIV/0!,29.02 ,31.90 ,31.24 ,64.82 ,63.97 ,112.70 ,126.31 
(주)네오리진,094860,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",73.28 ,71.56 ,75.47 ,82.21 ,59.57 ,49.72 ,44.61 ,56.52 ,58.20 
(주)네오셈,253590,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,53.99 
(주)네오오토,212560,  자동차 및 트레일러 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87.27 ,88.47 ,93.33 ,91.34 ,92.30 
(주)네오위즈,095660,  출판업,62.19 ,63.78 ,54.03 ,41.70 ,38.39 ,41.91 ,45.00 ,51.75 ,48.85 
(주)네오위즈홀딩스,042420,  전문 서비스업,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)네오크레마,311390,  식료품 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,77.61 
(주)네오티스,085910,  기타 기계 및 장비 제조업,76.30 ,76.12 ,78.64 ,79.30 ,82.45 ,81.08 ,81.99 ,81.20 ,81.77 
(주)네오팜,092730,  화학물질 및 화학제품 제조업; 의약품 제외,26.20 ,24.39 ,25.20 ,26.77 ,26.12 ,24.66 ,25.07 ,27.39 ,28.49 
(주)네오펙트,290660,"  의료, 정밀, 광학기기 및 시계 제조업",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,34.05 ,51.79 
(주)네온테크,306620,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!
(주)네이블커뮤니케이션즈,153460,  출판업,#DIV/0!,43.08 ,42.95 ,49.76 ,52.29 ,48.91 ,60.40 ,55.64 ,45.20 
(주)네이처셀,007390,  음료 제조업,93.47 ,90.11 ,87.93 ,94.49 ,89.54 ,85.32 ,71.99 ,58.89 ,44.08 
(주)네패스,033640,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",80.09 ,73.70 ,78.71 ,81.93 ,76.06 ,80.64 ,77.14 ,76.39 ,74.53 
(주)넥센,005720,  고무 및 플라스틱제품 제조업,87.57 ,82.97 ,79.40 ,77.09 ,74.93 ,73.14 ,78.08 ,86.58 ,87.09 
(주)넥스턴바이오사이언스,089140,  기타 기계 및 장비 제조업,73.81 ,70.87 ,70.36 ,65.13 ,69.16 ,66.88 ,68.99 ,67.71 ,76.60 
(주)넥스트아이,137940,"  의료, 정밀, 광학기기 및 시계 제조업",57.68 ,54.15 ,59.34 ,65.95 ,67.51 ,73.86 ,73.00 ,78.17 ,93.45 
(주)넥스트엔터테인먼트월드,160550,  영상ㆍ오디오 기록물 제작 및 배급업,#DIV/0!,#DIV/0!,#DIV/0!,79.65 ,91.85 ,82.82 ,87.67 ,89.07 ,80.52 
(주)넥슨게임즈,225570,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,0.00 ,0.00 ,0.00 
(주)넵튠,217270,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)노랑풍선,104620,  사업지원 서비스업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,0.00 
(주)노루페인트,090350,  화학물질 및 화학제품 제조업; 의약품 제외,82.68 ,81.49 ,80.32 ,78.26 ,76.73 ,76.00 ,78.75 ,81.24 ,79.67 
(주)노루홀딩스,000320,  전문 서비스업,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)노바렉스,194700,  식료품 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,80.77 ,82.04 
(주)노바텍,285490,  기타 제품 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,61.12 ,63.79 
(주)노블엠앤비,106520,"  의료, 정밀, 광학기기 및 시계 제조업",#DIV/0!,80.86 ,81.82 ,86.63 ,99.00 ,111.35 ,107.10 ,106.81 ,81.70 
(주)노터스,278650,  연구개발업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,0.00 
(주)녹십자,006280,  의료용 물질 및 의약품 제조업,65.37 ,67.22 ,68.11 ,66.74 ,66.09 ,70.43 ,71.39 ,74.37 ,72.98 
(주)녹십자엠에스,142280,  의료용 물질 및 의약품 제조업,#DIV/0!,#DIV/0!,#DIV/0!,81.59 ,85.42 ,85.41 ,84.69 ,90.37 ,90.49 
(주)녹십자웰빙,234690,  의료용 물질 및 의약품 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,46.11 
(주)녹십자홀딩스,005250,  전문 서비스업,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)녹원씨엔아이,065560,  출판업,78.00 ,94.89 ,97.23 ,98.20 ,53.49 ,81.83 ,79.74 ,44.63 ,46.88 
(주)농심,004370,  식료품 제조업,74.28 ,73.24 ,72.56 ,72.43 ,70.85 ,70.81 ,69.27 ,73.31 ,73.94 
(주)농심홀딩스,072710,  전문 서비스업,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)누리플랜,069140,  금속가공제품 제조업; 기계 및 가구 제외,77.31 ,81.74 ,88.37 ,97.95 ,78.57 ,81.51 ,79.94 ,83.10 ,82.48 
(주)누리플렉스,040160,  출판업,74.98 ,69.47 ,62.41 ,58.35 ,56.36 ,52.76 ,73.39 ,70.74 ,66.85 
(주)누보,332290,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!
(주)뉴로스,126870,  기타 기계 및 장비 제조업,#DIV/0!,54.06 ,55.44 ,53.71 ,66.09 ,61.69 ,68.49 ,67.53 ,75.18 
(주)뉴보텍,060260,  고무 및 플라스틱제품 제조업,82.82 ,74.66 ,73.93 ,71.88 ,70.18 ,66.72 ,74.28 ,72.75 ,71.48 
(주)뉴인텍,012340,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",88.93 ,97.63 ,94.63 ,96.67 ,89.27 ,96.08 ,94.25 ,94.70 ,89.90 
(주)뉴트리,270870,  식료품 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,25.18 ,24.37 
(주)뉴파워프라즈마,144960,  기타 기계 및 장비 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,51.96 ,50.64 ,51.64 ,58.30 
(주)뉴프렉스,085670,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",89.58 ,87.15 ,91.83 ,90.75 ,93.81 ,93.26 ,90.11 ,89.38 ,99.49 
(주)다나와,119860,  출판업,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)다날,064260,  정보서비스업,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)다보링크,340360,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!
(주)다산네트웍스,039560,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",65.25 ,58.74 ,64.16 ,68.77 ,72.82 ,71.34 ,62.20 ,67.26 ,71.47 
(주)다우기술,023590,  정보서비스업,80.01 ,80.12 ,81.91 ,83.75 ,84.30 ,81.87 ,79.98 ,75.47 ,75.08 
(주)다우데이타,032190,  도매 및 상품 중개업,86.69 ,85.27 ,83.67 ,82.37 ,83.75 ,87.17 ,85.86 ,84.58 ,84.95 
(주)다원시스,068240,  전기장비 제조업,65.16 ,63.42 ,63.51 ,65.12 ,65.78 ,69.19 ,67.28 ,71.88 ,77.32 
(주)다이나믹디자인,145210,  기타 기계 및 장비 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,79.69 ,78.28 ,76.32 ,87.26 ,84.26 
(주)대교,019680,  교육 서비스업,81.46 ,82.78 ,82.53 ,82.95 ,82.23 ,82.18 ,82.00 ,84.41 ,84.29 
