구분,코드,산업명,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
(주)상상인인더스트리,101000,  기타 운송장비 제조업,105.00 ,99.14 ,89.99 ,92.76 ,88.66 ,82.67 ,88.15 ,106.22 ,89.93 
(주)상아프론테크,089980,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",83.19 ,81.36 ,78.70 ,79.92 ,75.80 ,74.83 ,75.38 ,77.21 ,79.17 
(주)상지카일룸,042940,  전문직별 공사업,95.92 ,112.14 ,116.45 ,98.02 ,89.82 ,112.25 ,96.47 ,75.93 ,89.25 
(주)새로닉스,042600,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",91.46 ,90.87 ,93.66 ,88.42 ,88.65 ,89.53 ,84.20 ,86.33 ,87.98 
(주)서린바이오사이언스,038070,  도매 및 상품 중개업,68.12 ,66.39 ,71.82 ,66.56 ,72.41 ,72.70 ,72.14 ,73.10 ,76.51 
(주)서부티엔디,006730,  소매업; 자동차 제외,49.63 ,41.67 ,28.95 ,26.69 ,23.19 ,20.41 ,84.65 ,79.78 ,69.89 
(주)서산,079650,  비금속 광물제품 제조업,83.95 ,79.46 ,82.93 ,85.08 ,82.39 ,79.73 ,83.72 ,92.61 ,90.59 
(주)서연,007860,  자동차 및 트레일러 제조업,96.71 ,93.64 ,93.91 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)서연이화,200880,  자동차 및 트레일러 제조업,#DIV/0!,#DIV/0!,#DIV/0!,95.74 ,91.30 ,92.64 ,96.97 ,92.52 ,89.95 
(주)서연탑메탈,019770,  기타 기계 및 장비 제조업,86.42 ,88.49 ,91.70 ,90.25 ,92.64 ,92.20 ,93.83 ,97.22 ,95.29 
(주)서울리거,043710,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",90.71 ,92.75 ,110.29 ,95.31 ,55.22 ,92.43 ,88.53 ,82.99 ,95.29 
(주)서울옥션,063170,  도매 및 상품 중개업,65.07 ,59.33 ,47.85 ,56.85 ,66.81 ,71.52 ,63.75 ,59.47 ,69.59 
(주)서울제약,018680,  의료용 물질 및 의약품 제조업,43.40 ,43.35 ,48.26 ,48.55 ,51.03 ,46.74 ,49.42 ,48.00 ,43.27 
(주)서원,021050,  1차 금속 제조업,94.84 ,95.16 ,94.53 ,94.03 ,98.43 ,89.87 ,88.25 ,92.40 ,92.58 
(주)서원인텍,093920,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",89.21 ,88.15 ,88.08 ,89.68 ,92.08 ,93.90 ,93.71 ,98.73 ,94.68 
(주)서전기전,189860,  전기장비 제조업,#DIV/0!,#DIV/0!,#DIV/0!,68.79 ,72.98 ,73.06 ,74.03 ,76.47 ,81.35 
(주)서진시스템,178320,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,70.69 ,71.71 ,77.87 
(주)서진오토모티브,122690,  기타금융업,#DIV/0!,88.47 ,87.96 ,90.14 ,92.03 ,90.66 ,94.82 ,97.72 ,95.90 
(주)서플러스글로벌,140070,  도매 및 상품 중개업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,66.13 ,72.14 ,84.28 
(주)서한,011370,  종합 건설업,92.14 ,89.89 ,90.80 ,88.04 ,85.20 ,78.56 ,77.21 ,86.34 ,91.16 
(주)서흥,008490,  화학물질 및 화학제품 제조업; 의약품 제외,76.98 ,86.32 ,85.27 ,83.45 ,81.78 ,83.01 ,85.07 ,85.61 ,85.10 
(주)서희건설,035890,  종합 건설업,92.89 ,91.98 ,91.10 ,89.35 ,89.10 ,86.86 ,84.77 ,87.24 ,85.50 
(주)선광,003100,  창고 및 운송관련 서비스업,79.46 ,79.24 ,80.57 ,76.60 ,71.43 ,71.18 ,66.74 ,67.42 ,62.73 
(주)선앤엘,002820,  목재 및 나무제품 제조업; 가구 제외,88.82 ,91.30 ,92.06 ,91.49 ,89.82 ,89.48 ,93.46 ,94.34 ,99.54 
(주)선익시스템,171090,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,74.13 ,80.84 ,73.53 
(주)선진,136490,  식료품 제조업,83.42 ,81.66 ,83.48 ,85.33 ,84.99 ,83.85 ,85.52 ,85.48 ,83.48 
(주)성광벤드,014620,  1차 금속 제조업,79.34 ,70.63 ,68.28 ,71.07 ,79.15 ,86.62 ,98.64 ,92.20 ,81.80 
(주)성도이엔지,037350,  전문직별 공사업,87.18 ,90.41 ,89.53 ,92.20 ,92.29 ,90.73 ,91.70 ,92.03 ,93.66 
(주)성안,011300,  섬유제품 제조업; 의복제외,85.58 ,84.24 ,85.66 ,88.91 ,83.19 ,81.95 ,91.00 ,95.69 ,99.45 
(주)성우하이텍,015750,  자동차 및 트레일러 제조업,89.98 ,89.54 ,87.39 ,87.98 ,87.97 ,86.75 ,87.10 ,89.45 ,89.14 
(주)성창오토텍,080470,  자동차 및 트레일러 제조업,82.28 ,82.20 ,82.30 ,85.47 ,84.18 ,87.44 ,87.93 ,83.77 ,85.95 
(주)세경하이테크,148150,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,72.30 
(주)세동,053060,  자동차 및 트레일러 제조업,95.89 ,93.63 ,92.66 ,93.88 ,93.31 ,93.40 ,95.71 ,92.60 ,90.71 
(주)세림비앤지,340440,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!
(주)세보엠이씨,011560,  전문직별 공사업,94.48 ,92.97 ,93.36 ,96.14 ,92.31 ,91.28 ,92.11 ,91.07 ,100.15 
(주)세아베스틸지주,001430,  1차 금속 제조업,84.90 ,88.65 ,89.40 ,88.01 ,85.62 ,89.59 ,88.32 ,94.55 ,94.88 
(주)세아제강,306200,  1차 금속 제조업,0.00 ,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,92.45 ,90.99 
(주)세아제강지주,003030,  1차 금속 제조업,88.87 ,87.59 ,88.11 ,87.57 ,88.43 ,86.88 ,86.00 ,0.00 ,0.00 
(주)세아특수강,019440,  1차 금속 제조업,90.45 ,92.63 ,90.24 ,90.52 ,91.03 ,89.98 ,90.87 ,93.28 ,93.49 
(주)세아홀딩스,058650,  전문 서비스업,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)세우글로벌,013000,  도매 및 상품 중개업,87.21 ,88.00 ,88.72 ,88.08 ,88.09 ,89.49 ,88.45 ,87.55 ,87.97 
(주)세운메디칼,100700,  의료용 물질 및 의약품 제조업,74.63 ,74.78 ,68.88 ,70.17 ,69.49 ,67.40 ,65.44 ,64.53 ,69.29 
(주)세원물산,024830,  자동차 및 트레일러 제조업,86.09 ,92.14 ,96.06 ,96.32 ,86.59 ,86.72 ,82.37 ,86.57 ,80.72 
(주)세원정공,021820,  자동차 및 트레일러 제조업,86.20 ,87.66 ,88.50 ,90.01 ,97.10 ,89.99 ,81.62 ,91.60 ,86.67 
(주)세이브존아이앤씨,067830,  소매업; 자동차 제외,40.70 ,41.89 ,41.64 ,40.66 ,41.46 ,40.87 ,41.10 ,41.61 ,41.08 
(주)세종메디칼,258830,"  의료, 정밀, 광학기기 및 시계 제조업",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,39.08 ,36.98 
(주)세중,039310,  사업지원 서비스업,61.10 ,59.40 ,58.02 ,60.89 ,59.99 ,59.22 ,27.59 ,0.00 ,0.00 
(주)세진중공업,075580,  기타 운송장비 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,88.25 ,90.84 ,92.68 ,91.67 ,92.93 
(주)세진티에스,067770,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",92.15 ,102.93 ,103.55 ,88.46 ,107.12 ,90.69 ,100.03 ,98.51 ,83.15 
(주)세코닉스,053450,"  의료, 정밀, 광학기기 및 시계 제조업",78.84 ,77.33 ,78.10 ,80.70 ,80.18 ,83.34 ,87.36 ,87.83 ,89.11 
(주)세토피아,222810,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,84.19 ,73.56 ,67.51 ,65.22 
(주)세화피앤씨,252500,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,50.83 ,57.79 ,60.33 
(주)센트랄모텍,308170,  자동차 및 트레일러 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,92.77 
(주)센트럴인사이트,012600,  기타 기계 및 장비 제조업,79.60 ,82.00 ,87.93 ,87.39 ,84.12 ,88.11 ,85.16 ,90.98 ,96.97 
(주)셀루메드,049180,  의료용 물질 및 의약품 제조업,59.49 ,47.86 ,58.09 ,69.12 ,68.78 ,77.25 ,58.76 ,98.29 ,82.78 
(주)셀리드,299660,  의료용 물질 및 의약품 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!
(주)셀리버리,268600,  연구개발업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,66.39 ,191.73 
(주)셀바스에이아이,108860,  출판업,36.04 ,35.89 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)셀바스헬스케어,208370,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,64.37 ,59.13 ,85.33 ,67.13 
(주)셀트리온,068270,  의료용 물질 및 의약품 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,40.30 ,41.80 
(주)셀트리온제약,068760,  의료용 물질 및 의약품 제조업,28.65 ,30.16 ,30.72 ,33.88 ,34.12 ,59.76 ,55.64 ,71.58 ,63.65 
(주)셀트리온헬스케어,091990,  도매 및 상품 중개업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,77.67 ,93.35 ,85.07 
(주)셀피글로벌,068940,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",68.60 ,75.31 ,85.27 ,87.05 ,81.01 ,74.60 ,77.31 ,80.60 ,76.77 
(주)소프트센,032680,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",113.68 ,81.80 ,86.45 ,88.00 ,90.14 ,87.39 ,90.39 ,89.10 ,91.48 
(주)손오공,066910,  기타 제품 제조업,73.22 ,81.69 ,95.90 ,85.08 ,77.48 ,82.68 ,93.22 ,84.97 ,82.31 
(주)솔고바이오메디칼,043100,"  의료, 정밀, 광학기기 및 시계 제조업",57.95 ,70.66 ,66.20 ,61.17 ,73.40 ,76.54 ,80.05 ,91.69 ,71.04 
(주)솔루에타,154040,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",#DIV/0!,#DIV/0!,66.77 ,83.56 ,67.97 ,87.08 ,76.21 ,76.14 ,79.39 
(주)솔본,035610,  우편 및 통신업,6.46 ,10.50 ,16.41 ,12.69 ,15.17 ,13.23 ,10.81 ,7.80 ,4.98 
(주)쇼박스,086980,  영상ㆍ오디오 기록물 제작 및 배급업,97.32 ,80.31 ,86.62 ,86.46 ,82.60 ,79.87 ,80.29 ,80.05 ,86.48 
(주)수산아이앤티,050960,  출판업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)수산중공업,017550,  기타 기계 및 장비 제조업,68.91 ,69.84 ,74.03 ,75.10 ,74.04 ,71.81 ,73.90 ,77.25 ,76.72 
(주)수젠텍,253840,  의료용 물질 및 의약품 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,99.82 
(주)슈프리마,236200,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,50.87 ,47.01 ,45.98 ,35.01 
(주)슈프리마아이디,317770,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,61.10 
(주)슈프리마에이치큐,094840,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",54.50 ,52.34 ,49.56 ,52.20 ,68.66 ,69.42 ,69.98 ,67.58 ,61.85 
(주)슈피겐코리아,192440,  기타 제품 제조업,#DIV/0!,#DIV/0!,#DIV/0!,47.18 ,42.81 ,42.29 ,41.32 ,40.29 ,43.45 
(주)스마트솔루션즈,136510,  기타 기계 및 장비 제조업,46.78 ,81.24 ,59.51 ,72.39 ,63.73 ,62.22 ,58.72 ,62.12 ,79.31 
(주)스맥,099440,  기타 기계 및 장비 제조업,85.08 ,81.73 ,80.51 ,80.91 ,80.22 ,80.28 ,82.82 ,80.71 ,90.01 
(주)스카이문스테크놀로지,033790,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",89.56 ,94.90 ,91.70 ,84.70 ,92.13 ,96.29 ,95.19 ,74.57 ,87.78 
(주)스킨앤스킨,159910,  화학물질 및 화학제품 제조업; 의약품 제외,#DIV/0!,47.16 ,75.32 ,89.70 ,57.39 ,49.33 ,86.76 ,89.66 ,92.61 
(주)스타플렉스,115570,  고무 및 플라스틱제품 제조업,80.29 ,75.57 ,81.08 ,82.75 ,79.52 ,78.99 ,86.37 ,92.73 ,88.50 
(주)스튜디오산타클로스엔터테인먼트,204630,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,81.67 ,76.16 ,88.64 ,74.92 ,0.00 
(주)스페코,013810,  기타 기계 및 장비 제조업,77.63 ,77.10 ,71.32 ,74.84 ,74.18 ,75.77 ,76.05 ,85.66 ,74.91 
(주)승일,049830,  기타 제품 제조업,91.40 ,90.61 ,88.33 ,88.60 ,88.75 ,90.58 ,91.78 ,92.85 ,95.11 
(주)시공테크,020710,"  기타 전문, 과학 및 기술 서비스업",86.20 ,91.14 ,91.06 ,85.90 ,92.44 ,103.15 ,87.53 ,101.49 ,89.11 
(주)시너지이노베이션,048870,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",76.82 ,84.31 ,98.62 ,88.49 ,116.34 ,68.29 ,96.92 ,67.44 ,69.30 
(주)시노펙스,025320,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",92.56 ,95.60 ,92.66 ,95.22 ,98.65 ,84.98 ,76.73 ,79.71 ,82.24 
(주)시디즈,134790,  가구 제조업,85.19 ,72.58 ,89.42 ,99.94 ,111.44 ,102.03 ,100.08 ,82.21 ,79.85 
(주)시스웍,269620,"  의료, 정밀, 광학기기 및 시계 제조업",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,69.56 ,61.97 ,75.45 
(주)시큐브,131090,  출판업,53.73 ,53.66 ,53.00 ,55.37 ,42.28 ,39.07 ,42.42 ,46.64 ,34.91 
(주)시티랩스,139050,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",79.16 ,80.14 ,87.76 ,89.14 ,90.23 ,90.04 ,93.17 ,84.35 ,94.19 
(주)신도리코,029530,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",82.46 ,85.76 ,82.84 ,85.66 ,87.06 ,86.41 ,84.48 ,84.36 ,85.94 
(주)신성이엔지,011930,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",109.30 ,106.49 ,99.77 ,96.41 ,88.58 ,98.46 ,94.33 ,91.78 ,87.45 
(주)신세계,004170,  소매업; 자동차 제외,25.41 ,25.71 ,25.63 ,24.10 ,24.04 ,23.35 ,21.08 ,19.86 ,18.28 
(주)신세계아이앤씨,035510,  정보서비스업,81.79 ,81.37 ,78.49 ,79.56 ,79.64 ,83.62 ,82.35 ,83.83 ,85.30 
(주)신세계인터내셔날,031430,  소매업; 자동차 제외,51.86 ,52.52 ,52.96 ,53.51 ,53.56 ,51.05 ,49.31 ,44.77 ,41.58 
(주)신세계푸드,031440,  음식점 및 주점업,84.93 ,84.51 ,86.88 ,86.92 ,89.14 ,87.76 ,86.54 ,87.53 ,87.37 
(주)신영와코루,005800,"  의복, 의복 액세서리 및 모피제품 제조업",41.18 ,42.20 ,43.54 ,44.57 ,42.70 ,42.38 ,42.14 ,40.78 ,40.69 
(주)신원,009270,"  의복, 의복 액세서리 및 모피제품 제조업",68.53 ,70.51 ,71.67 ,71.61 ,70.78 ,70.72 ,72.22 ,73.35 ,75.50 
(주)신진에스엠,138070,  금속가공제품 제조업; 기계 및 가구 제외,71.57 ,71.05 ,73.78 ,77.14 ,72.23 ,77.62 ,76.34 ,80.65 ,80.94 
(주)신테카바이오,226330,  출판업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,0.00 
(주)신화다이나믹스,001770,  1차 금속 제조업,92.48 ,91.71 ,95.56 ,92.61 ,87.56 ,92.40 ,89.09 ,90.42 ,92.96 
(주)신화콘텍,187270,  전기장비 제조업,#DIV/0!,#DIV/0!,#DIV/0!,74.85 ,85.60 ,80.67 ,71.76 ,80.25 ,76.55 
(주)신흥,004080,  도매 및 상품 중개업,80.16 ,81.58 ,76.51 ,72.85 ,72.45 ,75.15 ,75.26 ,76.19 ,75.44 
(주)심텍,222800,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,89.83 ,90.51 ,90.12 ,86.93 ,89.06 
(주)심텍홀딩스,036710,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",83.94 ,86.33 ,98.05 ,92.07 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)싸이맥스,160980,  기타 기계 및 장비 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,83.74 ,82.06 ,79.67 ,79.64 ,80.88 
(주)싸이토젠,217330,  연구개발업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,74.53 ,123.37 
(주)쌍방울,102280,"  의복, 의복 액세서리 및 모피제품 제조업",73.76 ,70.44 ,70.39 ,71.02 ,68.49 ,74.77 ,73.97 ,66.50 ,77.27 
(주)썸에이지,208640,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)쎄노텍,222420,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,65.23 ,70.98 ,81.05 ,77.41 
(주)쎄니트,037760,  1차 금속 제조업,99.82 ,90.72 ,90.57 ,87.27 ,88.47 ,90.43 ,93.37 ,91.96 ,88.67 
(주)쎄트렉아이,099320,  기타 운송장비 제조업,81.34 ,80.91 ,82.77 ,78.87 ,76.30 ,79.34 ,72.22 ,82.52 ,81.27 
(주)쎌마테라퓨틱스,015540,  사업지원 서비스업,100.67 ,102.88 ,108.86 ,124.48 ,98.89 ,99.02 ,97.98 ,98.51 ,99.94 
(주)쎌바이오텍,049960,  의료용 물질 및 의약품 제조업,37.89 ,35.11 ,30.38 ,27.33 ,23.28 ,22.72 ,21.46 ,22.81 ,25.07 
(주)쏠리드,050890,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",77.72 ,73.58 ,70.94 ,73.98 ,73.77 ,72.20 ,71.07 ,75.64 ,75.13 
(주)씨씨에스충북방송,066790,  방송업,66.81 ,66.80 ,72.63 ,81.18 ,74.63 ,81.32 ,80.45 ,88.35 ,74.12 
(주)씨아이테크,004920,  도매 및 상품 중개업,96.20 ,91.09 ,86.74 ,94.15 ,64.65 ,76.41 ,77.50 ,76.02 ,75.66 
(주)씨에스,065770,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",72.32 ,78.73 ,88.61 ,83.21 ,97.52 ,84.17 ,82.37 ,86.00 ,85.14 
(주)씨에스에이코스믹,083660,  고무 및 플라스틱제품 제조업,82.48 ,82.48 ,83.92 ,82.69 ,77.19 ,61.03 ,70.61 ,54.42 ,54.05 
(주)씨엔플러스,115530,  전기장비 제조업,78.94 ,82.07 ,89.33 ,99.26 ,91.82 ,91.00 ,76.63 ,86.84 ,82.80 
(주)씨유메디칼시스템,115480,"  의료, 정밀, 광학기기 및 시계 제조업",42.21 ,52.22 ,56.76 ,61.00 ,58.98 ,82.05 ,82.74 ,84.83 ,85.05 
(주)씨제이이엔엠,035760,  방송업,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,11.37 ,0.00 ,46.78 ,58.00 
(주)씨젠,096530,  화학물질 및 화학제품 제조업; 의약품 제외,31.70 ,32.12 ,25.79 ,22.65 ,24.46 ,28.01 ,34.78 ,36.07 ,36.74 
(주)씨티씨바이오,060590,  도매 및 상품 중개업,67.88 ,64.41 ,68.07 ,64.89 ,66.23 ,70.55 ,73.80 ,68.64 ,74.14 
(주)씨티케이,260930,  화학물질 및 화학제품 제조업; 의약품 제외,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,68.73 ,77.58 ,75.06 
(주)아가방앤컴퍼니,013990,  도매 및 상품 중개업,58.74 ,60.05 ,59.66 ,58.92 ,56.30 ,55.83 ,54.42 ,53.48 ,45.88 
(주)아나패스,123860,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",64.58 ,57.93 ,58.28 ,56.67 ,58.17 ,64.00 ,63.13 ,66.65 ,75.85 
(주)아난티,025980,  스포츠 및 오락관련 서비스업,66.23 ,72.14 ,62.29 ,53.52 ,53.01 ,72.66 ,76.06 ,47.22 ,53.85 
(주)아리온테크놀로지,058220,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",78.07 ,78.70 ,78.20 ,86.21 ,84.57 ,87.53 ,88.52 ,84.51 ,64.03 
(주)아모그린텍,125210,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,78.93 
(주)아모레퍼시픽,090430,  화학물질 및 화학제품 제조업; 의약품 제외,31.95 ,32.08 ,31.80 ,29.81 ,27.68 ,26.75 ,30.39 ,31.46 ,29.78 
(주)아모레퍼시픽그룹,002790,  전문 서비스업,7.72 ,5.36 ,3.62 ,2.04 ,2.67 ,1.96 ,1.56 ,0.00 ,0.00 
(주)아모텍,052710,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",74.61 ,76.00 ,76.02 ,78.90 ,80.99 ,77.75 ,73.49 ,78.83 ,81.67 
(주)아미노로직스,074430,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",67.70 ,82.54 ,95.09 ,96.85 ,58.42 ,73.07 ,76.90 ,61.61 ,82.65 
(주)아바코,083930,  기타 기계 및 장비 제조업,91.11 ,93.87 ,88.48 ,85.24 ,82.47 ,85.76 ,87.27 ,84.61 ,78.00 
(주)아바텍,149950,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",#DIV/0!,69.58 ,75.79 ,69.73 ,79.98 ,77.82 ,77.24 ,84.93 ,83.41 
(주)아세아텍,050860,  기타 기계 및 장비 제조업,79.23 ,81.09 ,79.75 ,78.50 ,80.04 ,79.20 ,78.55 ,80.35 ,81.42 
(주)아센디오,012170,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",81.02 ,83.05 ,115.58 ,99.14 ,98.50 ,97.51 ,89.45 ,140.89 ,106.66 
(주)아스타,246720,  의료용 물질 및 의약품 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,71.81 ,39.18 ,48.83 
(주)아스트,067390,  기타 운송장비 제조업,#DIV/0!,#DIV/0!,#DIV/0!,97.38 ,89.04 ,80.03 ,86.96 ,89.93 ,85.12 
(주)아시아경제,127710,  정보서비스업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,44.92 ,42.89 ,44.41 ,45.07 ,47.88 
(주)아우딘퓨쳐스,227610,  화학물질 및 화학제품 제조업; 의약품 제외,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,67.20 ,66.73 ,56.84 
(주)아이디스,143160,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",62.39 ,63.24 ,61.14 ,64.07 ,65.05 ,65.48 ,69.52 ,69.66 ,69.94 
(주)아이디스홀딩스,054800,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",67.73 ,32.92 ,21.20 ,19.10 ,20.45 ,19.52 ,19.73 ,25.26 ,26.17 
(주)아이마켓코리아,122900,  도매 및 상품 중개업,95.03 ,95.08 ,95.20 ,95.18 ,95.38 ,95.86 ,96.35 ,96.21 ,95.91 
(주)아이비김영,339950,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!
(주)아이센스,099190,"  의료, 정밀, 광학기기 및 시계 제조업",#DIV/0!,#DIV/0!,57.56 ,57.63 ,55.61 ,56.81 ,59.33 ,59.51 ,59.38 
(주)아이스크림에듀,289010,  출판업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,55.69 
(주)아이씨디,040910,  기타 기계 및 장비 제조업,66.97 ,75.75 ,75.94 ,87.86 ,82.53 ,86.76 ,82.12 ,75.60 ,73.71 
(주)아이앤씨테크놀로지,052860,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",54.52 ,76.11 ,91.36 ,107.90 ,73.00 ,79.31 ,67.36 ,58.11 ,63.17 
(주)아이에스시,095340,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",41.62 ,44.21 ,43.19 ,44.97 ,56.13 ,62.42 ,60.77 ,70.03 ,74.21 
(주)아이에스이커머스,069920,  소매업; 자동차 제외,37.12 ,39.47 ,0.00 ,27.59 ,35.56 ,46.54 ,51.47 ,56.00 ,49.60 
(주)아이에이,038880,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",87.19 ,96.21 ,79.82 ,75.35 ,72.54 ,81.58 ,83.80 ,90.75 ,81.08 
(주)아이에이치큐,003560,  영상ㆍ오디오 기록물 제작 및 배급업,90.51 ,84.99 ,92.55 ,91.29 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)아이엘사이언스,307180,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,74.36 
(주)아이엠,101390,  도매 및 상품 중개업,80.81 ,89.87 ,88.87 ,87.77 ,88.03 ,90.32 ,92.08 ,93.65 ,90.75 
(주)아이엠비씨,052220,  정보서비스업,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)아이오케이컴퍼니,078860,  출판업,60.23 ,69.55 ,65.84 ,90.96 ,57.12 ,82.99 ,78.37 ,99.69 ,87.87 
(주)아이윈,090150,  자동차 및 트레일러 제조업,84.89 ,85.06 ,86.13 ,86.50 ,88.22 ,87.86 ,86.21 ,87.20 ,87.30 
