회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),유형자산(*)(IFRS)(천원),건설중인자산(IFRS)(천원),기계장치(IFRS)(천원),부가가치(IFRS)(백만원),[제조]자본(*)(IFRS),[제조]종업원수(IFRS),유형자산회전율(개별),순운전자본회전율(개별),운전자본회전률(개별),노동장비율(개별),기계장비율(개별),자본집약도(개별),총자본투자효율(개별),설비투자효율(개별),기계투자효율(개별),부가가치율(개별)
(주)ES큐브,50120,14-Dec,37188072,44914173,21477612,3055060,640405,0,0,1481.4,41226335,27,0.82798078,2.018616748,4.037233495,23718.7037,0,1526901296,3.593334212,231.3223663,#DIV/0!,3.983535366
(주)ES큐브,50120,15-Dec,36887119,47123684,22590313,1792096,596347,0,0,6263.14,44872641,39,0.782772395,1.773571215,3.547142431,15290.94872,0,1150580538,13.95759166,1050.250945,#DIV/0!,16.97920621
(주)ES큐브,50120,16-Dec,34818205,104459992,43388800,4569554,4673186,0,0,20160.01,69832373,30,0.333316175,0.896931512,1.793863024,155772.8667,0,2327745767,28.86914641,431.3975519,#DIV/0!,57.90077346
(주)ES큐브,50120,17-Dec,37104908,104850192,44761949,4085637,7506218,0,0,4476.07,71398467,35,0.353884979,0.912199415,1.824398829,214463.3714,0,2039956200,6.269140204,59.63149485,#DIV/0!,12.06328284
(주)ES큐브,50120,18-Dec,31308873,108481764,29054833,37696219,10880733,0,0,177.01,66518631,30,0.288609549,-3.623130942,-7.246261884,362691.1,0,2217287700,0.266105897,1.626820546,#DIV/0!,0.565366885
(주)ES큐브,50120,19-Dec,28527284,136065488,24298462,54789915,10576512,0,0,-6558.67,53986331,30,0.209658484,-0.935582965,-1.87116593,352550.4,0,1799544367,-12.1487604,-62.01165375,#DIV/0!,-22.99086727
(주)HJ중공업,97230,11-Dec,2316017000,5857119000,2183437000,1800533000,1427510000,5016000,98801000,364032,1874877000,2785,0.395419147,6.048557863,12.09711573,510769.8384,35476.12208,673205386,19.41631371,25.5911097,368.449712,15.71801934
(주)HJ중공업,97230,12-Dec,1980761000,5938108000,2419666000,2125376000,1343556000,13655000,98606000,488043,1863529000,2634,0.333567695,6.730643243,13.46128649,504897.874,37435.83903,707490129.1,26.18918192,36.69769404,494.9424984,24.63916646
(주)HJ중공업,97230,13-Dec,1927307000,5839633000,1949615000,2490138000,1329680000,22403000,99298000,213438,1804609000,2758,0.330039062,-3.565633655,-7.13126731,473994.5613,36003.62582,654317984,11.827382,16.32691465,214.9469274,11.07441627
(주)HJ중공업,97230,14-Dec,1799016000,5469810000,1858441000,2203465000,1263266000,41086000,98168000,241189,1761886000,2544,0.328899176,-5.214176405,-10.42835281,480416.6667,38588.05031,692565251.6,13.68925118,19.73432719,245.6900416,13.40671789
(주)HJ중공업,97230,15-Dec,2041347000,4638381000,1622994000,2558441000,1223488000,36388000,101523000,171017,1377529000,2632,0.440099035,-2.182215561,-4.364431122,451025.8359,38572.56839,523377279.6,12.41476586,14.40628422,168.4514839,8.377654558
(주)HJ중공업,97230,16-Dec,1928591000,3921561000,1709538000,1598996000,1036188000,45263000,94949000,77014,904150000,2473,0.491791662,17.4466809,34.8933618,400697.5334,38394.25799,365608572.6,8.51783443,7.771930267,81.11091217,3.993277994
(주)HJ중공업,97230,17-Dec,1737428000,3312303000,1390569000,2532122000,653140000,1828000,68795000,62839,563410000,2493,0.524537761,-1.521986277,-3.043972553,261256.3177,27595.26675,225996791,11.15333416,9.648064215,91.34239407,3.616782969
(주)HJ중공업,97230,18-Dec,1750954000,2388369000,1382999000,1490510000,636673000,2227000,67790000,-664773,-398930000,2271,0.733117035,-16.28627768,-32.57255537,279368.5601,29850.28622,-175662703.7,166.6390094,-104.7800758,-980.635787,-37.9663315
(주)HJ중공업,97230,19-Dec,1609530000,2465650000,1299550000,1840367000,613082000,1800000,68832000,291962,247272000,2016,0.652781214,-2.976108369,-5.952216739,303215.2778,34142.85714,122654761.9,118.0732149,47.76224394,424.1660855,18.13958112
(주)MH에탄올,23150,11-Dec,43206995,135927085,26253473,66482839,35172601,0,9897298,12156.15,56161251,51,0.317868915,-1.074016304,-2.148032609,689658.8431,194064.6667,1101201000,21.64508408,34.56141899,122.8229159,28.13468051
(주)MH에탄올,23150,12-Dec,45488675,139200817,23099890,67402817,34423174,0,10017098,11475.93,58712944,52,0.32678454,-1.026764552,-2.053529104,661984.1154,192636.5,1129095077,19.54582622,33.33780319,114.5634195,25.22810348
(주)MH에탄올,23150,13-Dec,46298516,122520742,25868582,67842982,34123721,69000,10102098,-10099.69,47119925,51,0.377883085,-1.103017935,-2.206035869,667739.6275,198080.3529,923920098,-21.4340112,-29.65723901,-99.97616337,-21.8142845
(주)MH에탄올,23150,14-Dec,48983781,85253876,28019052,31619104,36083178,486096,11481026,11030.53,52507884,53,0.574563683,-13.6064093,-27.21281859,671643.0566,216623.1321,990714792.5,21.00737863,30.98717474,96.0761695,22.51873942
(주)MH에탄올,23150,15-Dec,50386203,78691328,21758814,20538474,36846498,268000,12377510,16452.87,57569789,47,0.640301851,41.28865972,82.57731944,778265.9149,263351.2766,1224889128,28.579,44.97962163,132.9255238,32.65352224
(주)MH에탄올,23150,16-Dec,48897025,72025138,18955978,7640583,37390792,402993,12494639,16882.88,63257513,43,0.678888321,4.321283084,8.642566168,860181.3721,290573,1471104953,26.68913019,45.64445697,135.1209907,34.52741757
(주)MH에탄올,23150,17-Dec,48270464,107437079,18235352,15540676,39418503,333000,13336060,14882.33,64698932,48,0.449290547,17.91327195,35.8265439,814281.3125,277834.5833,1347894417,23.00243534,38.07634253,111.5946539,30.83113102
(주)MH에탄올,23150,18-Dec,46943080,109656889,18385099,13740951,40585694,51500,13588330,16047.25,68471529,50,0.428090569,10.10800689,20.21601379,810683.88,271766.6,1369430580,23.43638332,39.58941431,118.0958219,34.1844847
(주)MH에탄올,23150,19-Dec,46992295,101058662,18130225,14251549,41121323,150000,14155129,5096.55,59477642,47,0.46500017,12.11555051,24.23110103,871730.2766,301172.9574,1265481745,8.568850124,12.4393103,36.00497035,10.84550137
(주)SH에너지화학,2360,11-Dec,172752632,102383199,47641848,32842749,33115306,1175202,25479087,14221.3,64498684,109,1.687314263,11.67318578,23.34637156,293028.4771,233753.0917,591731045.9,22.048977,44.52490199,55.81557926,8.232175589
(주)SH에너지화학,2360,12-Dec,191907628,102492810,48762275,28724217,32608108,711970,27068753,13164.14,64888612,112,1.872400884,9.577157028,19.15431406,284786.9464,241685.2946,579362607.1,20.28728862,41.27189317,48.63223659,6.85962311
(주)SH에너지화학,2360,13-Dec,229783541,109984767,57773554,34930123,31944570,828543,27909031,18725.38,69781889,116,2.089230602,10.05906429,20.11812858,268241.6121,240595.0948,601568008.6,26.83415463,60.17921247,67.09433946,8.149138932
(주)SH에너지화학,2360,14-Dec,226971465,109098264,55486941,20421353,31070401,715481,28351425,33796.55,83404299,140,2.0804315,6.4727694,12.9455388,216820.8571,202510.1786,595744992.9,40.5213525,111.3379643,119.2058248,14.89021979
(주)SH에너지화학,2360,15-Dec,213882181,114048206,63737267,16794017,32654731,373550,30587094,34895.57,90740136,146,1.875366466,4.556186054,9.112372109,221103.9795,209500.6438,621507780.8,38.45659874,108.0988022,114.0859279,16.31532362
(주)SH에너지화학,2360,16-Dec,214380015,122956894,79584275,12205868,31792327,466709,30867877,39411.54,103083032,148,1.743537983,3.181731723,6.363463446,211659.5811,208566.7365,696506973,38.23281023,125.81249,127.6781685,18.38396177
(주)SH에너지화학,2360,17-Dec,184672638,123261552,79139030,8386725,30956708,392095,31647086,27260.32,105717970,148,1.498217692,2.610128928,5.220257856,206517.6554,213831.6622,714310608.1,25.78589052,89.18915479,86.13848365,14.76142882
(주)SH에너지화학,2360,18-Dec,180753289,120895795,77591484,6653981,29913044,492857,31839773,19849.37,104065473,156,1.495116427,2.548063878,5.096127756,188590.9423,204101.109,667086365.4,19.07392474,67.46853784,62.34143064,10.98147099
(주)SH에너지화학,2360,19-Dec,138161816,121126250,74793897,7038413,33126165,2268097,33882924,12959.9,97386214,158,1.140643056,2.039123741,4.078247482,195304.2278,214448.8861,616368443,13.30773573,41.99841675,38.24906021,9.380232813
(주)SIMPAC,9160,11-Dec,213867522,296953131,151220422,116922857,62702218,1103192,18666167,47745.41,155833324,257,0.720206321,6.235647399,12.4712948,239684.9261,72631,606355346.3,30.63876761,77.51000803,255.785829,22.32475953
(주)SIMPAC,9160,12-Dec,223854758,307366684,150643335,108043478,64182764,0,22387797,45503.45,177830482,275,0.728298705,5.254824165,10.50964833,233391.8691,81410.17091,646656298.2,25.58810474,70.89668186,203.2511283,20.32722038
(주)SIMPAC,9160,13-Dec,204527751,349836891,106534703,133732141,64271295,0,24742321,44116.55,197900866,277,0.584637459,-7.520110938,-15.04022188,232026.3357,89322.45848,714443559.6,22.29224707,68.64114065,178.3040079,21.56995801
(주)SIMPAC,9160,14-Dec,227491803,329325876,118044851,116089000,70604838,2307507,26089830,35041.8,203904919,305,0.690780226,116.313463,232.6269261,223925.6754,85540.42623,668540718,17.18536275,51.30771508,134.3121055,15.40354401
(주)SIMPAC,9160,15-Dec,213152303,369348917,138074968,142954454,75847152,5215137,29948323,48511.4,220087525,296,0.577102824,-43.68335169,-87.36670338,238621.6723,101176.7669,743538935.8,22.04186721,68.68188597,161.9836944,22.7590316
(주)SIMPAC,9160,16-Dec,215839356,366245273,138253630,130874395,75130388,2600,36313076,45818.17,228959172,306,0.58933008,29.24955717,58.49911434,245515.6471,118670.183,748232588.2,20.01150231,60.98698128,126.175403,21.2279034
(주)SIMPAC,9160,17-Dec,203150228,343005145,124800057,114191470,70402759,2600,36327651,33411.91,223781988,305,0.592265833,19.14960286,38.29920573,230820.1934,119107.0525,733711436.1,14.93056269,47.45999224,91.97376951,16.44689761
(주)SIMPAC,9160,18-Dec,268863854,628334175,273219151,207957388,156312739,301000,109088328,94742.34,411119510,500,0.42789946,4.119776139,8.239552278,312023.478,218176.656,822239020,23.04496325,60.72769947,86.84919985,35.23803538
(주)SIMPAC,9160,19-Dec,391970769,608693104,224313300,178141755,153003014,1250250,107745959,50726.3,419215968,491,0.643954673,8.489444505,16.97888901,309068.7658,219441.8717,853800342.2,12.10027858,33.42693646,47.07953827,12.94134767
(주)SNT에너지,100840,11-Dec,195318747,276511841,145463387,96002453,122586108,31000,15414466,-5072.93,160595865,184,0.706366665,3.948949832,7.897899664,666060.3696,83774.27174,872803614.1,-3.158817321,-4.139305234,-32.91018969,-2.597257088
(주)SNT에너지,100840,12-Dec,230707564,292802033,161463967,88443397,122289502,0,16128417,-3911.2,183306309,195,0.787930199,3.159487306,6.318974612,627125.6513,82709.83077,940032353.8,-2.133696337,-3.198312149,-24.25036505,-1.695306358
(주)SNT에너지,100840,13-Dec,200750984,311675279,181309369,91989174,120367341,0,14694527,36145.24,198164671,209,0.644103006,2.247543056,4.495086111,575920.2919,70308.74163,948156320.6,18.24000202,30.02910898,245.977567,18.00501262
(주)SNT에너지,100840,14-Dec,242746888,304511816,170494610,76613085,120065551,75369,15671342,31921.1,207712504,218,0.797167385,2.585672612,5.171345225,550413.6789,71886.88991,952809651.4,15.36792412,26.60309324,203.6909156,13.14995231
(주)SNT에너지,100840,15-Dec,260094045,316196096,184059424,64293369,118714558,0,14376480,53697.45,231399939,232,0.822571968,2.171684164,4.343368328,511700.681,61967.58621,997413530.2,23.20547284,45.23240528,373.5090231,20.64539771
(주)SNT에너지,100840,16-Dec,254089906,348042346,211766053,102181702,118148046,0,14801750,21049.19,229799567,218,0.730054572,2.318669625,4.637339249,541963.5138,67897.93578,1054126454,9.15980403,17.81594424,142.2074417,8.284150414
(주)SNT에너지,100840,17-Dec,184091945,300266693,172919603,49128545,116825424,0,15079150,22693.15,233817326,195,0.61309479,1.487118278,2.974236556,599104.7385,77328.97436,1199063210,9.705504031,19.42483855,150.4935623,12.32707384
(주)SNT에너지,100840,18-Dec,139516396,280991534,155524318,31555307,115728393,237174,15107344,16995.59,231276490,190,0.496514589,1.125413479,2.250826959,607848.5211,79512.33684,1217244684,7.348602532,14.71591533,112.4988615,12.18178686
(주)SNT에너지,100840,19-Dec,202822913,331391237,202225767,65138557,116275557,739889,1438868,34093.55,245545053,191,0.61203463,1.479517404,2.959034807,604898.7853,7533.340314,1285576194,13.88484499,29.50911229,2369.470306,16.80951599
(주)SNT홀딩스,36530,11-Dec,2257851,388123974,64671576,199700,150611,0,0,-3092.48,387839074,9,0.005817345,0.035020712,0.070041424,16734.55556,0,43093230444,-0.79736164,-2053.2896,#DIV/0!,-136.9656368
(주)SNT홀딩스,36530,12-Dec,8718270,388964716,40740917,165833,100263,0,0,10002.42,388611726,9,0.022414038,0.214867577,0.429735155,11140.33333,0,43179080667,2.573885277,9976.18264,#DIV/0!,114.7294131
(주)SNT홀딩스,36530,13-Dec,8826810,397336142,49212139,306090,54602,0,0,8821.66,396851717,8,0.022214969,0.180485036,0.360970071,6825.25,0,49606464625,2.222910881,16156.29464,#DIV/0!,99.94165503
(주)SNT홀딩스,36530,14-Dec,7701882,399244416,47079948,245998,75419,0,0,7483.38,398863036,8,0.019291145,0.164450831,0.328901662,9427.375,0,49857879500,1.876177867,9922.406821,#DIV/0!,97.16300509
(주)SNT홀딩스,36530,15-Dec,8475099,430584006,100040105,8658519,55309,0,0,36674.24,421925486,8,0.0196828,0.092744057,0.185488114,6913.625,0,52740685750,8.692112996,66307.90649,#DIV/0!,432.7293404
