,Unnamed: 0,구분,코드,산업명,2011년,2011년.mid,2012년,2012년.mid,2013년,2013년.mid,2014년,2014년.mid,2015년,2015년.mid,2016년,2016년.mid,2017년,2017년.mid,2018년,2018년.mid,2019년,2019년.mid,2012년 감소율,2013년 감소율,2014년 감소율,2015년 감소율,2016년 감소율,2017년 감소율,2018년 감소율,2019년 감소율
22,22,(주)셀트리온제약,68760,  의료용 물질 및 의약품 제조업,28.65,41.73,30.16,41.84,30.72,43.25,33.88,44.93,34.12,48.21,59.76,52.51,55.64,52.32,71.58,54.69,63.65,57.6,-5.27,-1.86,-10.29,-0.71,-75.15,6.89,-28.65,11.08
23,23,(주)수젠텍,253840,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,0.0,52.51,0.0,52.32,0.0,54.69,99.82,57.6,,,,,,,,-inf
24,24,(주)쎌바이오텍,49960,  의료용 물질 및 의약품 제조업,37.89,41.73,35.11,41.84,30.38,43.25,27.33,44.93,23.28,48.21,22.72,52.51,21.46,52.32,22.81,54.69,25.07,57.6,7.34,13.47,10.04,14.82,2.41,5.55,-6.29,-9.91
25,25,(주)아스타,246720,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,0.0,52.51,71.81,52.32,39.18,54.69,48.83,57.6,,,,,,-inf,45.44,-24.63
26,26,(주)안트로젠,65660,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,28.46,52.51,39.31,52.32,53.23,54.69,59.96,57.6,,,,,-inf,-38.12,-35.41,-12.64
27,27,(주)애드바이오텍,179530,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,0.0,52.51,0.0,52.32,0.0,54.69,0.0,57.6,,,,,,,,
28,28,(주)에스텍파마,41910,  의료용 물질 및 의약품 제조업,69.08,41.73,65.71,41.84,69.12,43.25,80.36,44.93,81.35,48.21,73.12,52.51,71.03,52.32,75.6,54.69,72.04,57.6,4.88,-5.19,-16.26,-1.23,10.12,2.86,-6.43,4.71
29,29,(주)엑세스바이오인코퍼레이션,950130,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,47.93,43.25,52.18,44.93,69.19,48.21,58.42,52.51,68.05,52.32,61.29,54.69,78.34,57.6,,-inf,-8.87,-32.6,15.57,-16.48,9.93,-27.82
30,30,(주)엔지켐생명과학,183490,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,0.0,52.51,0.0,52.32,86.26,54.69,91.53,57.6,,,,,,,-inf,-6.11
31,31,(주)엔케이맥스,182400,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,32.03,48.21,20.68,52.51,28.06,52.32,24.78,54.69,25.82,57.6,,,,-inf,35.44,-35.69,11.69,-4.2
32,32,(주)엘앤씨바이오,290650,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,0.0,52.51,0.0,52.32,35.35,54.69,36.2,57.6,,,,,,,-inf,-2.4
33,33,(주)오리엔트바이오,2630,  의료용 물질 및 의약품 제조업,86.21,41.73,69.27,41.84,70.64,43.25,92.32,44.93,78.05,48.21,86.07,52.51,94.07,52.32,94.44,54.69,98.17,57.6,19.65,-1.98,-30.69,15.46,-10.28,-9.29,-0.39,-3.95
34,34,(주)오스코텍,39200,  의료용 물질 및 의약품 제조업,71.87,41.73,75.05,41.84,79.78,43.25,73.88,44.93,56.06,48.21,65.27,52.51,45.4,52.32,20.85,54.69,47.88,57.6,-4.42,-6.3,7.4,24.12,-16.43,30.44,54.07,-129.64
35,35,(주)옵티팜,153710,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,0.0,52.51,0.0,52.32,60.45,54.69,67.03,57.6,,,,,,,-inf,-10.89
36,36,(주)유유제약,220,  의료용 물질 및 의약품 제조업,39.5,41.73,40.86,41.84,39.51,43.25,42.43,44.93,43.36,48.21,49.1,52.51,48.84,52.32,47.39,54.69,44.96,57.6,-3.44,3.3,-7.39,-2.19,-13.24,0.53,2.97,5.13
37,37,(주)유틸렉스,263050,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,0.0,52.51,0.0,52.32,0.0,54.69,0.0,57.6,,,,,,,,
38,38,(주)유한양행,100,  의료용 물질 및 의약품 제조업,62.75,41.73,68.89,41.84,69.58,43.25,69.94,44.93,71.49,48.21,72.81,52.51,72.21,52.32,72.89,54.69,70.42,57.6,-9.78,-1.0,-0.52,-2.22,-1.85,0.82,-0.94,3.39
39,39,(주)이글벳,44960,  의료용 물질 및 의약품 제조업,62.99,41.73,65.43,41.84,65.1,43.25,63.6,44.93,64.11,48.21,70.58,52.51,69.53,52.32,72.06,54.69,73.1,57.6,-3.87,0.5,2.3,-0.8,-10.09,1.49,-3.64,-1.44
40,40,(주)이수앱지스,86890,  의료용 물질 및 의약품 제조업,45.79,41.73,56.78,41.84,41.22,43.25,43.77,44.93,46.94,48.21,38.93,52.51,47.59,52.32,54.57,54.69,64.26,57.6,-24.0,27.4,-6.19,-7.24,17.06,-22.25,-14.67,-17.76
