회사명,거래소코드,회계년도,이자보상배율(이자비용),이자보상배율(이자비용)(IFRS연결),이보배,,,,,,,,,,,,,,,,,,,,
(주)모두투어네트워크,80160,07-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)모두투어네트워크,80160,08-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)모두투어네트워크,80160,09-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)모두투어네트워크,80160,10-Dec,999999999,607.06,,,,,,,,,,,,,,,,,,,,,
(주)모두투어네트워크,80160,11-Dec,999999999,616.91,,,,,,,,,,,,,,,,,,,,,
(주)모두투어네트워크,80160,12-Dec,999999999,371.5,,,,,,,,,,,,,,,,,,,,,
(주)모두투어네트워크,80160,13-Dec,999999999,641.95,,,,,,,,,,,,,,,,,,,,,
(주)모두투어네트워크,80160,14-Dec,999999999,23.57,,,,,,,,,,,,,,,,,,,,,
(주)모두투어네트워크,80160,15-Dec,999999999,37.05,,,,,,,,,,,,,,,,,,,,,
(주)모두투어네트워크,80160,16-Dec,999999999,46.2,,,,,,,,,,,,,,,,,,,,,
(주)모두투어네트워크,80160,17-Dec,999999999,66.09,,,,,,,,,,,,,,,,,,,,,
(주)모두투어네트워크,80160,18-Dec,999999999,11.92,,,,,,,,,,,,,,,,,,,,,
(주)모두투어네트워크,80160,19-Dec,59.39,0.86,,,,,,,,,,,,,,,,,,,,,
(주)모바일리더,100030,07-Dec,,,,,,,,,,,,,,,,,,,,,,,
(주)모바일리더,100030,08-Dec,1483.23,,,,,,,,,,,,,,,,,,,,,,
(주)모바일리더,100030,09-Dec,1944.03,,,,,,,,,,,,,,,,,,,,,,
(주)모바일리더,100030,10-Dec,2819.63,,,,,,,,,,,,,,,,,,,,,,
(주)모바일리더,100030,11-Dec,469.4,,,,,,,,,,,,,,,,,,,,,,
(주)모바일리더,100030,12-Dec,1740.59,1740.59,,,,,,,,,,,,,,,,,,,,,
(주)모바일리더,100030,13-Dec,3202.54,165.72,,,,,,,,,,,,,,,,,,,,,
(주)모바일리더,100030,14-Dec,2612.76,19.88,,,,,,,,,,,,,,,,,,,,,
(주)모바일리더,100030,15-Dec,-12576.98,-14841.53,,,,,,,,,,,,,,,,,,,,,
(주)모바일리더,100030,16-Dec,16088.1,8022.52,,,,,,,,,,,,,,,,,,,,,
(주)모바일리더,100030,17-Dec,999999999,999999999,,,,,,,,,,,,,,,,,,,,,
(주)모바일리더,100030,18-Dec,999999999,76442.57,,,,,,,,,,,,,,,,,,,,,
(주)모바일리더,100030,19-Dec,999999999,999999999,,,,,,,,,,,,,,,,,,,,,
(주)모베이스,101330,04-Dec,,,,,,,,,,,,,,,,,,,,,,,
(주)모베이스,101330,05-Dec,-0.13,,,,,,,,,,,,,,,,,,,,,,
(주)모베이스,101330,06-Dec,10.08,,,,,,,,,,,,,,,,,,,,,,
(주)모베이스,101330,07-Dec,8.19,,,,,,,,,,,,,,,,,,,,,,
(주)모베이스,101330,08-Dec,21.44,,,,,,,,,,,,,,,,,,,,,,
(주)모베이스,101330,09-Dec,21.12,23.42,,,,,,,,,,,,,,,,,,,,,
(주)모베이스,101330,10-Dec,4.96,2.08,,,,,,,,,,,,,,,,,,,,,
(주)모베이스,101330,11-Dec,0.29,4.54,,,,,,,,,,,,,,,,,,,,,
(주)모베이스,101330,12-Dec,6.4,16.34,,,,,,,,,,,,,,,,,,,,,
(주)모베이스,101330,13-Dec,18.62,31.3,,,,,,,,,,,,,,,,,,,,,
(주)모베이스,101330,14-Dec,41.67,68.2,,,,,,,,,,,,,,,,,,,,,
(주)모베이스,101330,15-Dec,1992.91,3248.72,,,,,,,,,,,,,,,,,,,,,
(주)모베이스,101330,16-Dec,5142.6,303.3,,,,,,,,,,,,,,,,,,,,,
(주)모베이스,101330,17-Dec,999999999,65.08,,,,,,,,,,,,,,,,,,,,,
(주)모베이스,101330,18-Dec,36.22,49.33,,,,,,,,,,,,,,,,,,,,,
(주)모베이스,101330,19-Dec,22.36,6.15,,,,,,,,,,,,,,,,,,,,,
(주)모베이스전자,12860,Dec-00,0.94,,,,,,,,,,,,,,,,,,,,,,
(주)모베이스전자,12860,01-Dec,0.57,,,,,,,,,,,,,,,,,,,,,,
(주)모베이스전자,12860,02-Dec,2.02,,,,,,,,,,,,,,,,,,,,,,
(주)모베이스전자,12860,03-Dec,0.96,,,,,,,,,,,,,,,,,,,,,,
(주)모베이스전자,12860,04-Dec,2.1,,,,,,,,,,,,,,,,,,,,,,
(주)모베이스전자,12860,05-Dec,2.5,,,,,,,,,,,,,,,,,,,,,,
(주)모베이스전자,12860,06-Dec,1.3,,,,,,,,,,,,,,,,,,,,,,
(주)모베이스전자,12860,07-Dec,1.63,2.43,,,,,,,,,,,,,,,,,,,,,
(주)모베이스전자,12860,08-Dec,0.71,1.39,,,,,,,,,,,,,,,,,,,,,
(주)모베이스전자,12860,09-Dec,0.41,2.94,,,,,,,,,,,,,,,,,,,,,
(주)모베이스전자,12860,10-Dec,0.4,4.36,,,,,,,,,,,,,,,,,,,,,
(주)모베이스전자,12860,11-Dec,0.28,5.89,,,,,,,,,,,,,,,,,,,,,
(주)모베이스전자,12860,12-Dec,-2.01,1.58,,,,,,,,,,,,,,,,,,,,,
(주)모베이스전자,12860,13-Dec,-0.28,4.58,,,,,,,,,,,,,,,,,,,,,
(주)모베이스전자,12860,14-Dec,0.29,6.09,,,,,,,,,,,,,,,,,,,,,
(주)모베이스전자,12860,15-Dec,0.43,4.87,,,,,,,,,,,,,,,,,,,,,
(주)모베이스전자,12860,16-Dec,1.14,2.41,,,,,,,,,,,,,,,,,,,,,
(주)모베이스전자,12860,17-Dec,-0.92,-1.6,,,,,,,,,,,,,,,,,,,,,
(주)모베이스전자,12860,18-Dec,0.49,0.15,,,,,,,,,,,,,,,,,,,,,
(주)모베이스전자,12860,19-Dec,0.62,0.82,,,,,,,,,,,,,,,,,,,,,
(주)모비릭스,348030,16-Dec,,,,,,,,,,,,,,,,,,,,,,,
(주)모비릭스,348030,17-Dec,94.5,,,,,,,,,,,,,,,,,,,,,,
(주)모비릭스,348030,18-Dec,16.29,,,,,,,,,,,,,,,,,,,,,,
(주)모비릭스,348030,19-Dec,1258.08,,,,,,,,,,,,,,,,,,,,,,
(주)모비스,250060,16-Dec,,,,,,,,,,,,,,,,,,,,,,,
(주)모비스,250060,17-Dec,-86.58,,,,,,,,,,,,,,,,,,,,,,
(주)모비스,250060,18-Dec,-25.58,-27.35,,,,,,,,,,,,,,,,,,,,,
(주)모비스,250060,19-Dec,-23.59,-19.87,,,,,,,,,,,,,,,,,,,,,
(주)모아데이타,288980,18-Dec,,,,,,,,,,,,,,,,,,,,,,,
(주)모아데이타,288980,19-Dec,17.82,,,,,,,,,,,,,,,,,,,,,,
(주)모아텍,33200,Dec-00,79.63,,,,,,,,,,,,,,,,,,,,,,
(주)모아텍,33200,01-Dec,141.72,,,,,,,,,,,,,,,,,,,,,,
(주)모아텍,33200,02-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)모아텍,33200,03-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)모아텍,33200,04-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)모아텍,33200,05-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)모아텍,33200,06-Dec,2319.67,,,,,,,,,,,,,,,,,,,,,,
(주)모아텍,33200,07-Dec,999999999,26.13,,,,,,,,,,,,,,,,,,,,,
(주)모아텍,33200,08-Dec,999999999,39.02,,,,,,,,,,,,,,,,,,,,,
(주)모아텍,33200,09-Dec,999999999,112.52,,,,,,,,,,,,,,,,,,,,,
(주)모아텍,33200,10-Dec,999999999,53.36,,,,,,,,,,,,,,,,,,,,,
(주)모아텍,33200,11-Dec,999999999,13.79,,,,,,,,,,,,,,,,,,,,,
(주)모아텍,33200,12-Dec,999999999,-3.57,,,,,,,,,,,,,,,,,,,,,
(주)모아텍,33200,13-Dec,-179.09,-24.64,,,,,,,,,,,,,,,,,,,,,
(주)모아텍,33200,14-Dec,-240.53,-26.09,,,,,,,,,,,,,,,,,,,,,
(주)모아텍,33200,15-Dec,999999999,-15.49,,,,,,,,,,,,,,,,,,,,,
(주)모아텍,33200,16-Dec,999999999,-0.57,,,,,,,,,,,,,,,,,,,,,
(주)모아텍,33200,18-Mar,999999999,999999999,,,,,,,,,,,,,,,,,,,,,
(주)모아텍,33200,19-Mar,999999999,999999999,,,,,,,,,,,,,,,,,,,,,
(주)모토닉,9680,Dec-00,12.42,,,,,,,,,,,,,,,,,,,,,,
(주)모토닉,9680,01-Dec,89.65,,,,,,,,,,,,,,,,,,,,,,
(주)모토닉,9680,02-Dec,874.21,,,,,,,,,,,,,,,,,,,,,,
(주)모토닉,9680,03-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)모토닉,9680,04-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)모토닉,9680,05-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)모토닉,9680,06-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)모토닉,9680,07-Dec,999999999,61.5,,,,,,,,,,,,,,,,,,,,,
(주)모토닉,9680,08-Dec,240.56,32.04,,,,,,,,,,,,,,,,,,,,,
(주)모토닉,9680,09-Dec,999999999,91.2,,,,,,,,,,,,,,,,,,,,,
(주)모토닉,9680,10-Dec,999999999,143.97,,,,,,,,,,,,,,,,,,,,,
(주)모토닉,9680,11-Dec,999999999,141.5,,,,,,,,,,,,,,,,,,,,,
(주)모토닉,9680,12-Dec,999999999,161.17,,,,,,,,,,,,,,,,,,,,,
(주)모토닉,9680,13-Dec,999999999,101.85,,,,,,,,,,,,,,,,,,,,,
(주)모토닉,9680,14-Dec,999999999,88.31,,,,,,,,,,,,,,,,,,,,,
(주)모토닉,9680,15-Dec,999999999,116.93,,,,,,,,,,,,,,,,,,,,,
(주)모토닉,9680,16-Dec,999999999,2514.4,,,,,,,,,,,,,,,,,,,,,
(주)모토닉,9680,17-Dec,999999999,999999999,,,,,,,,,,,,,,,,,,,,,
(주)모토닉,9680,18-Dec,999999999,999999999,,,,,,,,,,,,,,,,,,,,,
(주)모토닉,9680,19-Dec,1112.97,965.54,,,,,,,,,,,,,,,,,,,,,
(주)모헨즈,6920,Dec-00,-0.75,,,,,,,,,,,,,,,,,,,,,,
(주)모헨즈,6920,01-Dec,-2.71,,,,,,,,,,,,,,,,,,,,,,
(주)모헨즈,6920,02-Dec,-0.18,,,,,,,,,,,,,,,,,,,,,,
(주)모헨즈,6920,03-Dec,1.65,,,,,,,,,,,,,,,,,,,,,,
(주)모헨즈,6920,04-Dec,-1.1,,,,,,,,,,,,,,,,,,,,,,
(주)모헨즈,6920,05-Dec,-1.41,,,,,,,,,,,,,,,,,,,,,,
(주)모헨즈,6920,06-Dec,-1.45,,,,,,,,,,,,,,,,,,,,,,
(주)모헨즈,6920,07-Dec,1.32,0.94,,,,,,,,,,,,,,,,,,,,,
(주)모헨즈,6920,08-Dec,1.18,0.22,,,,,,,,,,,,,,,,,,,,,
(주)모헨즈,6920,09-Dec,0.26,1.16,,,,,,,,,,,,,,,,,,,,,
(주)모헨즈,6920,10-Dec,7.63,2.72,,,,,,,,,,,,,,,,,,,,,
(주)모헨즈,6920,11-Dec,2.93,2.16,,,,,,,,,,,,,,,,,,,,,
(주)모헨즈,6920,12-Dec,13.61,3.66,,,,,,,,,,,,,,,,,,,,,
(주)모헨즈,6920,13-Dec,12.59,6.5,,,,,,,,,,,,,,,,,,,,,
(주)모헨즈,6920,14-Dec,43.35,10.47,,,,,,,,,,,,,,,,,,,,,
(주)모헨즈,6920,15-Dec,51.91,15.01,,,,,,,,,,,,,,,,,,,,,
(주)모헨즈,6920,16-Dec,429.27,15.76,,,,,,,,,,,,,,,,,,,,,
(주)모헨즈,6920,17-Dec,2851.38,12.03,,,,,,,,,,,,,,,,,,,,,
(주)모헨즈,6920,18-Dec,826.84,20.42,,,,,,,,,,,,,,,,,,,,,
(주)모헨즈,6920,19-Dec,47.43,17.16,,,,,,,,,,,,,,,,,,,,,
(주)무학,33920,Dec-00,4.62,,,,,,,,,,,,,,,,,,,,,,
(주)무학,33920,01-Dec,9.59,,,,,,,,,,,,,,,,,,,,,,
(주)무학,33920,02-Dec,21.37,,,,,,,,,,,,,,,,,,,,,,
(주)무학,33920,03-Dec,52.45,,,,,,,,,,,,,,,,,,,,,,
(주)무학,33920,04-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)무학,33920,05-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)무학,33920,06-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)무학,33920,07-Dec,49.83,,,,,,,,,,,,,,,,,,,,,,
(주)무학,33920,08-Dec,23.7,,,,,,,,,,,,,,,,,,,,,,
(주)무학,33920,09-Dec,72.39,,,,,,,,,,,,,,,,,,,,,,
(주)무학,33920,10-Dec,999999999,999999999,,,,,,,,,,,,,,,,,,,,,
(주)무학,33920,11-Dec,12102.63,14609.73,,,,,,,,,,,,,,,,,,,,,
(주)무학,33920,12-Dec,409.01,404.94,,,,,,,,,,,,,,,,,,,,,
(주)무학,33920,13-Dec,87.67,87.41,,,,,,,,,,,,,,,,,,,,,
(주)무학,33920,14-Dec,1103.21,1102.39,,,,,,,,,,,,,,,,,,,,,
(주)무학,33920,15-Dec,505.2,501.4,,,,,,,,,,,,,,,,,,,,,
(주)무학,33920,16-Dec,482.46,483.09,,,,,,,,,,,,,,,,,,,,,
(주)무학,33920,17-Dec,53.5,53.21,,,,,,,,,,,,,,,,,,,,,
(주)무학,33920,18-Dec,-10.47,-11.59,,,,,,,,,,,,,,,,,,,,,
(주)무학,33920,19-Dec,-14.4,-15.45,,,,,,,,,,,,,,,,,,,,,
(주)미래생명자원,218150,15-Dec,,,,,,,,,,,,,,,,,,,,,,,
(주)미래생명자원,218150,16-Dec,,,,,,,,,,,,,,,,,,,,,,,
(주)미래생명자원,218150,17-Dec,135.75,21.9,,,,,,,,,,,,,,,,,,,,,
(주)미래생명자원,218150,18-Dec,10.67,7.44,,,,,,,,,,,,,,,,,,,,,
(주)미래생명자원,218150,19-Dec,7.79,4.69,,,,,,,,,,,,,,,,,,,,,
(주)미래아이앤지,7120,Feb-00,16.91,,,,,,,,,,,,,,,,,,,,,,
(주)미래아이앤지,7120,01-Feb,825.78,,,,,,,,,,,,,,,,,,,,,,
(주)미래아이앤지,7120,02-Feb,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)미래아이앤지,7120,03-Dec,-3080.02,,,,,,,,,,,,,,,,,,,,,,
(주)미래아이앤지,7120,04-Dec,-3.82,,,,,,,,,,,,,,,,,,,,,,
(주)미래아이앤지,7120,05-Dec,-20.71,,,,,,,,,,,,,,,,,,,,,,
(주)미래아이앤지,7120,06-Dec,-8.46,,,,,,,,,,,,,,,,,,,,,,
(주)미래아이앤지,7120,07-Dec,-15.47,,,,,,,,,,,,,,,,,,,,,,
(주)미래아이앤지,7120,08-Dec,-7.21,,,,,,,,,,,,,,,,,,,,,,
(주)미래아이앤지,7120,09-Dec,-5.54,,,,,,,,,,,,,,,,,,,,,,
(주)미래아이앤지,7120,10-Dec,1.58,2.09,,,,,,,,,,,,,,,,,,,,,
(주)미래아이앤지,7120,11-Dec,2.41,3.14,,,,,,,,,,,,,,,,,,,,,
(주)미래아이앤지,7120,12-Dec,1.77,2.68,,,,,,,,,,,,,,,,,,,,,
(주)미래아이앤지,7120,13-Dec,-4.5,-4.61,,,,,,,,,,,,,,,,,,,,,
(주)미래아이앤지,7120,14-Dec,-8.32,-8.49,,,,,,,,,,,,,,,,,,,,,
(주)미래아이앤지,7120,15-Dec,-3.06,-3.16,,,,,,,,,,,,,,,,,,,,,
(주)미래아이앤지,7120,16-Dec,-132.13,-137.98,,,,,,,,,,,,,,,,,,,,,
(주)미래아이앤지,7120,17-Dec,-261.09,-294.32,,,,,,,,,,,,,,,,,,,,,
(주)미래아이앤지,7120,18-Dec,-795.93,-803.8,,,,,,,,,,,,,,,,,,,,,
(주)미래아이앤지,7120,19-Dec,7.18,6.84,,,,,,,,,,,,,,,,,,,,,
(주)미래컴퍼니,49950,01-Dec,,,,,,,,,,,,,,,,,,,,,,,
(주)미래컴퍼니,49950,02-Dec,9.11,,,,,,,,,,,,,,,,,,,,,,
(주)미래컴퍼니,49950,03-Dec,40.06,,,,,,,,,,,,,,,,,,,,,,
(주)미래컴퍼니,49950,04-Dec,110.88,,,,,,,,,,,,,,,,,,,,,,
(주)미래컴퍼니,49950,05-Dec,19.37,,,,,,,,,,,,,,,,,,,,,,
(주)미래컴퍼니,49950,06-Dec,-14.5,,,,,,,,,,,,,,,,,,,,,,
(주)미래컴퍼니,49950,07-Dec,-67.09,,,,,,,,,,,,,,,,,,,,,,
(주)미래컴퍼니,49950,08-Dec,15.38,,,,,,,,,,,,,,,,,,,,,,
(주)미래컴퍼니,49950,09-Dec,11.17,,,,,,,,,,,,,,,,,,,,,,
(주)미래컴퍼니,49950,10-Dec,8.72,3.34,,,,,,,,,,,,,,,,,,,,,
(주)미래컴퍼니,49950,11-Dec,17.05,14.44,,,,,,,,,,,,,,,,,,,,,
(주)미래컴퍼니,49950,12-Dec,13.5,12.43,,,,,,,,,,,,,,,,,,,,,
(주)미래컴퍼니,49950,13-Dec,-5.19,-5.07,,,,,,,,,,,,,,,,,,,,,
(주)미래컴퍼니,49950,14-Dec,-33.26,-26.93,,,,,,,,,,,,,,,,,,,,,
(주)미래컴퍼니,49950,15-Dec,12.36,13.8,,,,,,,,,,,,,,,,,,,,,
(주)미래컴퍼니,49950,16-Dec,29.3,31.87,,,,,,,,,,,,,,,,,,,,,
(주)미래컴퍼니,49950,17-Dec,197.73,201.42,,,,,,,,,,,,,,,,,,,,,
(주)미래컴퍼니,49950,18-Dec,120.58,124.42,,,,,,,,,,,,,,,,,,,,,
(주)미래컴퍼니,49950,19-Dec,26.63,26.72,,,,,,,,,,,,,,,,,,,,,
(주)미코,59090,Dec-00,,,,,,,,,,,,,,,,,,,,,,,
(주)미코,59090,01-Dec,175.09,,,,,,,,,,,,,,,,,,,,,,
(주)미코,59090,02-Dec,24.22,,,,,,,,,,,,,,,,,,,,,,
(주)미코,59090,03-Dec,6.6,,,,,,,,,,,,,,,,,,,,,,
(주)미코,59090,04-Dec,7.35,,,,,,,,,,,,,,,,,,,,,,
(주)미코,59090,05-Dec,5.36,,,,,,,,,,,,,,,,,,,,,,
(주)미코,59090,06-Dec,1.28,,,,,,,,,,,,,,,,,,,,,,
(주)미코,59090,07-Dec,2.28,1.21,,,,,,,,,,,,,,,,,,,,,
(주)미코,59090,08-Dec,-0.75,-1.64,,,,,,,,,,,,,,,,,,,,,
(주)미코,59090,09-Dec,-0.44,-1.2,,,,,,,,,,,,,,,,,,,,,
(주)미코,59090,10-Dec,3.1,3.57,,,,,,,,,,,,,,,,,,,,,
(주)미코,59090,11-Dec,0.66,0.95,,,,,,,,,,,,,,,,,,,,,
(주)미코,59090,12-Dec,0.95,1.96,,,,,,,,,,,,,,,,,,,,,
(주)미코,59090,13-Dec,-2.36,-2.49,,,,,,,,,,,,,,,,,,,,,
(주)미코,59090,14-Dec,0.22,0.9,,,,,,,,,,,,,,,,,,,,,
(주)미코,59090,15-Dec,1.08,2.67,,,,,,,,,,,,,,,,,,,,,
(주)미코,59090,16-Dec,1.16,5.03,,,,,,,,,,,,,,,,,,,,,
(주)미코,59090,17-Dec,7.13,13.12,,,,,,,,,,,,,,,,,,,,,
(주)미코,59090,18-Dec,4.28,10.29,,,,,,,,,,,,,,,,,,,,,
(주)미코,59090,19-Dec,2.12,5.6,,,,,,,,,,,,,,,,,,,,,
(주)미코바이오메드,214610,13-Dec,,,,,,,,,,,,,,,,,,,,,,,
(주)미코바이오메드,214610,14-Dec,-20.91,,,,,,,,,,,,,,,,,,,,,,
(주)미코바이오메드,214610,15-Dec,-9.17,,,,,,,,,,,,,,,,,,,,,,
(주)미코바이오메드,214610,16-Dec,-49.53,,,,,,,,,,,,,,,,,,,,,,
(주)미코바이오메드,214610,17-Dec,-21.29,,,,,,,,,,,,,,,,,,,,,,
(주)미코바이오메드,214610,18-Dec,-12.35,-13.03,,,,,,,,,,,,,,,,,,,,,
(주)미코바이오메드,214610,19-Dec,-12.06,-11.71,,,,,,,,,,,,,,,,,,,,,
(주)미투온,201490,12-Dec,,,,,,,,,,,,,,,,,,,,,,,
(주)미투온,201490,13-Dec,127.68,,,,,,,,,,,,,,,,,,,,,,
(주)미투온,201490,16-Dec,1439.08,2957.62,,,,,,,,,,,,,,,,,,,,,
(주)미투온,201490,17-Dec,-1.81,11.43,,,,,,,,,,,,,,,,,,,,,
(주)미투온,201490,18-Dec,0.3,16.6,,,,,,,,,,,,,,,,,,,,,
(주)미투온,201490,19-Dec,0.7,17.81,,,,,,,,,,,,,,,,,,,,,
(주)바른손,18700,Mar-00,0.33,,,,,,,,,,,,,,,,,,,,,,
(주)바른손,18700,01-Mar,-3.19,,,,,,,,,,,,,,,,,,,,,,
(주)바른손,18700,02-Mar,-5.82,,,,,,,,,,,,,,,,,,,,,,
(주)바른손,18700,03-Mar,-0.92,,,,,,,,,,,,,,,,,,,,,,
(주)바른손,18700,04-Mar,3.56,,,,,,,,,,,,,,,,,,,,,,
(주)바른손,18700,05-Mar,-135.09,,,,,,,,,,,,,,,,,,,,,,
(주)바른손,18700,06-Mar,6.87,,,,,,,,,,,,,,,,,,,,,,
(주)바른손,18700,07-Mar,-6.76,,,,,,,,,,,,,,,,,,,,,,
(주)바른손,18700,08-Mar,-3.6,,,,,,,,,,,,,,,,,,,,,,
(주)바른손,18700,09-Mar,-5.89,,,,,,,,,,,,,,,,,,,,,,
(주)바른손,18700,10-Mar,-3.75,,,,,,,,,,,,,,,,,,,,,,
(주)바른손,18700,11-Mar,0.22,-1.35,,,,,,,,,,,,,,,,,,,,,
(주)바른손,18700,12-Mar,-5.33,-8.54,,,,,,,,,,,,,,,,,,,,,
(주)바른손,18700,13-Mar,-6.7,-8.53,,,,,,,,,,,,,,,,,,,,,
(주)바른손,18700,14-Mar,-5.08,-4.95,,,,,,,,,,,,,,,,,,,,,
(주)바른손,18700,15-Mar,-10.91,-14.69,,,,,,,,,,,,,,,,,,,,,
(주)바른손,18700,16-Mar,1.58,-5.64,,,,,,,,,,,,,,,,,,,,,
(주)바른손,18700,17-Mar,-3.87,-12.43,,,,,,,,,,,,,,,,,,,,,
(주)바른손,18700,18-Mar,-33.27,-19.33,,,,,,,,,,,,,,,,,,,,,
(주)바른손,18700,19-Mar,-24.59,-24.08,,,,,,,,,,,,,,,,,,,,,
(주)바른손이앤에이,35620,Dec-00,-20.43,,,,,,,,,,,,,,,,,,,,,,
(주)바른손이앤에이,35620,01-Dec,-7.69,,,,,,,,,,,,,,,,,,,,,,
(주)바른손이앤에이,35620,02-Dec,-1.99,,,,,,,,,,,,,,,,,,,,,,
(주)바른손이앤에이,35620,03-Dec,-1.05,,,,,,,,,,,,,,,,,,,,,,
(주)바른손이앤에이,35620,04-Dec,-0.41,,,,,,,,,,,,,,,,,,,,,,
(주)바른손이앤에이,35620,05-Dec,1.39,,,,,,,,,,,,,,,,,,,,,,
(주)바른손이앤에이,35620,06-Dec,-18.02,,,,,,,,,,,,,,,,,,,,,,
(주)바른손이앤에이,35620,07-Dec,-4.24,-4.26,,,,,,,,,,,,,,,,,,,,,
(주)바른손이앤에이,35620,08-Dec,-2.87,-2.77,,,,,,,,,,,,,,,,,,,,,
(주)바른손이앤에이,35620,09-Dec,-1.4,,,,,,,,,,,,,,,,,,,,,,
(주)바른손이앤에이,35620,10-Dec,1.43,9.23,,,,,,,,,,,,,,,,,,,,,
(주)바른손이앤에이,35620,11-Dec,9.13,7.6,,,,,,,,,,,,,,,,,,,,,
(주)바른손이앤에이,35620,12-Dec,-4.86,-3.84,,,,,,,,,,,,,,,,,,,,,
(주)바른손이앤에이,35620,13-Dec,-21.72,-24.82,,,,,,,,,,,,,,,,,,,,,
(주)바른손이앤에이,35620,14-Dec,-8.99,-9.87,,,,,,,,,,,,,,,,,,,,,
(주)바른손이앤에이,35620,15-Dec,2.92,8.01,,,,,,,,,,,,,,,,,,,,,
(주)바른손이앤에이,35620,16-Dec,7.46,10.8,,,,,,,,,,,,,,,,,,,,,
(주)바른손이앤에이,35620,17-Dec,1.66,-0.32,,,,,,,,,,,,,,,,,,,,,
(주)바른손이앤에이,35620,18-Dec,-5.25,-14.64,,,,,,,,,,,,,,,,,,,,,
(주)바른손이앤에이,35620,19-Dec,-4.15,-11.05,,,,,,,,,,,,,,,,,,,,,
(주)바른전자,64520,Dec-00,1.21,,,,,,,,,,,,,,,,,,,,,,
(주)바른전자,64520,01-Dec,22.5,,,,,,,,,,,,,,,,,,,,,,
(주)바른전자,64520,02-Dec,36.76,,,,,,,,,,,,,,,,,,,,,,
(주)바른전자,64520,03-Dec,-191.65,,,,,,,,,,,,,,,,,,,,,,
(주)바른전자,64520,04-Dec,-48.81,,,,,,,,,,,,,,,,,,,,,,
(주)바른전자,64520,05-Dec,-15.47,,,,,,,,,,,,,,,,,,,,,,
(주)바른전자,64520,06-Dec,20.39,,,,,,,,,,,,,,,,,,,,,,
(주)바른전자,64520,07-Dec,7.37,,,,,,,,,,,,,,,,,,,,,,
(주)바른전자,64520,08-Dec,3.48,,,,,,,,,,,,,,,,,,,,,,
(주)바른전자,64520,09-Dec,2.28,,,,,,,,,,,,,,,,,,,,,,
(주)바른전자,64520,10-Dec,1.8,1.4,,,,,,,,,,,,,,,,,,,,,
(주)바른전자,64520,11-Dec,-0.68,-7.08,,,,,,,,,,,,,,,,,,,,,
(주)바른전자,64520,12-Dec,2.37,2.38,,,,,,,,,,,,,,,,,,,,,
(주)바른전자,64520,13-Dec,1.55,1.55,,,,,,,,,,,,,,,,,,,,,
(주)바른전자,64520,14-Dec,1.69,,,,,,,,,,,,,,,,,,,,,,
(주)바른전자,64520,15-Dec,2.04,2.02,,,,,,,,,,,,,,,,,,,,,
(주)바른전자,64520,16-Dec,1.35,1.28,,,,,,,,,,,,,,,,,,,,,
(주)바른전자,64520,17-Dec,-13.46,-13.54,,,,,,,,,,,,,,,,,,,,,
(주)바른전자,64520,18-Dec,-11.17,-11.34,,,,,,,,,,,,,,,,,,,,,
(주)바른전자,64520,19-Dec,-9.21,-9.47,,,,,,,,,,,,,,,,,,,,,
(주)바이넥스,53030,Dec-00,,,,,,,,,,,,,,,,,,,,,,,
(주)바이넥스,53030,01-Dec,2.96,,,,,,,,,,,,,,,,,,,,,,
(주)바이넥스,53030,02-Dec,6.99,,,,,,,,,,,,,,,,,,,,,,
(주)바이넥스,53030,03-Dec,6.3,,,,,,,,,,,,,,,,,,,,,,
(주)바이넥스,53030,04-Dec,4.49,,,,,,,,,,,,,,,,,,,,,,
(주)바이넥스,53030,05-Dec,7.45,,,,,,,,,,,,,,,,,,,,,,
(주)바이넥스,53030,06-Dec,417871.25,,,,,,,,,,,,,,,,,,,,,,
(주)바이넥스,53030,07-Dec,156.57,13.34,,,,,,,,,,,,,,,,,,,,,
(주)바이넥스,53030,08-Dec,19.97,,,,,,,,,,,,,,,,,,,,,,
(주)바이넥스,53030,09-Dec,0.65,,,,,,,,,,,,,,,,,,,,,,
(주)바이넥스,53030,10-Dec,-0.72,,,,,,,,,,,,,,,,,,,,,,
(주)바이넥스,53030,11-Dec,3.25,3.53,,,,,,,,,,,,,,,,,,,,,
(주)바이넥스,53030,12-Dec,-0.05,0.07,,,,,,,,,,,,,,,,,,,,,
(주)바이넥스,53030,13-Dec,-4.81,-3.9,,,,,,,,,,,,,,,,,,,,,
