회사명,거래소코드,회계년도,이자보상배율(이자비용),이자보상배율(이자비용)(IFRS연결),이보배,,,,,,,,,,,,,,,,,,,,
(주)HJ중공업,97230,15-Dec,-0.75,-0.5,,,,,,,,,,,,,,,,,,,,,
(주)HJ중공업,97230,16-Dec,0.4,-0.58,,,,,,,,,,,,,,,,,,,,,
(주)HJ중공업,97230,17-Dec,0.89,-1.08,,,,,,,,,,,,,,,,,,,,,
(주)HJ중공업,97230,18-Dec,-0.66,0.62,,,,,,,,,,,,,,,,,,,,,
(주)HJ중공업,97230,19-Dec,0.64,0.69,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,23150,Dec-00,2.71,,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,23150,01-Dec,2.6,,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,23150,02-Dec,5.5,,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,23150,03-Dec,18.2,,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,23150,04-Dec,15.14,,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,23150,05-Dec,11.04,,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,23150,06-Dec,8.29,,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,23150,07-Dec,7.52,,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,23150,08-Dec,3.3,-0.61,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,23150,09-Dec,2.14,1.18,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,23150,10-Dec,1.84,0.77,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,23150,11-Dec,1.5,0.12,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,23150,12-Dec,1.64,1.08,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,23150,13-Dec,3.44,0.87,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,23150,14-Dec,5.62,5.62,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,23150,15-Dec,12.7,12.69,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,23150,16-Dec,29.42,29.41,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,23150,17-Dec,33.29,3.46,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,23150,18-Dec,8.73,0.1,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,23150,19-Dec,7.59,0.73,,,,,,,,,,,,,,,,,,,,,
(주)SH에너지화학,2360,Jun-00,0.76,,,,,,,,,,,,,,,,,,,,,,
(주)SH에너지화학,2360,01-Jun,1.17,,,,,,,,,,,,,,,,,,,,,,
(주)SH에너지화학,2360,02-Jun,2.09,,,,,,,,,,,,,,,,,,,,,,
(주)SH에너지화학,2360,03-Jun,2.71,,,,,,,,,,,,,,,,,,,,,,
(주)SH에너지화학,2360,04-Jun,0.46,,,,,,,,,,,,,,,,,,,,,,
(주)SH에너지화학,2360,05-Jun,1.15,,,,,,,,,,,,,,,,,,,,,,
(주)SH에너지화학,2360,06-Dec,0.43,,,,,,,,,,,,,,,,,,,,,,
(주)SH에너지화학,2360,07-Dec,2.08,2.4,,,,,,,,,,,,,,,,,,,,,
(주)SH에너지화학,2360,08-Dec,0.63,-7.03,,,,,,,,,,,,,,,,,,,,,
(주)SH에너지화학,2360,09-Dec,4.5,4.2,,,,,,,,,,,,,,,,,,,,,
(주)SH에너지화학,2360,10-Dec,2.66,-4.92,,,,,,,,,,,,,,,,,,,,,
(주)SH에너지화학,2360,11-Dec,3.09,2.82,,,,,,,,,,,,,,,,,,,,,
(주)SH에너지화학,2360,12-Dec,2.26,1.72,,,,,,,,,,,,,,,,,,,,,
