,회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),이자보상배율
79,(주)SNT홀딩스,36530,18-Dec,77777777.77,59.79,59.79
80,(주)SNT홀딩스,36530,19-Dec,77777777.77,184.05,184.05
81,(주)ST,11810,11-Dec,0.67,1.66,1.66
82,(주)ST,11810,12-Dec,0.19,-3.12,-3.12
83,(주)ST,11810,13-Dec,-0.8,-10.71,-10.71
84,(주)ST,11810,14-Dec,0.53,0.76,0.76
85,(주)ST,11810,15-Dec,-0.42,-0.84,-0.84
86,(주)ST,11810,16-Dec,-2.95,-0.91,-0.91
87,(주)ST,11810,17-Dec,1.56,2.02,2.02
88,(주)ST,11810,18-Dec,-0.58,-1.12,-1.12
89,(주)ST,11810,19-Dec,-1.05,0.11,0.11
90,(주)TCC스틸,2710,11-Dec,1.8,1.41,1.41
91,(주)TCC스틸,2710,12-Dec,1.44,0.57,0.57
92,(주)TCC스틸,2710,13-Dec,1.01,-0.59,-0.59
93,(주)TCC스틸,2710,14-Dec,1.31,0.02,0.02
94,(주)TCC스틸,2710,15-Dec,2.11,2.17,2.17
95,(주)TCC스틸,2710,16-Dec,2.36,2.53,2.53
96,(주)TCC스틸,2710,17-Dec,1.41,1.55,1.55
97,(주)TCC스틸,2710,18-Dec,3.46,3.3,3.3
98,(주)TCC스틸,2710,19-Dec,2.34,2.27,2.27
99,(주)가비아,79940,11-Dec,10.88,22.28,22.28
100,(주)가비아,79940,12-Dec,6.25,15.43,15.43
101,(주)가비아,79940,13-Dec,7.48,15.81,15.81
102,(주)가비아,79940,14-Dec,11.16,24.59,24.59
103,(주)가비아,79940,15-Dec,28.34,64.83,64.83
104,(주)가비아,79940,16-Dec,33.33,83.64,83.64
105,(주)가비아,79940,17-Dec,27.12,53.72,53.72
106,(주)가비아,79940,18-Dec,25.87,62.3,62.3
107,(주)가비아,79940,19-Dec,19.48,34.25,34.25
108,(주)강스템바이오텍,217730,15-Dec,-5.41,77777777.77,-5.41
109,(주)강스템바이오텍,217730,16-Dec,-18.89,77777777.77,-18.89
110,(주)강스템바이오텍,217730,17-Dec,-7.93,-8.15,-8.15
111,(주)강스템바이오텍,217730,18-Dec,-11.95,-12.31,-12.31
112,(주)강스템바이오텍,217730,19-Dec,-23.34,-21.5,-21.5
113,(주)강원랜드,35250,11-Dec,1171.84,1142.61,1142.61
114,(주)강원랜드,35250,12-Dec,643.6,565.68,565.68
115,(주)강원랜드,35250,13-Dec,1460.36,1421.81,1421.81
116,(주)강원랜드,35250,14-Dec,2126.84,2073.72,2073.72
117,(주)강원랜드,35250,15-Dec,2661.2,2623.81,2623.81
118,(주)강원랜드,35250,16-Dec,2743.01,836.02,836.02
119,(주)강원랜드,35250,17-Dec,2717.07,2241.82,2241.82
120,(주)강원랜드,35250,18-Dec,2008.39,1834.66,1834.66
121,(주)강원랜드,35250,19-Dec,276.34,255.56,255.56
122,(주)강원에너지,114190,11-Nov,393.9,77777777.77,393.9
123,(주)강원에너지,114190,12-Dec,58.37,77777777.77,58.37
124,(주)강원에너지,114190,13-Dec,18.11,77777777.77,18.11
125,(주)강원에너지,114190,14-Dec,39.01,77777777.77,39.01
126,(주)강원에너지,114190,15-Dec,762.19,187.51,187.51
127,(주)강원에너지,114190,16-Dec,-166.16,-241.54,-241.54
128,(주)강원에너지,114190,17-Dec,-89.84,-26.56,-26.56
129,(주)강원에너지,114190,18-Dec,0.35,0.2,0.2
130,(주)강원에너지,114190,19-Dec,-9.33,-8.38,-8.38
131,(주)갤럭시아에스엠,11420,11-Dec,6.14,6.31,6.31
132,(주)갤럭시아에스엠,11420,12-Dec,3.15,3.79,3.79
133,(주)갤럭시아에스엠,11420,13-Dec,2.26,1.9,1.9
134,(주)갤럭시아에스엠,11420,14-Dec,-1.41,-0.88,-0.88
135,(주)갤럭시아에스엠,11420,15-Dec,9.86,5.69,5.69
136,(주)갤럭시아에스엠,11420,16-Dec,-18.56,-18.76,-18.76
137,(주)갤럭시아에스엠,11420,17-Dec,-33.36,-35.52,-35.52
138,(주)갤럭시아에스엠,11420,18-Dec,-102.12,-157.86,-157.86
139,(주)갤럭시아에스엠,11420,19-Dec,-15.22,-8.95,-8.95
140,(주)경농,2100,11-Dec,4.84,4.52,4.52
141,(주)경농,2100,12-Dec,8.89,5.6,5.6
142,(주)경농,2100,13-Dec,9.47,4.81,4.81
143,(주)경농,2100,14-Dec,9.33,4.53,4.53
144,(주)경농,2100,15-Dec,6.21,3.96,3.96
145,(주)경농,2100,16-Dec,5.39,3.5,3.5
146,(주)경농,2100,17-Dec,5.54,2.8,2.8
147,(주)경농,2100,18-Dec,9.8,5.16,5.16
148,(주)경농,2100,19-Dec,5.02,2.2,2.2
149,(주)경동나비엔,9450,11-Dec,32.11,12.0,12.0
150,(주)경동나비엔,9450,12-Dec,28.05,11.7,11.7
151,(주)경동나비엔,9450,13-Dec,32.7,14.4,14.4
152,(주)경동나비엔,9450,14-Dec,9.27,4.93,4.93
153,(주)경동나비엔,9450,15-Dec,9.88,6.98,6.98
154,(주)경동나비엔,9450,16-Dec,54.24,25.05,25.05
155,(주)경동나비엔,9450,17-Dec,54.55,30.33,30.33
156,(주)경동나비엔,9450,18-Dec,18.09,11.32,11.32
157,(주)경동나비엔,9450,19-Dec,21.23,11.06,11.06
158,(주)경동도시가스,267290,17-Dec,66.44,66.86,66.86
159,(주)경동도시가스,267290,18-Dec,99.67,98.82,98.82
160,(주)경동도시가스,267290,19-Dec,28.89,29.28,29.28
161,(주)경동인베스트,12320,11-Dec,65.05,11.03,11.03
162,(주)경동인베스트,12320,12-Dec,52.51,17.71,17.71
163,(주)경동인베스트,12320,13-Dec,66.34,27.91,27.91
164,(주)경동인베스트,12320,14-Dec,54.04,20.25,20.25
165,(주)경동인베스트,12320,15-Dec,29.77,-4.35,-4.35
166,(주)경동인베스트,12320,16-Dec,28.09,7.92,7.92
167,(주)경동인베스트,12320,17-Dec,20.23,9.05,9.05
168,(주)경동인베스트,12320,18-Dec,-1131.58,10.67,10.67
169,(주)경동인베스트,12320,19-Dec,-4.64,5.29,5.29
170,(주)경방,50,11-Dec,1.17,1.15,1.15
171,(주)경방,50,12-Dec,0.43,0.36,0.36
172,(주)경방,50,13-Dec,2.9,2.58,2.58
173,(주)경방,50,14-Dec,2.93,2.47,2.47
174,(주)경방,50,15-Dec,4.38,3.9,3.9
175,(주)경방,50,16-Dec,7.08,5.54,5.54
176,(주)경방,50,17-Dec,7.8,6.35,6.35
177,(주)경방,50,18-Dec,7.97,5.13,5.13
178,(주)경방,50,19-Dec,6.99,3.59,3.59
179,(주)경보제약,214390,15-Dec,29.2,77777777.77,29.2
180,(주)경보제약,214390,16-Dec,16.24,77777777.77,16.24
181,(주)경보제약,214390,17-Dec,24.47,77777777.77,24.47
182,(주)경보제약,214390,18-Dec,19.43,77777777.77,19.43
183,(주)경보제약,214390,19-Dec,4.77,77777777.77,4.77
184,(주)경인양행,12610,11-Dec,0.99,1.77,1.77
185,(주)경인양행,12610,12-Dec,1.54,1.26,1.26
186,(주)경인양행,12610,13-Dec,9.2,5.73,5.73
187,(주)경인양행,12610,14-Dec,8.03,7.16,7.16
188,(주)경인양행,12610,15-Dec,0.07,4.19,4.19
189,(주)경인양행,12610,16-Dec,2.46,6.44,6.44
190,(주)경인양행,12610,17-Dec,0.11,3.12,3.12
191,(주)경인양행,12610,18-Dec,4.74,5.68,5.68
192,(주)경인양행,12610,19-Dec,4.18,4.66,4.66
193,(주)고려시멘트,198440,14-Dec,77777777.77,77777777.77,11111111.11
194,(주)고려시멘트,198440,15-Dec,77777777.77,77777777.77,11111111.11
195,(주)고려시멘트,198440,16-Dec,77777777.77,77777777.77,11111111.11
196,(주)고려시멘트,198440,17-Dec,16.79,77777777.77,16.79
197,(주)고려시멘트,198440,18-Dec,9.2,77777777.77,9.2
198,(주)고려시멘트,198440,19-Dec,-1.08,77777777.77,-1.08
199,(주)고영테크놀러지,98460,11-Dec,77777777.77,22785.6,22785.6
200,(주)고영테크놀러지,98460,12-Dec,77777777.77,1627.45,1627.45
201,(주)고영테크놀러지,98460,13-Dec,77777777.77,443.96,443.96
202,(주)고영테크놀러지,98460,14-Dec,77777777.77,1673.12,1673.12
203,(주)고영테크놀러지,98460,15-Dec,77777777.77,2242.05,2242.05
204,(주)고영테크놀러지,98460,16-Dec,77777777.77,2001.96,2001.96
205,(주)고영테크놀러지,98460,17-Dec,77777777.77,6141.06,6141.06
206,(주)고영테크놀러지,98460,18-Dec,77777777.77,5839.89,5839.89
207,(주)고영테크놀러지,98460,19-Dec,186.77,112.96,112.96
208,(주)골드앤에스,35290,11-Dec,1.25,1.13,1.13
209,(주)골드앤에스,35290,12-Dec,-1.95,-1.91,-1.91
210,(주)골드앤에스,35290,13-Dec,-4.6,-3.83,-3.83
211,(주)골드앤에스,35290,14-Dec,-1.73,-1.41,-1.41
212,(주)골드앤에스,35290,15-Dec,1.89,1.99,1.99
213,(주)골드앤에스,35290,16-Dec,2.5,2.42,2.42
214,(주)골드앤에스,35290,17-Dec,-27.46,-26.15,-26.15
215,(주)골드앤에스,35290,18-Dec,-4.46,-4.56,-4.56
216,(주)골드앤에스,35290,19-Dec,-1.46,-1.46,-1.46
217,(주)골드퍼시픽,38530,11-Dec,14.16,77777777.77,14.16
218,(주)골드퍼시픽,38530,12-Dec,2.66,77777777.77,2.66
219,(주)골드퍼시픽,38530,13-Dec,-10.81,-11.34,-11.34
220,(주)골드퍼시픽,38530,14-Dec,-6.82,-4.33,-4.33
221,(주)골드퍼시픽,38530,15-Dec,-13.68,-9.59,-9.59
222,(주)골드퍼시픽,38530,16-Dec,-17.43,77777777.77,-17.43
223,(주)골드퍼시픽,38530,17-Dec,0.62,77777777.77,0.62
224,(주)골드퍼시픽,38530,18-Dec,-0.38,-0.68,-0.68
225,(주)골드퍼시픽,38530,19-Dec,-0.89,77777777.77,-0.89
226,(주)골프존,215000,15-Dec,77777777.77,77777777.77,11111111.11
227,(주)골프존,215000,16-Dec,58.98,59.8,59.8
228,(주)골프존,215000,17-Dec,47.32,52.52,52.52
229,(주)골프존,215000,18-Dec,39.07,37.61,37.61
230,(주)골프존,215000,19-Dec,44.45,32.18,32.18
231,(주)골프존뉴딘홀딩스,121440,11-Dec,1759.62,1101.46,1101.46
232,(주)골프존뉴딘홀딩스,121440,12-Dec,48.56,31.08,31.08
233,(주)골프존뉴딘홀딩스,121440,13-Dec,39.77,25.98,25.98
234,(주)골프존뉴딘홀딩스,121440,14-Dec,65.05,22.05,22.05
235,(주)골프존뉴딘홀딩스,121440,15-Dec,-21.02,-1.54,-1.54
236,(주)골프존뉴딘홀딩스,121440,16-Dec,-4.43,5.22,5.22
237,(주)골프존뉴딘홀딩스,121440,17-Dec,-4.92,2.81,2.81
238,(주)골프존뉴딘홀딩스,121440,18-Dec,-7.1,0.15,0.15
239,(주)골프존뉴딘홀딩스,121440,19-Dec,-9.01,-0.36,-0.36
240,(주)광림,14200,11-Dec,4.55,77777777.77,4.55
241,(주)광림,14200,12-Dec,1.71,77777777.77,1.71
242,(주)광림,14200,13-Dec,6.18,77777777.77,6.18
243,(주)광림,14200,14-Dec,1.79,0.7,0.7
244,(주)광림,14200,15-Dec,0.43,77777777.77,0.43
245,(주)광림,14200,16-Dec,0.16,0.16,0.16
246,(주)광림,14200,17-Dec,1.64,-3.19,-3.19
247,(주)광림,14200,18-Dec,1.45,-0.23,-0.23
248,(주)광림,14200,19-Dec,1.37,-2.3,-2.3
249,(주)광명전기,17040,11-Dec,1.57,0.38,0.38
250,(주)광명전기,17040,12-Dec,4.22,3.63,3.63
251,(주)광명전기,17040,13-Dec,11.17,11.84,11.84
252,(주)광명전기,17040,14-Dec,17.71,19.42,19.42
253,(주)광명전기,17040,15-Dec,9.32,20.92,20.92
254,(주)광명전기,17040,16-Dec,11.76,10.52,10.52
255,(주)광명전기,17040,17-Dec,14.7,5.78,5.78
256,(주)광명전기,17040,18-Dec,9.92,3.61,3.61
257,(주)광명전기,17040,19-Dec,22.79,21.67,21.67
258,(주)광무,29480,11-Dec,-2.59,-3.01,-3.01
259,(주)광무,29480,12-Dec,-2.61,-2.69,-2.69
260,(주)광무,29480,13-Dec,-4.26,-8.2,-8.2
261,(주)광무,29480,14-Dec,1.12,77777777.77,1.12
262,(주)광무,29480,15-Dec,-0.8,77777777.77,-0.8
263,(주)광무,29480,16-Dec,1.93,77777777.77,1.93
264,(주)광무,29480,17-Dec,0.32,77777777.77,0.32
265,(주)광무,29480,18-Dec,-1.6,-3.19,-3.19
266,(주)광무,29480,19-Dec,-2.36,-2.9,-2.9
267,(주)광주신세계,37710,11-Dec,77777777.77,77777777.77,11111111.11
268,(주)광주신세계,37710,12-Dec,77777777.77,77777777.77,11111111.11
269,(주)광주신세계,37710,13-Dec,13.07,77777777.77,13.07
270,(주)광주신세계,37710,14-Dec,10.46,77777777.77,10.46
271,(주)광주신세계,37710,15-Dec,15.34,77777777.77,15.34
272,(주)광주신세계,37710,16-Dec,30.68,77777777.77,30.68
273,(주)광주신세계,37710,17-Dec,86.86,77777777.77,86.86
274,(주)광주신세계,37710,18-Dec,715.98,77777777.77,715.98
275,(주)광주신세계,37710,19-Dec,193.26,77777777.77,193.26
276,(주)구영테크,53270,11-Dec,1.41,0.96,0.96
277,(주)구영테크,53270,12-Dec,1.21,1.29,1.29
278,(주)구영테크,53270,13-Dec,1.26,1.39,1.39
279,(주)구영테크,53270,14-Dec,1.08,1.38,1.38
280,(주)구영테크,53270,15-Dec,1.98,1.97,1.97
281,(주)구영테크,53270,16-Dec,3.06,1.65,1.65
282,(주)구영테크,53270,17-Dec,2.56,2.37,2.37
283,(주)구영테크,53270,18-Dec,0.73,1.47,1.47
284,(주)구영테크,53270,19-Dec,1.14,1.33,1.33
285,(주)국동,5320,11-Dec,-3.92,0.5,0.5
286,(주)국동,5320,12-Dec,1.48,3.42,3.42
287,(주)국동,5320,13-Dec,3.66,3.64,3.64
288,(주)국동,5320,14-Dec,5.87,5.32,5.32
289,(주)국동,5320,15-Dec,4.23,4.08,4.08
290,(주)국동,5320,16-Dec,4.82,5.25,5.25
291,(주)국동,5320,17-Dec,-1.26,-2.28,-2.28
292,(주)국동,5320,18-Dec,1.01,2.53,2.53
293,(주)국동,5320,19-Dec,-6.67,-1.78,-1.78
294,(주)국보,1140,11-Dec,0.81,0.75,0.75
295,(주)국보,1140,12-Dec,0.51,0.64,0.64
296,(주)국보,1140,13-Dec,0.32,0.36,0.36
