,회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),재무활동으로 인한 현금흐름(*)(IFRS연결)(천원),영업활동,투자활동,재무활동,영업활동(연결),투자활동(연결),재무활동(연결),기업수명
25,(주)ES큐브,50120,2018/12,116879.0,-9930672.0,6704278.0,-1347532.0,-1328332.0,4892298.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0
26,(주)ES큐브,50120,2019/12,1886276.0,-42892183.0,35797321.0,75624795.0,-18643079.0,27275835.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
27,(주)HJ중공업,97230,2011/12,-297988000.0,51907000.0,-71169000.0,-401788000.0,41457000.0,94035000.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0
28,(주)HJ중공업,97230,2012/12,-227250000.0,97508000.0,105359000.0,-84391000.0,39701000.0,-67579000.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0
29,(주)HJ중공업,97230,2013/12,-186309000.0,-32693000.0,42453000.0,-321347000.0,-52839000.0,237949000.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
30,(주)HJ중공업,97230,2014/12,-101009000.0,249783000.0,-379667000.0,-238336000.0,204078000.0,-211347000.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
31,(주)HJ중공업,97230,2015/12,109406000.0,409000.0,-245147000.0,257547000.0,-32960000.0,-418692000.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
32,(주)HJ중공업,97230,2016/12,78719000.0,-43927000.0,-15868000.0,-36763000.0,-85380000.0,91239000.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
33,(주)HJ중공업,97230,2017/12,368798000.0,-36512000.0,-323602000.0,385461000.0,198422000.0,-572275000.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
34,(주)HJ중공업,97230,2018/12,182116000.0,15886000.0,-76243000.0,420195000.0,-2020000.0,-318234000.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
35,(주)HJ중공업,97230,2019/12,140634000.0,51752000.0,-296104000.0,155934000.0,36099000.0,-296104000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
36,(주)MH에탄올,23150,2011/12,4202371.0,-8074198.0,4670174.0,178820.0,12547367.0,-9637630.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0
37,(주)MH에탄올,23150,2012/12,2788992.0,-4116270.0,444550.0,-4906202.0,1115316.0,376829.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0
38,(주)MH에탄올,23150,2013/12,5638467.0,-4646566.0,-946920.0,6114050.0,-4783523.0,-1818277.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
39,(주)MH에탄올,23150,2014/12,5125822.0,35174665.0,-40343385.0,5159224.0,-4570335.0,-40343385.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
40,(주)MH에탄올,23150,2015/12,13354086.0,2921164.0,-13157831.0,13384066.0,2896164.0,-13157831.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
41,(주)MH에탄올,23150,2016/12,12230065.0,1476767.0,-15501541.0,12245831.0,1461767.0,-15501541.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
42,(주)MH에탄올,23150,2017/12,10755779.0,-38163673.0,26811882.0,3336890.0,-25459599.0,35571882.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
43,(주)MH에탄올,23150,2018/12,6668746.0,-2930214.0,-4494777.0,-11269669.0,40276387.0,-36917995.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0
44,(주)MH에탄올,23150,2019/12,6417691.0,-2940840.0,-3479898.0,11368931.0,-3854102.0,-5342979.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
