회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),통계청 한국표준산업분류 10차(중분류)
(주)SIMPAC,009160,2018/12,268863854,243575353,306150809,271995017,1차 금속 제조업
(주)SIMPAC,009160,2019/12,391970769,357126998,430085162,385305111,1차 금속 제조업
(주)SNT에너지,100840,2011/12,195318747,181219511,,,기타 기계 및 장비 제조업
(주)SNT에너지,100840,2012/12,230707564,191839172,,,기타 기계 및 장비 제조업
(주)SNT에너지,100840,2013/12,200750984,161808099,,,기타 기계 및 장비 제조업
(주)SNT에너지,100840,2014/12,242746888,203611420,,,기타 기계 및 장비 제조업
(주)SNT에너지,100840,2015/12,260094045,202305297,,,기타 기계 및 장비 제조업
(주)SNT에너지,100840,2016/12,254089906,204980319,,,기타 기계 및 장비 제조업
(주)SNT에너지,100840,2017/12,184091945,146050315,,,기타 기계 및 장비 제조업
(주)SNT에너지,100840,2018/12,139516396,118750224,,,기타 기계 및 장비 제조업
(주)SNT에너지,100840,2019/12,202822913,170291934,213326726,177635077,기타 기계 및 장비 제조업
(주)SNT홀딩스,036530,2011/12,2257851,0,1663846065,1449348821,전문 서비스업
(주)SNT홀딩스,036530,2012/12,8718270,0,1668749904,1465168699,전문 서비스업
(주)SNT홀딩스,036530,2013/12,8826810,0,1576368464,1379201925,전문 서비스업
(주)SNT홀딩스,036530,2014/12,7701882,0,1552374806,1380123821,전문 서비스업
(주)SNT홀딩스,036530,2015/12,8475099,0,1612746929,1331347191,전문 서비스업
(주)SNT홀딩스,036530,2016/12,9818190,0,1537700275,1336617769,전문 서비스업
(주)SNT홀딩스,036530,2017/12,7417869,0,1508152132,1303372403,전문 서비스업
(주)SNT홀딩스,036530,2018/12,7292112,0,1401307482,1221120349,전문 서비스업
(주)SNT홀딩스,036530,2019/12,11015928,0,1512114565,1284171398,전문 서비스업
(주)STX,011810,2011/12,4173397000,3988988000,5967701000,5516021000,도매 및 상품 중개업
(주)STX,011810,2012/12,4116767000,3997635000,6159850000,6353608000,도매 및 상품 중개업
(주)STX,011810,2013/12,1895063000,1814171000,2449401000,3140865000,도매 및 상품 중개업
(주)STX,011810,2014/12,1291351000,1233380000,1634606000,1513363000,도매 및 상품 중개업
(주)STX,011810,2015/12,1362127000,1352181000,1630827000,1586081000,도매 및 상품 중개업
(주)STX,011810,2016/12,1465561000,1494187000,1720153000,1635394000,도매 및 상품 중개업
(주)STX,011810,2017/12,1595494000,1541890000,1803878000,1718572000,도매 및 상품 중개업
(주)STX,011810,2018/12,1329890000,1319737000,1502985000,1483048000,도매 및 상품 중개업
(주)STX,011810,2019/12,1237876000,1225459000,1471164000,1424697000,도매 및 상품 중개업
(주)TCC스틸,002710,2011/12,456928069,419062918,514424043,472273637,1차 금속 제조업
(주)TCC스틸,002710,2012/12,440568155,399338479,501337475,457927934,1차 금속 제조업
(주)TCC스틸,002710,2013/12,419483813,385343144,500832754,474104834,1차 금속 제조업
(주)TCC스틸,002710,2014/12,401323585,364984531,518995240,483588495,1차 금속 제조업
(주)TCC스틸,002710,2015/12,350074629,311691285,495795871,451936886,1차 금속 제조업
(주)TCC스틸,002710,2016/12,317235565,281559457,444453635,402898839,1차 금속 제조업
(주)TCC스틸,002710,2017/12,333762378,304470552,391370092,356978389,1차 금속 제조업
(주)TCC스틸,002710,2018/12,351301866,320798763,413176279,377890304,1차 금속 제조업
(주)TCC스틸,002710,2019/12,339334364,312320391,437173902,405618477,1차 금속 제조업
(주)가비아,079940,2011/12,33792831,20761832,52838864,29173840,출판업
(주)가비아,079940,2012/12,38482449,23494026,69058144,40302408,출판업
