회사명,거래소코드,회계년도,[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS)
(주)강원랜드,35250,15-Dec,430459518,2997442337
(주)강원랜드,35250,16-Dec,454998593,3252738063
(주)강원랜드,35250,17-Dec,437096330,3500789656
(주)강원랜드,35250,18-Dec,297320114,3586452533
(주)강원랜드,35250,19-Dec,335609508,3718433001
(주)강원에너지,114190,11-Nov,5754715,24502434
(주)강원에너지,114190,12-Dec,8974549,36107930
(주)강원에너지,114190,13-Dec,3922208,45877155
(주)강원에너지,114190,14-Dec,1123194,50445491
(주)강원에너지,114190,15-Dec,885783,54880924
(주)강원에너지,114190,16-Dec,-762058,53746356
(주)강원에너지,114190,17-Dec,-6291307,47117020
(주)강원에너지,114190,18-Dec,1977524,49286354
(주)강원에너지,114190,19-Dec,-33460765,22904034
(주)갤럭시아에스엠,11420,11-Dec,3000743,24539613
(주)갤럭시아에스엠,11420,12-Dec,223810,25153401
(주)갤럭시아에스엠,11420,13-Dec,-1420345,22472626
(주)갤럭시아에스엠,11420,14-Dec,-931106,23402468
(주)갤럭시아에스엠,11420,15-Dec,2575902,50665218
(주)갤럭시아에스엠,11420,16-Dec,-1562620,44846832
(주)갤럭시아에스엠,11420,17-Dec,-5899738,40494336
(주)갤럭시아에스엠,11420,18-Dec,-15678085,26797332
(주)갤럭시아에스엠,11420,19-Dec,-1375316,21798750
(주)경농,2100,11-Dec,3154155,146016982
(주)경농,2100,12-Dec,6590012,151500247
(주)경농,2100,13-Dec,13751960,162696463
(주)경농,2100,14-Dec,9271741,168998955
(주)경농,2100,15-Dec,6488880,173056378
(주)경농,2100,16-Dec,5770891,176722752
(주)경농,2100,17-Dec,11539079,182959158
(주)경농,2100,18-Dec,9613575,187066687
(주)경농,2100,19-Dec,7061857,190892614
(주)경동나비엔,9450,11-Dec,9445090,143268094
(주)경동나비엔,9450,12-Dec,9214927,152201349
(주)경동나비엔,9450,13-Dec,9251575,161494784
(주)경동나비엔,9450,14-Dec,9082312,167984480
(주)경동나비엔,9450,15-Dec,19320742,185208256
(주)경동나비엔,9450,16-Dec,28636194,210193123
(주)경동나비엔,9450,17-Dec,16291264,222028494
(주)경동나비엔,9450,18-Dec,22818064,240355951
(주)경동나비엔,9450,19-Dec,20474157,254559521
(주)경동도시가스,267290,17-Dec,17678888,292628586
(주)경동도시가스,267290,18-Dec,33981432,318760537
(주)경동도시가스,267290,19-Dec,24355132,337701666
(주)경동인베스트,12320,11-Dec,50053289,412912132
(주)경동인베스트,12320,12-Dec,56917580,468921996
(주)경동인베스트,12320,13-Dec,46253877,516833582
(주)경동인베스트,12320,14-Dec,44839494,560802056
(주)경동인베스트,12320,15-Dec,-6095609,548528455
(주)경동인베스트,12320,16-Dec,16356641,556247783
(주)경동인베스트,12320,17-Dec,7248447,309789000
(주)경동인베스트,12320,18-Dec,1574966,310422538
(주)경동인베스트,12320,19-Dec,-917643,308309156
(주)경방,50,11-Dec,-1822388,676624221
(주)경방,50,12-Dec,-7074187,669735441
(주)경방,50,13-Dec,15103835,685569176
(주)경방,50,14-Dec,14235818,651570419
(주)경방,50,15-Dec,21604723,671770865
(주)경방,50,16-Dec,30977743,690245544
(주)경방,50,17-Dec,25679379,710964923
(주)경방,50,18-Dec,29198252,729185709
(주)경방,50,19-Dec,22223943,740731873
(주)경보제약,214390,15-Dec,26109623,122817151
(주)경보제약,214390,16-Dec,12705930,129402340
(주)경보제약,214390,17-Dec,17963310,141509596
(주)경보제약,214390,18-Dec,13116049,149012165
(주)경보제약,214390,19-Dec,5285239,149163504
(주)경인양행,12610,11-Dec,2788642,158882273
(주)경인양행,12610,12-Dec,4475441,162112825
(주)경인양행,12610,13-Dec,12327177,178074513
(주)경인양행,12610,14-Dec,9090269,186433506
(주)경인양행,12610,15-Dec,107330,185903130
(주)경인양행,12610,16-Dec,3724987,191021720
(주)경인양행,12610,17-Dec,531273,190844102
(주)경인양행,12610,18-Dec,7419717,198237400
(주)경인양행,12610,19-Dec,4797711,201086327
(주)고려시멘트,198440,14-Dec,,
(주)고려시멘트,198440,15-Dec,,
(주)고려시멘트,198440,16-Dec,,
(주)고려시멘트,198440,17-Dec,1003761,77394108
(주)고려시멘트,198440,18-Dec,4645869,86510962
(주)고려시멘트,198440,19-Dec,3396444,88445378
(주)고영테크놀러지,98460,11-Dec,16580579,70382391
(주)고영테크놀러지,98460,12-Dec,14836215,84090906
(주)고영테크놀러지,98460,13-Dec,14816762,100051693
(주)고영테크놀러지,98460,14-Dec,22775832,118348519
(주)고영테크놀러지,98460,15-Dec,23271756,133570714
(주)고영테크놀러지,98460,16-Dec,28063238,157572806
(주)고영테크놀러지,98460,17-Dec,28907302,164836232
(주)고영테크놀러지,98460,18-Dec,42430216,229271175
(주)고영테크놀러지,98460,19-Dec,34702997,252020628
(주)골드앤에스,35290,11-Dec,1101095,22637807
(주)골드앤에스,35290,12-Dec,-6036290,26252682
(주)골드앤에스,35290,13-Dec,-16378087,9813150
(주)골드앤에스,35290,14-Dec,-8058617,9084260
(주)골드앤에스,35290,15-Dec,-9396462,14991660
(주)골드앤에스,35290,16-Dec,388207,14102143
(주)골드앤에스,35290,17-Dec,-8062623,13104737
(주)골드앤에스,35290,18-Dec,-4045846,13867013
(주)골드앤에스,35290,19-Dec,-24883215,-5001092
(주)골드퍼시픽,38530,11-Dec,990336,21829724
(주)골드퍼시픽,38530,12-Dec,254546,22928402
(주)골드퍼시픽,38530,13-Dec,-8455942,17116411
(주)골드퍼시픽,38530,14-Dec,-7306525,16902289
(주)골드퍼시픽,38530,15-Dec,-12525668,20115559
(주)골드퍼시픽,38530,16-Dec,-23433498,1889641
(주)골드퍼시픽,38530,17-Dec,-965087,5364494
(주)골드퍼시픽,38530,18-Dec,-4380343,20086698
(주)골드퍼시픽,38530,19-Dec,-31603970,21069318
(주)골프존,215000,15-Dec,33262807,105063093
(주)골프존,215000,16-Dec,35913366,115886579
(주)골프존,215000,17-Dec,75544308,181394935
(주)골프존,215000,18-Dec,21663391,197436844
(주)골프존,215000,19-Dec,19704546,205529589
(주)골프존뉴딘홀딩스,121440,11-Dec,47591974,348104397
(주)골프존뉴딘홀딩스,121440,12-Dec,72099265,410999847
(주)골프존뉴딘홀딩스,121440,13-Dec,4493226,427556455
(주)골프존뉴딘홀딩스,121440,14-Dec,63571492,473636026
(주)골프존뉴딘홀딩스,121440,15-Dec,890006593,551703320
(주)골프존뉴딘홀딩스,121440,16-Dec,-20255655,506841449
(주)골프존뉴딘홀딩스,121440,17-Dec,-21778628,480074463
(주)골프존뉴딘홀딩스,121440,18-Dec,-7653686,484480922
(주)골프존뉴딘홀딩스,121440,19-Dec,-30341791,450069457
(주)광림,14200,11-Dec,2583332,56677106
(주)광림,14200,12-Dec,586385,63502275
(주)광림,14200,13-Dec,1630750,64796802
(주)광림,14200,14-Dec,1137559,66259380
(주)광림,14200,15-Dec,9223597,80899308
(주)광림,14200,16-Dec,437352,90221084
(주)광림,14200,17-Dec,86196134,176556237
(주)광림,14200,18-Dec,-58294056,120931215
(주)광림,14200,19-Dec,-68290742,60749234
(주)광명전기,17040,11-Dec,-75153,56987613
(주)광명전기,17040,12-Dec,-1564026,55136666
(주)광명전기,17040,13-Dec,5301060,60793004
(주)광명전기,17040,14-Dec,6978508,67539909
(주)광명전기,17040,15-Dec,3442541,71275955
(주)광명전기,17040,16-Dec,15612709,86335358
(주)광명전기,17040,17-Dec,-1349854,85430878
(주)광명전기,17040,18-Dec,3182514,87989865
(주)광명전기,17040,19-Dec,6470387,94186043
(주)광무,29480,11-Dec,-51537196,49296267
(주)광무,29480,12-Dec,-15113066,36518143
(주)광무,29480,13-Dec,-33154332,11346800
(주)광무,29480,14-Dec,-859721,8505450
(주)광무,29480,15-Dec,-2727754,7744452
(주)광무,29480,16-Dec,95615,8053231
(주)광무,29480,17-Dec,-3352682,13552175
(주)광무,29480,18-Dec,-4875184,9695091
(주)광무,29480,19-Dec,-6275093,22202195
(주)광주신세계,37710,11-Dec,52281979,310214632
(주)광주신세계,37710,12-Dec,53769536,361615843
(주)광주신세계,37710,13-Dec,48569715,408690826
(주)광주신세계,37710,14-Dec,42236355,448624926
(주)광주신세계,37710,15-Dec,45901413,491380796
(주)광주신세계,37710,16-Dec,45554028,534290186
(주)광주신세계,37710,17-Dec,47846191,579363832
(주)광주신세계,37710,18-Dec,45093180,620656716
(주)광주신세계,37710,19-Dec,47668959,661189861
(주)구영테크,53270,11-Dec,985788,27962532
(주)구영테크,53270,12-Dec,1250176,29302171
(주)구영테크,53270,13-Dec,1137402,30762180
(주)구영테크,53270,14-Dec,1326679,42200180
(주)구영테크,53270,15-Dec,3196300,44066560
(주)구영테크,53270,16-Dec,3920237,46429602
(주)구영테크,53270,17-Dec,1239184,47102417
(주)구영테크,53270,18-Dec,3912117,57861349
(주)구영테크,53270,19-Dec,1558141,58668784
(주)국동,5320,11-Dec,-12930687,2694312
(주)국동,5320,12-Dec,262553,2775119
(주)국동,5320,13-Dec,2373991,5947778
