회사명,거래소코드,회계년도,자본(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),유형자산(*)(IFRS연결)(천원),건설중인자산(IFRS연결)(천원),종업원수(IFRS연결),부가가치(IFRS연결)(백만원),기계장치(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),유형자산회전율(연결),순운전자본회전률(연결),운전자본회전률(연결),노동장비율(연결),기계장비율(연결),자본집약도(연결),총자본투자효율(연결),설비투자효율(연결),기계투자효율(연결),부가가치율(연결)
(주)HJ중공업,97230,12-Dec,1715516000,6585093000,2274211000,2448324000,2901480000,55437000,,543885,481476000,2549319000,0.387134851,-14.6417499,-29.2834998,,,,31.70387219,19.11021724,112.9620168,21.3345211
(주)HJ중공업,97230,13-Dec,1638998000,6683379000,2788908000,3284862000,2808246000,24325000,,358044,493709000,2529341000,0.378452427,-5.099950802,-10.1999016,,,,21.84529816,12.86114082,72.52126253,14.15562394
(주)HJ중공업,97230,14-Dec,1573076000,6470284000,2647534000,2843001000,2703561000,54901000,,291365,506693000,2520325000,0.389523087,-12.89386444,-25.78772887,,,,18.52199131,11.00046816,57.50326134,11.56061222
(주)HJ중공업,97230,15-Dec,1368589000,5914637000,2429499000,3430218000,2735463000,43452000,,292787,557825000,3115473000,0.526739511,-3.113234584,-6.226469169,,,,21.39334745,10.87614427,52.48724959,9.397834615
(주)HJ중공업,97230,16-Dec,895183000,5256464000,2372221000,2636927000,2404052000,54116000,,221273,582148000,2813271000,0.535202182,-10.62790794,-21.25581589,,,,24.71818611,9.41612878,38.0097501,7.865328296
(주)HJ중공업,97230,17-Dec,577198000,4206655000,1894161000,3329421000,1792322000,6573000,,171765,506543000,2452314000,0.582960571,-1.708620041,-3.417240082,,,,29.75841912,9.618653013,33.90926338,7.00420093
(주)HJ중공업,97230,18-Dec,-708186000,2733620000,1720906000,2140149000,638765000,2227000,,390449,67790000,1697869000,0.621106445,-4.049844601,-8.099689202,,,,-55.13367957,61.33946442,575.9684319,22.99641492
(주)HJ중공업,97230,19-Dec,244994000,2470222000,1300538000,1845223000,615117000,1800000,,333185,68832000,1628751000,0.659354099,-2.990262262,-5.980524523,,,,135.9972081,54.32508801,484.0553812,20.45647247
(주)MH에탄올,23150,11-Dec,42667338,134206851,45677724,78266518,75265905,58210,,8741.25,13957369,44785159,0.33370248,-1.374250271,-2.748500543,,,,20.48698234,11.62281333,62.62820736,19.51818458
(주)MH에탄올,23150,12-Dec,39678259,134385813,50009828,81625166,71841895,0,,15364.39,13629527,59768175,0.44475063,-1.890480342,-3.780960684,,,,38.72243991,21.386393,112.7287102,25.7066407
(주)MH에탄올,23150,13-Dec,45885523,129697936,43178092,75260635,70410722,69000,,13050.09,13778632,62199887,0.479574995,-1.938745535,-3.87749107,,,,28.44053886,18.55241758,94.71252298,20.98089021
(주)MH에탄올,23150,14-Dec,52788681,85534839,28731429,31619269,36083190,486096,,11295.12,11481026,48983781,0.572676369,-16.96208273,-33.92416547,,,,21.39685968,31.7304553,98.38075447,23.0588978
(주)MH에탄올,23150,15-Dec,57884347,78996052,22500870,20538639,36846510,268000,,16454.85,12377510,50386203,0.637831913,25.67801803,51.35603606,,,,28.42711519,44.98501989,132.9415205,32.65745188
(주)MH에탄올,23150,16-Dec,63581883,72339673,19709368,7640748,37390804,402993,,17091.29,12494639,48897025,0.675936495,4.051583777,8.103167554,,,,26.8807547,46.20789806,136.7889861,34.95363982
