회사명,거래소코드,회계년도,[제조]당기순이익(손실)(IFRS연결),[제조]자본(*)(IFRS연결)
(주)강원랜드,35250,16-Dec,454533659,3252727459
(주)강원랜드,35250,17-Dec,437540507,3501235933
(주)강원랜드,35250,18-Dec,297236881,3586777089
(주)강원랜드,35250,19-Dec,334653892,3717759076
(주)강원에너지,114190,11-Nov,,
(주)강원에너지,114190,12-Dec,,
(주)강원에너지,114190,13-Dec,,
(주)강원에너지,114190,14-Dec,,
(주)강원에너지,114190,15-Dec,102482,56583901
(주)강원에너지,114190,16-Dec,-1125371,55088690
(주)강원에너지,114190,17-Dec,-6451819,48303010
(주)강원에너지,114190,18-Dec,1708887,50203707
(주)강원에너지,114190,19-Dec,-35647438,21124556
(주)갤럭시아에스엠,11420,11-Dec,2909464,25274017
(주)갤럭시아에스엠,11420,12-Dec,389023,25907252
(주)갤럭시아에스엠,11420,13-Dec,-1736750,21493102
(주)갤럭시아에스엠,11420,14-Dec,-255270,23205508
(주)갤럭시아에스엠,11420,15-Dec,1863773,49739042
(주)갤럭시아에스엠,11420,16-Dec,-1562620,44846832
(주)갤럭시아에스엠,11420,17-Dec,-5899738,40494336
(주)갤럭시아에스엠,11420,18-Dec,-16003255,26472162
(주)갤럭시아에스엠,11420,19-Dec,-1375316,21798750
(주)경농,2100,11-Dec,509664,142986220
(주)경농,2100,12-Dec,10310339,151738994
(주)경농,2100,13-Dec,13950249,163157512
(주)경농,2100,14-Dec,7099305,168915900
(주)경농,2100,15-Dec,6980392,174667648
(주)경농,2100,16-Dec,6365805,183969132
(주)경농,2100,17-Dec,10079442,192152986
(주)경농,2100,18-Dec,4878426,201453891
(주)경농,2100,19-Dec,4014664,201885272
(주)경동나비엔,9450,11-Dec,9467023,168114574
(주)경동나비엔,9450,12-Dec,9169965,175875394
(주)경동나비엔,9450,13-Dec,11129597,187280988
(주)경동나비엔,9450,14-Dec,9380054,190021880
(주)경동나비엔,9450,15-Dec,16752000,206076609
(주)경동나비엔,9450,16-Dec,37469924,238762190
(주)경동나비엔,9450,17-Dec,27019124,256506497
(주)경동나비엔,9450,18-Dec,24748538,280103616
(주)경동나비엔,9450,19-Dec,27852090,301042624
(주)경동도시가스,267290,17-Dec,17798556,294331882
(주)경동도시가스,267290,18-Dec,34164798,320490074
(주)경동도시가스,267290,19-Dec,24638348,339612043
(주)경동인베스트,12320,11-Dec,30327559,407862543
(주)경동인베스트,12320,12-Dec,42879202,446509347
(주)경동인베스트,12320,13-Dec,49841905,498740561
(주)경동인베스트,12320,14-Dec,75930406,607451423
(주)경동인베스트,12320,15-Dec,-21251390,576479441
(주)경동인베스트,12320,16-Dec,19132415,587924566
(주)경동인베스트,12320,17-Dec,51930860,400403090
(주)경동인베스트,12320,18-Dec,29827973,397867310
(주)경동인베스트,12320,19-Dec,8856009,414533638
(주)경방,50,11-Dec,-1131177,629704391
(주)경방,50,12-Dec,-7910168,620704205
