회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),,,,
(주)가비아,79940,15-Dec,28.34,64.83,,,,
(주)가비아,79940,16-Dec,33.33,83.64,,,,
(주)가비아,79940,17-Dec,27.12,53.72,,,,
(주)가비아,79940,18-Dec,25.87,62.3,,,,
(주)가비아,79940,19-Dec,19.48,34.25,,,,
(주)강스템바이오텍,217730,15-Dec,-5.41,,,,,
(주)강스템바이오텍,217730,16-Dec,-18.89,,,,,
(주)강스템바이오텍,217730,17-Dec,-7.93,-8.15,,,,
(주)강스템바이오텍,217730,18-Dec,-11.95,-12.31,,,,
(주)강스템바이오텍,217730,19-Dec,-23.34,-21.5,,,,
(주)강원랜드,35250,11-Dec,1171.84,1142.61,,,,
(주)강원랜드,35250,12-Dec,643.6,565.68,,,,
(주)강원랜드,35250,13-Dec,1460.36,1421.81,,,,
(주)강원랜드,35250,14-Dec,2126.84,2073.72,,,,
(주)강원랜드,35250,15-Dec,2661.2,2623.81,,,,
(주)강원랜드,35250,16-Dec,2743.01,836.02,,,,
(주)강원랜드,35250,17-Dec,2717.07,2241.82,,,,
(주)강원랜드,35250,18-Dec,2008.39,1834.66,,,,
(주)강원랜드,35250,19-Dec,276.34,255.56,,,,
(주)강원에너지,114190,11-Nov,393.9,,,,,
(주)강원에너지,114190,12-Dec,58.37,,,,,
(주)강원에너지,114190,13-Dec,18.11,,,,,
(주)강원에너지,114190,14-Dec,39.01,,,,,
(주)강원에너지,114190,15-Dec,762.19,187.51,,,,
(주)강원에너지,114190,16-Dec,-166.16,-241.54,,,,
(주)강원에너지,114190,17-Dec,-89.84,-26.56,,,,
(주)강원에너지,114190,18-Dec,0.35,0.2,,,,
(주)강원에너지,114190,19-Dec,-9.33,-8.38,,,,
(주)갤럭시아에스엠,11420,11-Dec,6.14,6.31,,,,
(주)갤럭시아에스엠,11420,12-Dec,3.15,3.79,,,,
(주)갤럭시아에스엠,11420,13-Dec,2.26,1.9,,,,
(주)갤럭시아에스엠,11420,14-Dec,-1.41,-0.88,,,,
(주)갤럭시아에스엠,11420,15-Dec,9.86,5.69,,,,
(주)갤럭시아에스엠,11420,16-Dec,-18.56,-18.76,,,,
(주)갤럭시아에스엠,11420,17-Dec,-33.36,-35.52,,,,
(주)갤럭시아에스엠,11420,18-Dec,-102.12,-157.86,,,,
(주)갤럭시아에스엠,11420,19-Dec,-15.22,-8.95,,,,
(주)경농,2100,11-Dec,4.84,4.52,,,,
(주)경농,2100,12-Dec,8.89,5.6,,,,
(주)경농,2100,13-Dec,9.47,4.81,,,,
(주)경농,2100,14-Dec,9.33,4.53,,,,
(주)경농,2100,15-Dec,6.21,3.96,,,,
(주)경농,2100,16-Dec,5.39,3.5,,,,
(주)경농,2100,17-Dec,5.54,2.8,,,,
(주)경농,2100,18-Dec,9.8,5.16,,,,
(주)경농,2100,19-Dec,5.02,2.2,,,,
(주)경동나비엔,9450,11-Dec,32.11,12,,,,
(주)경동나비엔,9450,12-Dec,28.05,11.7,,,,
(주)경동나비엔,9450,13-Dec,32.7,14.4,,,,
(주)경동나비엔,9450,14-Dec,9.27,4.93,,,,
(주)경동나비엔,9450,15-Dec,9.88,6.98,,,,
(주)경동나비엔,9450,16-Dec,54.24,25.05,,,,
(주)경동나비엔,9450,17-Dec,54.55,30.33,,,,
(주)경동나비엔,9450,18-Dec,18.09,11.32,,,,
(주)경동나비엔,9450,19-Dec,21.23,11.06,,,,
(주)경동도시가스,267290,17-Dec,66.44,66.86,,,,
(주)경동도시가스,267290,18-Dec,99.67,98.82,,,,
(주)경동도시가스,267290,19-Dec,28.89,29.28,,,,
(주)경동인베스트,12320,11-Dec,65.05,11.03,,,,
(주)경동인베스트,12320,12-Dec,52.51,17.71,,,,
(주)경동인베스트,12320,13-Dec,66.34,27.91,,,,
(주)경동인베스트,12320,14-Dec,54.04,20.25,,,,
(주)경동인베스트,12320,15-Dec,29.77,-4.35,,,,
(주)경동인베스트,12320,16-Dec,28.09,7.92,,,,
(주)경동인베스트,12320,17-Dec,20.23,9.05,,,,
(주)경동인베스트,12320,18-Dec,-1131.58,10.67,,,,
(주)경동인베스트,12320,19-Dec,-4.64,5.29,,,,
(주)경방,50,11-Dec,1.17,1.15,,,,
(주)경방,50,12-Dec,0.43,0.36,,,,
(주)경방,50,13-Dec,2.9,2.58,,,,
(주)경방,50,14-Dec,2.93,2.47,,,,
(주)경방,50,15-Dec,4.38,3.9,,,,
(주)경방,50,16-Dec,7.08,5.54,,,,
(주)경방,50,17-Dec,7.8,6.35,,,,
(주)경방,50,18-Dec,7.97,5.13,,,,
(주)경방,50,19-Dec,6.99,3.59,,,,
(주)경보제약,214390,15-Dec,29.2,,,,,
(주)경보제약,214390,16-Dec,16.24,,,,,
(주)경보제약,214390,17-Dec,24.47,,,,,
(주)경보제약,214390,18-Dec,19.43,,,,,
