회사명,거래소코드,회계년도,[제조]자본(*)(IFRS2)
(주)강원에너지,114190,Nov-11,24502434
(주)강원에너지,114190,Dec-12,36107930
(주)강원에너지,114190,Dec-13,45877155
(주)강원에너지,114190,Dec-14,50445491
(주)강원에너지,114190,Dec-15,54880924
(주)강원에너지,114190,Dec-16,53746356
(주)강원에너지,114190,Dec-17,47117020
(주)강원에너지,114190,Dec-18,49286354
(주)갤럭시아에스엠,11420,Dec-10,22598240
(주)갤럭시아에스엠,11420,Dec-11,24539613
(주)갤럭시아에스엠,11420,Dec-12,25153401
(주)갤럭시아에스엠,11420,Dec-13,22472626
(주)갤럭시아에스엠,11420,Dec-14,23402468
(주)갤럭시아에스엠,11420,Dec-15,50665218
(주)갤럭시아에스엠,11420,Dec-16,44846832
(주)갤럭시아에스엠,11420,Dec-17,40494336
(주)갤럭시아에스엠,11420,Dec-18,26797332
(주)경농,2100,Dec-10,148352110
(주)경농,2100,Dec-11,146016982
(주)경농,2100,Dec-12,151500247
(주)경농,2100,Dec-13,162696463
(주)경농,2100,Dec-14,168998955
(주)경농,2100,Dec-15,173056378
(주)경농,2100,Dec-16,176722752
(주)경농,2100,Dec-17,182959158
(주)경농,2100,Dec-18,187066687
(주)경동나비엔,9450,Dec-10,136756722
(주)경동나비엔,9450,Dec-11,143268094
(주)경동나비엔,9450,Dec-12,152201349
(주)경동나비엔,9450,Dec-13,161494784
(주)경동나비엔,9450,Dec-14,167984480
(주)경동나비엔,9450,Dec-15,185208256
(주)경동나비엔,9450,Dec-16,210193123
(주)경동나비엔,9450,Dec-17,222028494
(주)경동나비엔,9450,Dec-18,240355951
(주)경동도시가스,267290,Dec-17,292628586
(주)경동도시가스,267290,Dec-18,318760537
(주)경동인베스트,12320,Dec-10,365245365
(주)경동인베스트,12320,Dec-11,412912132
(주)경동인베스트,12320,Dec-12,468921996
(주)경동인베스트,12320,Dec-13,516833582
(주)경동인베스트,12320,Dec-14,560802056
(주)경동인베스트,12320,Dec-15,548528455
(주)경동인베스트,12320,Dec-16,556247783
(주)경동인베스트,12320,Dec-17,309789000
(주)경동인베스트,12320,Dec-18,310422538
(주)경방,50,Dec-10,680065508
(주)경방,50,Dec-11,676624221
(주)경방,50,Dec-12,669735441
(주)경방,50,Dec-13,685569176
(주)경방,50,Dec-14,651570419
(주)경방,50,Dec-15,671770865
(주)경방,50,Dec-16,690245544
(주)경방,50,Dec-17,710964923
(주)경방,50,Dec-18,729185709
(주)경보제약,214390,Dec-15,122817151
(주)경보제약,214390,Dec-16,129402340
(주)경보제약,214390,Dec-17,141509596
(주)경보제약,214390,Dec-18,149012165
(주)경인양행,12610,Dec-10,157685148
(주)경인양행,12610,Dec-11,158882273
(주)경인양행,12610,Dec-12,162112825
(주)경인양행,12610,Dec-13,178074513
(주)경인양행,12610,Dec-14,186433506
(주)경인양행,12610,Dec-15,185903130
(주)경인양행,12610,Dec-16,191021720
(주)경인양행,12610,Dec-17,190844102
(주)경인양행,12610,Dec-18,198237400
(주)고려시멘트,198440,Dec-14,
(주)고려시멘트,198440,Dec-15,
(주)고려시멘트,198440,Dec-16,
(주)고려시멘트,198440,Dec-17,77394108
(주)고려시멘트,198440,Dec-18,86510962
(주)고영테크놀러지,98460,Dec-10,54992891
(주)고영테크놀러지,98460,Dec-11,70382391
(주)고영테크놀러지,98460,Dec-12,84090906
(주)고영테크놀러지,98460,Dec-13,100051693
(주)고영테크놀러지,98460,Dec-14,118348519
(주)고영테크놀러지,98460,Dec-15,133570714
(주)고영테크놀러지,98460,Dec-16,157572806
(주)고영테크놀러지,98460,Dec-17,164836232
(주)고영테크놀러지,98460,Dec-18,229271175
(주)골드앤에스,35290,Dec-10,21707836
(주)골드앤에스,35290,Dec-11,22637807
(주)골드앤에스,35290,Dec-12,26252682
(주)골드앤에스,35290,Dec-13,9813150
(주)골드앤에스,35290,Dec-14,9084260
(주)골드앤에스,35290,Dec-15,14991660
(주)골드앤에스,35290,Dec-16,14102143
(주)골드앤에스,35290,Dec-17,13104737
(주)골드앤에스,35290,Dec-18,13867013
(주)골드퍼시픽,38530,Dec-10,21073186
(주)골드퍼시픽,38530,Dec-11,21829724
(주)골드퍼시픽,38530,Dec-12,22928402
(주)골드퍼시픽,38530,Dec-13,17116411
(주)골드퍼시픽,38530,Dec-14,16902289
(주)골드퍼시픽,38530,Dec-15,20115559
(주)골드퍼시픽,38530,Dec-16,1889641
(주)골드퍼시픽,38530,Dec-17,5364494
(주)골드퍼시픽,38530,Dec-18,20086698
(주)골프존,215000,Dec-15,105063093
(주)골프존,215000,Dec-16,115886579
(주)골프존,215000,Dec-17,181394935
(주)골프존,215000,Dec-18,197436844
(주)골프존뉴딘홀딩스,121440,Dec-11,348104397
(주)골프존뉴딘홀딩스,121440,Dec-12,410999847
(주)골프존뉴딘홀딩스,121440,Dec-13,427556455
(주)골프존뉴딘홀딩스,121440,Dec-14,473636026
(주)골프존뉴딘홀딩스,121440,Dec-15,551703320
(주)골프존뉴딘홀딩스,121440,Dec-16,506841449
(주)골프존뉴딘홀딩스,121440,Dec-17,480074463
(주)골프존뉴딘홀딩스,121440,Dec-18,484480922
(주)광림,14200,Dec-10,55002116
(주)광림,14200,Dec-11,56677106
(주)광림,14200,Dec-12,63502275
(주)광림,14200,Dec-13,64796802
(주)광림,14200,Dec-14,66259380
(주)광림,14200,Dec-15,80899308
(주)광림,14200,Dec-16,90221084
(주)광림,14200,Dec-17,176556237
(주)광림,14200,Dec-18,120931215
(주)광명전기,17040,Dec-10,52410098
(주)광명전기,17040,Dec-11,56987613
(주)광명전기,17040,Dec-12,55136666
(주)광명전기,17040,Dec-13,60793004
(주)광명전기,17040,Dec-14,67539909
(주)광명전기,17040,Dec-15,71275955
(주)광명전기,17040,Dec-16,86335358
(주)광명전기,17040,Dec-17,85430878
(주)광명전기,17040,Dec-18,87989865
(주)광무,29480,Dec-10,61613923
(주)광무,29480,Dec-11,49296267
(주)광무,29480,Dec-12,36518143
(주)광무,29480,Dec-13,11346800
(주)광무,29480,Dec-14,8505450
(주)광무,29480,Dec-15,7744452
(주)광무,29480,Dec-16,8053231
(주)광무,29480,Dec-17,13552175
(주)광무,29480,Dec-18,9695091
(주)광주신세계,37710,Dec-10,260459626
(주)광주신세계,37710,Dec-11,310214632
(주)광주신세계,37710,Dec-12,361615843
(주)광주신세계,37710,Dec-13,408690826
(주)광주신세계,37710,Dec-14,448624926
(주)광주신세계,37710,Dec-15,491380796
(주)광주신세계,37710,Dec-16,534290186
(주)광주신세계,37710,Dec-17,579363832
(주)광주신세계,37710,Dec-18,620656716
(주)구영테크,53270,Dec-10,26722489
(주)구영테크,53270,Dec-11,27962532
(주)구영테크,53270,Dec-12,29302171
(주)구영테크,53270,Dec-13,30762180
(주)구영테크,53270,Dec-14,42200180
(주)구영테크,53270,Dec-15,44066560
(주)구영테크,53270,Dec-16,46429602
(주)구영테크,53270,Dec-17,47102417
(주)구영테크,53270,Dec-18,57861349
(주)국동,5320,Dec-10,15946127
(주)국동,5320,Dec-11,2694312
(주)국동,5320,Dec-12,2775119
(주)국동,5320,Dec-13,5947778
(주)국동,5320,Dec-14,14336568
(주)국동,5320,Dec-15,22395455
(주)국동,5320,Dec-16,40069999
(주)국동,5320,Dec-17,38638770
(주)국동,5320,Dec-18,41762492
(주)국보,1140,Dec-10,34416372
(주)국보,1140,Dec-11,33874415
(주)국보,1140,Dec-12,31655538
(주)국보,1140,Dec-13,27678685
(주)국보,1140,Dec-14,20984752
(주)국보,1140,Dec-15,17113465
(주)국보,1140,Dec-16,13200649
(주)국보,1140,Dec-17,16039171
(주)국보,1140,Dec-18,11578143
(주)국보디자인,66620,Dec-10,42593318
(주)국보디자인,66620,Dec-11,48472432
(주)국보디자인,66620,Dec-12,58283419
(주)국보디자인,66620,Dec-13,64945696
(주)국보디자인,66620,Dec-14,70452085
(주)국보디자인,66620,Dec-15,75467148
(주)국보디자인,66620,Dec-16,80282408
(주)국보디자인,66620,Dec-17,94380512
(주)국보디자인,66620,Dec-18,103598968
(주)국순당,43650,Dec-10,172746140
(주)국순당,43650,Dec-11,174045265
(주)국순당,43650,Dec-12,186305726
(주)국순당,43650,Dec-13,185985822
(주)국순당,43650,Dec-14,186838479
(주)국순당,43650,Dec-15,186118215
(주)국순당,43650,Dec-16,183188543
(주)국순당,43650,Dec-17,191745752
(주)국순당,43650,Dec-18,203499644
(주)국영지앤엠,6050,Dec-10,34971030
(주)국영지앤엠,6050,Dec-11,32733005
(주)국영지앤엠,6050,Dec-12,45960267
(주)국영지앤엠,6050,Dec-13,46345349
(주)국영지앤엠,6050,Dec-14,47240880
(주)국영지앤엠,6050,Dec-15,48972537
(주)국영지앤엠,6050,Dec-16,50558041
(주)국영지앤엠,6050,Dec-17,52611544
(주)국영지앤엠,6050,Dec-18,51748308
(주)국전약품,307750,Dec-18,
(주)그래디언트,35080,Dec-10,364537559
(주)그래디언트,35080,Dec-11,334573662
(주)그래디언트,35080,Dec-12,411656935
(주)그래디언트,35080,Dec-13,402332194
