,회사명,거래소코드,회계년도,이자보상배율,cashflow_매출액비율,cashflow_부채비율,당좌비율,매입채무회전율,매출액순이익률,매출액총이익률,매출액영업이익률,매출액증가율,매출원가대매출액비율,매출채권회전율,부채비율,순이익증가율,영업이익증가율,유동부채,유동비율,유동자산구성비율,유동자산증가율,유형자산증가율,유형자산회전율,자기자본구성비율,자본증가율,타인자본회전율,재고자산_유동자산비율,재고자산증가율,재고자산회전율,차입금의존도,총자본영업이익률,총자산순이익률,총자산증가율,총자산회전율,현금비율
17,(주)DB하이텍,990,2019,13.44,21.1428623,38.42771836,170.4137781,26.3472025,12.95948522,36.42776857,22.4533689,0,63.57223143,7.914243331,68.91159186,15.79063917,-87.35353706,49.45885355,194.0069373,39.14660759,-0.875574778,-0.001793297,1.309521136,59.20256798,0.101523968,1.817526776,12.26840649,0,15.57581117,19.31294591,14.06127222,9.609513381,0.046924032,0.741504251,38.58479961
18,(주)ES큐브,50120,2011,-245.99,3.72950785,12.26532391,194.345114,19.72045983,-8.985467053,27.91906032,-6.838232076,-21.87989041,72.08093968,4.228247969,41.35777483,0,-103.3060774,91.19121307,230.2358286,61.42757421,-44.87303098,-67.3776506,12.37413215,70.74248312,-0.258412168,3.28872452,28.27776511,-92.7744069,10.04829549,0.180254776,-4.650487708,-8.645808593,-18.46457467,0.962199131,21.35232204
19,(주)ES큐브,50120,2012,1.72,5.656917304,49.30320544,371.9095331,36.32166893,-0.641787813,28.01551664,0.159612595,-21.06995771,71.98448336,11.86099273,16.11146612,-243.8847379,-99.92012996,74.78996739,472.7675393,49.06264382,-31.16114471,-56.12421808,17.59214929,86.12413859,0.054681822,8.715560577,30.99053607,-91.51679346,11.55424584,0.331783691,0.112064369,-0.776151936,-3.468929161,1.209359107,84.77683513
20,(주)ES큐브,50120,2013,-37.44,6.669019617,82.0096799,883.9510223,62.72390391,-28.08302237,24.75997341,-1.987480289,-21.79989812,75.24002659,11.87359382,11.24582866,0,-100.9839621,76.18989359,1056.512693,81.37290183,-15.22089028,-57.98797519,26.91040864,89.89100903,3.163329749,12.29711181,19.26552133,-93.19501428,9.353225795,0.324083296,-1.374255294,-34.91038879,0.789351204,1.243113662,278.7252837
21,(주)ES큐브,50120,2014,22.2,6.163345309,39.23679201,668.5340863,36.49981159,-1.38419883,21.41954509,0.38482144,-16.35532508,78.58045491,4.217279893,14.07216127,0,-99.80721835,85.95352494,769.8898926,81.63444478,-53.5265077,-72.14655564,19.33702057,87.66380762,-16.92943619,6.366151828,28.32792119,-95.64525002,7.307430063,1.003857215,0.172372135,-1.087067729,-20.66292816,0.785340737,425.4180275
22,(주)ES큐브,50120,2015,-11.86,0.131875652,0.93179982,639.5473047,36.52402965,-5.473301559,27.80340705,-9.632600713,-12.49223572,72.19659295,5.40063304,12.01467099,-256.4844035,-104.5949918,90.15297143,765.6714756,74.03882001,-45.1433113,-69.69963183,21.41790635,89.2740202,-9.630190319,7.065745698,30.02799032,-94.13587577,6.214119963,0,-4.088683071,-4.148053552,-15.27607556,0.757870457,492.8929689
23,(주)ES큐브,50120,2016,8.98,-2.241775407,-2.296759365,1275.245123,33.29305698,62.82132794,28.68216213,6.30236442,1.542226552,71.31783787,8.276652494,46.68105201,-18.90359833,-96.74628738,10.17749105,1493.897548,48.38694049,-14.73323331,-33.84299428,4.854253692,68.17513144,-2.599511589,1.02452697,17.16539061,-94.35079111,4.603926337,27.19545639,1.507084302,20.48316798,-0.670029483,0.326054362,918.4104591
24,(주)ES큐브,50120,2017,2.86,4.968181711,5.369319797,1153.054468,28.99406262,4.861900676,27.10208088,6.290303693,3.802164809,72.89791912,9.198133087,45.42250506,-29.86331401,-96.75271615,11.19410401,1378.486462,48.19825375,-12.29709152,-35.42309463,3.075254085,68.76514743,-1.947917845,1.080741428,18.64657412,-95.10851763,4.282692651,25.87538823,1.543954506,1.641222047,-0.983962633,0.337567992,654.9671328
25,(주)ES큐브,50120,2018,-0.82,1.426756367,1.155701886,95.24517064,37.20586945,-18.13040872,22.88699089,-3.587094682,-7.270082836,77.11300911,7.25213122,58.91605611,0,-101.761946,90.23782259,119.8027235,40.07939775,-35.52200491,-28.4260293,2.220979351,62.92630364,-5.978882383,0.810020486,31.79119632,-93.93332965,3.655293958,1.867813986,-0.855938407,-5.44464397,-3.512497134,0.300304536,71.06604359
26,(주)ES큐브,50120,2019,-0.68,84.96940703,9.524675702,152.6851491,43.6030684,-31.49920545,18.75492627,-5.98759195,-34.73247916,81.24507373,0.205931747,526.6450628,0,-102.9067731,59.02117225,156.0084232,77.38419572,-93.2322048,-38.98182934,2.521622239,15.95799695,-27.08344679,0.112095353,31.47537486,-93.87280283,5.714965497,5.954409561,-1.767371419,-2.967451326,-70.67292975,0.09420718,48.38344812
27,(주)HJ중공업,97230,2011,0.55,-1.774252732,-0.992343658,81.80728414,13.48514838,-3.35189464,7.848558827,3.019022313,-19.90254882,92.15144117,10.18890443,276.9283841,0,-98.46677219,48.02086412,96.33174602,33.98662437,-8.701249828,-54.60086409,0.919584144,26.53023869,0.43008322,0.559302314,16.51451359,-49.05680785,8.018933175,38.42778128,2.338031805,-1.377354093,-16.76303313,0.410918075,34.40242842
