,회사명,거래소코드,회계년도,[제조]자본(*)(IFRS연결),[제조]당기순이익(손실)(IFRS연결),[제조]자본(*)(IFRS),[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS연결2),[제조]자본(*)(IFRS2),자기자본순이익률(개별),자기자본순이익률(연결)
45,(주)MH에탄올,23150,2015/12,57884347.0,7778593.0,57569789.0,7744832.0,52788681.0,52507884.0,0.14071576531237176,0.1405689017562617
46,(주)MH에탄올,23150,2016/12,63581883.0,8144684.0,63257513.0,8134873.0,57884347.0,57569789.0,0.13465289492270546,0.13410614621035
47,(주)MH에탄올,23150,2017/12,106837344.0,4308068.0,64698932.0,5903108.0,63581883.0,63257513.0,0.09226745866532944,0.05055847366330326
48,(주)MH에탄올,23150,2018/12,91585473.0,-12033428.0,68471529.0,6553371.0,106837344.0,64698932.0,0.09842079017808611,-0.12129076869219128
49,(주)MH에탄올,23150,2019/12,79389077.0,-7552043.0,59477642.0,-5004935.0,91585473.0,68471529.0,-0.0782331758913858,-0.08834113615155004
51,(주)SH에너지화학,2360,2011/12,65242326.0,1800972.0,64498684.0,3164441.0,61526743.0,61538912.0,0.05021423924969182,0.028413429462040146
52,(주)SH에너지화학,2360,2012/12,64881202.0,210854.0,64888612.0,1079738.0,65242326.0,64498684.0,0.01669001568747522,0.0032408282074860434
53,(주)SH에너지화학,2360,2013/12,69599141.0,4606872.0,69781889.0,4841817.0,64881202.0,64888612.0,0.07190612590057863,0.06851368604852533
54,(주)SH에너지화학,2360,2014/12,84237197.0,16733050.0,83404299.0,15569914.0,69599141.0,69781889.0,0.2032809119840491,0.2175435299298401
55,(주)SH에너지화학,2360,2015/12,91646221.0,12590617.0,90740136.0,12639344.0,84237197.0,83404299.0,0.14515932134150597,0.14317002868343165
56,(주)SH에너지화학,2360,2016/12,104088887.0,18028878.0,103083032.0,17574101.0,91646221.0,90740136.0,0.1813415927656285,0.18421711040208485
57,(주)SH에너지화학,2360,2017/12,107693472.0,9879057.0,105717970.0,8905104.0,104088887.0,103083032.0,0.0852975217044217,0.09329442779509317
58,(주)SH에너지화학,2360,2018/12,105390892.0,2033570.0,104065473.0,2766802.0,107693472.0,105717970.0,0.026377696546814707,0.01908699410717907
59,(주)SH에너지화학,2360,2019/12,98999976.0,-3090151.0,97386214.0,-3151629.0,105390892.0,104065473.0,-0.03128917952422012,-0.030237662085764026
61,(주)SIMPAC,9160,2011/12,168941269.0,24976613.0,155833324.0,21196377.0,145325032.0,136119246.0,0.14520425012871097,0.15895190111395366
62,(주)SIMPAC,9160,2012/12,187860952.0,19285856.0,177830482.0,22517068.0,168941269.0,155833324.0,0.13496859770280267,0.10810390106848577
63,(주)SIMPAC,9160,2013/12,208831047.0,20043596.0,197900866.0,19196136.0,187860952.0,177830482.0,0.10218011407448495,0.10105369430453272
64,(주)SIMPAC,9160,2014/12,219125252.0,14312319.0,203904919.0,10218575.0,208831047.0,197900866.0,0.05086325474383103,0.06688682481572727
65,(주)SIMPAC,9160,2015/12,232007841.0,16449973.0,220087525.0,19448583.0,219125252.0,203904919.0,0.09174023393681044,0.07292736115016063
66,(주)SIMPAC,9160,2016/12,240416530.0,16183843.0,228959172.0,16444650.0,232007841.0,220087525.0,0.0732424939760775,0.06851400559942747
67,(주)SIMPAC,9160,2017/12,240826100.0,12895699.0,223781988.0,7133940.0,240416530.0,228959172.0,0.03151443089468605,0.05359333606833626
68,(주)SIMPAC,9160,2018/12,435032869.0,69198558.0,411119510.0,62381304.0,240826100.0,223781988.0,0.19650703044962733,0.20477218228644978
69,(주)SIMPAC,9160,2019/12,441195485.0,9487516.0,419215968.0,11507259.0,435032869.0,411119510.0,0.027717131942181086,0.021655350358589287
71,(주)SNT에너지,100840,2011/12,,,160595865.0,-4155767.0,,167390792.0,-0.02534107355470866,
72,(주)SNT에너지,100840,2012/12,,,183306309.0,9087721.0,,160595865.0,0.05285061675707813,
73,(주)SNT에너지,100840,2013/12,,,198164671.0,16189688.0,,183306309.0,0.08488031252075846,
74,(주)SNT에너지,100840,2014/12,,,207712504.0,11264253.0,,198164671.0,0.055505722882790834,
75,(주)SNT에너지,100840,2015/12,,,231399939.0,27029932.0,,207712504.0,0.12311166504566576,
76,(주)SNT에너지,100840,2016/12,,,229799567.0,1659742.0,,231399939.0,0.007197501204608836,
77,(주)SNT에너지,100840,2017/12,,,233817326.0,4581777.0,,229799567.0,0.019765358291204457,
78,(주)SNT에너지,100840,2018/12,,,231276490.0,1825479.0,,233817326.0,0.007849938817505155,
79,(주)SNT에너지,100840,2019/12,244954910.0,15452273.0,245545053.0,14578960.0,,231276490.0,0.06115059277009219,
81,(주)SNT홀딩스,36530,2011/12,1311007481.0,87196578.0,387839074.0,5766277.0,1277919679.0,396588552.0,0.014701871297939218,0.06736116747293887
82,(주)SNT홀딩스,36530,2012/12,1318022867.0,63253909.0,388611726.0,9011145.0,1311007481.0,387839074.0,0.023211116531787975,0.048119573095167636
83,(주)SNT홀딩스,36530,2013/12,1374365240.0,53763061.0,396851717.0,8018313.0,1318022867.0,388611726.0,0.020416769415454512,0.03993708103242635
84,(주)SNT홀딩스,36530,2014/12,1356040938.0,66985248.0,398863036.0,6891599.0,1374365240.0,396851717.0,0.017321782646400174,0.04906614154313564
85,(주)SNT홀딩스,36530,2015/12,1529249091.0,116419931.0,421925486.0,27765789.0,1356040938.0,398863036.0,0.06765637738779198,0.08069894522205068
86,(주)SNT홀딩스,36530,2016/12,1530892611.0,10146568.0,426682947.0,6923176.0,1529249091.0,421925486.0,0.016316538301475964,0.006631436703319041
