,회사명,거래소코드,회계년도,총자본증가율,유형자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,매출액총이익률,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가 대 매출액비율,금융비용부담률,금융비용 대 총비용비율,이자부담률,지급이자율,차입금평균이자율,매출액정상영업이익률,유동자산구성비율,재고자산 대 유동자산비율,당좌자산구성비율,자기자본구성비율,타인자본구성비율,자기자본배율,유동비율,당좌비율,현금비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,순운전자본비율,차입금비율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 매출액비율,총자본회전률,자기자본회전률,타인자본회전률,매입채무회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,유형자산회전율,순운전자본회전률,운전자본회전률,노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,이자보상배율
10,(주)HJ중공업,97230,2012,-6.42,-7.72,-4.91,-37.93,-8.1,-11.83,0.0,-50.99,7.49,-2.09,-0.78,-2.95,92.51,6.86,3.48,5.22,5.43,34.54,9.84,31.14,26.05,73.95,709.67,92.89,83.75,29.88,0.0,96.91,283.85,142.72,46.07,-2.64,215.87,-4.99,-6.56,-9.54,0.37,1.42,0.51,11.03,33.1,1.09,1.25,8.72,9.73,37.52,0.84,0.53,0.13,504.9,31.68,2254.41,8.26,19.11,156.53,21.33,0.27
11,(주)HJ중공업,97230,2013,1.49,-3.21,22.63,168.88,-4.44,-0.78,0.0,0.0,2.57,-7.52,-2.87,-11.28,97.43,6.21,3.17,4.65,4.69,41.73,21.58,32.72,24.52,75.48,472.61,84.9,66.58,17.98,0.0,99.6,307.77,200.42,65.15,-7.42,230.21,-4.02,-5.38,-8.02,0.38,1.51,0.51,10.62,34.37,1.0,1.19,6.13,10.82,33.75,0.89,0.47,0.16,473.99,27.6,2117.34,5.36,12.86,109.23,14.16,-0.4
12,(주)HJ중공업,97230,2014,-3.19,-3.73,-5.07,8.98,-3.88,-0.36,0.0,0.0,-0.67,-11.9,-4.56,-18.64,100.67,6.13,3.11,4.81,4.58,40.92,24.77,30.78,24.31,75.69,307.71,93.12,70.06,12.33,0.0,94.56,311.31,180.73,50.54,-3.02,217.82,-5.71,-8.17,-11.1,0.38,1.57,0.51,9.67,37.73,0.93,1.21,4.01,10.0,36.52,0.91,0.44,0.23,480.42,26.62,2150.08,4.5,11.0,96.65,11.56,-0.88
13,(주)HJ중공업,97230,2015,-8.59,1.18,-8.24,33.26,-12.99,23.61,0.0,0.0,3.56,-8.38,-4.21,-17.73,96.44,4.7,3.1,5.19,4.89,41.08,35.97,26.3,23.14,76.86,267.74,70.83,45.35,4.75,0.0,51.9,332.17,250.64,74.48,-16.92,222.9,0.21,0.31,0.31,0.5,2.12,0.66,9.65,37.83,1.23,1.76,4.07,13.54,26.95,1.15,0.55,0.13,451.03,23.31,1762.3,4.95,10.88,96.95,9.4,-0.5
14,(주)HJ중공업,97230,2016,-11.13,-12.12,-2.36,-22.77,-34.57,-9.7,0.0,0.0,2.12,-11.89,-5.99,-29.53,97.88,4.42,2.79,4.33,4.39,45.13,28.45,32.29,17.03,82.97,168.96,89.96,64.36,5.26,0.0,46.24,487.19,294.57,53.65,-5.04,350.07,2.53,3.52,3.92,0.5,2.49,0.63,8.73,41.82,1.17,1.73,3.63,17.69,20.63,1.09,0.52,0.08,0.0,0.0,0.0,4.21,9.42,89.18,7.87,-0.58
15,(주)HJ중공업,97230,2017,-19.97,-25.45,-20.15,5.11,-35.5,-12.83,0.0,0.0,0.87,-11.34,-5.87,-37.73,99.13,4.05,2.49,4.35,3.84,45.03,37.46,28.16,13.72,86.28,108.99,56.89,35.58,4.37,0.0,46.74,628.81,576.82,96.67,-34.12,429.87,4.8,7.03,7.11,0.52,3.33,0.61,8.59,42.51,1.15,1.7,3.54,18.47,19.76,1.17,0.48,0.07,261.26,13.51,1328.64,4.08,9.62,88.72,7.0,-1.08
16,(주)HJ중공업,97230,2018,-35.02,-64.36,-9.15,-26.83,-222.45,-30.76,0.0,0.0,8.29,-75.6,-36.99,0.0,91.71,5.33,2.56,5.98,4.82,62.95,30.17,43.96,-25.91,125.91,-133.46,80.41,56.15,10.7,0.0,55.46,0.0,0.0,34.67,-15.34,0.0,11.7,24.1,23.73,0.49,0.0,0.48,7.12,51.3,0.94,1.42,2.76,14.13,25.83,1.4,0.37,0.1,0.0,0.0,0.0,14.28,61.34,1195.57,23.0,0.62
17,(주)HJ중공업,97230,2019,-9.64,-3.7,-24.43,-29.94,0.0,-4.07,0.0,35.93,10.9,18.8,11.77,0.0,89.1,6.41,3.68,10.86,8.7,52.65,27.97,37.92,9.92,90.08,58.86,70.48,50.77,6.64,0.0,88.36,908.28,753.17,83.86,-22.05,456.22,12.95,25.77,17.69,0.63,0.0,0.57,8.93,40.86,1.08,1.52,3.69,12.67,28.81,2.6,0.46,0.13,0.0,0.0,0.0,13.49,54.33,1206.67,20.46,0.69
18,(주)STX,11810,2011,-14.09,-43.6,-37.48,-26.6,28.79,47.5,1.24,162.45,7.57,3.73,3.93,14.56,92.43,2.05,3.14,5.54,5.39,27.33,22.04,21.31,36.6,63.4,1139.62,70.06,54.61,11.42,0.0,152.08,173.19,106.57,57.95,-11.68,132.78,-0.52,-0.67,-0.29,1.05,3.37,1.53,13.95,26.16,3.21,4.01,16.02,14.36,25.41,5.26,1.39,0.06,185.72,0.0,8424.1,10.01,66.29,164.13,8.78,1.66
19,(주)STX,11810,2012,-3.19,27.63,3.76,-42.09,-34.6,3.22,0.0,0.0,-3.15,-7.97,-9.53,-35.59,103.15,1.78,3.19,4.67,4.91,29.29,12.3,25.69,29.73,70.27,739.76,62.81,55.08,12.95,0.0,172.8,236.31,156.85,63.73,-17.35,187.1,4.3,5.44,2.49,1.2,3.6,1.79,17.76,20.55,4.23,5.1,24.74,10.95,33.32,6.61,1.68,0.06,185.59,0.0,8605.01,-2.76,-16.56,-43.1,-2.27,-3.12
