,회사명,거래소코드,회계년도,개별현금흐름,연결현금흐름,현금흐름,투자축소
77,(주)SNT홀딩스,36530,2016/12,-5487797.0,-50764586.0,0.0,0
78,(주)SNT홀딩스,36530,2017/12,-18991272.0,-87582797.0,0.0,0
79,(주)SNT홀딩스,36530,2018/12,-6658574.0,-181259322.0,0.0,0
80,(주)SNT홀딩스,36530,2019/12,3067340.0,27442503.0,0.0,0
81,(주)STX,11810,2011/12,-311014000.0,-738589000.0,0.0,0
82,(주)STX,11810,2012/12,-170700000.0,-546582000.0,0.0,0
83,(주)STX,11810,2013/12,256801000.0,-28285000.0,-1.1101436520885821,0
84,(주)STX,11810,2014/12,25152000.0,44980000.0,0.0,0
85,(주)STX,11810,2015/12,41271000.0,42142000.0,0.0,0
86,(주)STX,11810,2016/12,48420000.0,53174000.0,0.0,0
87,(주)STX,11810,2017/12,45598000.0,47311000.0,0.0,0
88,(주)STX,11810,2018/12,22829000.0,24797000.0,0.0,0
89,(주)STX,11810,2019/12,-35804000.0,-26727000.0,0.2535191598704055,1
90,(주)TCC스틸,2710,2011/12,-34958575.0,-33632208.0,0.0379411060090407,0
91,(주)TCC스틸,2710,2012/12,-32640959.0,-43256998.0,0.0,0
92,(주)TCC스틸,2710,2013/12,-35681571.0,12243850.0,-1.343142122301734,0
93,(주)TCC스틸,2710,2014/12,-28226203.0,4309765.0,-1.1526866720259894,0
94,(주)TCC스틸,2710,2015/12,-15629867.0,21985692.0,0.0,0
95,(주)TCC스틸,2710,2016/12,87807785.0,87996322.0,0.0,0
96,(주)TCC스틸,2710,2017/12,671217.0,272218.0,0.5944411419853788,1
97,(주)TCC스틸,2710,2018/12,-2184262.0,-637436.0,0.7081687086988648,1
98,(주)TCC스틸,2710,2019/12,-11360066.0,-11936714.0,0.0,0
99,(주)가비아,79940,2011/12,-5828440.0,-10140435.0,0.0,0
100,(주)가비아,79940,2012/12,-16004942.0,-20717005.0,0.0,0
101,(주)가비아,79940,2013/12,-1682086.0,-9998158.0,0.0,0
102,(주)가비아,79940,2014/12,-7744206.0,-10913796.0,0.0,0
103,(주)가비아,79940,2015/12,-1800461.0,-8773166.0,0.0,0
104,(주)가비아,79940,2016/12,-10755258.0,-18247920.0,0.0,0
