,회사명,거래소코드,회계년도,[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS),[제조]자본(*)(IFRS2)
80,(주)SNT홀딩스,36530,Dec-19,9244252.0,416939604.0,425136143.0
81,(주)STX,11810,Dec-11,84657000.0,1164648000.0,
82,(주)STX,11810,Dec-12,-23863000.0,1123534000.0,934675000.0
83,(주)STX,11810,Dec-13,-1646014000.0,-522090000.0,1164648000.0
84,(주)STX,11810,Dec-14,334488000.0,54894000.0,1123534000.0
85,(주)STX,11810,Dec-15,-53449000.0,72316000.0,-522090000.0
86,(주)STX,11810,Dec-16,-456150000.0,-328883000.0,54894000.0
87,(주)STX,11810,Dec-17,336179000.0,44710000.0,72316000.0
88,(주)STX,11810,Dec-18,5024000.0,62213000.0,-328883000.0
89,(주)STX,11810,Dec-19,-37142000.0,50616000.0,44710000.0
90,(주)TCC스틸,2710,Dec-11,6828699.0,205616971.0,
91,(주)TCC스틸,2710,Dec-12,4206491.0,209755733.0,203173489.0
92,(주)TCC스틸,2710,Dec-13,391783.0,210086242.0,205616971.0
93,(주)TCC스틸,2710,Dec-14,1022624.0,210093654.0,209755733.0
94,(주)TCC스틸,2710,Dec-15,-140083396.0,76555951.0,210086242.0
95,(주)TCC스틸,2710,Dec-16,15468493.0,92623510.0,210093654.0
96,(주)TCC스틸,2710,Dec-17,-2328706.0,89627045.0,76555951.0
97,(주)TCC스틸,2710,Dec-18,7565000.0,98351707.0,92623510.0
98,(주)TCC스틸,2710,Dec-19,1996130.0,97501452.0,89627045.0
99,(주)가비아,79940,Dec-11,3262397.0,24298687.0,
100,(주)가비아,79940,Dec-12,5737877.0,31165211.0,21535028.0
101,(주)가비아,79940,Dec-13,3786937.0,34822978.0,24298687.0
102,(주)가비아,79940,Dec-14,3076978.0,38147677.0,31165211.0
103,(주)가비아,79940,Dec-15,4288423.0,42470259.0,34822978.0
104,(주)가비아,79940,Dec-16,3544032.0,45413712.0,38147677.0
105,(주)가비아,79940,Dec-17,2493743.0,47662984.0,42470259.0
106,(주)가비아,79940,Dec-18,2762732.0,49832912.0,45413712.0
107,(주)가비아,79940,Dec-19,4654769.0,54084066.0,47662984.0
108,(주)강스템바이오텍,217730,Dec-15,-5754141.0,21237036.0,
