,회사명,거래소코드,회계년도,이자보상배율,매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),통계청 한국표준산업분류 10차(중분류)
49,(주)SH에너지화학,2360,2015,84.87,213882181.0,179081363.0,216441364.0,179135051.0,화학물질 및 화학제품 제조업; 의약품 제외
50,(주)SH에너지화학,2360,2016,210.93,214380015.0,179726464.0,218397677.0,179759098.0,화학물질 및 화학제품 제조업; 의약품 제외
51,(주)SH에너지화학,2360,2017,162.17,184672638.0,161711689.0,188114822.0,161824273.0,화학물질 및 화학제품 제조업; 의약품 제외
52,(주)SH에너지화학,2360,2018,22.72,180753289.0,169058462.0,183598766.0,171330094.0,화학물질 및 화학제품 제조업; 의약품 제외
53,(주)SH에너지화학,2360,2019,-24.12,138161816.0,131861388.0,140852575.0,134184400.0,화학물질 및 화학제품 제조업; 의약품 제외
54,(주)SIMPAC,9160,2011,20.93,213867522.0,169699426.0,215365697.0,170409718.0,1차 금속 제조업
55,(주)SIMPAC,9160,2012,15.51,223854758.0,182101881.0,225353321.0,182861979.0,1차 금속 제조업
56,(주)SIMPAC,9160,2013,16.58,204527751.0,163875499.0,205751154.0,164405183.0,1차 금속 제조업
57,(주)SIMPAC,9160,2014,8.48,227491803.0,188349315.0,263152264.0,220084616.0,1차 금속 제조업
58,(주)SIMPAC,9160,2015,14.66,213152303.0,171341851.0,269528038.0,221412942.0,1차 금속 제조업
59,(주)SIMPAC,9160,2016,16.75,215839356.0,175971604.0,267074156.0,217713888.0,1차 금속 제조업
60,(주)SIMPAC,9160,2017,10.1,203150228.0,168484356.0,230634812.0,193009825.0,1차 금속 제조업
61,(주)SIMPAC,9160,2018,4.07,268863854.0,243575353.0,306150809.0,271995017.0,1차 금속 제조업
62,(주)SIMPAC,9160,2019,3.47,391970769.0,357126998.0,430085162.0,385305111.0,1차 금속 제조업
63,(주)SNT에너지,100840,2011,-9.21,195318747.0,181219511.0,,,기타 기계 및 장비 제조업
64,(주)SNT에너지,100840,2012,77.44,230707564.0,191839172.0,,,기타 기계 및 장비 제조업
65,(주)SNT에너지,100840,2013,50.81,200750984.0,161808099.0,,,기타 기계 및 장비 제조업
66,(주)SNT에너지,100840,2014,41.09,242746888.0,203611420.0,,,기타 기계 및 장비 제조업
67,(주)SNT에너지,100840,2015,359.1,260094045.0,202305297.0,,,기타 기계 및 장비 제조업
68,(주)SNT에너지,100840,2016,11111111.11,254089906.0,204980319.0,,,기타 기계 및 장비 제조업
69,(주)SNT에너지,100840,2017,11111111.11,184091945.0,146050315.0,,,기타 기계 및 장비 제조업
70,(주)SNT에너지,100840,2018,11111111.11,139516396.0,118750224.0,,,기타 기계 및 장비 제조업
71,(주)SNT에너지,100840,2019,1771.27,202822913.0,170291934.0,213326726.0,177635077.0,기타 기계 및 장비 제조업
72,(주)SNT홀딩스,36530,2011,16.87,2257851.0,0.0,1663846065.0,1449348821.0,전문 서비스업
73,(주)SNT홀딩스,36530,2012,20.28,8718270.0,0.0,1668749904.0,1465168699.0,전문 서비스업
74,(주)SNT홀딩스,36530,2013,30.38,8826810.0,0.0,1576368464.0,1379201925.0,전문 서비스업
75,(주)SNT홀딩스,36530,2014,34.38,7701882.0,0.0,1552374806.0,1380123821.0,전문 서비스업
76,(주)SNT홀딩스,36530,2015,218.55,8475099.0,0.0,1612746929.0,1331347191.0,전문 서비스업
77,(주)SNT홀딩스,36530,2016,286.46,9818190.0,0.0,1537700275.0,1336617769.0,전문 서비스업
78,(주)SNT홀딩스,36530,2017,178.66,7417869.0,0.0,1508152132.0,1303372403.0,전문 서비스업
79,(주)SNT홀딩스,36530,2018,59.79,7292112.0,0.0,1401307482.0,1221120349.0,전문 서비스업
80,(주)SNT홀딩스,36530,2019,184.05,11015928.0,0.0,1512114565.0,1284171398.0,전문 서비스업
81,(주)ST,11810,2011,1.66,4173397000.0,3988988000.0,5967701000.0,5516021000.0,도매 및 상품 중개업
82,(주)ST,11810,2012,-3.12,4116767000.0,3997635000.0,6159850000.0,6353608000.0,도매 및 상품 중개업
83,(주)ST,11810,2013,-10.71,1895063000.0,1814171000.0,2449401000.0,3140865000.0,도매 및 상품 중개업
84,(주)ST,11810,2014,0.76,1291351000.0,1233380000.0,1634606000.0,1513363000.0,도매 및 상품 중개업
85,(주)ST,11810,2015,-0.84,1362127000.0,1352181000.0,1630827000.0,1586081000.0,도매 및 상품 중개업
86,(주)ST,11810,2016,-0.91,1465561000.0,1494187000.0,1720153000.0,1635394000.0,도매 및 상품 중개업
87,(주)ST,11810,2017,2.02,1595494000.0,1541890000.0,1803878000.0,1718572000.0,도매 및 상품 중개업
88,(주)ST,11810,2018,-1.12,1329890000.0,1319737000.0,1502985000.0,1483048000.0,도매 및 상품 중개업
89,(주)ST,11810,2019,0.11,1237876000.0,1225459000.0,1471164000.0,1424697000.0,도매 및 상품 중개업
90,(주)TCC스틸,2710,2011,1.41,456928069.0,419062918.0,514424043.0,472273637.0,1차 금속 제조업
91,(주)TCC스틸,2710,2012,0.57,440568155.0,399338479.0,501337475.0,457927934.0,1차 금속 제조업
92,(주)TCC스틸,2710,2013,-0.59,419483813.0,385343144.0,500832754.0,474104834.0,1차 금속 제조업
93,(주)TCC스틸,2710,2014,0.02,401323585.0,364984531.0,518995240.0,483588495.0,1차 금속 제조업
94,(주)TCC스틸,2710,2015,2.17,350074629.0,311691285.0,495795871.0,451936886.0,1차 금속 제조업
95,(주)TCC스틸,2710,2016,2.53,317235565.0,281559457.0,444453635.0,402898839.0,1차 금속 제조업
96,(주)TCC스틸,2710,2017,1.55,333762378.0,304470552.0,391370092.0,356978389.0,1차 금속 제조업
97,(주)TCC스틸,2710,2018,3.3,351301866.0,320798763.0,413176279.0,377890304.0,1차 금속 제조업
98,(주)TCC스틸,2710,2019,2.27,339334364.0,312320391.0,437173902.0,405618477.0,1차 금속 제조업
99,(주)가비아,79940,2011,22.28,33792831.0,20761832.0,52838864.0,29173840.0,출판업
100,(주)가비아,79940,2012,15.43,38482449.0,23494026.0,69058144.0,40302408.0,출판업
101,(주)가비아,79940,2013,15.81,40507693.0,24558241.0,70675565.0,38882747.0,출판업
102,(주)가비아,79940,2014,24.59,43906243.0,26874841.0,80432047.0,45275795.0,출판업
103,(주)가비아,79940,2015,64.83,48446932.0,28806524.0,91648622.0,50078893.0,출판업
104,(주)가비아,79940,2016,83.64,49430564.0,28802628.0,102178978.0,54998617.0,출판업
105,(주)가비아,79940,2017,53.72,52365659.0,30561799.0,116217941.0,60313364.0,출판업
