,0,0,0,0
109,2018,(주)셀리버리,2015.0,(주)아센디오
110,2016,(주)셀바스에이아이,2014.0,(주)아이에스이커머스
111,2018,(주)셀바스헬스케어,2017.0,(주)아이에이
112,2016,(주)셀피글로벌,2019.0,(주)아이엠
113,2014,(주)손오공,2019.0,(주)아이오케이컴퍼니
114,2013,(주)솔고바이오메디칼,2019.0,(주)아이윈플러스
115,2013,(주)솔본,2017.0,(주)아이컴포넌트
116,2011,(주)스카이문스테크놀로지,2019.0,(주)아이톡시
117,2015,(주)스킨앤스킨,2018.0,(주)아이티엑스에이아이
118,2018,(주)스튜디오산타클로스엔터테인먼트,2019.0,(주)알테오젠
119,2013,(주)시너지이노베이션,2018.0,(주)알톤스포츠
120,2017,(주)시티랩스,2019.0,(주)알파홀딩스
121,2013,(주)신성이엔지,2016.0,(주)앤씨앤
122,2015,(주)쌍방울,2019.0,(주)에스디시스템
123,2016,(주)썸에이지,2014.0,(주)에스앤더블류
124,2011,(주)쎄니트,2019.0,(주)에스엘바이오닉스
125,2013,(주)쎌마테라퓨틱스,2015.0,(주)에스엠라이프디자인그룹
126,2011,(주)씨씨에스충북방송,2014.0,(주)에스엠벡셀
127,2013,(주)씨아이테크,2015.0,(주)에스엠컬처앤콘텐츠
128,2013,(주)씨에스,2017.0,(주)에스지세계물산
129,2013,(주)씨에스에이코스믹,2014.0,(주)에스티큐브
130,2015,(주)씨엔플러스,2015.0,(주)에이디칩스
131,2018,(주)씨티씨바이오,2019.0,(주)에이루트
132,2019,(주)아가방앤컴퍼니,2016.0,(주)에이엔피
133,2011,(주)아난티,2012.0,(주)에이프로젠헬스케어앤게임즈
134,2018,(주)아리온테크놀로지,2018.0,(주)에프알텍
135,2013,(주)아미노로직스,2015.0,(주)에프앤리퍼블릭
136,2014,(주)아센디오,2018.0,(주)엑세스바이오인코퍼레이션
137,2019,(주)아스타,2016.0,(주)엔에스엔
138,2015,(주)아이앤씨테크놀로지,2018.0,(주)엔케이
139,2013,(주)아이에스이커머스,2016.0,(주)엘아이에스
140,2013,(주)아이에이,2015.0,(주)엘앤에프
141,2018,(주)아이엠,2014.0,(주)엘에스네트웍스
142,2018,(주)아이오케이컴퍼니,2018.0,(주)엠피대산
143,2018,(주)아이윈플러스,2018.0,(주)영풍
144,2014,(주)아이컴포넌트,2018.0,(주)예선테크
145,2018,(주)아이톡시,2014.0,(주)오리엔탈정공
146,2016,(주)아이티엑스에이아이,2015.0,(주)오리엔트바이오
147,2018,(주)알로이스,2016.0,(주)오리엔트정공
148,2019,(주)알에프세미,2014.0,(주)오스코텍
149,2018,(주)알테오젠,2015.0,(주)와이지플러스
150,2017,(주)알톤스포츠,2016.0,(주)와이투솔루션
151,2018,(주)알파홀딩스,2018.0,(주)우리기술
152,2014,(주)앤씨앤,2019.0,(주)우진
153,2018,(주)에스디시스템,2012.0,(주)웅진
154,2013,(주)에스앤더블류,2012.0,(주)원익
155,2018,(주)에스엘바이오닉스,2015.0,(주)월덱스
156,2014,(주)에스엠라이프디자인그룹,2014.0,(주)웨이브일렉트로닉스
157,2013,(주)에스엠벡셀,2018.0,(주)위메이드맥스
158,2014,(주)에스엠컬처앤콘텐츠,2016.0,(주)윈팩
159,2014,(주)에스지세계물산,2015.0,(주)유니켐
160,2013,(주)에스티큐브,2014.0,(주)유신
161,2014,(주)에이디칩스,2014.0,(주)유씨아이
162,2018,(주)에이루트,2018.0,(주)유아이디
163,2019,(주)에이비프로바이오,2016.0,(주)유진로봇
164,2011,(주)에이엔피,2019.0,(주)유테크
165,2019,(주)에이트원,2014.0,(주)이건홀딩스
166,2011,(주)에이프로젠헬스케어앤게임즈,2018.0,(주)이노와이어리스
167,2017,(주)에프알텍,2014.0,(주)이수앱지스
168,2013,(주)에프앤리퍼블릭,2018.0,(주)이수화학
169,2017,(주)엑세스바이오인코퍼레이션,2017.0,(주)이스타코
170,2015,(주)엔에스엔,2015.0,(주)이스트소프트
171,2019,(주)엔지스테크널러지,2014.0,(주)이아이디
172,2017,(주)엔케이,2014.0,(주)이엔코퍼레이션
173,2019,(주)엔피,2019.0,(주)이엠앤아이
174,2014,(주)엘아이에스,2014.0,(주)이월드
175,2014,(주)엘앤에프,2014.0,(주)인디에프
176,2019,(주)엘앤케이바이오메드,2015.0,(주)인바이오젠
177,2013,(주)엘에스네트웍스,2014.0,(주)인스코비
178,2013,(주)엠게임,2016.0,(주)인터플렉스
179,2017,(주)엠피대산,2016.0,(주)인텍플러스
180,2016,(주)영풍,2018.0,(주)인트로메딕
181,2018,(주)영흥,2016.0,(주)인트론바이오테크놀로지
182,2017,(주)예선테크,2016.0,(주)잉크테크
183,2013,(주)오리엔탈정공,2019.0,(주)자비스
184,2014,(주)오리엔트바이오,2015.0,(주)자연과환경
185,2013,(주)오리엔트정공,2014.0,(주)제넥신
186,2013,(주)오스코텍,2016.0,(주)제넨바이오
187,2017,(주)오킨스전자,2017.0,(주)제로투세븐
188,2014,(주)와이지플러스,2014.0,(주)제이웨이
189,2013,(주)와이투솔루션,2016.0,(주)제주반도체
190,2016,(주)와이티엔,2016.0,(주)젬백스&카엘
191,2014,(주)우리기술,2016.0,(주)중앙디앤엠
192,2019,(주)우성,2013.0,(주)지어소프트
193,2018,(주)우진,2014.0,(주)진매트릭스
194,2011,(주)웅진,2017.0,(주)초록뱀미디어
195,2011,(주)원익,2015.0,(주)초록뱀이앤엠
196,2014,(주)월덱스,2017.0,(주)초록뱀컴퍼니
197,2013,(주)웨이브일렉트로닉스,2014.0,(주)초록뱀헬스케어
198,2017,(주)위메이드맥스,2015.0,(주)카프로
199,2015,(주)윈팩,2015.0,(주)케이씨씨건설
200,2013,(주)유니켐,2016.0,(주)케이에스피
201,2012,(주)유신,2017.0,(주)케이엠더블유
202,2013,(주)유씨아이,2014.0,(주)케이이씨
203,2017,(주)유아이디,2015.0,(주)케이프
204,2014,(주)유진로봇,2015.0,(주)케이피엠테크
205,2018,(주)유테크,2017.0,(주)켐온
206,2013,(주)이건홀딩스,2017.0,(주)켐트로닉스
207,2015,(주)이글루코퍼레이션,2015.0,(주)코데즈컴바인
208,2016,(주)이노와이어리스,2015.0,(주)코디
209,2019,(주)이노테라피,2019.0,(주)코디엠
210,2018,(주)이랜시스,2014.0,(주)코리아나화장품
211,2019,(주)이브이수성,2014.0,(주)코미팜
212,2016,(주)이브이첨단소재,2016.0,(주)코세스
213,2013,(주)이수앱지스,2019.0,(주)코센
214,2019,(주)이수페타시스,2019.0,(주)코스나인
215,2015,(주)이수화학,2018.0,(주)코썬바이오
216,2016,(주)이스타코,2018.0,(주)코아스
217,2014,(주)이스트소프트,2015.0,(주)코아시아
218,2013,(주)이아이디,2018.0,(주)코아시아옵틱스
219,2013,(주)이엔코퍼레이션,2015.0,(주)코오롱
220,2019,(주)이엔플러스,2014.0,(주)코원플레이
221,2018,(주)이엠앤아이,2017.0,(주)코이즈
222,2013,(주)이월드,2018.0,(주)큐로
223,2013,(주)인디에프,2014.0,(주)큐로컴
224,2014,(주)인바이오젠,2014.0,(주)큐로홀딩스
225,2013,(주)인스코비,2016.0,(주)클래시스
226,2015,(주)인지디스플레이,2018.0,(주)텔콘알에프제약
227,2015,(주)인터플렉스,2015.0,(주)토탈소프트뱅크
228,2015,(주)인텍플러스,2019.0,(주)트루윈
229,2017,(주)인트로메딕,2014.0,(주)특수건설
230,2013,(주)인트론바이오테크놀로지,2015.0,(주)티사이언티픽
231,2019,(주)인포마크,2012.0,(주)티에스넥스젠
232,2019,(주)일신바이오베이스,2015.0,(주)티에이치엔
233,2016,(주)일신석재,2019.0,(주)티웨이홀딩스
234,2019,(주)일야,2013.0,(주)파나진
235,2019,(주)일지테크,2012.0,(주)파루
236,2015,(주)잉크테크,2017.0,(주)파인디앤씨
237,2018,(주)자비스,2016.0,(주)판타지오
238,2013,(주)자연과환경,2016.0,(주)팬스타엔터프라이즈
239,2013,(주)제넥신,2017.0,(주)팬엔터테인먼트
240,2015,(주)제넨바이오,2019.0,(주)팬젠
241,2019,(주)제닉,2019.0,(주)퓨쳐켐
242,2016,(주)제로투세븐,2018.0,(주)플래스크
243,2019,(주)제이에스티나,2018.0,(주)플레이그램
244,2013,(주)제이웨이,2018.0,(주)플레이위드
245,2017,(주)제이티,2019.0,(주)피에스엠씨
246,2014,(주)제주반도체,2014.0,(주)피에이치씨
247,2015,(주)젬백스&카엘,2019.0,(주)하이소닉
248,2019,(주)주연테크,2018.0,(주)하이스틸
249,2015,(주)중앙디앤엠,2013.0,(주)하이트론씨스템즈
250,2012,(주)지어소프트,2014.0,(주)한국전자홀딩스
251,2013,(주)진매트릭스,2017.0,(주)한국코퍼레이션
252,2019,(주)체시스,2015.0,(주)한국테크놀로지
253,2015,(주)초록뱀미디어,2015.0,(주)한국특강
254,2014,(주)초록뱀이앤엠,2015.0,(주)한라
255,2016,(주)초록뱀컴퍼니,2019.0,(주)한빛소프트
256,2013,(주)초록뱀헬스케어,2019.0,(주)한일진공
257,2016,(주)카스,2019.0,(주)한진
258,2014,(주)카프로,2015.0,(주)한진중공업홀딩스
259,2019,(주)컴투스홀딩스,2018.0,(주)한창바이오텍
260,2014,(주)케이씨씨건설,2016.0,(주)한컴위드
261,2015,(주)케이에스피,2016.0,(주)한탑
262,2018,(주)케이에이치바텍,2012.0,(주)형지아이앤씨
263,2013,(주)케이엑스하이텍,2019.0,(주)형지엘리트
264,2016,(주)케이엠더블유,2019.0,(주)홈센타홀딩스
265,2013,(주)케이이씨,2014.0,(주)휴니드테크놀러지스
266,2014,(주)케이프,2015.0,(주)휴먼엔
267,2013,(주)케이피엠테크,2014.0,KG스틸(주)
268,2016,(주)켐온,2019.0,OCI(주)
269,2016,(주)켐트로닉스,2015.0,STX엔진(주)
270,2019,(주)코다코,2016.0,STX중공업(주)
271,2014,(주)코데즈컴바인,2014.0,감성코퍼레이션(주)
272,2014,(주)코디,2013.0,갤럭시아머니트리(주)
273,2018,(주)코디엠,2014.0,광전자(주)
274,2013,(주)코리아나화장품,2013.0,국일제지(주)
275,2013,(주)코미팜,2015.0,금호전기(주)
276,2015,(주)코세스,2014.0,남광토건(주)
277,2018,(주)코센,2019.0,뉴지랩파마(주)
278,2018,(주)코스나인,2015.0,대동기어(주)
279,2017,(주)코썬바이오,2014.0,대림통상(주)
280,2017,(주)코아스,2014.0,대성산업(주)
281,2014,(주)코아시아,2019.0,대우전자부품(주)
282,2017,(주)코아시아옵틱스,2016.0,대한광통신(주)
283,2014,(주)코오롱,2015.0,대한그린파워(주)
284,2013,(주)코원플레이,2014.0,대한방직(주)
285,2015,(주)코이즈,2014.0,대한전선(주)
286,2016,(주)큐로,2015.0,대한화섬(주)
287,2013,(주)큐로컴,2014.0,더이앤엠(주)
288,2013,(주)큐로홀딩스,2014.0,동부건설(주)
289,2015,(주)클래시스,2016.0,동성제약(주)
290,2019,(주)태웅,2016.0,동원수산(주)
291,2017,(주)텔콘알에프제약,2014.0,동일철강(주)
292,2019,(주)토니모리,2014.0,롯데관광개발(주)
293,2013,(주)토탈소프트뱅크,2013.0,메디앙스(주)
294,2019,(주)투비소프트,2015.0,메디포스트(주)
295,2017,(주)트루윈,2015.0,명문제약(주)
296,2013,(주)특수건설,2019.0,미래나노텍(주)
297,2013,(주)티사이언티픽,2014.0,미래산업(주)
298,2011,(주)티에스넥스젠,2014.0,바이온(주)
299,2014,(주)티에이치엔,2014.0,범양건영(주)
300,2012,(주)티웨이홀딩스,2014.0,베뉴지(주)
301,2014,(주)티케이케미칼,2019.0,보성파워텍(주)
302,2012,(주)파나진,2019.0,보해양조(주)
303,2011,(주)파루,2015.0,비케이탑스(주)
304,2013,(주)파인디앤씨,2014.0,사조동아원(주)
305,2018,(주)파인테크닉스,2019.0,삼보산업(주)
306,2014,(주)판타지오,2014.0,삼부토건(주)
307,2015,(주)팬스타엔터프라이즈,2018.0,삼성제약(주)
308,2015,(주)팬엔터테인먼트,2018.0,삼성중공업(주)
309,2018,(주)팬젠,2016.0,삼영화학공업(주)
310,2018,(주)퓨쳐켐,2014.0,삼일제약(주)
311,2019,(주)프로스테믹스,2014.0,삼화전자공업(주)
312,2017,(주)플래스크,2014.0,서울전자통신(주)
313,2017,(주)플레이그램,2015.0,성문전자(주)
314,2013,(주)플레이위드,2013.0,성우테크론(주)
315,2016,(주)피에스엠씨,2016.0,성창기업지주(주)
316,2013,(주)피에이치씨,2015.0,성호전자(주)
317,2018,(주)하이소닉,2014.0,세기상사(주)
318,2015,(주)하이스틸,2014.0,세원이앤씨(주)
319,2012,(주)하이트론씨스템즈,2015.0,세종텔레콤(주)
320,2013,(주)한국전자홀딩스,2017.0,소니드(주)
321,2019,(주)한국종합기술,2019.0,신라젠(주)
322,2016,(주)한국코퍼레이션,2019.0,신송홀딩스(주)
323,2013,(주)한국테크놀로지,2014.0,신풍제지(주)
324,2014,(주)한국특강,2014.0,쌍용자동차(주)
325,2014,(주)한국팩키지,2017.0,쌍용정보통신(주)
326,2014,(주)한라,2014.0,써니전자(주)
327,2017,(주)한빛소프트,2016.0,씨앤티85(주)
328,2018,(주)한일진공,2014.0,아남전자(주)
329,2018,(주)한진,2019.0,아비코전자(주)
330,2014,(주)한진중공업홀딩스,2018.0,아시아나항공(주)
331,2016,(주)한창바이오텍,2018.0,아이진(주)
332,2015,(주)한컴위드,2012.0,애머릿지코퍼레이션
333,2015,(주)한탑,2016.0,에스디엔(주)
