,회사명,거래소코드,회계년도,이자보상배율,매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),통계청 한국표준산업분류 10차(중분류),매출액(수익)감소,매출원가감소,매출액(수익)감소(연결),매출원가감소(연결)
26,(주)ES큐브,50120,2019,-0.68,28527284.0,22708418.0,43708239.0,35510791.0,도매 및 상품 중개업,0.09750626803448936,0.1314674144187411,-0.22752531851031563,-0.26681281191398976
27,(주)HJ중공업,97230,2011,0.55,2316017000.0,2156842000.0,2891499000.0,2664558000.0,종합 건설업,,,,
28,(주)HJ중공업,97230,2012,0.27,1980761000.0,1833445000.0,2549319000.0,2358260000.0,종합 건설업,0.1692561596275371,0.17638762002678018,0.134224081019284,0.12988304936690612
29,(주)HJ중공업,97230,2013,-0.4,1927307000.0,1900927000.0,2529341000.0,2464368000.0,종합 건설업,0.02773507282441251,-0.03549952207528222,0.00789850004408263,-0.043056881115158124
30,(주)HJ중공업,97230,2014,-0.88,1799016000.0,1798250000.0,2520325000.0,2537259000.0,종합 건설업,0.07131176154075339,0.05709829000417072,0.0035773164175255177,-0.028728245717130178
31,(주)HJ중공업,97230,2015,-0.5,2041347000.0,1972358000.0,3115473000.0,3004437000.0,종합 건설업,-0.11871132149507163,-0.08827403544386972,-0.1910297409093258,-0.15549602138437252
32,(주)HJ중공업,97230,2016,-0.58,1928591000.0,1776465000.0,2813271000.0,2753545000.0,종합 건설업,0.058465480757713795,0.11027124091946647,0.10742015255551278,0.09111599774109376
33,(주)HJ중공업,97230,2017,-1.08,1737428000.0,1545012000.0,2452314000.0,2431066000.0,종합 건설업,0.1100264298722019,0.14980660344385674,0.14719036795451154,0.13264921643427205
34,(주)HJ중공업,97230,2018,0.62,1750954000.0,1551132000.0,1697869000.0,1557089000.0,종합 건설업,-0.007724931665823317,-0.003945505604938845,0.44434817998326137,0.561289046419312
35,(주)HJ중공업,97230,2019,0.69,1609530000.0,1439132000.0,1628751000.0,1451267000.0,종합 건설업,0.08786664429988879,0.07782468877073125,0.0424361980437771,0.07291697530502657
