,회사명,거래소코드,회계년도,이자보상배율
127,(주)강원에너지,114190,16-Dec,-241.54
128,(주)강원에너지,114190,17-Dec,-26.56
129,(주)강원에너지,114190,18-Dec,0.2
130,(주)강원에너지,114190,19-Dec,-8.38
131,(주)갤럭시아에스엠,11420,11-Dec,6.31
132,(주)갤럭시아에스엠,11420,12-Dec,3.79
133,(주)갤럭시아에스엠,11420,13-Dec,1.9
134,(주)갤럭시아에스엠,11420,14-Dec,-0.88
135,(주)갤럭시아에스엠,11420,15-Dec,5.69
136,(주)갤럭시아에스엠,11420,16-Dec,-18.76
137,(주)갤럭시아에스엠,11420,17-Dec,-35.52
138,(주)갤럭시아에스엠,11420,18-Dec,-157.86
139,(주)갤럭시아에스엠,11420,19-Dec,-8.95
140,(주)경농,2100,11-Dec,4.52
141,(주)경농,2100,12-Dec,5.6
142,(주)경농,2100,13-Dec,4.81
143,(주)경농,2100,14-Dec,4.53
144,(주)경농,2100,15-Dec,3.96
145,(주)경농,2100,16-Dec,3.5
146,(주)경농,2100,17-Dec,2.8
147,(주)경농,2100,18-Dec,5.16
148,(주)경농,2100,19-Dec,2.2
149,(주)경동나비엔,9450,11-Dec,12.0
150,(주)경동나비엔,9450,12-Dec,11.7
151,(주)경동나비엔,9450,13-Dec,14.4
152,(주)경동나비엔,9450,14-Dec,4.93
153,(주)경동나비엔,9450,15-Dec,6.98
154,(주)경동나비엔,9450,16-Dec,25.05
155,(주)경동나비엔,9450,17-Dec,30.33
156,(주)경동나비엔,9450,18-Dec,11.32
157,(주)경동나비엔,9450,19-Dec,11.06
158,(주)경동도시가스,267290,17-Dec,66.86
159,(주)경동도시가스,267290,18-Dec,98.82
160,(주)경동도시가스,267290,19-Dec,29.28
161,(주)경동인베스트,12320,11-Dec,11.03
162,(주)경동인베스트,12320,12-Dec,17.71
163,(주)경동인베스트,12320,13-Dec,27.91
164,(주)경동인베스트,12320,14-Dec,20.25
165,(주)경동인베스트,12320,15-Dec,-4.35
166,(주)경동인베스트,12320,16-Dec,7.92
167,(주)경동인베스트,12320,17-Dec,9.05
168,(주)경동인베스트,12320,18-Dec,10.67
169,(주)경동인베스트,12320,19-Dec,5.29
170,(주)경방,50,11-Dec,1.15
171,(주)경방,50,12-Dec,0.36
172,(주)경방,50,13-Dec,2.58
173,(주)경방,50,14-Dec,2.47
174,(주)경방,50,15-Dec,3.9
175,(주)경방,50,16-Dec,5.54
176,(주)경방,50,17-Dec,6.35
177,(주)경방,50,18-Dec,5.13
178,(주)경방,50,19-Dec,3.59
179,(주)경보제약,214390,15-Dec,29.2
180,(주)경보제약,214390,16-Dec,16.24
181,(주)경보제약,214390,17-Dec,24.47
182,(주)경보제약,214390,18-Dec,19.43
183,(주)경보제약,214390,19-Dec,4.77
184,(주)경인양행,12610,11-Dec,1.77
185,(주)경인양행,12610,12-Dec,1.26
186,(주)경인양행,12610,13-Dec,5.73
187,(주)경인양행,12610,14-Dec,7.16
188,(주)경인양행,12610,15-Dec,4.19
189,(주)경인양행,12610,16-Dec,6.44
190,(주)경인양행,12610,17-Dec,3.12
191,(주)경인양행,12610,18-Dec,5.68
192,(주)경인양행,12610,19-Dec,4.66
193,(주)고려시멘트,198440,14-Dec,11111111.11
194,(주)고려시멘트,198440,15-Dec,11111111.11
195,(주)고려시멘트,198440,16-Dec,11111111.11
196,(주)고려시멘트,198440,17-Dec,16.79
197,(주)고려시멘트,198440,18-Dec,9.2
198,(주)고려시멘트,198440,19-Dec,-1.08
199,(주)고영테크놀러지,98460,11-Dec,22785.6
200,(주)고영테크놀러지,98460,12-Dec,1627.45
201,(주)고영테크놀러지,98460,13-Dec,443.96
202,(주)고영테크놀러지,98460,14-Dec,1673.12
203,(주)고영테크놀러지,98460,15-Dec,2242.05
204,(주)고영테크놀러지,98460,16-Dec,2001.96
205,(주)고영테크놀러지,98460,17-Dec,6141.06
206,(주)고영테크놀러지,98460,18-Dec,5839.89
207,(주)고영테크놀러지,98460,19-Dec,112.96
208,(주)골드앤에스,35290,11-Dec,1.13
209,(주)골드앤에스,35290,12-Dec,-1.91
210,(주)골드앤에스,35290,13-Dec,-3.83
211,(주)골드앤에스,35290,14-Dec,-1.41
212,(주)골드앤에스,35290,15-Dec,1.99
213,(주)골드앤에스,35290,16-Dec,2.42
214,(주)골드앤에스,35290,17-Dec,-26.15
215,(주)골드앤에스,35290,18-Dec,-4.56
216,(주)골드앤에스,35290,19-Dec,-1.46
217,(주)골드퍼시픽,38530,11-Dec,14.16
218,(주)골드퍼시픽,38530,12-Dec,2.66
219,(주)골드퍼시픽,38530,13-Dec,-11.34
220,(주)골드퍼시픽,38530,14-Dec,-4.33
221,(주)골드퍼시픽,38530,15-Dec,-9.59
222,(주)골드퍼시픽,38530,16-Dec,-17.43
223,(주)골드퍼시픽,38530,17-Dec,0.62
224,(주)골드퍼시픽,38530,18-Dec,-0.68
225,(주)골드퍼시픽,38530,19-Dec,-0.89
226,(주)골프존,215000,15-Dec,11111111.11
227,(주)골프존,215000,16-Dec,59.8
228,(주)골프존,215000,17-Dec,52.52
229,(주)골프존,215000,18-Dec,37.61
230,(주)골프존,215000,19-Dec,32.18
231,(주)골프존뉴딘홀딩스,121440,11-Dec,1101.46
232,(주)골프존뉴딘홀딩스,121440,12-Dec,31.08
233,(주)골프존뉴딘홀딩스,121440,13-Dec,25.98
234,(주)골프존뉴딘홀딩스,121440,14-Dec,22.05
235,(주)골프존뉴딘홀딩스,121440,15-Dec,-1.54
236,(주)골프존뉴딘홀딩스,121440,16-Dec,5.22
237,(주)골프존뉴딘홀딩스,121440,17-Dec,2.81
238,(주)골프존뉴딘홀딩스,121440,18-Dec,0.15
239,(주)골프존뉴딘홀딩스,121440,19-Dec,-0.36
240,(주)광림,14200,11-Dec,4.55
241,(주)광림,14200,12-Dec,1.71
242,(주)광림,14200,13-Dec,6.18
243,(주)광림,14200,14-Dec,0.7
244,(주)광림,14200,15-Dec,0.43
245,(주)광림,14200,16-Dec,0.16
246,(주)광림,14200,17-Dec,-3.19
247,(주)광림,14200,18-Dec,-0.23
248,(주)광림,14200,19-Dec,-2.3
249,(주)광명전기,17040,11-Dec,0.38
250,(주)광명전기,17040,12-Dec,3.63
251,(주)광명전기,17040,13-Dec,11.84
252,(주)광명전기,17040,14-Dec,19.42
253,(주)광명전기,17040,15-Dec,20.92
254,(주)광명전기,17040,16-Dec,10.52
255,(주)광명전기,17040,17-Dec,5.78
256,(주)광명전기,17040,18-Dec,3.61
257,(주)광명전기,17040,19-Dec,21.67
258,(주)광무,29480,11-Dec,-3.01
259,(주)광무,29480,12-Dec,-2.69
260,(주)광무,29480,13-Dec,-8.2
261,(주)광무,29480,14-Dec,1.12
262,(주)광무,29480,15-Dec,-0.8
263,(주)광무,29480,16-Dec,1.93
264,(주)광무,29480,17-Dec,0.32
265,(주)광무,29480,18-Dec,-3.19
266,(주)광무,29480,19-Dec,-2.9
267,(주)광주신세계,37710,11-Dec,11111111.11
268,(주)광주신세계,37710,12-Dec,11111111.11
269,(주)광주신세계,37710,13-Dec,13.07
270,(주)광주신세계,37710,14-Dec,10.46
271,(주)광주신세계,37710,15-Dec,15.34
272,(주)광주신세계,37710,16-Dec,30.68
273,(주)광주신세계,37710,17-Dec,86.86
274,(주)광주신세계,37710,18-Dec,715.98
275,(주)광주신세계,37710,19-Dec,193.26
276,(주)구영테크,53270,11-Dec,0.96
277,(주)구영테크,53270,12-Dec,1.29
278,(주)구영테크,53270,13-Dec,1.39
279,(주)구영테크,53270,14-Dec,1.38
280,(주)구영테크,53270,15-Dec,1.97
281,(주)구영테크,53270,16-Dec,1.65
282,(주)구영테크,53270,17-Dec,2.37
283,(주)구영테크,53270,18-Dec,1.47
284,(주)구영테크,53270,19-Dec,1.33
285,(주)국동,5320,11-Dec,0.5
286,(주)국동,5320,12-Dec,3.42
287,(주)국동,5320,13-Dec,3.64
288,(주)국동,5320,14-Dec,5.32
289,(주)국동,5320,15-Dec,4.08
290,(주)국동,5320,16-Dec,5.25
291,(주)국동,5320,17-Dec,-2.28
292,(주)국동,5320,18-Dec,2.53
293,(주)국동,5320,19-Dec,-1.78
294,(주)국보,1140,11-Dec,0.75
295,(주)국보,1140,12-Dec,0.64
296,(주)국보,1140,13-Dec,0.36
297,(주)국보,1140,14-Dec,-1.31
298,(주)국보,1140,15-Dec,-1.55
299,(주)국보,1140,16-Dec,0.14
300,(주)국보,1140,17-Dec,-2.66
301,(주)국보,1140,18-Dec,-4.03
302,(주)국보,1140,19-Dec,-0.35
303,(주)국보디자인,66620,11-Dec,238.18
304,(주)국보디자인,66620,12-Dec,2003.29
305,(주)국보디자인,66620,13-Dec,1539.88
306,(주)국보디자인,66620,14-Dec,1917.05
307,(주)국보디자인,66620,15-Dec,1867.07
308,(주)국보디자인,66620,16-Dec,6455.77
309,(주)국보디자인,66620,17-Dec,3543.84
310,(주)국보디자인,66620,18-Dec,382.19
311,(주)국보디자인,66620,19-Dec,592.26
312,(주)국순당,43650,11-Dec,167.22
313,(주)국순당,43650,12-Dec,172.69
314,(주)국순당,43650,13-Dec,9.21
315,(주)국순당,43650,14-Dec,9.17
316,(주)국순당,43650,15-Dec,-334.84
317,(주)국순당,43650,16-Dec,-327.25
318,(주)국순당,43650,17-Dec,-12.28
319,(주)국순당,43650,18-Dec,-7.85
320,(주)국순당,43650,19-Dec,-4.32
321,(주)국영지앤엠,6050,11-Dec,-170.81
322,(주)국영지앤엠,6050,12-Dec,-4.57
323,(주)국영지앤엠,6050,13-Dec,2.35
324,(주)국영지앤엠,6050,14-Dec,5.13
325,(주)국영지앤엠,6050,15-Dec,-15.79
326,(주)국영지앤엠,6050,16-Dec,3.4
327,(주)국영지앤엠,6050,17-Dec,17.57
328,(주)국영지앤엠,6050,18-Dec,-18.31
329,(주)국영지앤엠,6050,19-Dec,15.75
330,(주)국전약품,307750,18-Dec,11111111.11
331,(주)국전약품,307750,19-Dec,11111111.11
332,(주)그래디언트,35080,11-Dec,-48.06
333,(주)그래디언트,35080,12-Dec,1.38
334,(주)그래디언트,35080,13-Dec,7.5
335,(주)그래디언트,35080,14-Dec,14.81
336,(주)그래디언트,35080,15-Dec,26.27
337,(주)그래디언트,35080,16-Dec,13.02
338,(주)그래디언트,35080,17-Dec,13.33
339,(주)그래디언트,35080,18-Dec,8.44
340,(주)그래디언트,35080,19-Dec,10.13
341,(주)그리티,204020,18-Dec,29.27
342,(주)그리티,204020,19-Dec,4.95
343,(주)그린플러스,186230,19-Dec,3.03
344,(주)글로벌스탠다드테크놀로지,83450,11-Dec,21.14
345,(주)글로벌스탠다드테크놀로지,83450,12-Dec,25.45
346,(주)글로벌스탠다드테크놀로지,83450,13-Dec,46.16
347,(주)글로벌스탠다드테크놀로지,83450,14-Dec,60.23
348,(주)글로벌스탠다드테크놀로지,83450,15-Dec,60.28
349,(주)글로벌스탠다드테크놀로지,83450,16-Dec,63.24
350,(주)글로벌스탠다드테크놀로지,83450,17-Dec,212.37
351,(주)글로벌스탠다드테크놀로지,83450,18-Dec,118.58
352,(주)글로벌스탠다드테크놀로지,83450,19-Dec,122.37
353,(주)금비,8870,11-Sep,3.74
354,(주)금비,8870,12-Sep,2.7
355,(주)금비,8870,13-Sep,3.03
356,(주)금비,8870,14-Sep,2.84
357,(주)금비,8870,15-Sep,8.69
358,(주)금비,8870,16-Sep,13.77
359,(주)금비,8870,17-Sep,9.07
360,(주)금비,8870,18-Sep,10.0
361,(주)금비,8870,19-Sep,9.6
362,(주)금양,1570,11-Dec,2.0
363,(주)금양,1570,12-Dec,1.68
364,(주)금양,1570,13-Dec,1.61
365,(주)금양,1570,14-Dec,1.52
366,(주)금양,1570,15-Dec,2.52
367,(주)금양,1570,16-Dec,3.26
368,(주)금양,1570,17-Dec,3.57
369,(주)금양,1570,18-Dec,3.72
370,(주)금양,1570,19-Dec,2.53
371,(주)금호에이치티,214330,15-Dec,20.53
372,(주)금호에이치티,214330,16-Dec,11.57
373,(주)금호에이치티,214330,17-Dec,7.78
374,(주)금호에이치티,214330,18-Dec,3.66
375,(주)금호에이치티,214330,19-Dec,0.35
376,(주)금화피에스시,36190,11-Dec,11111111.11
377,(주)금화피에스시,36190,12-Dec,11111111.11
378,(주)금화피에스시,36190,13-Dec,4840.81
379,(주)금화피에스시,36190,14-Dec,1424.85
380,(주)금화피에스시,36190,15-Dec,2638.71
381,(주)금화피에스시,36190,16-Dec,533.42
382,(주)금화피에스시,36190,17-Dec,539.47
383,(주)금화피에스시,36190,18-Dec,431.66
384,(주)금화피에스시,36190,19-Dec,280.27
385,(주)기가레인,49080,13-Dec,5.72
386,(주)기가레인,49080,14-Dec,7.6
387,(주)기가레인,49080,15-Dec,-13.79
388,(주)기가레인,49080,16-Dec,-4.14
389,(주)기가레인,49080,17-Dec,1.96
390,(주)기가레인,49080,18-Dec,-0.71
391,(주)기가레인,49080,19-Dec,-8.09
392,(주)기산텔레콤,35460,11-Dec,-3.73
393,(주)기산텔레콤,35460,12-Dec,0.71
394,(주)기산텔레콤,35460,13-Dec,4.99
395,(주)기산텔레콤,35460,14-Dec,2.53
396,(주)기산텔레콤,35460,15-Dec,2.72
397,(주)기산텔레콤,35460,16-Dec,-5.83
398,(주)기산텔레콤,35460,17-Dec,-6.37
399,(주)기산텔레콤,35460,18-Dec,-5.52
400,(주)기산텔레콤,35460,19-Dec,6.63
401,(주)까뮤이앤씨,13700,11-Dec,-14.28
402,(주)까뮤이앤씨,13700,12-Dec,0.46
403,(주)까뮤이앤씨,13700,13-Dec,-0.14
404,(주)까뮤이앤씨,13700,14-Dec,0.4
405,(주)까뮤이앤씨,13700,15-Dec,1.65
406,(주)까뮤이앤씨,13700,16-Dec,1.92
407,(주)까뮤이앤씨,13700,17-Dec,4.85
408,(주)까뮤이앤씨,13700,18-Dec,2.29
409,(주)까뮤이앤씨,13700,19-Dec,5.87
410,(주)까스텔바작,308100,19-Dec,214.89
411,(주)나노,187790,14-Dec,11111111.11
412,(주)나노,187790,15-Dec,-4.06
413,(주)나노,187790,16-Dec,-5.47
414,(주)나노,187790,17-Dec,0.96
415,(주)나노,187790,18-Dec,1.22
416,(주)나노,187790,19-Dec,-0.54
417,(주)나노브릭,286750,19-Dec,-3.38
418,(주)나노신소재,121600,11-Dec,9.69
419,(주)나노신소재,121600,12-Dec,-2.32
420,(주)나노신소재,121600,13-Dec,4.32
421,(주)나노신소재,121600,14-Dec,24.79
422,(주)나노신소재,121600,15-Dec,86.73
423,(주)나노신소재,121600,16-Dec,122.39
424,(주)나노신소재,121600,17-Dec,114.62
425,(주)나노신소재,121600,18-Dec,127.97
426,(주)나노신소재,121600,19-Dec,42.91
427,(주)나노엔텍,39860,11-Dec,-12.31
428,(주)나노엔텍,39860,12-Dec,-5.04
