,회사명,거래소코드,회계년도,[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS),자기자본순이익률(개별)
67,(주)SNT에너지,100840,2015/12,27029932.0,231399939.0,11.681045430180516
68,(주)SNT에너지,100840,2016/12,1659742.0,229799567.0,0.7222563652611234
69,(주)SNT에너지,100840,2017/12,4581777.0,233817326.0,1.9595541007940531
70,(주)SNT에너지,100840,2018/12,1825479.0,231276490.0,0.7893059082659029
71,(주)SNT에너지,100840,2019/12,14578960.0,245545053.0,5.937386977207804
72,(주)SNT홀딩스,36530,2011/12,5766277.0,387839074.0,1.4867705155463526
73,(주)SNT홀딩스,36530,2012/12,9011145.0,388611726.0,2.3188041937777246
74,(주)SNT홀딩스,36530,2013/12,8018313.0,396851717.0,2.0204808638890177
75,(주)SNT홀딩스,36530,2014/12,6891599.0,398863036.0,1.7278108969716612
76,(주)SNT홀딩스,36530,2015/12,27765789.0,421925486.0,6.5807328358448585
77,(주)SNT홀딩스,36530,2016/12,6923176.0,426682947.0,1.6225574630241786
78,(주)SNT홀딩스,36530,2017/12,4172419.0,425136143.0,0.9814312588332439
79,(주)SNT홀딩스,36530,2018/12,6218079.0,422573122.0,1.4714800057728235
80,(주)SNT홀딩스,36530,2019/12,9244252.0,416939604.0,2.2171681249066473
81,(주)STX,11810,2011/12,84657000.0,1164648000.0,7.26889154491314
82,(주)STX,11810,2012/12,-23863000.0,1123534000.0,-2.123923263559447
83,(주)STX,11810,2013/12,-1646014000.0,-522090000.0,-315.273994905093
84,(주)STX,11810,2014/12,334488000.0,54894000.0,609.3343534812548
85,(주)STX,11810,2015/12,-53449000.0,72316000.0,-73.91033796117041
86,(주)STX,11810,2016/12,-456150000.0,-328883000.0,-138.69674017811806
87,(주)STX,11810,2017/12,336179000.0,44710000.0,751.9100872288079
88,(주)STX,11810,2018/12,5024000.0,62213000.0,8.075482616173469
89,(주)STX,11810,2019/12,-37142000.0,50616000.0,-73.3799589062747
90,(주)TCC스틸,2710,2011/12,6828699.0,205616971.0,3.3210775194232385
91,(주)TCC스틸,2710,2012/12,4206491.0,209755733.0,2.0054236133798544
92,(주)TCC스틸,2710,2013/12,391783.0,210086242.0,0.18648674766622747
93,(주)TCC스틸,2710,2014/12,1022624.0,210093654.0,0.48674673438732236
94,(주)TCC스틸,2710,2015/12,-140083396.0,76555951.0,-182.9817201278056
95,(주)TCC스틸,2710,2016/12,15468493.0,92623510.0,16.700396044157685
96,(주)TCC스틸,2710,2017/12,-2328706.0,89627045.0,-2.5982179820834213
97,(주)TCC스틸,2710,2018/12,7565000.0,98351707.0,7.691783122788097
98,(주)TCC스틸,2710,2019/12,1996130.0,97501452.0,2.047282331754403
99,(주)가비아,79940,2011/12,3262397.0,24298687.0,13.426227515914748
100,(주)가비아,79940,2012/12,5737877.0,31165211.0,18.41116044425305
101,(주)가비아,79940,2013/12,3786937.0,34822978.0,10.8748223658528
102,(주)가비아,79940,2014/12,3076978.0,38147677.0,8.065964278768533
103,(주)가비아,79940,2015/12,4288423.0,42470259.0,10.097473151741317
104,(주)가비아,79940,2016/12,3544032.0,45413712.0,7.803880907158613
105,(주)가비아,79940,2017/12,2493743.0,47662984.0,5.232032891604101
106,(주)가비아,79940,2018/12,2762732.0,49832912.0,5.543990686315903
107,(주)가비아,79940,2019/12,4654769.0,54084066.0,8.606544115969388
108,(주)강스템바이오텍,217730,2015/12,-5754141.0,21237036.0,-27.094840353427852
109,(주)강스템바이오텍,217730,2016/12,-8300375.0,22976911.0,-36.12485159558654
110,(주)강스템바이오텍,217730,2017/12,-10855842.0,24668128.0,-44.00756311950384
111,(주)강스템바이오텍,217730,2018/12,-13500909.0,47944961.0,-28.15918235912216
112,(주)강스템바이오텍,217730,2019/12,-25001590.0,70845209.0,-35.29044568137275
113,(주)강원랜드,35250,2011/12,393401121.0,2278202202.0,17.26805112621869
114,(주)강원랜드,35250,2012/12,296503993.0,2383160603.0,12.441628676923877
115,(주)강원랜드,35250,2013/12,293129468.0,2523962938.0,11.613857857686181
116,(주)강원랜드,35250,2014/12,363815729.0,2716175018.0,13.39441407821681
117,(주)강원랜드,35250,2015/12,430459518.0,2997442337.0,14.360894042446429
118,(주)강원랜드,35250,2016/12,454998593.0,3252738063.0,13.988171939684404
119,(주)강원랜드,35250,2017/12,437096330.0,3500789656.0,12.485649609106362
120,(주)강원랜드,35250,2018/12,297320114.0,3586452533.0,8.290089197173826
121,(주)강원랜드,35250,2019/12,335609508.0,3718433001.0,9.02556286236015
122,(주)강원에너지,114190,2011/11,5754715.0,24502434.0,23.486299361116533
123,(주)강원에너지,114190,2012/12,8974549.0,36107930.0,24.85478674629091
124,(주)강원에너지,114190,2013/12,3922208.0,45877155.0,8.549370596324032
125,(주)강원에너지,114190,2014/12,1123194.0,50445491.0,2.226549841689518
126,(주)강원에너지,114190,2015/12,885783.0,54880924.0,1.6140089040774896
127,(주)강원에너지,114190,2016/12,-762058.0,53746356.0,-1.4178784511455995
128,(주)강원에너지,114190,2017/12,-6291307.0,47117020.0,-13.35251465394034
129,(주)강원에너지,114190,2018/12,1977524.0,49286354.0,4.012315457540235
130,(주)강원에너지,114190,2019/12,-33460765.0,22904034.0,-146.09114272184542
131,(주)갤럭시아에스엠,11420,2011/12,3000743.0,24539613.0,12.22815942533405
132,(주)갤럭시아에스엠,11420,2012/12,223810.0,25153401.0,0.8897802726557732
133,(주)갤럭시아에스엠,11420,2013/12,-1420345.0,22472626.0,-6.320333903122847
134,(주)갤럭시아에스엠,11420,2014/12,-931106.0,23402468.0,-3.9786658398592833
135,(주)갤럭시아에스엠,11420,2015/12,2575902.0,50665218.0,5.084162472171737
136,(주)갤럭시아에스엠,11420,2016/12,-1562620.0,44846832.0,-3.484348682644964
137,(주)갤럭시아에스엠,11420,2017/12,-5899738.0,40494336.0,-14.569291863434925
138,(주)갤럭시아에스엠,11420,2018/12,-15678085.0,26797332.0,-58.50614158155744
139,(주)갤럭시아에스엠,11420,2019/12,-1375316.0,21798750.0,-6.309150754056998
140,(주)경농,2100,2011/12,3154155.0,146016982.0,2.160128881447502
141,(주)경농,2100,2012/12,6590012.0,151500247.0,4.349835812478906
142,(주)경농,2100,2013/12,13751960.0,162696463.0,8.452525486064193
143,(주)경농,2100,2014/12,9271741.0,168998955.0,5.486271202091161
144,(주)경농,2100,2015/12,6488880.0,173056378.0,3.749575759640595
145,(주)경농,2100,2016/12,5770891.0,176722752.0,3.2655053945742085
146,(주)경농,2100,2017/12,11539079.0,182959158.0,6.3069152296820254
147,(주)경농,2100,2018/12,9613575.0,187066687.0,5.139116511963458
148,(주)경농,2100,2019/12,7061857.0,190892614.0,3.699387237685372
149,(주)경동나비엔,9450,2011/12,9445090.0,143268094.0,6.592598349217936
150,(주)경동나비엔,9450,2012/12,9214927.0,152201349.0,6.054431882860644
151,(주)경동나비엔,9450,2013/12,9251575.0,161494784.0,5.7287144332785385
152,(주)경동나비엔,9450,2014/12,9082312.0,167984480.0,5.406637565565581
153,(주)경동나비엔,9450,2015/12,19320742.0,185208256.0,10.431901048730786
154,(주)경동나비엔,9450,2016/12,28636194.0,210193123.0,13.62375399884039
155,(주)경동나비엔,9450,2017/12,16291264.0,222028494.0,7.3374654336033105
156,(주)경동나비엔,9450,2018/12,22818064.0,240355951.0,9.49344665903446
157,(주)경동나비엔,9450,2019/12,20474157.0,254559521.0,8.042974358048074
158,(주)경동도시가스,267290,2017/12,17678888.0,292628586.0,6.041408408404775
159,(주)경동도시가스,267290,2018/12,33981432.0,318760537.0,10.66048900526228
160,(주)경동도시가스,267290,2019/12,24355132.0,337701666.0,7.212026013516913
161,(주)경동인베스트,12320,2011/12,50053289.0,412912132.0,12.122019461515846
162,(주)경동인베스트,12320,2012/12,56917580.0,468921996.0,12.137963346893201
163,(주)경동인베스트,12320,2013/12,46253877.0,516833582.0,8.949472056558431
164,(주)경동인베스트,12320,2014/12,44839494.0,560802056.0,7.995600857782875
165,(주)경동인베스트,12320,2015/12,-6095609.0,548528455.0,-1.1112657774517822
166,(주)경동인베스트,12320,2016/12,16356641.0,556247783.0,2.94053145017209
167,(주)경동인베스트,12320,2017/12,7248447.0,309789000.0,2.339801284099823
168,(주)경동인베스트,12320,2018/12,1574966.0,310422538.0,0.5073620008866753
169,(주)경동인베스트,12320,2019/12,-917643.0,308309156.0,-0.2976372845702967
170,(주)경방,50,2011/12,-1822388.0,676624221.0,-0.2693353183997237
171,(주)경방,50,2012/12,-7074187.0,669735441.0,-1.056265887532746
172,(주)경방,50,2013/12,15103835.0,685569176.0,2.2031088223838116
173,(주)경방,50,2014/12,14235818.0,651570419.0,2.18484719147448
174,(주)경방,50,2015/12,21604723.0,671770865.0,3.2160851453419315
175,(주)경방,50,2016/12,30977743.0,690245544.0,4.487930892024708
176,(주)경방,50,2017/12,25679379.0,710964923.0,3.611905196622478
177,(주)경방,50,2018/12,29198252.0,729185709.0,4.004227131664754
178,(주)경방,50,2019/12,22223943.0,740731873.0,3.000268222561013
179,(주)경보제약,214390,2015/12,26109623.0,122817151.0,21.25893882687443
180,(주)경보제약,214390,2016/12,12705930.0,129402340.0,9.818933722527738
181,(주)경보제약,214390,2017/12,17963310.0,141509596.0,12.694057864457475
182,(주)경보제약,214390,2018/12,13116049.0,149012165.0,8.801998816673793
183,(주)경보제약,214390,2019/12,5285239.0,149163504.0,3.5432521081027972
184,(주)경인양행,12610,2011/12,2788642.0,158882273.0,1.7551624528936591
185,(주)경인양행,12610,2012/12,4475441.0,162112825.0,2.760695213349098
186,(주)경인양행,12610,2013/12,12327177.0,178074513.0,6.922482500345235
187,(주)경인양행,12610,2014/12,9090269.0,186433506.0,4.875877300725118
188,(주)경인양행,12610,2015/12,107330.0,185903130.0,0.05773436950738806
189,(주)경인양행,12610,2016/12,3724987.0,191021720.0,1.9500332213530485
190,(주)경인양행,12610,2017/12,531273.0,190844102.0,0.278380622944271
191,(주)경인양행,12610,2018/12,7419717.0,198237400.0,3.742844185809539
192,(주)경인양행,12610,2019/12,4797711.0,201086327.0,2.385896182787207
193,(주)고려시멘트,198440,2014/12,,,
194,(주)고려시멘트,198440,2015/12,,,
195,(주)고려시멘트,198440,2016/12,,,
196,(주)고려시멘트,198440,2017/12,1003761.0,77394108.0,1.2969475660860386
197,(주)고려시멘트,198440,2018/12,4645869.0,86510962.0,5.37026625596881
198,(주)고려시멘트,198440,2019/12,3396444.0,88445378.0,3.8401599685627437
199,(주)고영테크놀러지,98460,2011/12,16580579.0,70382391.0,23.55785128129563
200,(주)고영테크놀러지,98460,2012/12,14836215.0,84090906.0,17.643067134988414
201,(주)고영테크놀러지,98460,2013/12,14816762.0,100051693.0,14.809106728458858
202,(주)고영테크놀러지,98460,2014/12,22775832.0,118348519.0,19.244712306032323
203,(주)고영테크놀러지,98460,2015/12,23271756.0,133570714.0,17.42279823405002
204,(주)고영테크놀러지,98460,2016/12,28063238.0,157572806.0,17.80969617308205
205,(주)고영테크놀러지,98460,2017/12,28907302.0,164836232.0,17.536983009900396
206,(주)고영테크놀러지,98460,2018/12,42430216.0,229271175.0,18.506563679450764
207,(주)고영테크놀러지,98460,2019/12,34702997.0,252020628.0,13.769903390606581
208,(주)골드앤에스,35290,2011/12,1101095.0,22637807.0,4.863964959149975
209,(주)골드앤에스,35290,2012/12,-6036290.0,26252682.0,-22.993041244319343
210,(주)골드앤에스,35290,2013/12,-16378087.0,9813150.0,-166.89938500889113
211,(주)골드앤에스,35290,2014/12,-8058617.0,9084260.0,-88.70966925209099
